"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-3.9554140625,-3.01746875,-2.6296875,2.0176484375,-2.01371875,5.999546875,-2.09887890625,0.91158203125,-5.87058203125,-0.4538828125,-4.87626953125,-3.80982421875,-9.73947265625,-4.4115390625,-3.7639375,-7.42732421875,-5.60348828125,-10.27426953125,-9.72860546875,-8.52649609375,-3.82156640625,-8.06703125,-12.18851953125,-12.19023828125,-15.071078125,-6.45763671875,-14.35079296875,-7.80369921875,-6.9909453125,-9.916078125
-2.1894140625,-2.47946875,-2.7806875,0.4406484375,2.43228125,4.743546875,-2.83387890625,0.76158203125,-3.80458203125,2.4701171875,-2.87326953125,-0.70182421875,-8.26147265625,-1.3545390625,-0.8579375,-4.87332421875,0.14151171875,-9.05126953125,-6.94660546875,-6.24149609375,-2.92756640625,-11.14603125,-10.70451953125,-9.69323828125,-13.100078125,-5.08063671875,-13.29779296875,-10.14969921875,-8.5709453125,-9.879078125
-1.6964140625,-2.23046875,-2.6186875,-0.5343515625,5.18828125,4.378546875,-2.94787890625,0.53058203125,-2.33758203125,4.5761171875,-1.02626953125,1.85917578125,-6.64447265625,0.8254609375,1.2940625,-2.95632421875,3.28451171875,-7.51326953125,-4.52060546875,-4.48049609375,-1.74556640625,-11.08503125,-8.70551953125,-7.61023828125,-11.548078125,-2.92663671875,-11.96279296875,-10.79769921875,-9.2489453125,-9.752078125
-2.2524140625,-2.21846875,-1.9756875,-0.6973515625,6.34928125,4.981546875,-2.41687890625,0.18558203125,-1.48258203125,5.9351171875,0.80673046875,3.85417578125,-5.09947265625,2.0344609375,2.7630625,-1.57132421875,3.76551171875,-5.90526953125,-2.63260546875,-3.23249609375,-0.36856640625,-8.29503125,-6.41951953125,-6.07523828125,-10.492078125,-0.45963671875,-10.47579296875,-9.80769921875,-8.9769453125,-9.481078125
-3.0054140625,-2.21046875,-0.7706875,0.0816484374999999,6.53028125,6.418546875,-1.31587890625,-0.15841796875,-1.09058203125,6.8721171875,2.78873046875,5.35617578125,-3.97647265625,2.4324609375,3.8360625,-0.444324218750001,2.23651171875,-4.64926953125,-1.41260546875,-2.35049609375,0.92143359375,-4.28503125,-4.30551953125,-5.13223828125,-9.942078125,1.41336328125,-9.11479296875,-7.82169921875,-8.0059453125,-9.066078125
-2.9374140625,-1.92746875,0.8633125,1.6836484375,6.46228125,8.417546875,0.24312109375,-0.25241796875,-0.93958203125,7.7431171875,4.92373046875,6.39217578125,-3.55147265625,2.3414609375,4.7890625,0.624675781249999,-0.37548828125,-4.08926953125,-0.870605468750001,-1.68249609375,1.74643359375,-0.77503125,-2.79951953125,-4.71223828125,-9.876078125,1.84036328125,-8.16179296875,-5.71269921875,-6.7559453125,-8.582078125
-1.5024140625,-1.23846875,2.5163125,3.6096484375,6.66428125,10.576546875,2.10612109375,0.11358203125,-0.80158203125,8.7351171875,6.98173046875,6.91017578125,-3.77247265625,2.1404609375,5.7270625,1.64367578125,-3.15948828125,-4.24626953125,-0.849605468750001,-1.14549609375,1.83843359375,1.15996875,-2.06851953125,-4.62123828125,-10.201078125,0.57736328125,-7.73779296875,-4.17669921875,-5.6119453125,-8.117078125
0.9955859375,-0.26246875,3.6223125,5.1236484375,7.32528125,12.415546875,4.03012109375,0.93658203125,-0.48058203125,9.8071171875,8.57973046875,6.88017578125,-4.16847265625,2.1684609375,6.5650625,2.47767578125,-5.26048828125,-4.75026953125,-1.04260546875,-0.70249609375,1.26743359375,1.44396875,-1.91851953125,-4.56423828125,-10.686078125,-1.73363671875,-7.71179296875,-3.45569921875,-4.7589453125,-7.690078125
3.5775859375,0.71353125,3.7283125,5.6606484375,8.35328125,13.499546875,5.71812109375,1.98158203125,0.13941796875,10.7451171875,9.35773046875,6.40017578125,-4.04747265625,2.6234609375,7.1240625,2.98467578125,-5.90748828125,-5.02826953125,-1.11260546875,-0.31849609375,0.48343359375,0.77996875,-1.93451953125,-4.25723828125,-10.990078125,-3.82163671875,-7.78779296875,-3.34169921875,-4.1479453125,-7.220078125
5.1865859375,1.41253125,2.7393125,5.2116484375,9.49028125,13.616546875,6.90312109375,2.92358203125,1.03341796875,11.2861171875,9.12873046875,5.70017578125,-2.88947265625,3.4774609375,7.2440625,3.10167578125,-4.65448828125,-4.62526953125,-0.873605468750001,0.0355039062499998,0.0704335937499998,0.0919687500000004,-1.76151953125,-3.58223828125,-10.823078125,-4.48663671875,-7.70779296875,-3.43169921875,-3.6119453125,-6.598078125
