"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
2.7600703125,17.4032578125,22.660546875,-19.1583671875,8.98050390625,13.11913671875,16.12678125,15.67284765625,-12.08153515625,8.79039453125,14.69147265625,17.98749609375,-38.28873046875,-3.30953125,11.838171875,19.83394921875,16.28839453125,-20.4911328125,12.65675390625,16.4778125,10.11626171875,-5.6711328125,-8.175609375,-13.69894921875,11.385234375,26.4968046875,8.02088671875,12.82155859375,16.9098125,14.6852265625
12.7940703125,20.4482578125,30.106546875,-13.8903671875,12.48450390625,14.62613671875,19.99178125,20.38384765625,-6.64553515625,14.16139453125,18.49447265625,19.79849609375,-23.96873046875,2.13646875,14.271171875,23.10894921875,15.17539453125,-12.8651328125,15.43875390625,17.2398125,13.12626171875,3.4078671875,-4.281609375,-11.46394921875,12.885234375,28.5768046875,9.15988671875,11.78155859375,15.1968125,14.4402265625
20.6390703125,22.8342578125,34.660546875,-8.8783671875,15.15550390625,16.00313671875,21.52278125,22.87784765625,-1.92553515625,18.02839453125,20.55747265625,19.81349609375,-10.78773046875,6.56246875,15.436171875,24.05394921875,13.81739453125,-6.5621328125,16.98675390625,16.4928125,14.51126171875,11.3208671875,-2.327609375,-11.03294921875,12.448234375,28.1608046875,7.11488671875,9.45955859375,11.6068125,11.9642265625
26.2390703125,24.5732578125,36.015546875,-3.3533671875,17.05450390625,17.27113671875,20.88078125,23.10584765625,2.26346484375,20.50639453125,21.02047265625,18.24849609375,0.82426953125,10.07846875,15.473171875,22.76694921875,12.09939453125,-1.6291328125,17.38075390625,14.2438125,14.06526171875,17.7308671875,-2.340609375,-12.31594921875,10.045234375,24.9568046875,1.69688671875,5.85155859375,6.1148125,7.1062265625
30.0670703125,25.8782578125,34.585546875,3.4736328125,18.54550390625,18.48713671875,18.93078125,21.68284765625,6.29846484375,22.10339453125,20.54447265625,15.95149609375,10.55526953125,13.00146875,14.927171875,20.12794921875,10.00839453125,2.1368671875,17.07175390625,11.0178125,12.06526171875,22.3278671875,-3.819609375,-14.64994921875,6.264234375,19.4398046875,-6.27611328125,1.29955859375,-0.6831875,0.4462265625
32.6480703125,26.9732578125,31.203546875,11.6706328125,20.07650390625,19.65913671875,16.67078125,19.48684765625,10.40946484375,23.30839453125,19.86347265625,13.89649609375,18.19426953125,15.51946875,14.395171875,17.30294921875,7.74139453125,4.8948671875,16.58375390625,7.5818125,9.13526171875,24.7128671875,-6.075609375,-17.17494921875,2.014234375,12.6338046875,-15.35511328125,-3.74844140625,-7.8431875,-6.9327734375
34.1880703125,27.9042578125,26.877546875,20.2776328125,21.91150390625,20.67913671875,14.77278125,17.28884765625,14.45146484375,24.32539453125,19.43147265625,12.72749609375,23.60726953125,17.53646875,14.249171875,15.25794921875,5.74539453125,6.5948671875,16.28075390625,4.6488125,6.05226171875,24.4578671875,-8.518609375,-19.18394921875,-1.783765625,5.7948046875,-23.91111328125,-8.88744140625,-14.3631875,-13.7447734375
34.5190703125,28.4642578125,22.636546875,27.6736328125,23.96350390625,21.29213671875,13.45078125,15.56384765625,17.90646484375,25.05739453125,19.32247265625,12.57349609375,26.71726953125,18.76346875,14.549171875,14.47194921875,4.57039453125,7.0348671875,16.26975390625,2.6568125,3.51626171875,21.3078671875,-10.771609375,-20.29294921875,-4.402765625,0.0438046875,-30.53711328125,-13.79244140625,-19.4291875,-18.8227734375
33.3200703125,28.2842578125,19.304546875,32.3656328125,25.80450390625,21.17313671875,12.56478125,14.49084765625,20.11646484375,25.24539453125,19.31947265625,13.10449609375,27.50626953125,18.92446875,15.086171875,14.88694921875,4.57939453125,6.0368671875,16.42175390625,1.6768125,1.94326171875,15.3828671875,-12.693609375,-20.48494921875,-5.480765625,-3.9451953125,-34.36211328125,-18.21144140625,-22.5971875,-21.4687734375
30.3950703125,27.0302578125,17.187546875,33.6906328125,26.87150390625,20.05913671875,11.80078125,14.00884765625,20.59346484375,24.61339453125,19.06647265625,13.71749609375,26.05326953125,17.90046875,15.483171875,16.00094921875,5.68839453125,3.6138671875,16.47275390625,1.4588125,1.33426171875,7.2628671875,-14.351609375,-20.05794921875,-5.112765625,-6.1281953125,-35.21111328125,-21.95944140625,-23.8991875,-21.7037734375
25.8810703125,24.5902578125,15.905546875,32.0196328125,26.70850390625,17.87313671875,10.83478125,13.83884765625,19.24946484375,22.97939453125,18.22047265625,13.76849609375,22.60526953125,15.77446875,15.324171875,17.06694921875,7.32539453125,0.0508671875000015,16.16475390625,1.5628125,1.30426171875,-2.0511328125,-15.912609375,-19.48694921875,-3.808765625,-7.0211953125,-33.54011328125,-24.89944140625,-23.7811875,-20.2697734375
20.2910703125,21.0842578125,14.570546875,28.4266328125,25.11550390625,14.72413671875,9.42078125,13.47884765625,16.38246484375,20.31539453125,16.55447265625,12.75949609375,17.64226953125,12.80046875,14.267171875,17.33694921875,8.65339453125,-4.1171328125,15.34675390625,1.5028125,1.26726171875,-11.2851328125,-17.462609375,-19.22094921875,-2.285765625,-7.3911953125,-30.15211328125,-26.86844140625,-22.8651875,-18.2987734375
14.3220703125,16.7002578125,12.223546875,24.0856328125,22.11950390625,10.78313671875,7.34978125,12.20284765625,12.48546484375,16.68939453125,13.92647265625,10.38649609375,11.87726953125,9.30046875,12.068171875,16.23294921875,8.90839453125,-8.2521328125,13.97175390625,0.831812499999999,0.646261718750001,-19.1391328125,-18.907609375,-19.51594921875,-1.206765625,-7.8921953125,-25.86611328125,-27.64944140625,-21.6781875,-16.8317734375
8.5070703125,11.5082578125,8.240546875,19.7386328125,17.86450390625,6.11813671875,4.34178125,9.20384765625,7.98946484375,12.12639453125,10.17247265625,6.47449609375,6.18126953125,5.50146875,8.532171875,13.40294921875,7.67539453125,-11.8271328125,11.99075390625,-0.807187500000001,-0.966738281249999,-24.5751328125,-20.012609375,-20.38294921875,-1.005765625,-8.8301953125,-21.29611328125,-27.01944140625,-20.4811875,-16.4267734375
3.0050703125,5.4532578125,2.507546875,15.5086328125,12.50250390625,0.637136718750001,0.0597812500000003,3.88984765625,3.12746484375,6.53239453125,5.09047265625,0.96649609375,1.44826953125,1.45246875,3.506171875,8.76394921875,4.97139453125,-14.5701328125,9.31575390625,-3.6121875,-3.70573828125,-27.0331328125,-20.529609375,-21.63594921875,-1.790765625,-10.1111953125,-16.74911328125,-24.82844140625,-19.2241875,-16.9617734375
-2.2559296875,-1.4217421875,-4.594453125,11.0546328125,6.13750390625,-5.79186328125,-5.66221875,-3.72615234375,-2.05353515625,-0.178605468749999,-1.39852734375,-5.93850390625,-1.60373046875,-2.90153125,-2.984828125,2.57494921875,1.14239453125,-16.4631328125,5.90175390625,-7.5131875,-7.35973828125,-26.4521328125,-20.283609375,-22.96194921875,-3.330765625,-11.3261953125,-12.23511328125,-21.03844140625,-17.6031875,-17.6827734375
-7.2519296875,-8.7247421875,-12.334453125,5.9286328125,-1.13849609375,-13.11786328125,-12.57621875,-12.78115234375,-7.54053515625,-7.87060546875,-9.03552734375,-13.65150390625,-2.70273046875,-7.56453125,-10.573828125,-4.54005078125,-3.31660546875,-17.6511328125,1.90775390625,-12.1131875,-11.41573828125,-23.1751328125,-19.215609375,-24.02094921875,-5.138765625,-11.9651953125,-7.59211328125,-15.75044140625,-15.2261875,-17.5187734375
-11.6959296875,-15.6687421875,-19.823453125,-0.1203671875,-9.10949609375,-20.94686328125,-19.98721875,-21.69615234375,-13.18853515625,-16.06560546875,-17.18852734375,-21.26750390625,-2.24973046875,-12.38253125,-18.526828125,-11.73605078125,-7.86360546875,-18.3611328125,-2.26224609375,-16.7661875,-15.23373828125,-17.8541328125,-17.427609375,-24.57894921875,-6.691765625,-11.6661953125,-2.73411328125,-9.29544140625,-11.8691875,-15.5767734375
-15.1989296875,-21.3247421875,-26.191453125,-7.0103671875,-17.30949609375,-28.60186328125,-27.01721875,-28.70915234375,-18.64953515625,-24.04560546875,-25.05352734375,-27.85050390625,-1.26573046875,-17.08753125,-25.931828125,-18.22105078125,-11.92860546875,-18.8841328125,-6.09724609375,-20.7841875,-18.29673828125,-11.3761328125,-15.227609375,-24.61194921875,-7.700765625,-10.3931953125,2.11288671875,-2.31144140625,-7.6951875,-11.6157734375
-17.5979296875,-25.0267421875,-30.715453125,-14.3553671875,-25.04149609375,-35.39086328125,-32.97421875,-32.57815234375,-23.50753515625,-31.09160546875,-31.97152734375,-32.76150390625,-1.00273046875,-21.41953125,-32.014828125,-23.50405078125,-14.97960546875,-19.5291328125,-9.22224609375,-23.6981875,-20.36973828125,-4.7311328125,-13.081609375,-24.33794921875,-8.251765625,-8.4361953125,6.36088671875,4.29655859375,-3.2771875,-6.2227734375
-19.1689296875,-26.6907421875,-32.953453125,-21.5953671875,-31.61049609375,-40.94386328125,-37.63721875,-33.09715234375,-27.52253515625,-36.75560546875,-37.67052734375,-35.84350390625,-2.39773046875,-25.27253125,-36.441828125,-27.50505078125,-16.68260546875,-20.5431328125,-11.61024609375,-25.4581875,-21.53573828125,1.2028671875,-11.474609375,-24.14594921875,-8.761765625,-6.2681953125,9.24688671875,9.56655859375,0.594812500000001,-0.6117734375
-20.5649296875,-26.8447421875,-32.920453125,-28.1713671875,-36.65149609375,-45.37986328125,-41.33021875,-31.15615234375,-30.81553515625,-41.06260546875,-42.35052734375,-37.42850390625,-5.70773046875,-28.76153125,-39.470828125,-30.52905078125,-17.06860546875,-22.0161328125,-13.60224609375,-26.4851875,-22.12673828125,5.8828671875,-10.762609375,-24.49794921875,-9.797765625,-4.3941953125,10.10788671875,12.72855859375,3.1818125,3.8162265625
-22.4819296875,-26.3777421875,-31.169453125,-33.6943671875,-40.32249609375,-49.20786328125,-44.71321875,-28.31915234375,-33.81853515625,-44.51260546875,-46.53852734375,-38.16950390625,-10.46273046875,-32.16053125,-41.851828125,-33.10405078125,-16.53260546875,-23.8561328125,-15.73624609375,-27.5181875,-22.57873828125,9.2048671875,-11.085609375,-25.81094921875,-11.849765625,-3.2291953125,8.61688671875,13.40155859375,4.0178125,5.9642265625
-25.2159296875,-26.1267421875,-28.628453125,-38.0413671875,-43.21249609375,-52.99986328125,-48.31021875,-26.11415234375,-37.01953515625,-47.79860546875,-50.73852734375,-38.72050390625,-15.66873046875,-35.67353125,-44.446828125,-35.70205078125,-15.61360546875,-25.7971328125,-18.44324609375,-29.3041875,-23.22873828125,11.4738671875,-12.346609375,-28.30094921875,-15.093765625,-2.9751953125,4.87988671875,11.67855859375,3.0198125,5.4212265625
-28.4359296875,-26.5127421875,-26.207453125,-41.3673671875,-46.01849609375,-57.02086328125,-52.05321875,-25.39515234375,-40.65753515625,-51.38760546875,-55.05952734375,-39.40250390625,-20.16873046875,-39.20053125,-47.760828125,-38.45605078125,-14.70160546875,-27.4681328125,-21.81624609375,-32.2411875,-24.13673828125,13.2268671875,-14.244609375,-31.86594921875,-19.253765625,-3.5051953125,-0.58611328125,8.09155859375,0.506812500000001,2.6162265625
-31.3809296875,-27.4147421875,-24.401453125,-44.0583671875,-49.17649609375,-61.02886328125,-55.20621875,-26.05315234375,-44.56553515625,-55.22960546875,-59.09652734375,-40.06550390625,-23.10573046875,-42.29753125,-51.660828125,-41.07405078125,-13.87560546875,-28.5321328125,-25.58024609375,-36.1911875,-25.05473828125,14.9378671875,-16.426609375,-36.09294921875,-23.679765625,-4.3961953125,-7.02411328125,3.43255859375,-2.9191875,-1.3797734375
-33.3299296875,-28.2947421875,-23.137453125,-46.5723671875,-52.62849609375,-64.35986328125,-56.76521875,-27.17715234375,-48.24753515625,-58.79360546875,-62.14952734375,-40.22950390625,-24.28773046875,-44.41053125,-55.461828125,-43.00305078125,-12.95160546875,-28.8701328125,-29.26424609375,-40.5231875,-25.57073828125,16.7388671875,-18.675609375,-40.42294921875,-27.628765625,-5.1111953125,-13.69311328125,-1.50444140625,-6.5761875,-5.3177734375
-33.9469296875,-28.4807421875,-21.891453125,-49.1903671875,-55.83749609375,-66.23186328125,-56.01921875,-27.51615234375,-51.12453515625,-61.32760546875,-63.58452734375,-39.35950390625,-24.24473046875,-45.18553125,-58.253828125,-43.70505078125,-11.65460546875,-28.6801328125,-32.41824609375,-44.3501875,-25.31473828125,18.3248671875,-21.001609375,-44.35094921875,-30.551765625,-5.2481953125,-20.05111328125,-6.13444140625,-9.8931875,-8.2537734375
-33.2379296875,-27.4367421875,-19.997453125,-51.7843671875,-58.02549609375,-66.08386328125,-52.86321875,-26.01915234375,-52.79353515625,-62.13960546875,-63.05252734375,-37.09050390625,-23.87973046875,-44.61553125,-59.263828125,-42.83905078125,-9.78660546875,-28.3841328125,-34.72224609375,-46.8331875,-24.10373828125,19.1208671875,-23.531609375,-47.53394921875,-32.216765625,-4.6651953125,-25.78811328125,-10.14644140625,-12.5241875,-9.8087734375
-31.3169296875,-24.9427421875,-17.002453125,-53.8343671875,-58.49349609375,-63.76586328125,-47.74021875,-22.23815234375,-53.14853515625,-60.80260546875,-60.51652734375,-33.32450390625,-23.94173046875,-42.99153125,-58.093828125,-40.30905078125,-7.30260546875,-28.4241328125,-36.00824609375,-47.4331875,-22.01273828125,18.5378671875,-26.320609375,-49.79594921875,-32.654765625,-3.4911953125,-30.75611328125,-13.51244140625,-14.3941875,-10.1817734375
-28.2879296875,-21.1397421875,-12.938453125,-54.7133671875,-56.85649609375,-59.51686328125,-41.39121875,-16.49115234375,-52.29953515625,-57.26860546875,-56.17252734375,-28.26150390625,-24.66273046875,-40.73353125,-54.795828125,-36.27105078125,-4.28760546875,-29.0541328125,-36.23324609375,-46.0321875,-19.36373828125,16.1728671875,-29.238609375,-51.08994921875,-32.062765625,-2.0871953125,-34.88911328125,-16.45444140625,-15.7261875,-9.9927734375
-24.2789296875,-16.4647421875,-8.333453125,-54.0223671875,-53.12249609375,-53.80486328125,-34.58021875,-9.71615234375,-50.37253515625,-51.87960546875,-50.36652734375,-22.35650390625,-25.72073046875,-38.18953125,-49.779828125,-31.08405078125,-0.90760546875,-30.2111328125,-35.44824609375,-42.8911875,-16.64373828125,11.9058671875,-31.967609375,-51.44194921875,-30.711765625,-0.9531953125,-38.14911328125,-19.36544140625,-16.9671875,-10.0347734375
-19.5289296875,-11.4797421875,-3.922453125,-51.7503671875,-47.62649609375,-47.14586328125,-27.89621875,-3.04915234375,-47.37753515625,-45.24260546875,-43.51252734375,-16.17850390625,-26.46773046875,-35.47853125,-43.606828125,-25.21205078125,2.62639453125,-31.5001328125,-33.74824609375,-38.4881875,-14.32073828125,5.9688671875,-34.076609375,-50.88694921875,-28.863765625,-0.5801953125,-40.46111328125,-22.60844140625,-18.5741875,-10.9537734375
