"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-6.03714453125,-3.65693359375,-3.6327578125,5.98055859375,1.96534765625,4.3443125,4.7666484375,1.6225859375,-0.21602734375,6.08094140625,4.6752890625,1.2817265625,6.98664453125,7.94524609375,-1.09184765625,3.116765625,6.01646875,2.4690390625,5.92144140625,5.3313046875,5.5068984375,6.02216015625,4.74136328125,1.1241171875,5.60659765625,10.41658984375,5.95962890625,8.43826953125,4.79026171875,5.32010546875
-8.47614453125,-7.34193359375,-6.8107578125,3.50355859375,-0.30065234375,0.0503125000000003,2.1686484375,-1.0054140625,-3.99102734375,1.15594140625,1.0162890625,-2.0502734375,4.22964453125,3.31424609375,-5.08084765625,-0.677234375,3.05246875,0.1910390625,1.51944140625,1.0323046875,2.2928984375,4.52716015625,0.04736328125,-2.7718828125,1.69859765625,6.52758984375,1.63062890625,6.05926953125,1.34726171875,2.78110546875
-9.99214453125,-9.72693359375,-9.0807578125,1.34955859375,-2.53965234375,-3.0626875,0.1566484375,-3.0174140625,-6.73302734375,-2.37905859375,-1.6027109375,-4.5072734375,2.23864453125,0.12324609375,-7.73184765625,-3.435234375,0.44546875,-1.2429609375,-1.57355859375,-2.2246953125,-0.5051015625,4.28116015625,-2.70963671875,-5.3418828125,-1.37940234375,3.13258984375,-1.44537109375,4.53026953125,-1.27173828125,0.59410546875
-10.43514453125,-10.65193359375,-10.2237578125,-0.29944140625,-4.44565234375,-4.8566875,-1.1523515625,-4.2334140625,-8.18502734375,-4.37805859375,-3.1117109375,-5.9772734375,1.09664453125,-1.41975390625,-8.95884765625,-4.991234375,-1.64653125,-1.6799609375,-3.18755859375,-4.2176953125,-2.6691015625,5.24516015625,-3.43863671875,-6.4518828125,-3.41540234375,0.58358984375,-3.16537109375,3.89026953125,-2.94973828125,-1.07989453125
-9.94314453125,-10.35393359375,-10.3047578125,-1.36144140625,-5.71665234375,-5.5726875,-1.8723515625,-4.6844140625,-8.43102734375,-5.11705859375,-3.7807109375,-6.6402734375,0.61464453125,-1.58675390625,-9.12884765625,-5.512234375,-3.14553125,-1.2819609375,-3.59355859375,-5.0526953125,-4.1031015625,6.86016015625,-2.72163671875,-6.4408828125,-4.45640234375,-0.90841015625,-3.84937109375,3.86026953125,-3.86973828125,-2.22889453125
-8.89014453125,-9.34393359375,-9.6757578125,-1.90744140625,-6.26265234375,-5.6976875,-2.3173515625,-4.6304140625,-7.90602734375,-5.13505859375,-4.0677109375,-6.8812734375,0.40364453125,-1.02675390625,-8.87084765625,-5.435234375,-4.10253125,-0.5009609375,-3.38855859375,-5.1276953125,-4.9161015625,8.27016015625,-1.54563671875,-5.9948828125,-4.81540234375,-1.45041015625,-4.08037109375,3.97026953125,-4.44573828125,-3.05789453125
-7.69314453125,-8.17193359375,-8.7967578125,-2.09444140625,-6.23765234375,-5.7146875,-2.8013515625,-4.4024140625,-7.18202734375,-4.98105859375,-4.3607109375,-7.0682734375,0.0846445312499997,-0.47375390625,-8.76484765625,-5.257234375,-4.63353125,0.1290390625,-3.21955859375,-4.9456953125,-5.3461015625,8.72116015625,-0.86163671875,-5.8128828125,-4.90040234375,-1.44641015625,-4.40137109375,3.82126953125,-5.06273828125,-3.86389453125
-6.59314453125,-7.18493359375,-7.9877578125,-2.03044140625,-5.89565234375,-5.8696875,-3.4043515625,-4.1954140625,-6.68002734375,-4.96905859375,-4.7667109375,-7.3472734375,-0.46835546875,-0.41975390625,-9.06284765625,-5.267234375,-4.81753125,0.2930390625,-3.46355859375,-4.8496953125,-5.5681015625,7.93216015625,-1.16363671875,-6.2288828125,-4.96040234375,-1.35041015625,-5.00737109375,3.35126953125,-5.77273828125,-4.75489453125
-5.56514453125,-6.41893359375,-7.2787578125,-1.72144140625,-5.44165234375,-6.0846875,-3.9043515625,-3.9654140625,-6.48702734375,-5.09205859375,-5.0787109375,-7.5772734375,-1.05035546875,-0.91375390625,-9.61184765625,-5.413234375,-4.61853125,0.0530390625000003,-4.07055859375,-4.8776953125,-5.5351015625,6.20816015625,-2.30863671875,-7.0278828125,-4.91740234375,-1.37441015625,-5.63437109375,2.89426953125,-6.19073828125,-5.45989453125
-4.44714453125,-5.69593359375,-6.5017578125,-1.15244140625,-4.99765234375,-6.0936875,-3.9653515625,-3.5414140625,-6.41502734375,-5.13305859375,-4.9667109375,-7.4892734375,-1.27535546875,-1.63775390625,-10.02784765625,-5.390234375,-3.93853125,-0.2489609375,-4.65855859375,-4.8056953125,-5.0201015625,4.23216015625,-3.67063671875,-7.5838828125,-4.44440234375,-1.36141015625,-5.72837109375,2.97326953125,-5.70373828125,-5.40289453125
-3.21714453125,-4.86093359375,-5.5447578125,-0.42244140625,-4.65965234375,-5.6906875,-3.4083515625,-2.8314140625,-6.21702734375,-4.90605859375,-4.2607109375,-6.9272734375,-0.87035546875,-2.17075390625,-9.98784765625,-4.920234375,-2.76153125,-0.2729609375,-4.81855859375,-4.3876953125,-3.8421015625,2.68816015625,-4.54863671875,-7.2718828125,-3.25840234375,-0.94441015625,-4.83937109375,3.91326953125,-3.92373828125,-4.08589453125
