"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-97.498671875,-99.10446484375,-101.73858203125,-115.53163671875,-114.72021484375,-127.1995859375,-115.00463671875,-127.31215234375,-114.9513671875,-111.84229296875,-104.8305,-115.8824375,-118.09623828125,-107.69166015625,-93.89335546875,-110.69256640625,-112.986546875,-112.28480859375,-111.40871484375,-113.66836328125,-103.775546875,-113.02326171875,-110.3333828125,-94.60295703125,-111.22596484375,-94.66161328125,-115.14661328125,-116.98676171875,-104.91364453125,-101.59618359375
-88.517671875,-89.71646484375,-89.54258203125,-102.70363671875,-100.20021484375,-105.2785859375,-101.16063671875,-112.54615234375,-107.3323671875,-97.75129296875,-94.8665,-107.3984375,-107.76323828125,-100.37066015625,-81.13235546875,-101.53856640625,-103.026546875,-103.30180859375,-99.22171484375,-101.67936328125,-95.279546875,-102.56126171875,-100.5563828125,-86.13995703125,-100.70696484375,-83.38161328125,-102.36061328125,-101.75876171875,-90.10264453125,-86.61318359375
-80.636671875,-82.66646484375,-82.07858203125,-92.45063671875,-90.46121484375,-91.0795859375,-91.79763671875,-102.16415234375,-99.6443671875,-88.09729296875,-86.9085,-101.4104375,-98.07423828125,-94.14666015625,-72.06535546875,-94.36856640625,-95.842546875,-95.45080859375,-90.17671484375,-92.53236328125,-88.658546875,-93.18926171875,-92.0943828125,-79.24395703125,-91.89496484375,-76.49661328125,-91.44661328125,-88.20776171875,-76.39664453125,-73.89218359375
-74.822671875,-78.77146484375,-79.77158203125,-85.50863671875,-86.24421484375,-85.1615859375,-87.60163671875,-96.71015234375,-93.1503671875,-83.63929296875,-81.9175,-98.2774375,-90.06023828125,-89.95466015625,-67.53035546875,-89.98656640625,-92.435546875,-89.76180859375,-85.05471484375,-87.05836328125,-84.615546875,-86.04626171875,-86.0253828125,-74.75595703125,-85.65896484375,-74.28061328125,-83.56861328125,-77.81076171875,-65.25764453125,-64.64118359375
-71.961671875,-78.21146484375,-81.43858203125,-82.06463671875,-86.92121484375,-85.9485859375,-87.99763671875,-95.55315234375,-89.3213671875,-83.90929296875,-80.3725,-97.5844375,-84.74023828125,-88.47666015625,-67.35135546875,-88.66356640625,-93.100546875,-87.05380859375,-83.82171484375,-85.35636328125,-83.377546875,-82.14626171875,-83.2053828125,-73.19895703125,-82.49596484375,-75.63161328125,-79.51861328125,-71.85976171875,-58.20964453125,-59.61418359375
-72.365671875,-80.35646484375,-84.83558203125,-81.72163671875,-90.78721484375,-90.7465859375,-91.42163671875,-97.37215234375,-88.8373671875,-87.43029296875,-81.9165,-98.3364375,-82.50523828125,-89.62666015625,-70.39935546875,-89.89356640625,-97.193546875,-87.39380859375,-85.65871484375,-86.73636328125,-84.533546875,-81.77626171875,-83.7413828125,-74.47495703125,-82.24096484375,-78.68861328125,-79.23361328125,-70.73776171875,-56.05064453125,-58.70218359375
-75.479671875,-83.96046484375,-87.68158203125,-83.63363671875,-95.70021484375,-96.7655859375,-95.86063671875,-100.73115234375,-91.1103671875,-92.21529296875,-85.3645,-99.3894375,-82.88423828125,-92.47766015625,-74.99335546875,-92.51656640625,-103.249546875,-89.98180859375,-89.22871484375,-89.95936328125,-87.153546875,-84.26826171875,-86.8493828125,-77.84695703125,-84.11896484375,-81.68561328125,-81.71361328125,-73.59876171875,-58.39964453125,-60.93718359375
-79.996671875,-87.64346484375,-88.64358203125,-86.77263671875,-99.77921484375,-101.7785859375,-99.46063671875,-104.47215234375,-94.6333671875,-96.38129296875,-89.1495,-99.8954375,-84.80323828125,-95.68166015625,-79.45335546875,-95.22456640625,-109.423546875,-93.51780859375,-93.08671484375,-93.67936328125,-90.150546875,-88.29026171875,-91.1733828125,-82.20095703125,-87.07696484375,-83.60761328125,-85.41761328125,-78.65376171875,-63.81664453125,-64.92118359375
-84.350671875,-90.37946484375,-87.74658203125,-90.20563671875,-101.95621484375,-104.5255859375,-101.08463671875,-107.86215234375,-97.8583671875,-98.72429296875,-91.9415,-99.5504375,-87.11323828125,-98.08766015625,-82.61935546875,-97.12156640625,-114.084546875,-96.76980859375,-96.08071484375,-96.87836328125,-92.683546875,-92.42226171875,-95.3263828125,-86.43295703125,-90.17996484375,-84.37761328125,-88.87861328125,-83.86976171875,-70.36664453125,-69.37418359375
-87.324671875,-91.75146484375,-86.03958203125,-93.29163671875,-102.17521484375,-104.9075859375,-100.63863671875,-110.56515234375,-99.9623671875,-99.00729296875,-93.1265,-98.6154375,-89.02523828125,-99.15966015625,-84.13135546875,-98.01456640625,-116.329546875,-98.97980859375,-97.62071484375,-99.08136328125,-94.371546875,-95.64526171875,-98.3193828125,-89.76095703125,-92.83596484375,-84.57461328125,-91.18861328125,-87.69676171875,-76.29664453125,-73.50318359375
-88.430671875,-91.88846484375,-84.76258203125,-95.65563671875,-101.11421484375,-103.7545859375,-98.93663671875,-112.48415234375,-101.0113671875,-97.77829296875,-92.8715,-97.7004375,-90.25023828125,-98.99766015625,-84.33435546875,-98.28856640625,-116.160546875,-99.94380859375,-97.69571484375,-100.29536328125,-95.260546875,-97.53926171875,-99.7253828125,-91.82995703125,-94.80296484375,-84.90161328125,-92.15561328125,-89.46476171875,-80.49764453125,-77.03418359375
-87.885671875,-91.17846484375,-84.52958203125,-97.04063671875,-99.56421484375,-102.1135859375,-97.09963671875,-113.55415234375,-101.5083671875,-95.82729296875,-91.7635,-97.3984375,-90.87323828125,-98.02766015625,-83.85835546875,-98.44956640625,-114.212546875,-99.81380859375,-96.62871484375,-100.74236328125,-95.589546875,-98.16026171875,-99.5883828125,-92.60995703125,-96.04296484375,-85.69561328125,-92.09961328125,-89.34676171875,-82.60464453125,-79.98018359375
-86.270671875,-89.93246484375,-84.98158203125,-97.20663671875,-97.87421484375,-100.5545859375,-95.84563671875,-113.62415234375,-101.7253671875,-93.65429296875,-90.2835,-97.9364375,-91.10123828125,-96.58866015625,-83.13135546875,-98.67056640625,-111.254546875,-98.78980859375,-94.76371484375,-100.56036328125,-95.526546875,-97.73026171875,-98.1743828125,-92.20095703125,-96.52696484375,-86.70461328125,-91.48361328125,-87.96876171875,-82.78664453125,-82.34018359375
-84.117671875,-88.19646484375,-85.06458203125,-96.01563671875,-95.85021484375,-99.0115859375,-95.12563671875,-112.52615234375,-101.3393671875,-91.26429296875,-88.4785,-99.0334375,-91.06523828125,-94.66866015625,-82.13135546875,-98.63256640625,-107.841546875,-96.90580859375,-92.29871484375,-99.70436328125,-95.040546875,-96.35726171875,-95.7363828125,-90.69195703125,-96.12996484375,-87.22561328125,-90.59361328125,-85.94576171875,-81.46264453125,-83.90818359375
-81.639671875,-85.81646484375,-83.70058203125,-93.57263671875,-93.11421484375,-97.0915859375,-94.28263671875,-110.22315234375,-99.6493671875,-88.33529296875,-86.0445,-100.0014375,-90.74723828125,-91.99666015625,-80.51435546875,-97.78356640625,-104.254546875,-94.04980859375,-89.32571484375,-98.07536328125,-93.976546875,-93.96126171875,-92.4533828125,-88.21295703125,-94.70196484375,-86.49561328125,-89.46861328125,-83.61476171875,-79.12664453125,-84.33618359375
-78.740671875,-82.70946484375,-80.46558203125,-90.25563671875,-89.56621484375,-94.4895859375,-92.56663671875,-106.90215234375,-96.1913671875,-84.60029296875,-82.7225,-100.0114375,-90.03423828125,-88.41466015625,-77.99135546875,-95.82856640625,-100.638546875,-90.21580859375,-85.97571484375,-95.75536328125,-92.284546875,-90.45226171875,-88.5633828125,-85.09195703125,-92.28896484375,-84.14561328125,-88.07261328125,-81.07476171875,-76.31464453125,-83.40618359375
-75.308671875,-79.14246484375,-75.89158203125,-86.61763671875,-85.65921484375,-91.2925859375,-89.68263671875,-103.00715234375,-91.2843671875,-80.21329296875,-78.7025,-98.4304375,-88.84823828125,-84.23266015625,-74.70735546875,-93.05356640625,-97.144546875,-85.77280859375,-82.55271484375,-93.14936328125,-90.189546875,-86.02126171875,-84.5303828125,-81.94595703125,-89.30996484375,-80.46561328125,-86.52361328125,-78.39876171875,-73.60764453125,-81.30818359375
-71.632671875,-75.78346484375,-71.25958203125,-83.31763671875,-82.31121484375,-88.1345859375,-86.08163671875,-99.22015234375,-86.0483671875,-75.89529296875,-74.7225,-95.1334375,-87.27823828125,-80.27566015625,-71.37935546875,-90.25956640625,-94.005546875,-81.50480859375,-79.57771484375,-90.90636328125,-88.163546875,-81.26326171875,-81.0383828125,-79.57595703125,-86.50996484375,-76.30761328125,-85.18261328125,-75.80676171875,-71.56364453125,-78.69618359375
-68.566671875,-73.44646484375,-68.00358203125,-81.06263671875,-80.51021484375,-86.0375859375,-82.81163671875,-96.34115234375,-81.9003671875,-72.70029296875,-71.7885,-90.6774375,-85.60923828125,-77.52766015625,-69.06235546875,-88.34256640625,-91.501546875,-78.33180859375,-77.67571484375,-89.63836328125,-86.705546875,-77.01526171875,-78.7493828125,-78.65795703125,-84.65296484375,-72.70561328125,-84.49861328125,-73.62176171875,-70.53064453125,-76.42618359375
-67.190671875,-72.68546484375,-67.03658203125,-80.41763671875,-80.74721484375,-85.8295859375,-80.94263671875,-95.00515234375,-79.8513671875,-71.46529296875,-70.6835,-86.1914375,-84.23823828125,-76.61966015625,-68.61335546875,-87.84056640625,-89.832546875,-76.85480859375,-77.27571484375,-89.60136328125,-86.090546875,-73.97826171875,-77.9723828125,-79.40095703125,-84.13696484375,-70.41461328125,-84.71361328125,-72.07276171875,-70.45964453125,-75.12718359375
-68.126671875,-73.47846484375,-68.31858203125,-81.46263671875,-82.66821484375,-87.5195859375,-80.94863671875,-95.38715234375,-80.0963671875,-72.29929296875,-71.5535,-82.9584375,-83.46123828125,-77.48266015625,-70.16635546875,-88.70056640625,-88.968546875,-77.03180859375,-78.29971484375,-90.52536328125,-86.255546875,-72.39326171875,-78.4543828125,-81.37195703125,-84.76496484375,-69.64461328125,-85.63161328125,-71.11276171875,-70.86064453125,-74.86318359375
-70.977671875,-75.20446484375,-70.84258203125,-83.55263671875,-85.22121484375,-90.2185859375,-82.47063671875,-97.13515234375,-82.0803671875,-74.49929296875,-73.7955,-81.8654375,-83.25423828125,-79.37566015625,-72.98935546875,-90.32556640625,-88.622546875,-78.17280859375,-80.08871484375,-91.71436328125,-86.833546875,-71.93926171875,-79.4593828125,-83.59395703125,-85.80196484375,-70.08561328125,-86.61361328125,-70.39276171875,-70.98664453125,-75.09218359375
-74.345671875,-76.91846484375,-73.07758203125,-85.45763671875,-87.21421484375,-92.6705859375,-84.57563671875,-99.53015234375,-84.8723671875,-76.89729296875,-76.2915,-82.9964375,-83.19223828125,-81.24866015625,-75.80435546875,-91.82156640625,-88.373546875,-79.26980859375,-81.67471484375,-92.35536328125,-87.300546875,-71.90926171875,-80.0843828125,-84.89595703125,-86.28396484375,-71.12961328125,-86.78661328125,-69.40176171875,-70.16864453125,-74.93618359375
-76.488671875,-77.78346484375,-73.66858203125,-85.89163671875,-87.85721484375,-93.8525859375,-86.26463671875,-101.68315234375,-87.5053671875,-78.38729296875,-77.8775,-85.5904375,-82.66223828125,-82.22866015625,-77.37235546875,-92.35556640625,-87.817546875,-79.46780859375,-82.20771484375,-91.87936328125,-87.148546875,-71.55426171875,-79.6573828125,-84.34995703125,-85.43296484375,-72.13661328125,-85.40361328125,-67.70076171875,-68.12064453125,-73.60718359375
-76.234671875,-77.43746484375,-72.03358203125,-84.16563671875,-86.99821484375,-93.2575859375,-86.87963671875,-102.66715234375,-89.1713671875,-78.34629296875,-77.8325,-88.3804375,-81.27023828125,-81.96766015625,-77.02335546875,-91.48156640625,-86.652546875,-78.45380859375,-81.31371484375,-90.20036328125,-86.080546875,-70.44326171875,-78.0323828125,-81.63595703125,-83.01396484375,-72.64961328125,-82.18561328125,-65.13076171875,-65.08064453125,-70.80818359375
-73.649671875,-76.11346484375,-68.54858203125,-80.58263671875,-85.04921484375,-90.9595859375,-86.27063671875,-101.68715234375,-89.3233671875,-76.85129296875,-76.1565,-90.1184375,-79.14623828125,-80.71366015625,-74.91835546875,-89.33256640625,-84.720546875,-76.55980859375,-79.26171484375,-87.75736328125,-84.156546875,-68.64326171875,-75.6413828125,-77.20195703125,-79.46396484375,-72.50761328125,-77.54161328125,-61.93376171875,-61.75864453125,-66.91418359375
-70.044671875,-74.45246484375,-64.30258203125,-76.31863671875,-82.75921484375,-87.5825859375,-84.70263671875,-98.36415234375,-87.8083671875,-74.61929296875,-73.5045,-90.0304375,-76.87823828125,-79.08066015625,-71.95135546875,-86.54956640625,-82.107546875,-74.54380859375,-76.86271484375,-85.34036328125,-81.808546875,-66.64126171875,-73.2683828125,-72.15695703125,-75.73596484375,-71.86961328125,-72.50561328125,-58.69876171875,-59.10664453125,-62.86018359375
-67.293671875,-73.14846484375,-60.64558203125,-72.78463671875,-80.88421484375,-84.0675859375,-82.58463671875,-93.02615234375,-84.9853671875,-72.66129296875,-70.8125,-88.0354375,-75.11223828125,-77.71366015625,-69.32535546875,-83.97656640625,-79.214546875,-73.17480859375,-75.10971484375,-83.75636328125,-79.677546875,-65.03726171875,-71.6763828125,-67.88795703125,-72.90096484375,-71.12761328125,-68.39161328125,-56.13076171875,-57.98664453125,-59.76218359375
-66.857671875,-72.64746484375,-58.79458203125,-70.88963671875,-79.86421484375,-81.2025859375,-80.23563671875,-86.77215234375,-81.6563671875,-71.79529296875,-68.8755,-84.6844375,-74.15223828125,-77.01566015625,-68.00135546875,-82.30556640625,-76.684546875,-72.87180859375,-74.68771484375,-83.47536328125,-78.330546875,-64.22626171875,-71.2903828125,-65.57195703125,-71.72296484375,-70.75061328125,-66.29361328125,-54.73876171875,-58.84364453125,-58.48318359375
-69.109671875,-73.04646484375,-59.48958203125,-70.67363671875,-79.68021484375,-79.3315859375,-77.88263671875,-81.14415234375,-78.7753671875,-72.32329296875,-68.1085,-80.9274375,-73.87323828125,-77.08266015625,-68.33035546875,-81.85856640625,-75.094546875,-73.58780859375,-75.67371484375,-84.47736328125,-78.028546875,-64.26526171875,-72.0973828125,-65.78895703125,-72.40296484375,-71.11161328125,-66.69761328125,-54.66076171875,-61.55864453125,-59.33518359375
-73.320671875,-74.18146484375,-62.72958203125,-71.52463671875,-80.02521484375,-78.4955859375,-75.86563671875,-77.49315234375,-77.0633671875,-74.03329296875,-68.5735,-77.7754375,-73.96523828125,-77.77766015625,-70.07835546875,-82.58656640625,-74.603546875,-74.95780859375,-77.64371484375,-86.36436328125,-78.663546875,-64.96926171875,-73.7963828125,-68.42595703125,-74.61196484375,-72.32661328125,-69.40161328125,-55.71876171875,-65.54464453125,-62.05818359375
-78.199671875,-75.76946484375,-67.66958203125,-72.69363671875,-80.59121484375,-78.7335859375,-74.73063671875,-76.32415234375,-76.7403671875,-76.39329296875,-70.1045,-75.9564375,-74.24723828125,-78.87966015625,-72.68835546875,-84.21556640625,-74.801546875,-76.57080859375,-80.03771484375,-88.63236328125,-79.890546875,-66.11826171875,-76.0243828125,-72.84195703125,-77.71396484375,-74.16961328125,-73.71561328125,-57.60676171875,-69.99364453125,-66.00118359375
-82.539671875,-77.49346484375,-72.86358203125,-73.70063671875,-81.22221484375,-80.0885859375,-74.99063671875,-77.03715234375,-77.5393671875,-78.77029296875,-72.3755,-75.6634375,-74.77923828125,-80.18166015625,-75.54035546875,-86.36756640625,-74.917546875,-78.16980859375,-82.44771484375,-90.86836328125,-81.305546875,-67.58826171875,-78.5103828125,-78.15295703125,-81.03896484375,-76.09261328125,-78.76361328125,-60.04076171875,-74.12564453125,-70.39018359375
-85.621671875,-79.04746484375,-76.81858203125,-74.42163671875,-81.88221484375,-82.3855859375,-76.70363671875,-78.31615234375,-78.9623671875,-80.60629296875,-74.8755,-76.5144375,-75.69423828125,-81.53566015625,-78.07935546875,-88.60556640625,-74.280546875,-79.68380859375,-84.66971484375,-92.80336328125,-82.571546875,-69.32026171875,-81.0793828125,-83.48095703125,-84.05596484375,-77.38261328125,-83.73661328125,-62.77676171875,-77.33764453125,-74.54418359375
-87.302671875,-80.16946484375,-78.60958203125,-74.95263671875,-82.60221484375,-85.1635859375,-79.25463671875,-78.96115234375,-80.5953671875,-81.58429296875,-76.9215,-77.7184375,-76.93623828125,-82.83266015625,-79.89135546875,-90.40156640625,-72.701546875,-81.12180859375,-86.62071484375,-94.23936328125,-83.448546875,-71.19726171875,-83.5613828125,-88.11295703125,-86.41796484375,-77.43761328125,-88.02461328125,-65.56376171875,-79.28564453125,-77.99418359375
-87.875671875,-80.69546484375,-78.15658203125,-75.38263671875,-83.41421484375,-87.8115859375,-81.52863671875,-78.56115234375,-82.2143671875,-81.68629296875,-77.7965,-78.3924375,-78.15423828125,-83.96066015625,-80.76235546875,-91.17356640625,-70.538546875,-82.43880859375,-88.22671484375,-94.99536328125,-83.768546875,-72.96226171875,-85.7113828125,-91.56095703125,-87.93296484375,-76.04061328125,-91.26661328125,-68.12476171875,-79.91664453125,-80.52318359375
-87.845671875,-80.58746484375,-76.05058203125,-75.61963671875,-84.21021484375,-89.6685859375,-82.34163671875,-77.51915234375,-83.6483671875,-81.04829296875,-76.9775,-77.8744375,-78.84623828125,-84.75166015625,-80.67735546875,-90.45856640625,-68.427546875,-83.47980859375,-89.33871484375,-94.91436328125,-83.443546875,-74.27826171875,-87.2283828125,-93.54695703125,-88.54196484375,-73.49161328125,-93.33461328125,-70.21076171875,-79.43964453125,-82.13918359375
-87.672671875,-79.89746484375,-73.07958203125,-75.35163671875,-84.60821484375,-90.0515859375,-80.95063671875,-76.50915234375,-84.5783671875,-79.76429296875,-74.3705,-75.9414375,-78.62523828125,-84.96466015625,-79.73435546875,-88.15856640625,-66.906546875,-84.01080859375,-89.69971484375,-93.91636328125,-82.488546875,-74.87526171875,-87.8323828125,-93.96295703125,-88.29196484375,-70.51061328125,-94.24161328125,-71.68076171875,-78.23764453125,-83.00018359375
-87.565671875,-78.69646484375,-69.85858203125,-74.23063671875,-84.03821484375,-88.4705859375,-77.41763671875,-75.86315234375,-84.5063671875,-77.81229296875,-70.4045,-72.8744375,-77.39523828125,-84.33066015625,-78.08435546875,-84.69956640625,-66.182546875,-83.80880859375,-89.05371484375,-92.08936328125,-81.028546875,-74.66526171875,-87.3743828125,-92.84295703125,-87.31496484375,-67.94561328125,-94.05861328125,-72.51776171875,-76.73764453125,-83.32018359375
-87.367671875,-77.02546484375,-66.74258203125,-72.14663671875,-82.09421484375,-84.9915859375,-72.65263671875,-75.34515234375,-83.0033671875,-75.17729296875,-65.9295,-69.3554375,-75.30723828125,-82.67366015625,-75.91135546875,-80.95856640625,-66.119546875,-82.76680859375,-87.35671484375,-89.74336328125,-79.251546875,-73.74326171875,-85.9113828125,-90.37695703125,-85.76796484375,-66.43561328125,-92.86461328125,-72.79776171875,-75.31064453125,-83.26418359375
