"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-5.84962890625,-6.23001171875,-6.65471875,-10.0636953125,-7.1961484375,-5.55645703125,-9.916921875,-4.86246875,-6.3988515625,-9.5753125,-6.49320703125,-8.30505078125,-3.53157421875,-6.34749609375,-4.55216796875,-11.1672109375,-10.5985,-5.20174609375,-0.7489921875,-3.08458984375,-5.87741796875,2.24041015625,0.86673828125,2.19048046875,-0.21963671875,-0.11522265625,3.60309765625,-1.46536328125,2.072375,-1.82566015625
-4.85162890625,-5.65001171875,-5.39771875,-9.0026953125,-7.0881484375,-3.63245703125,-8.924921875,-3.45146875,-6.1178515625,-10.2003125,-5.77320703125,-7.05805078125,-7.50257421875,-6.12149609375,-5.25416796875,-9.3592109375,-7.9895,-3.62274609375,-1.5209921875,-3.78758984375,-4.21541796875,2.13841015625,0.20473828125,1.90748046875,-1.08863671875,0.20277734375,3.40409765625,-1.69736328125,1.438375,-1.40866015625
-4.41462890625,-5.36001171875,-4.86671875,-9.0546953125,-7.0261484375,-2.79945703125,-8.295921875,-3.14546875,-6.2948515625,-10.8983125,-4.99320703125,-6.11405078125,-11.71357421875,-6.24549609375,-5.97416796875,-8.1372109375,-6.8225,-2.61974609375,-2.1439921875,-4.57458984375,-3.61141796875,1.52741015625,-0.23926171875,1.28448046875,-2.10963671875,-0.41722265625,2.72709765625,-2.80036328125,0.158375,-2.05466015625
-4.43762890625,-5.17201171875,-4.75671875,-10.1076953125,-6.9281484375,-2.91745703125,-7.757921875,-3.52646875,-6.8288515625,-11.5113125,-4.07720703125,-5.26605078125,-15.62057421875,-6.61449609375,-6.60616796875,-7.3182109375,-6.6865,-2.28974609375,-2.5549921875,-5.28858984375,-3.80641796875,0.37641015625,-0.45526171875,0.40948046875,-3.10263671875,-1.62322265625,1.60709765625,-4.66836328125,-1.657625,-3.59366015625
-4.65262890625,-4.78201171875,-4.52871875,-11.6996953125,-6.7231484375,-3.50645703125,-6.972921875,-3.81846875,-7.4568515625,-11.8443125,-3.00820703125,-4.20105078125,-18.37657421875,-7.02449609375,-7.06216796875,-6.5432109375,-6.6075,-2.57874609375,-2.7329921875,-5.71558984375,-4.14841796875,-1.15258984375,-0.48326171875,-0.49551953125,-3.76163671875,-2.67222265625,0.26309765625,-6.84736328125,-3.597625,-5.44766015625
-4.77562890625,-3.92601171875,-3.75171875,-13.2596953125,-6.3841484375,-4.01645703125,-5.776921875,-3.37946875,-7.8678515625,-11.7503125,-1.85720703125,-2.69005078125,-19.18657421875,-7.28949609375,-7.31516796875,-5.5082109375,-5.6285,-3.27174609375,-2.6949921875,-5.67058984375,-3.94941796875,-2.74358984375,-0.35526171875,-1.15851953125,-3.77863671875,-2.84622265625,-0.98690234375,-8.74036328125,-5.115625,-6.93366015625
-4.57862890625,-2.47501171875,-2.29771875,-14.2826953125,-5.8921484375,-4.00945703125,-4.224921875,-1.97646875,-7.7958515625,-11.1723125,-0.70920703125,-0.66205078125,-17.61957421875,-7.30249609375,-7.37416796875,-4.0712109375,-3.3155,-4.03874609375,-2.4779921875,-5.05458984375,-2.76741796875,-4.00658984375,-0.0582617187499999,-1.33651953125,-2.94663671875,-1.79922265625,-1.81190234375,-9.83136328125,-5.752625,-7.51666015625
-3.90362890625,-0.45801171875,-0.32471875,-14.4316953125,-5.2001484375,-3.23145703125,-2.454921875,0.24353125,-7.0838515625,-10.1253125,0.42479296875,1.82394921875,-13.81157421875,-7.04549609375,-7.23116796875,-2.2392109375,0.1055,-4.54674609375,-2.1329921875,-3.86958984375,-0.52941796875,-4.58958984375,0.43873828125,-0.88551953125,-1.23263671875,0.36077734375,-1.95590234375,-9.83836328125,-5.295625,-6.93666015625
-2.69562890625,1.93498828125,1.84728125,-13.6156953125,-4.2681484375,-1.65745703125,-0.577921875,2.89753125,-5.7688515625,-8.7143125,1.59179296875,4.61494921875,-8.52657421875,-6.59749609375,-6.85416796875,-0.1372109375,3.9495,-4.62274609375,-1.7389921875,-2.24458984375,2.48458203125,-4.30958984375,1.10273828125,0.15148046875,1.18636328125,3.18777734375,-1.32590234375,-8.79536328125,-3.847625,-5.23266015625
-1.05962890625,4.34998828125,3.83828125,-12.0416953125,-3.1451484375,0.47454296875,1.299078125,5.49453125,-4.1398515625,-7.1413125,2.78379296875,7.44494921875,-3.03357421875,-6.13249609375,-6.25716796875,1.9927890625,7.4115,-4.33474609375,-1.4219921875,-0.45458984375,5.71858203125,-3.27658984375,1.77273828125,1.49248046875,3.90236328125,6.07177734375,-0.0839023437499999,-7.06136328125,-1.803625,-2.74566015625
0.70237109375,6.32098828125,5.30228125,-10.1676953125,-2.0201484375,2.69754296875,2.997078125,7.52553125,-2.6688515625,-5.6823125,3.85479296875,9.90594921875,1.24542578125,-5.86049609375,-5.53516796875,3.8017890625,9.8485,-3.91774609375,-1.3339921875,1.10441015625,8.47258203125,-1.93958984375,2.17273828125,2.66648046875,6.33136328125,8.37977734375,1.34909765625,-5.23836328125,0.245375,-0.0816601562499999
2.15837109375,7.41398828125,6.02428125,-8.5316953125,-1.1451484375,4.48654296875,4.276078125,8.58353125,-1.8058515625,-4.5923125,4.57079296875,11.51294921875,3.21442578125,-5.92049609375,-4.82716796875,4.9217890625,10.9305,-3.59274609375,-1.5689921875,2.03641015625,10.11258203125,-0.97858984375,2.03873828125,3.19148046875,7.87836328125,9.59977734375,2.42109765625,-3.97536328125,1.684375,2.03533984375
2.90537109375,7.41898828125,5.99828125,-7.5596953125,-0.6871484375,5.48654296875,4.955078125,8.48453125,-1.7438515625,-3.9763125,4.76479296875,11.87694921875,2.49142578125,-6.27949609375,-4.22016796875,5.1127890625,10.6625,-3.43774609375,-2.0779921875,2.13041015625,10.29958203125,-1.02358984375,1.27673828125,2.82048046875,8.17636328125,9.50277734375,2.69109765625,-3.73236328125,2.089375,3.00633984375
