"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-5.2255390625,-4.12004296875,-9.0266796875,-14.658359375,-6.316171875,-3.208203125,-2.2688359375,-13.8388515625,-9.68516796875,-6.6447109375,-0.680089843750001,-0.02554296875,-18.79023046875,12.279,0.22978125,5.6672890625,6.16590625,0.1781953125,2.7193203125,-4.0289375,-10.5288828125,9.30044140625,16.02491015625,9.9675078125,13.0134140625,7.82409765625,15.8454765625,3.779578125,9.87252734375,5.982453125
-3.9005390625,-3.94004296875,-8.4816796875,-14.586359375,-3.458171875,-4.690203125,0.2571640625,-15.6668515625,-8.18316796875,-6.5607109375,0.261910156249999,0.536457031249999,-20.39123046875,13.224,2.12878125,7.0072890625,6.76890625,0.0861953125000001,2.3403203125,-3.7709375,-9.3418828125,8.05044140625,15.70891015625,10.8995078125,13.6914140625,8.99909765625,16.0244765625,3.499578125,9.62752734375,6.225453125
-3.9955390625,-3.62304296875,-8.0156796875,-15.124359375,-3.082171875,-6.550203125,0.8471640625,-17.2368515625,-8.03816796875,-7.1527109375,0.150910156249999,0.0824570312499997,-20.81323046875,13.15,2.41078125,7.3942890625,5.93890625,-0.5318046875,1.7503203125,-3.9689375,-9.2848828125,6.66344140625,14.97191015625,10.8045078125,13.1694140625,8.56709765625,15.2154765625,2.369578125,8.37452734375,5.321453125
-5.3375390625,-3.30504296875,-7.8806796875,-16.068359375,-4.933171875,-8.670203125,-0.3168359375,-18.4338515625,-9.09116796875,-8.2987109375,-0.905089843750001,-1.27954296875,-19.88823046875,12.274,1.20678125,6.8322890625,4.00090625,-1.4748046875,1.1333203125,-4.5289375,-10.3048828125,5.53144140625,13.98991015625,9.7645078125,11.4974140625,6.63609765625,13.5414765625,0.613578125000001,6.30952734375,3.469453125
-7.2325390625,-3.18204296875,-8.3176796875,-16.992359375,-7.867171875,-10.664203125,-2.3658359375,-19.1438515625,-10.70016796875,-9.5897109375,-2.39808984375,-3.04854296875,-17.89923046875,11.168,-0.76421875,5.6542890625,1.82890625,-2.3548046875,0.7463203125,-5.1829375,-11.9348828125,5.14544140625,13.10491015625,8.2065078125,9.1744140625,3.88709765625,11.4764765625,-1.215421875,4.02252734375,1.300453125
-8.7935390625,-3.36104296875,-9.3136796875,-17.478359375,-10.418171875,-11.973203125,-4.1868359375,-19.2668515625,-12.08116796875,-10.5207109375,-3.65808984375,-4.56054296875,-15.46623046875,10.417,-2.57121875,4.3682890625,0.33790625,-2.8608046875,0.7273203125,-5.6489375,-13.5288828125,5.74544140625,12.59491015625,6.6425078125,6.9014140625,1.22809765625,9.5574765625,-2.548421875,2.19152734375,-0.478546875
-9.3235390625,-3.76104296875,-10.4626796875,-17.306359375,-11.437171875,-12.122203125,-4.8798359375,-18.7738515625,-12.69516796875,-10.7417109375,-4.12608984375,-5.26254296875,-13.29023046875,10.274,-3.50721875,3.4592890625,0.0339062499999998,-2.9718046875,0.9363203125,-5.7869375,-14.5668828125,7.04744140625,12.46591015625,5.3915078125,5.2494140625,-0.61890234375,8.1154765625,-3.115421875,1.24352734375,-1.439546875
-8.5875390625,-4.13004296875,-11.0806796875,-16.536359375,-10.538171875,-11.007203125,-4.0698359375,-17.7698515625,-12.47216796875,-10.2427109375,-3.56808984375,-4.92054296875,-11.92923046875,10.518,-3.37321875,3.2182890625,0.85490625,-3.0118046875,0.9623203125,-5.6729375,-14.8638828125,8.22144140625,12.39391015625,4.4495078125,4.4294140625,-1.38490234375,7.1384765625,-3.093421875,1.17452734375,-1.602546875
-6.9125390625,-4.19204296875,-10.5626796875,-15.491359375,-8.226171875,-9.031203125,-2.0108359375,-16.5158515625,-11.79316796875,-9.3647109375,-2.18208984375,-3.71154296875,-11.72323046875,10.565,-2.51821875,3.6352890625,2.31190625,-3.4988046875,0.2893203125,-5.5609375,-14.5798828125,8.18644140625,11.84091015625,3.5185078125,4.2514140625,-1.28090234375,6.3394765625,-3.031421875,1.57452734375,-1.363546875
-5.0585390625,-3.84204296875,-8.7836796875,-14.635359375,-5.686171875,-7.012203125,0.4721640625,-15.3698515625,-11.28416796875,-8.6597109375,-0.572089843750001,-2.19554296875,-12.79523046875,9.764,-1.66921875,4.3742890625,3.75390625,-4.8808046875,-1.4486796875,-5.7909375,-14.0938828125,6.11744140625,10.30791015625,2.1925078125,4.2484140625,-0.83390234375,5.3344765625,-3.590421875,1.82752734375,-1.280546875
-3.9215390625,-3.25104296875,-6.2816796875,-14.407359375,-4.282171875,-5.890203125,2.2401640625,-14.6808515625,-11.51716796875,-8.6787109375,0.416910156249999,-1.17454296875,-14.99323046875,7.735,-1.62421875,4.8512890625,4.61090625,-7.2638046875,-4.2706796875,-6.6749375,-13.8338828125,1.91544140625,7.60091015625,0.1745078125,3.8904140625,-0.63190234375,3.8444765625,-5.231421875,1.36752734375,-1.811546875
-4.1565390625,-2.80804296875,-4.0846796875,-15.024359375,-4.934171875,-6.357203125,2.2571640625,-14.6748515625,-12.72216796875,-9.7417109375,0.00691015624999913,-1.41654296875,-17.78323046875,4.614,-2.91921875,4.4462890625,4.54390625,-10.2718046875,-7.7676796875,-8.3829375,-14.1218828125,-3.63655859375,3.98491015625,-2.5384921875,2.8114140625,-1.10590234375,1.8314765625,-7.963421875,-0.08647265625,-3.137546875
-5.8815390625,-2.91204296875,-3.2446796875,-16.369359375,-7.651171875,-8.509203125,0.0871640625000003,-15.3528515625,-14.63116796875,-11.7687109375,-2.14708984375,-3.32754296875,-20.24623046875,1.077,-5.56821875,2.7882890625,3.52790625,-13.1368046875,-11.1916796875,-10.8299375,-15.0628828125,-9.16455859375,0.163910156250001,-5.5814921875,0.9604140625,-2.38490234375,-0.4665234375,-11.290421875,-2.41247265625,-5.100546875
-8.5955390625,-3.72904296875,-4.3146796875,-18.004359375,-11.492171875,-11.716203125,-3.8148359375,-16.4718515625,-16.57116796875,-14.2517109375,-5.72508984375,-6.69054296875,-21.35923046875,-1.9,-8.99321875,-0.0147109374999999,1.86590625,-14.9958046875,-13.6596796875,-13.6219375,-16.4948828125,-13.29555859375,-2.92908984375,-8.2994921875,-1.3565859375,-4.27390234375,-2.6065234375,-14.383421875,-5.11547265625,-7.277546875
-11.3775390625,-5.08004296875,-7.0456796875,-19.323359375,-14.989171875,-14.851203125,-8.1998359375,-17.6548515625,-17.78216796875,-16.4297109375,-9.78608984375,-10.65954296875,-20.48923046875,-3.431,-12.21221875,-3.3477109375,0.0899062499999999,-15.2688046875,-14.4296796875,-16.1229375,-18.0218828125,-15.19455859375,-4.45408984375,-9.9524921875,-3.5635859375,-6.32890234375,-4.0845234375,-16.382421875,-7.49247265625,-9.129546875
-13.2735390625,-6.51504296875,-10.4666796875,-19.786359375,-16.821171875,-16.806203125,-11.5378359375,-18.5688515625,-17.78616796875,-17.6227109375,-13.12308984375,-14.06454296875,-17.80923046875,-3.095,-14.22321875,-6.3147109375,-1.24109375,-13.8868046875,-13.1486796875,-17.6519375,-19.1398828125,-14.78555859375,-3.95508984375,-9.9864921875,-5.0135859375,-8.00890234375,-4.5085234375,-16.696421875,-8.87947265625,-10.188546875
-13.6595390625,-7.54004296875,-13.2846796875,-19.145359375,-16.378171875,-17.016203125,-12.7038359375,-19.0588515625,-16.61516796875,-17.5377109375,-14.76908984375,-15.89454296875,-14.29323046875,-1.089,-14.42721875,-8.0987109375,-1.77009375,-11.2948046875,-10.0076796875,-17.7509375,-19.4398828125,-12.60155859375,-1.52208984375,-8.2704921875,-5.2335859375,-8.85990234375,-3.7325234375,-15.170421875,-8.88247265625,-10.225546875
