"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-18.2201484375,18.2747578125,36.3230078125,-17.8268359375,4.49839453125,21.358625,9.89853515625,49.6855546875,-0.844824218749999,19.908875,22.9800703125,41.29127734375,13.7574296875,21.6018359375,34.21219140625,18.78825390625,30.08716796875,13.15269921875,17.640109375,32.9208125,22.521859375,1.74808203125,13.2562734375,11.75180859375,17.76226953125,7.11512109375,3.68480078125,-13.27671484375,-9.2831015625,-10.8670234375
-10.8701484375,18.8807578125,37.0160078125,-16.8768359375,3.76339453125,24.243625,20.36953515625,49.7145546875,-1.47582421875,18.778875,24.3460703125,41.12427734375,7.7834296875,18.4058359375,35.70619140625,21.11025390625,30.94416796875,5.08469921875,14.137109375,32.9138125,23.038859375,-12.55591796875,5.0662734375,9.50180859375,16.66626953125,6.30812109375,-1.93419921875,-26.58871484375,-17.3051015625,-16.9720234375
-6.8631484375,18.5627578125,37.0360078125,-17.1138359375,2.45439453125,25.111625,26.76553515625,48.7545546875,-3.66782421875,16.800875,24.8170703125,40.03027734375,3.1234296875,14.6258359375,35.97419140625,22.05425390625,31.40016796875,-2.37630078125,10.531109375,32.6078125,23.798859375,-26.18791796875,-2.1757265625,7.28080859375,15.96326953125,7.19212109375,-6.14719921875,-36.98271484375,-22.5361015625,-20.4860234375
-7.0831484375,16.6097578125,36.0250078125,-18.8508359375,0.185394531250004,23.530625,28.35953515625,46.5435546875,-7.60382421875,13.623875,23.7840703125,37.64127734375,-0.487570312500001,10.1358359375,34.44819140625,20.89825390625,31.23916796875,-8.80530078125,6.744109375,31.5088125,24.342859375,-37.71691796875,-7.9607265625,5.01180859375,15.40426953125,9.61912109375,-8.61519921875,-43.26671484375,-24.2491015625,-20.8910234375
-11.6841484375,12.3727578125,33.6370078125,-22.2538359375,-3.48760546875,19.396625,25.26653515625,42.9535546875,-13.03982421875,8.987875,20.6210703125,33.69627734375,-3.7055703125,4.9378359375,30.66619140625,17.11625390625,30.17516796875,-13.77730078125,2.668109375,28.9828125,23.947859375,-45.32491796875,-11.8937265625,2.53580859375,14.50226953125,12.85212109375,-9.30419921875,-44.67471484375,-22.3541015625,-18.3000234375
-20.0471484375,5.6097578125,29.6070078125,-27.3858359375,-8.94360546875,12.834625,18.14853515625,37.9415546875,-19.43582421875,2.787875,14.8800703125,28.10927734375,-7.0955703125,-0.8451640625,24.37219140625,10.64125390625,27.86416796875,-17.03530078125,-1.813890625,24.4908125,21.942859375,-47.58191796875,-13.8577265625,-0.35919140625,12.74126953125,15.92612109375,-8.46219921875,-41.11371484375,-17.3881015625,-13.3390234375
-30.8561484375,-3.2272421875,23.8680078125,-34.1278359375,-16.25760546875,4.235625,8.08453515625,31.5485546875,-26.09882421875,-4.854125,6.5300703125,21.03027734375,-10.7585703125,-6.9981640625,15.64119140625,2.03425390625,24.03216796875,-18.61830078125,-6.772890625,17.8748125,18.010859375,-44.12691796875,-14.1107265625,-3.85519140625,9.82926953125,18.02312109375,-6.54519921875,-33.27771484375,-10.3581015625,-6.9040234375
-42.3291484375,-12.9722421875,16.6620078125,-42.0558359375,-25.01560546875,-5.675375,-3.43946484375,23.9875546875,-32.34982421875,-13.528125,-3.8849296875,12.86927734375,-14.2455703125,-13.2351640625,4.96919140625,-7.60474609375,18.67016796875,-18.85730078125,-12.154890625,9.5538125,12.359859375,-35.86891796875,-13.2127265625,-7.98819140625,5.86826953125,18.72112109375,-4.09619921875,-22.51571484375,-2.4411015625,0.118976562499999
-52.6671484375,-22.0542421875,8.6030078125,-50.3788359375,-34.29360546875,-15.878375,-14.67846484375,15.7665546875,-37.67982421875,-22.541125,-15.2529296875,4.27727734375,-16.8145703125,-19.2171640625,-6.72580859375,-16.95574609375,12.16216796875,-18.21930078125,-17.739890625,0.5218125,5.698859375,-24.65391796875,-11.8287265625,-12.57019140625,1.36826953125,18.06912109375,-1.62019921875,-10.50371484375,5.3018984375,7.0459765625
-60.6131484375,-29.0742421875,0.6270078125,-57.9968359375,-42.84060546875,-25.221375,-24.00646484375,7.7155546875,-41.84582421875,-31.024125,-26.1019296875,-3.92772265625,-17.9145703125,-24.5951640625,-18.21080859375,-24.87474609375,5.24416796875,-17.13130078125,-23.154890625,-7.8961875,-0.952140625,-12.62391796875,-10.5197265625,-17.20619140625,-2.91473046875,16.48712109375,0.489800781249999,1.13428515625,12.1168984375,13.4289765625
