"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-14.342578125,-8.3995390625,-4.74375390625,-11.9410703125,1.4509375,-3.98182421875,8.242328125,-3.5035390625,-7.1399375,-5.56584375,4.37617578125,9.54803515625,-0.96474609375,-9.9907578125,0.96336328125,26.2399453125,9.062546875,-8.89505078125,-0.15476953125,7.94161328125,15.81847265625,3.113703125,-0.72969921875,4.9255703125,9.13740625,10.7582734375,8.43333984375,-8.94735546875,-2.77165234375,10.254828125
-10.601578125,-4.3655390625,-1.90575390625,-8.9560703125,0.8079375,-1.59382421875,0.283328125,-1.4915390625,-8.2949375,-3.17784375,5.32317578125,11.28403515625,0.23125390625,-10.4087578125,1.24136328125,27.0519453125,9.780546875,-9.60405078125,-0.17576953125,7.87461328125,15.64447265625,2.201703125,-1.80069921875,4.0835703125,9.23140625,8.8892734375,6.90333984375,-11.39935546875,-2.66265234375,8.204828125
-7.809578125,-1.5175390625,0.26824609375,-6.5040703125,0.8549375,0.81217578125,-3.423671875,-0.0115390625,-8.1179375,-0.74884375,6.76517578125,12.48603515625,1.06125390625,-10.1287578125,2.06436328125,27.3719453125,9.910546875,-9.97505078125,-0.13376953125,7.64761328125,14.66347265625,1.269703125,-2.81469921875,3.1685703125,8.42340625,6.5992734375,5.69733984375,-13.58935546875,-2.80065234375,6.387828125
-5.726578125,0.2354609375,1.85524609375,-4.5590703125,1.3469375,3.17017578125,-3.249671875,0.8624609375,-6.6779375,1.63415625,8.61317578125,13.15003515625,1.71025390625,-9.0487578125,3.32736328125,27.2449453125,9.432546875,-9.77105078125,0.0582304687500002,7.22961328125,12.95147265625,0.562703125,-3.60269921875,2.2335703125,6.79440625,3.9512734375,4.92933984375,-15.29535546875,-3.07465234375,4.858828125
-3.926578125,1.2834609375,3.05624609375,-2.9570703125,1.9059375,5.34317578125,-0.744671875,1.1864609375,-4.3919375,3.81815625,10.58917578125,13.44003515625,2.52525390625,-7.2277578125,4.72536328125,26.8769453125,8.523546875,-8.77605078125,0.50223046875,6.65261328125,10.88047265625,0.445703125,-3.94269921875,1.4145703125,4.72040625,1.1892734375,4.65633984375,-16.25635546875,-3.26865234375,3.623828125
-2.229578125,1.9724609375,3.95524609375,-1.5490703125,2.3429375,7.09617578125,2.328328125,1.0734609375,-1.7629375,5.59415625,12.32617578125,13.56503515625,3.82625390625,-4.8587578125,5.87636328125,26.4949453125,7.468546875,-6.89505078125,1.23523046875,5.98761328125,8.91847265625,1.228703125,-3.65569921875,0.885570312500001,2.65640625,-1.3677265625,4.84233984375,-16.25235546875,-3.18165234375,2.637828125
-0.889578125,2.3524609375,4.39024609375,-0.3460703125,2.7429375,8.09217578125,4.555328125,0.6114609375,0.7340625,6.72315625,13.44317578125,13.63103515625,5.70825390625,-2.2977578125,6.41136328125,26.1949453125,6.522546875,-4.25805078125,2.14723046875,5.29061328125,7.42147265625,2.987703125,-2.70569921875,0.772570312500001,0.94140625,-3.4407265625,5.34233984375,-15.18435546875,-2.71465234375,1.827828125
-0.386578125,2.2044609375,4.03824609375,0.4589296875,3.2899375,7.97517578125,5.122328125,-0.1395390625,2.6710625,6.98015625,13.62317578125,13.57803515625,7.94225390625,-0.0417578125000002,6.06236328125,25.9009453125,5.828546875,-1.24705078125,2.97523046875,4.57361328125,6.51347265625,5.484703125,-1.23269921875,1.0815703125,-0.27859375,-4.8497265625,5.93833984375,-13.11635546875,-1.86565234375,1.147828125
-1.022578125,1.2864609375,2.66924609375,0.5969296875,4.0369375,6.56017578125,3.945328125,-1.0805390625,3.7150625,6.23615625,12.72317578125,13.25803515625,10.01225390625,1.3982421875,4.76036328125,25.4439453125,5.414546875,1.58594921875,3.41423046875,3.85361328125,6.10547265625,8.235703125,0.49530078125,1.6865703125,-1.01259375,-5.5187265625,6.43233984375,-10.26635546875,-0.68565234375,0.634828125
-2.641578125,-0.3925390625,0.38424609375,-0.1060703125,4.7679375,3.97117578125,1.562328125,-2.0375390625,3.7210625,4.54215625,10.83717578125,12.56603515625,11.31025390625,1.6852421875,2.69336328125,24.6999453125,5.257546875,3.68794921875,3.28123046875,3.20661328125,6.00747265625,10.692703125,2.18830078125,2.3945703125,-1.32559375,-5.4487265625,6.72933984375,-6.96135546875,0.76534765625,0.410828125
