"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-3.0259296875,10.89946875,0.428078125,-3.778703125,4.3630546875,12.5376796875,9.579546875,3.425875,-1.1200859375,5.89991015625,11.3172578125,10.3091640625,-1.072890625,6.07043359375,6.30360546875,7.458203125,1.0050546875,-0.2917421875,5.81838671875,5.84844921875,0.732992187499999,-8.42887890625,-5.341796875,0.646734375,2.0789921875,4.8611953125,-15.17926171875,-7.4872109375,-8.89052734375,-2.65534375
-3.9239296875,8.41346875,0.392078125,-3.940703125,2.3630546875,9.4506796875,6.672546875,1.178875,-1.3960859375,3.00091015625,8.5522578125,7.0981640625,-1.548890625,4.90043359375,4.18060546875,4.510203125,-0.5909453125,-0.1787421875,5.08338671875,4.87844921875,-0.2620078125,-6.45687890625,-4.535796875,-0.101265625,2.3879921875,5.1091953125,-16.25626171875,-6.6822109375,-9.69552734375,-3.42634375
-5.1049296875,6.50046875,-0.0249218750000002,-3.693703125,0.9260546875,6.6666796875,4.226546875,-0.526125,-1.2540859375,0.66191015625,5.9292578125,4.3071640625,-0.549890625,4.25943359375,2.16360546875,1.843203125,-1.8249453125,0.7582578125,4.68238671875,3.88144921875,-1.0610078125,-4.23387890625,-2.997796875,-0.482265625,2.4599921875,5.1181953125,-15.89826171875,-4.9312109375,-9.21852734375,-3.50534375
-6.3099296875,5.18946875,-0.807921875,-3.017703125,0.1500546875,4.3396796875,2.305546875,-1.600125,-0.6860859375,-0.98708984375,3.5462578125,2.0651640625,1.625109375,4.19043359375,0.36560546875,-0.388796875,-2.6199453125,2.3932578125,4.60838671875,2.90844921875,-1.5630078125,-1.95787890625,-0.831796875,-0.452265625,2.3789921875,4.9611953125,-13.98526171875,-2.1682109375,-7.39752734375,-2.80234375
-7.1729296875,4.36646875,-1.798921875,-2.052703125,-0.0389453124999999,2.5626796875,0.835546875,-2.114125,0.1419140625,-1.97808984375,1.4762578125,0.4041640625,4.140109375,4.50243359375,-1.11939453125,-2.070796875,-2.9779453125,4.2192578125,4.70038671875,2.02344921875,-1.7180078125,-0.0548789062499999,1.493203125,-0.111265625,2.3209921875,4.8241953125,-10.88626171875,1.2917890625,-4.60152734375,-1.39534375
-7.4309296875,3.85446875,-2.783921875,-1.066703125,0.1110546875,1.3186796875,-0.344453125,-2.258125,0.9109140625,-2.51108984375,-0.2777421875,-0.7468359375,6.008109375,4.78843359375,-2.29739453125,-3.187796875,-2.9619453125,5.5392578125,4.66738671875,1.24444921875,-1.5720078125,0.98012109375,3.286203125,0.295734375,2.4159921875,4.9011953125,-7.34526171875,4.8197890625,-1.49952734375,0.487656250000001
-7.0259296875,3.48746875,-3.578921875,-0.345703125,0.2480546875,0.4996796875,-1.375453125,-2.242125,1.2609140625,-2.90008984375,-1.7717421875,-1.5448359375,6.492109375,4.56943359375,-3.29039453125,-3.835796875,-2.6679453125,5.7622578125,4.18438671875,0.52144921875,-1.2680078125,0.834121093749999,3.909203125,0.449734375,2.6429921875,5.2571953125,-4.23126171875,7.6557890625,1.15547265625,2.48365625
-6.1149296875,3.16446875,-4.095921875,-0.065703125,0.0680546875000001,-0.0253203124999994,-2.311453125,-2.207125,0.9479140625,-3.44008984375,-3.0597421875,-2.1448359375,5.380109375,3.53143359375,-4.25939453125,-4.177796875,-2.2019453125,4.6752578125,3.05738671875,-0.22655078125,-0.9970078125,-0.43887890625,3.077203125,0.108734375,2.8189921875,5.7331953125,-2.20826171875,9.1797890625,2.75347265625,4.12265625
-5.0119296875,2.87346875,-4.347921875,-0.199703125,-0.5329453125,-0.3423203125,-3.125453125,-2.193125,-0.0180859374999995,-4.25708984375,-4.1217421875,-2.6168359375,3.065109375,1.72043359375,-5.26439453125,-4.353796875,-1.6749453125,2.5532578125,1.35938671875,-1.02855078125,-0.9140078125,-2.42787890625,1.027203125,-0.739265625,2.7029921875,5.9781953125,-1.47726171875,9.1407890625,3.01747265625,4.94665625
-4.0559296875,2.67646875,-4.382921875,-0.504703125,-1.3849453125,-0.456320312499999,-3.726453125,-2.148125,-1.3460859375,-5.24408984375,-4.8387421875,-2.9228359375,0.409109375,-0.43956640625,-6.18339453125,-4.408796875,-1.1969453125,0.0302578125000004,-0.54061328125,-1.80855078125,-1.0860078125,-4.54587890625,-1.564796875,-1.828265625,2.1459921875,5.6171953125,-1.70426171875,7.7527890625,2.08547265625,4.70665625
-3.4459296875,2.66846875,-4.205921875,-0.619703125,-2.1259453125,-0.307320312499999,-3.975453125,-1.963125,-2.5840859375,-6.12508984375,-5.0307421875,-2.9578359375,-1.604890625,-2.34356640625,-6.74839453125,-4.273796875,-0.8519453125,-2.1907421875,-2.11261328125,-2.39955078125,-1.4790078125,-6.26587890625,-3.864796875,-2.720265625,1.1889921875,4.4611953125,-2.20926171875,5.6117890625,0.43647265625,3.49965625
-3.1859296875,2.91046875,-3.784921875,-0.263703125,-2.4129453125,0.1366796875,-3.749453125,-1.549125,-3.3510859375,-6.62008984375,-4.5567421875,-2.6488359375,-2.323890625,-3.52156640625,-6.70439453125,-3.831796875,-0.6699453125,-3.6367421875,-2.92061328125,-2.64155078125,-2.0030078125,-7.27987890625,-5.250796875,-3.038265625,0.0259921875000002,2.6141953125,-2.33026171875,3.4517890625,-1.34852734375,1.71465625
-3.1709296875,3.37846875,-3.145921875,0.565296875,-2.1399453125,0.788679687500001,-3.053453125,-0.927125,-3.5510859375,-6.61708984375,-3.4417421875,-2.0308359375,-1.766890625,-3.88856640625,-5.99339453125,-3.034796875,-0.6099453125,-4.2427421875,-2.85961328125,-2.50855078125,-2.5900078125,-7.55287890625,-5.564796875,-2.690265625,-1.1280078125,0.4021953125,-1.80926171875,1.8297890625,-2.84552734375,-0.207343749999999
-3.3119296875,3.95646875,-2.430921875,1.548296875,-1.5309453125,1.4116796875,-2.068453125,-0.243125,-3.4280859375,-6.24508984375,-1.9427421875,-1.2678359375,-0.624890625,-3.77356640625,-4.84939453125,-2.001796875,-0.5909453125,-4.3287421875,-2.22161328125,-2.16055078125,-3.2500078125,-7.26987890625,-5.163796875,-1.957265625,-2.1850078125,-1.7948046875,-0.94826171875,0.9027890625,-3.95152734375,-2.01234375
-3.5519296875,4.49146875,-1.841921875,2.214296875,-1.0189453125,1.7436796875,-1.046453125,0.317875,-3.4080859375,-5.79708984375,-0.4687421875,-0.5618359375,0.121109375,-3.69556640625,-3.71139453125,-1.006796875,-0.5229453125,-4.3877421875,-1.54761328125,-1.87255078125,-4.0540078125,-6.74487890625,-4.712796875,-1.363265625,-3.1910078125,-3.6928046875,-0.44826171875,0.4177890625,-4.82852734375,-3.68534375
-3.8289296875,4.86646875,-1.497921875,2.209296875,-0.9819453125,1.6586796875,-0.150453125,0.668875,-3.8210859375,-5.54708984375,0.6022578125,-0.0418359375000001,-0.286890625,-4.03356640625,-3.00739453125,-0.338796875,-0.3529453125,-4.8247421875,-1.34161328125,-1.87555078125,-5.0470078125,-6.29887890625,-4.859796875,-1.405265625,-4.2370078125,-5.1618046875,-1.02726171875,-0.1132109375,-5.73952734375,-5.32434375
