"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-3.454,-5.4347265625,-11.2225546875,-6.5318984375,-11.2125859375,-11.05067578125,-9.3740703125,-5.87316015625,-12.4550390625,-14.9303046875,-12.7863984375,-12.60396484375,-9.87551171875,-15.3349140625,-15.34469921875,-13.2947734375,-10.36953125,-15.47686328125,-15.32615234375,-15.2159296875,-11.1890078125,-12.695234375,-16.00412109375,-14.57508203125,-13.80174609375,-10.066640625,-13.273609375,-12.9333359375,-11.604921875,-12.01833984375
-5.002,-5.4467265625,-8.7065546875,-5.8388984375,-9.6835859375,-9.67567578125,-8.3620703125,-4.21616015625,-11.6920390625,-13.0983046875,-11.4873984375,-11.44496484375,-9.09851171875,-13.9209140625,-13.98669921875,-12.3567734375,-7.64953125,-14.32486328125,-13.65715234375,-14.0859296875,-10.4490078125,-10.551234375,-14.37512109375,-12.68508203125,-12.47374609375,-8.536640625,-11.856609375,-11.0983359375,-9.719921875,-10.47833984375
-5.24,-5.0177265625,-7.0095546875,-5.1318984375,-8.0935859375,-7.98767578125,-7.0650703125,-2.62916015625,-10.7730390625,-11.1183046875,-9.7803984375,-10.36196484375,-8.10751171875,-12.2499140625,-12.25469921875,-10.9217734375,-5.82353125,-13.09986328125,-11.78015234375,-12.4429296875,-9.2140078125,-9.020234375,-12.63312109375,-10.72408203125,-10.76574609375,-7.027640625,-10.237609375,-9.4683359375,-7.943921875,-8.88933984375
-4.068,-4.0287265625,-6.1665546875,-4.3748984375,-6.4115859375,-5.95167578125,-5.3710703125,-1.13316015625,-9.6980390625,-8.9783046875,-7.6003984375,-9.19296484375,-6.89551171875,-10.2789140625,-10.09869921875,-8.9147734375,-4.85753125,-11.81986328125,-9.67815234375,-10.2549296875,-7.4330078125,-8.086234375,-10.76812109375,-8.62608203125,-8.59274609375,-5.414640625,-8.323609375,-7.9743359375,-6.177921875,-7.15433984375
-1.825,-2.5217265625,-6.0155546875,-3.5668984375,-4.6795859375,-3.67967578125,-3.2650703125,0.17183984375,-8.5570390625,-6.7793046875,-5.0653984375,-7.75796484375,-5.60251171875,-8.1279140625,-7.65769921875,-6.4867734375,-4.48453125,-10.56086328125,-7.47115234375,-7.7239296875,-5.2740078125,-7.535234375,-8.86412109375,-6.41808203125,-6.07074609375,-3.608640625,-6.134609375,-6.5243359375,-4.340921875,-5.24133984375
0.83,-0.7197265625,-6.2965546875,-2.7878984375,-3.0505859375,-1.42767578125,-0.871070312500001,1.08483984375,-7.5480390625,-4.7453046875,-2.4713984375,-5.96996484375,-4.50351171875,-6.0909140625,-5.24569921875,-4.0097734375,-4.38153125,-9.44386328125,-5.42115234375,-5.2449296875,-3.0890078125,-7.101234375,-7.12312109375,-4.28808203125,-3.53874609375,-1.691640625,-3.876609375,-5.1353359375,-2.513921875,-3.27633984375
3.106,1.0072734375,-6.7195546875,-2.2278984375,-1.7705859375,0.465324218749999,1.5129296875,1.37683984375,-6.9500390625,-3.1813046875,-0.2263984375,-3.92396484375,-3.89851171875,-4.5619140625,-3.27069921875,-1.9597734375,-4.33053125,-8.60586328125,-3.87715234375,-3.2929296875,-1.2900078125,-6.640234375,-5.83012109375,-2.57008203125,-1.47274609375,0.0423593750000002,-1.924609375,-4.0033359375,-0.966921875000001,-1.55133984375
4.3,2.2352734375,-6.9885546875,-2.1138984375,-1.1245859375,1.66032421875,3.4549296875,0.90483984375,-7.0290390625,-2.3773046875,1.2496015625,-1.91696484375,-3.94551171875,-3.8869140625,-2.10869921875,-0.7627734375,-4.27953125,-8.18086328125,-3.16315234375,-2.2769296875,-0.2110078125,-6.211234375,-5.24812109375,-1.63208203125,-0.32374609375,1.167359375,-0.701609374999999,-3.4283359375,-0.0559218750000001,-0.430339843750001
4.012,2.6202734375,-6.8585546875,-2.5848984375,-1.3355859375,1.89932421875,4.4799296875,-0.29016015625,-7.8780390625,-2.5193046875,1.6236015625,-0.397964843749999,-4.56551171875,-4.2239140625,-1.99369921875,-0.6797734375,-4.31553125,-8.26186328125,-3.45315234375,-2.4039296875,-0.0230078124999995,-6.014234375,-5.49912109375,-1.71808203125,-0.356746093749999,1.310359375,-0.504609374999999,-3.6323359375,-0.0409218750000004,-0.19033984375
2.281,2.0142734375,-6.2355546875,-3.5928984375,-2.4735859375,1.07432421875,4.2089296875,-1.95316015625,-9.3170390625,-3.6253046875,0.742601562499999,0.143035156250001,-5.48951171875,-5.4689140625,-2.95669921875,-1.7467734375,-4.57853125,-8.86786328125,-4.70015234375,-3.6269296875,-0.7290078125,-6.245234375,-6.49312109375,-2.83408203125,-1.55674609375,0.350359375,-1.371609375,-4.5983359375,-0.928921875,-0.89533984375
