"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-3.69828515625,-1.89482421875,-4.92494140625,2.85179296875,0.27001171875,-3.147796875,-5.8227265625,-4.84022265625,-4.3151875,-3.1064921875,-3.65797265625,-4.32669921875,-2.5632734375,-6.88269140625,-6.67060546875,-4.859375,-3.80140625,-9.59136328125,-10.56875,-10.82501953125,-7.36431640625,-11.4396640625,-17.41907421875,-14.6597421875,-13.44823828125,-6.6358046875,-20.6391015625,-20.60981640625,-16.83887890625,-10.69523828125
-2.37928515625,-0.88482421875,-3.47694140625,3.44679296875,0.43201171875,-2.136796875,-5.1227265625,-3.11922265625,-3.2941875,-2.5324921875,-3.26597265625,-3.61569921875,-1.5972734375,-6.20969140625,-6.18760546875,-3.731375,-0.72740625,-7.89436328125,-10.30475,-10.53401953125,-6.60831640625,-8.3446640625,-17.52407421875,-14.8397421875,-13.97823828125,-6.2888046875,-23.1751015625,-23.12581640625,-20.11587890625,-13.52823828125
-1.44428515625,-0.31782421875,-2.96394140625,3.72779296875,0.48701171875,-1.428796875,-4.5067265625,-2.01122265625,-2.4831875,-2.1804921875,-3.13097265625,-2.97769921875,-0.5832734375,-5.49069140625,-6.10460546875,-2.954375,1.01059375,-6.70136328125,-10.23675,-10.47801953125,-5.72231640625,-6.2716640625,-17.54507421875,-15.1847421875,-14.42223828125,-5.9038046875,-25.2821015625,-24.82381640625,-22.65787890625,-16.03723828125
-0.89928515625,-0.18782421875,-3.29994140625,3.67279296875,0.42101171875,-0.987796875,-3.7597265625,-1.48622265625,-1.8761875,-1.9664921875,-3.16297265625,-2.39769921875,0.3527265625,-4.67869140625,-6.29560546875,-2.515375,1.26959375,-6.00936328125,-10.22475,-10.54301953125,-4.83831640625,-5.2446640625,-17.30207421875,-15.4867421875,-14.65623828125,-5.6128046875,-26.5481015625,-25.39981640625,-24.07387890625,-17.87323828125
-0.67628515625,-0.36082421875,-4.08294140625,3.32779296875,0.24401171875,-0.708796875,-2.6927265625,-1.35322265625,-1.4371875,-1.7314921875,-3.18197265625,-1.86269921875,0.9927265625,-3.76069140625,-6.47960546875,-2.294375,0.31559375,-5.68436328125,-10.03275,-10.51601953125,-4.20431640625,-5.0156640625,-16.59407421875,-15.4127421875,-14.55723828125,-5.6218046875,-26.5271015625,-24.67281640625,-24.04287890625,-18.65123828125
-0.71628515625,-0.67482421875,-4.84094140625,2.76579296875,-0.0229882812500001,-0.522796875,-1.3647265625,-1.42022265625,-1.1581875,-1.3624921875,-3.03697265625,-1.40169921875,1.1187265625,-2.80769140625,-6.39960546875,-2.156375,-1.32940625,-5.57936328125,-9.47775,-10.20801953125,-4.08331640625,-5.2676640625,-15.32607421875,-14.6847421875,-14.06923828125,-6.1068046875,-24.9371015625,-22.64081640625,-22.44887890625,-18.14823828125
-0.98528515625,-1.02582421875,-5.25894140625,2.07379296875,-0.31198828125,-0.459796875,-0.1257265625,-1.58422265625,-1.0551875,-0.8714921875,-2.70197265625,-1.09869921875,0.6357265625,-1.95569140625,-5.95960546875,-2.015375,-3.08440625,-5.60336328125,-8.52475,-9.55601953125,-4.59431640625,-5.7466640625,-13.57507421875,-13.2117421875,-13.21923828125,-7.1048046875,-21.8021015625,-19.51381640625,-19.47187890625,-16.43423828125
-1.40428515625,-1.36782421875,-5.26094140625,1.37479296875,-0.48798828125,-0.608796875,0.5632734375,-1.81122265625,-1.0961875,-0.3704921875,-2.27197265625,-1.02069921875,-0.3262734375,-1.31469140625,-5.24260546875,-1.833375,-4.43240625,-5.68536328125,-7.27675,-8.60501953125,-5.57631640625,-6.2396640625,-11.55207421875,-11.1107421875,-12.07323828125,-8.4278046875,-17.4591015625,-15.66681640625,-15.54987890625,-13.87223828125
-1.79728515625,-1.66482421875,-4.96394140625,0.82979296875,-0.36898828125,-1.022796875,0.3982734375,-2.05922265625,-1.1481875,0.0145078125,-1.88597265625,-1.15469921875,-1.4192734375,-0.88869140625,-4.42760546875,-1.585375,-4.97140625,-5.70836328125,-5.89175,-7.44901953125,-6.59531640625,-6.5126640625,-9.48507421875,-8.6187421875,-10.68123828125,-9.7068046875,-12.4491015625,-11.54181640625,-11.24487890625,-10.96923828125
-1.94928515625,-1.86782421875,-4.56894140625,0.59679296875,0.15901171875,-1.659796875,-0.5977265625,-2.24822265625,-1.0311875,0.2065078125,-1.65397265625,-1.41669921875,-2.2202734375,-0.58769140625,-3.69660546875,-1.266375,-4.49840625,-5.52336328125,-4.51075,-6.18401953125,-7.15231640625,-6.3166640625,-7.54407421875,-6.0087421875,-9.09323828125,-10.5608046875,-7.3661015625,-7.54781640625,-7.07387890625,-8.18923828125
-1.75528515625,-1.93882421875,-4.27194140625,0.76779296875,1.00501171875,-2.409796875,-2.0957265625,-2.30722265625,-0.6561875,0.1745078125,-1.64197265625,-1.72869921875,-2.4332734375,-0.33669140625,-3.18660546875,-0.932375,-3.12540625,-5.05436328125,-3.27075,-4.92301953125,-6.97031640625,-5.5326640625,-5.84907421875,-3.5617421875,-7.42523828125,-10.7928046875,-2.7491015625,-4.02181640625,-3.42587890625,-5.84723828125
-1.31828515625,-1.88382421875,-4.20694140625,1.34279296875,1.85101171875,-3.148796875,-3.6377265625,-2.25322265625,-0.1251875,-0.0994921874999999,-1.88297265625,-2.07169921875,-2.0192734375,-0.16969140625,-2.98260546875,-0.720375,-1.29640625,-4.39636328125,-2.32175,-3.83401953125,-6.13931640625,-4.3016640625,-4.53107421875,-1.5467421875,-5.89823828125,-10.4518046875,0.9688984375,-1.21881640625,-0.542878906249999,-4.10123828125
-0.88228515625,-1.74682421875,-4.39394140625,2.23979296875,2.29801171875,-3.777796875,-4.8287265625,-2.20022265625,0.3138125,-0.6324921875,-2.37797265625,-2.46269921875,-1.1792734375,-0.21669140625,-3.10460546875,-0.807375,0.36859375,-3.78536328125,-1.81875,-3.11801953125,-5.03131640625,-3.0216640625,-3.74107421875,-0.201742187500001,-4.79923828125,-9.7418046875,3.4938984375,0.681183593750001,1.45212109375,-3.00823828125
-0.63428515625,-1.56882421875,-4.70194140625,3.33379296875,2.10401171875,-4.223796875,-5.4517265625,-2.27122265625,0.4408125,-1.3984921875,-3.05697265625,-2.87769921875,-0.1932734375,-0.59369140625,-3.48860546875,-1.306375,1.36659375,-3.45236328125,-1.85275,-2.93901953125,-4.06931640625,-2.1596640625,-3.59907421875,0.329257812499999,-4.36823828125,-8.8588046875,4.6808984375,1.58218359375,2.52512109375,-2.56423828125
-0.53628515625,-1.32782421875,-4.85094140625,4.48579296875,1.36401171875,-4.409796875,-5.4577265625,-2.47122265625,0.2488125,-2.2854921875,-3.74197265625,-3.19369921875,0.7377265625,-1.27269140625,-3.96960546875,-2.168375,1.54859375,-3.43936328125,-2.36275,-3.33101953125,-3.49531640625,-1.9796640625,-4.10107421875,0.0532578125000001,-4.68423828125,-7.8868046875,4.5578984375,1.48718359375,2.72412109375,-2.69923828125
