"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-18.61083203125,-19.04181640625,-23.64042578125,-13.19244140625,-20.47404296875,-22.77919140625,-31.11088671875,-3.35371875,-21.2103515625,-28.091875,-27.5146015625,-25.81596484375,-7.2891015625,-29.033984375,-32.83241015625,-29.44437890625,-7.836703125,-18.13883203125,-26.71737890625,-27.62165234375,-33.38970703125,-13.07284375,-26.74495703125,-32.287109375,-31.74470703125,-7.777859375,-32.50933984375,-24.8508359375,-24.89971875,-28.11884765625
-12.40983203125,-15.86281640625,-19.31042578125,-7.32544140625,-15.58204296875,-19.48919140625,-24.67088671875,-2.25971875,-16.3623515625,-25.450875,-25.5196015625,-27.07696484375,-3.1041015625,-26.623984375,-31.26341015625,-29.43637890625,-9.396703125,-17.26683203125,-25.31637890625,-27.12665234375,-35.57170703125,-12.04784375,-25.47095703125,-32.090109375,-33.37070703125,-11.056859375,-33.66233984375,-24.7218359375,-26.00171875,-28.99884765625
-7.15683203125,-12.80581640625,-15.50642578125,-2.62344140625,-11.37204296875,-15.86719140625,-18.72688671875,-2.91271875,-13.4113515625,-22.948875,-22.7076015625,-25.33196484375,-0.4061015625,-24.452984375,-29.37141015625,-27.98537890625,-11.083703125,-16.60683203125,-23.94237890625,-26.35465234375,-36.58370703125,-11.37784375,-24.33595703125,-31.750109375,-34.45470703125,-14.216859375,-34.49433984375,-25.0698359375,-27.40271875,-30.18784765625
-3.17183203125,-10.07281640625,-12.36642578125,0.76355859375,-7.98204296875,-12.21319140625,-13.41088671875,-4.80571875,-12.0833515625,-20.619875,-19.2616015625,-20.74496484375,0.6128984375,-22.454984375,-27.18641015625,-25.06537890625,-12.509703125,-16.08183203125,-22.51937890625,-25.13265234375,-36.15170703125,-10.95584375,-23.17095703125,-31.054109375,-34.62770703125,-17.099859375,-34.63433984375,-25.5768359375,-28.63271875,-31.26684765625
-0.649832031250001,-7.89581640625,-9.96342578125,2.94155859375,-5.43704296875,-9.03619140625,-8.90188671875,-6.52771875,-11.5783515625,-18.504875,-15.6926015625,-14.53096484375,0.2308984375,-20.528984375,-24.83641015625,-21.09337890625,-13.067703125,-15.51183203125,-20.92737890625,-23.29365234375,-34.26770703125,-10.53584375,-21.71295703125,-29.715109375,-33.50070703125,-19.397859375,-33.63933984375,-25.6368359375,-28.91271875,-31.51484765625
0.353167968749999,-6.47581640625,-8.34142578125,4.15855859375,-3.73704296875,-6.83119140625,-5.48788671875,-6.37071875,-11.1773515625,-16.698875,-12.6166015625,-8.36996484375,-0.9821015625,-18.696984375,-22.50741015625,-16.72837890625,-12.201703125,-14.76283203125,-19.10437890625,-20.78965234375,-31.19670703125,-9.92084375,-19.79495703125,-27.538109375,-30.85370703125,-20.714859375,-31.23933984375,-24.7058359375,-27.55571875,-30.29184765625
-0.0318320312500004,-5.98081640625,-7.53342578125,4.70355859375,-2.95604296875,-5.92619140625,-3.50488671875,-3.18271875,-10.6523515625,-15.397875,-10.5696015625,-3.78396484375,-2.4761015625,-17.212984375,-20.45741015625,-12.70837890625,-9.711703125,-13.90383203125,-17.19937890625,-17.84465234375,-27.46270703125,-9.12284375,-17.54895703125,-24.642109375,-26.88470703125,-20.743859375,-27.61133984375,-22.6708359375,-24.42571875,-27.44584765625
-1.42383203125,-6.47681640625,-7.51342578125,4.87255859375,-3.20204296875,-6.38319140625,-3.15788671875,2.94628125,-10.2233515625,-14.846875,-9.8656015625,-1.62796484375,-3.9331015625,-16.452984375,-18.97341015625,-9.69037890625,-5.893703125,-13.20783203125,-15.57737890625,-14.95665234375,-23.72470703125,-8.35184375,-15.38795703125,-21.496109375,-22.24370703125,-19.370859375,-23.41133984375,-19.9468359375,-20.08471875,-23.40784765625
-3.23083203125,-7.83481640625,-8.16242578125,4.93655859375,-4.51104296875,-7.98519140625,-4.39188671875,10.55628125,-10.2153515625,-15.231875,-10.5196015625,-1.88596484375,-5.2641015625,-16.684984375,-18.29241015625,-8.12537890625,-1.472703125,-12.98783203125,-14.65737890625,-12.72565234375,-20.59470703125,-7.87084375,-13.80395703125,-18.739109375,-17.83070703125,-16.671859375,-19.51933984375,-17.2568359375,-15.56971875,-18.96084765625
-4.91583203125,-9.77881640625,-9.35242578125,5.03055859375,-6.79204296875,-10.40019140625,-6.92988671875,17.37928125,-10.8183515625,-16.645875,-12.3606015625,-3.89596484375,-6.4851015625,-17.956984375,-18.58741015625,-8.26937890625,2.551296875,-13.45583203125,-14.76937890625,-11.70465234375,-18.56170703125,-7.87284375,-13.18195703125,-16.966109375,-14.53770703125,-12.919859375,-16.74033984375,-15.3328359375,-12.02471875,-14.92784765625
-6.32683203125,-12.07781640625,-11.08642578125,5.06755859375,-9.87904296875,-13.39919140625,-10.40488671875,21.29928125,-12.0713515625,-19.109875,-15.2316015625,-6.86396484375,-7.6201015625,-20.139984375,-20.00241015625,-10.27337890625,5.125296875,-14.71183203125,-16.09437890625,-12.30065234375,-18.00370703125,-8.46284375,-13.72595703125,-16.606109375,-13.06370703125,-8.633859375,-15.61133984375,-14.6988359375,-10.37171875,-11.97584765625
-7.73483203125,-14.60081640625,-13.43542578125,4.80355859375,-13.51504296875,-16.87519140625,-14.43788671875,21.16628125,-13.8993515625,-22.508875,-19.0206015625,-10.25996484375,-8.6241015625,-22.975984375,-22.57841015625,-14.14037890625,5.453296875,-16.71783203125,-18.59037890625,-14.63165234375,-19.13970703125,-9.63584375,-15.39995703125,-17.798109375,-13.73370703125,-4.491859375,-16.27633984375,-15.5038359375,-11.01171875,-10.45384765625
-9.48583203125,-17.11981640625,-16.26642578125,4.06355859375,-17.22904296875,-20.60019140625,-18.59488671875,17.09328125,-16.0443515625,-26.418875,-23.4486015625,-13.81996484375,-9.3201015625,-26.005984375,-26.03941015625,-19.49737890625,3.332296875,-19.19383203125,-21.86937890625,-18.32765234375,-21.83270703125,-11.18384375,-17.84095703125,-20.236109375,-16.29770703125,-1.067859375,-18.37033984375,-17.3998359375,-13.59271875,-10.23884765625
-11.55083203125,-19.13181640625,-19.01742578125,2.92555859375,-20.27704296875,-24.01119140625,-22.31588671875,10.19428125,-17.9843515625,-30.034875,-27.8726015625,-17.25996484375,-9.4201015625,-28.525984375,-29.66341015625,-25.42137890625,-0.705703124999999,-21.55583203125,-25.16037890625,-22.46065234375,-25.46870703125,-12.62484375,-20.34995703125,-23.145109375,-19.89470703125,1.410140625,-21.04933984375,-19.5868359375,-17.05371875,-10.72684765625
-13.35183203125,-19.95381640625,-20.82442578125,1.72055859375,-21.81704296875,-26.30519140625,-24.95888671875,2.10228125,-19.0413515625,-32.357875,-31.3656015625,-20.10096484375,-8.6651015625,-29.726984375,-32.45641015625,-30.58537890625,-5.552703125,-23.04683203125,-27.50137890625,-25.79265234375,-29.08170703125,-13.27384375,-22.06395703125,-25.518109375,-23.32770703125,3.065140625,-23.26933984375,-21.1018359375,-20.00571875,-11.06884765625
-14.01183203125,-19.07781640625,-20.93842578125,0.84955859375,-21.25904296875,-26.79919140625,-25.98988671875,-5.45471875,-18.6563515625,-32.589875,-33.0536015625,-21.80496484375,-6.9691015625,-28.993984375,-33.53041015625,-33.69837890625,-9.914703125,-23.00883203125,-28.08037890625,-27.23865234375,-31.71170703125,-12.46284375,-22.24895703125,-26.510109375,-25.53670703125,4.169140625,-24.18233984375,-21.1818359375,-21.29671875,-10.58084765625
-12.84483203125,-16.49681640625,-19.16142578125,0.54855859375,-18.57604296875,-25.28819140625,-25.24288671875,-10.93571875,-16.6773515625,-30.497875,-32.5066015625,-22.12896484375,-4.4601015625,-26.194984375,-32.47941015625,-34.00837890625,-12.728703125,-21.14683203125,-26.54837890625,-26.31765234375,-32.78470703125,-9.82984375,-20.55195703125,-25.768109375,-26.01370703125,4.900140625,-23.44833984375,-19.5448359375,-20.45171875,-9.08284765625
-9.82183203125,-12.81581640625,-16.02442578125,0.76255859375,-14.40404296875,-22.20019140625,-23.07088671875,-13.24571875,-13.5193515625,-26.591875,-29.9716015625,-21.37596484375,-1.4381015625,-21.831984375,-29.58141015625,-31.62937890625,-13.486703125,-17.68383203125,-23.20837890625,-23.39765234375,-32.35470703125,-5.58584375,-17.18095703125,-23.579109375,-24.99970703125,5.168140625,-21.38033984375,-16.5088359375,-17.86871875,-7.07584765625
-5.72983203125,-9.10681640625,-12.62242578125,1.20755859375,-9.89604296875,-18.49319140625,-20.23588671875,-12.00171875,-10.0663515625,-22.013875,-26.3666015625,-20.27796484375,1.6748984375,-16.978984375,-25.77141015625,-27.56837890625,-12.406703125,-13.34683203125,-19.01037890625,-19.63665234375,-31.10870703125,-0.60184375,-12.93395703125,-20.825109375,-23.42570703125,4.539140625,-18.89033984375,-12.9488359375,-14.71871875,-5.65684765625
