"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-7.4731171875,1.82982421875,-1.343265625,1.345640625,4.55182421875,7.66205078125,-1.4501796875,7.1628828125,0.67709375,6.0243984375,-0.1768828125,2.0609453125,-9.35631640625,5.12584765625,8.43691796875,5.08715625,3.330953125,4.26687109375,11.425015625,10.162328125,5.08667578125,8.50690234375,11.43535546875,13.142890625,15.59101953125,11.44596484375,14.0148203125,12.4108359375,6.6475625,6.1324296875
-8.7701171875,1.93182421875,-1.701265625,0.423640625,4.63182421875,6.71105078125,-2.2411796875,6.5738828125,0.54609375,5.4903984375,-0.2308828125,2.1989453125,-9.52231640625,4.95784765625,7.85091796875,4.86015625,3.822953125,4.04587109375,11.175015625,9.931328125,5.40667578125,6.99090234375,11.23735546875,13.111890625,15.00001953125,11.45196484375,14.3228203125,11.8368359375,7.4935625,6.6154296875
-8.8471171875,2.25182421875,-1.995265625,0.676640625,4.76382421875,6.00105078125,-2.5641796875,6.6738828125,1.12509375,5.0353984375,-0.2308828125,2.0779453125,-9.19731640625,4.84684765625,7.32191796875,4.79215625,4.108953125,3.99387109375,10.787015625,9.484328125,5.13867578125,5.95390234375,10.43335546875,12.467890625,13.96001953125,10.66296484375,13.7638203125,10.6188359375,7.3695625,6.1974296875
-7.9731171875,2.76482421875,-2.134265625,1.820640625,4.75982421875,5.45405078125,-2.4871796875,7.2448828125,2.15209375,4.5073984375,-0.287882812499999,1.6879453125,-8.38331640625,4.55384765625,6.76691796875,4.84615625,4.201953125,3.90387109375,10.132015625,8.741328125,4.27767578125,5.25190234375,8.82835546875,11.051890625,12.40001953125,9.08396484375,12.0788203125,8.5688359375,6.0325625,4.6754296875
-6.8241171875,3.34582421875,-2.015265625,3.154640625,4.40482421875,4.93605078125,-2.2091796875,7.8388828125,3.07309375,3.7153984375,-0.553882812499999,1.0959453125,-7.23131640625,3.76684765625,6.06291796875,4.87215625,4.166953125,3.42487109375,9.059015625,7.638328125,2.96267578125,4.49590234375,6.34135546875,8.808890625,10.33901953125,6.98096484375,9.1688203125,5.6288359375,3.4655625,2.0454296875
-6.0221171875,3.83482421875,-1.592265625,3.989640625,3.62482421875,4.39805078125,-1.8891796875,8.0878828125,3.37709375,2.5793984375,-1.0968828125,0.4439453125,-5.95431640625,2.31784765625,5.12891796875,4.66615625,4.085953125,2.24987109375,7.463015625,6.134328125,1.38667578125,3.24490234375,3.04235546875,5.799890625,7.86501953125,4.75596484375,5.1218203125,1.8848359375,-0.163437500000001,-1.5025703125
-5.7791171875,4.11382421875,-0.907265625,3.992640625,2.58082421875,3.93105078125,-1.5181796875,7.9078828125,2.88009375,1.2353984375,-1.8238828125,-0.0700546875000001,-4.73131640625,0.34684765625,3.99791796875,4.07815625,4.026953125,0.30087109375,5.374015625,4.253328125,-0.26132421875,1.26490234375,-0.81264453125,2.219890625,5.13101953125,2.83396484375,0.2178203125,-2.4491640625,-4.5474375,-5.6245703125
-5.9021171875,4.15982421875,-0.108265625,3.262640625,1.59082421875,3.69305078125,-0.9821796875,7.4688828125,1.79409375,0.00139843750000024,-2.5268828125,-0.2480546875,-3.64431640625,-1.71015234375,2.80591796875,3.09315625,4.027953125,-2.16612890625,2.984015625,2.115328125,-1.80932421875,-1.29009765625,-4.79364453125,-1.583109375,2.36701953125,1.52696484375,-5.0941796875,-7.0401640625,-9.3094375,-9.8885703125
-6.0591171875,4.02582421875,0.592734375,2.162640625,0.95082421875,3.75805078125,-0.2301796875,6.9888828125,0.57209375,-0.7906015625,-3.0328828125,0.00694531249999997,-2.66131640625,-3.31615234375,1.72391796875,1.82815625,4.080953125,-4.62312890625,0.612015625,-0.0526718749999997,-3.09432421875,-3.88609765625,-8.35764453125,-5.144109375,-0.134980468749999,0.94496484375,-10.2271796875,-11.4411640625,-14.0234375,-13.8585703125
-6.0261171875,3.78082421875,1.004734375,1.083640625,0.75782421875,4.01205078125,0.5988203125,6.5548828125,-0.34890625,-0.9916015625,-3.3318828125,0.6089453125,-1.67231640625,-4.09615234375,0.86691796875,0.47215625,4.158953125,-6.46112890625,-1.386984375,-1.947671875,-3.94632421875,-5.81309765625,-10.97164453125,-7.951109375,-2.03498046875,1.00096484375,-14.5331796875,-15.1181640625,-18.2004375,-17.1185703125
-5.7801171875,3.45482421875,1.027734375,0.270640625,0.85082421875,4.17805078125,1.1868203125,6.0838828125,-0.75790625,-0.7326015625,-3.5938828125,1.2999453125,-0.58531640625,-4.01015234375,0.25891796875,-0.77184375,4.261953125,-7.21912890625,-2.717984375,-3.239671875,-4.18132421875,-6.48509765625,-12.22864453125,-9.556109375,-2.99198046875,1.53296484375,-17.3971796875,-17.5491640625,-21.2944375,-19.2645703125
-5.4601171875,3.04382421875,0.659734375,-0.226359375,0.89982421875,3.95405078125,1.1598203125,5.4238828125,-0.71690625,-0.3616015625,-4.0428828125,1.7809453125,0.58368359375,-3.32415234375,-0.12908203125,-1.71484375,4.469953125,-6.73912890625,-3.195984375,-3.648671875,-3.64132421875,-5.67909765625,-11.93564453125,-9.669109375,-2.74598046875,2.44196484375,-18.3731796875,-18.3581640625,-22.8134375,-19.9265703125
