"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
0.75071875,1.78298046875,4.11325390625,-0.56060546875,0.87269921875,1.48787109375,5.87571484375,1.4707578125,0.7039609375,-0.7378203125,1.82985546875,-1.61966796875,1.33076953125,-1.5491015625,3.37119921875,2.71738671875,1.77159375,0.56213671875,1.889,5.9445,1.30458203125,1.45757421875,2.3703125,4.52640234375,7.99959375,6.5571171875,8.10592578125,-0.33163671875,3.01619921875,4.00557421875
0.20871875,1.12798046875,3.80525390625,-1.02260546875,0.24469921875,0.29687109375,4.19171484375,-0.3752421875,0.2819609375,-1.9848203125,0.87385546875,-2.20966796875,-0.32123046875,-2.8531015625,2.75619921875,1.93738671875,1.68759375,-0.15086328125,1.226,5.5955,1.89958203125,1.32157421875,2.1443125,4.56040234375,7.48959375,6.2701171875,8.49692578125,0.96636328125,3.69219921875,3.68057421875
-0.13528125,0.33298046875,3.14525390625,-1.08160546875,-0.59430078125,-1.19512890625,2.25371484375,-1.8902421875,-0.2470390625,-3.4618203125,-0.60114453125,-3.22166796875,-0.93223046875,-4.0661015625,1.44119921875,0.65138671875,1.31459375,-0.73686328125,0.06,4.3335,1.73458203125,1.01157421875,1.4973125,3.74740234375,6.22459375,5.4041171875,7.98792578125,1.49436328125,3.63319921875,2.86657421875
-0.22628125,-0.50201953125,2.21525390625,-0.71960546875,-1.56530078125,-2.84712890625,0.29871484375,-2.9852421875,-0.8370390625,-5.0688203125,-2.46814453125,-4.49166796875,-0.362230468750001,-5.1851015625,-0.54780078125,-1.03661328125,0.74559375,-1.24486328125,-1.618,2.1775,0.84058203125,0.49057421875,0.3513125,2.01640234375,4.25359375,4.0441171875,6.48592578125,1.06036328125,2.71219921875,1.51557421875
-0.05728125,-1.19301953125,1.27125390625,-0.0346054687499997,-2.48530078125,-4.34612890625,-1.25928515625,-3.6472421875,-1.3780390625,-6.5678203125,-4.35414453125,-5.65566796875,1.20576953125,-6.2071015625,-2.90280078125,-2.79161328125,0.19659375,-1.75586328125,-3.617,-0.4925,-0.466417968750001,-0.22342578125,-1.2306875,-0.39859765625,1.92059375,2.5041171875,4.21092578125,-0.30963671875,1.04919921875,-0.24342578125
0.31471875,-1.56101953125,0.62225390625,0.80139453125,-3.14430078125,-5.33912890625,-2.04428515625,-3.9422421875,-1.7410390625,-7.6748203125,-5.81314453125,-6.33566796875,3.31976953125,-7.0921015625,-5.14080078125,-4.20061328125,-0.12140625,-2.33086328125,-5.609,-3.0895,-1.73341796875,-1.06742578125,-3.0476875,-3.03359765625,-0.291406250000001,1.1661171875,1.62592578125,-2.36663671875,-1.01180078125,-2.15242578125
0.78271875,-1.52001953125,0.46825390625,1.60139453125,-3.38430078125,-5.59212890625,-1.91628515625,-4.0082421875,-1.8250390625,-8.1698203125,-6.52614453125,-6.33166796875,5.39876953125,-7.7491015625,-6.77380078125,-4.94661328125,-0.0994062499999999,-2.95386328125,-7.216,-5.0315,-2.55641796875,-1.93542578125,-4.8026875,-5.34059765625,-1.95140625,0.3121171875,-0.723074218749999,-4.67963671875,-3.00880078125,-3.88942578125
1.24171875,-1.11001953125,0.80825390625,2.23139453125,-3.13730078125,-5.07612890625,-1.02528515625,-3.9812421875,-1.5770390625,-7.9708203125,-6.42014453125,-5.68266796875,6.93276953125,-8.0401015625,-7.46780078125,-4.92761328125,0.24659375,-3.50886328125,-8.106,-5.9325,-2.71141796875,-2.68442578125,-6.1666875,-6.85559765625,-2.80940625,0.0371171875000003,-2.38007421875,-6.73363671875,-4.50580078125,-5.15242578125
1.64871875,-0.47901953125,1.47825390625,2.66739453125,-2.42030078125,-3.96412890625,0.29171484375,-3.9062421875,-0.9850390625,-7.1438203125,-5.65714453125,-4.60566796875,7.68376953125,-7.8261015625,-7.14180078125,-4.26461328125,0.84059375,-3.79686328125,-8.08,-5.6955,-2.18741796875,-3.15442578125,-6.8596875,-7.32759765625,-2.83540625,0.2711171875,-3.09307421875,-8.05563671875,-5.21780078125,-5.71942578125
2.01171875,0.19198046875,2.25025390625,2.99139453125,-1.32730078125,-2.54512890625,1.66671484375,-3.7192421875,-0.0820390625,-5.8578203125,-4.52414453125,-3.35266796875,7.77376953125,-7.0331015625,-5.95980078125,-3.20261328125,1.62159375,-3.60786328125,-7.134,-4.5045,-1.13441796875,-3.19842578125,-6.7256875,-6.76759765625,-2.17040625,0.8491171875,-2.85407421875,-8.35763671875,-5.08980078125,-5.48742578125
2.33771875,0.76498046875,2.93825390625,3.31539453125,-0.00930078124999989,-1.11712890625,2.82971484375,-3.3152421875,1.0389609375,-4.3248203125,-3.28914453125,-2.09666796875,7.58776953125,-5.7071015625,-4.25480078125,-1.99661328125,2.58659375,-2.81886328125,-5.465,-2.7235,0.22258203125,-2.75442578125,-5.7886875,-5.41059765625,-1.04640625,1.5911171875,-1.85907421875,-7.62763671875,-4.28080078125,-4.49342578125
2.61271875,1.19498046875,3.46025390625,3.70739453125,1.33969921875,0.11387109375,3.68271484375,-2.6482421875,2.2189609375,-2.7458203125,-2.10014453125,-0.89166796875,7.55176953125,-4.0341015625,-2.39980078125,-0.82361328125,3.74959375,-1.48686328125,-3.425,-0.7705,1.66158203125,-1.89242578125,-4.2676875,-3.62159765625,0.28759375,2.3351171875,-0.44007421875,-6.15063671875,-3.11280078125,-2.92542578125
