"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
0.2218046875,6.3362421875,10.64211328125,-3.89882421875,-5.304109375,7.03266015625,-1.21868359375,-4.72315625,1.5815625,-3.88065625,3.98052734375,6.8653203125,-10.21115625,-2.00574609375,0.510203125,2.74190625,4.91451953125,0.37514453125,1.78281640625,3.8828359375,10.63518359375,7.62876171875,-0.0504999999999998,2.9839296875,1.30689453125,5.39266015625,5.8444453125,10.37586328125,10.2951953125,2.9468671875
-0.606195312500001,5.3642421875,8.83811328125,-6.92982421875,-4.475109375,7.18366015625,-0.59868359375,-0.57115625,-1.4004375,-5.80165625,1.69552734375,5.3263203125,-12.24915625,-4.18574609375,-1.932796875,0.37390625,11.23051953125,-2.11485546875,-0.99218359375,2.2308359375,9.68218359375,7.51476171875,-2.5755,-0.1570703125,-0.0331054687500001,5.20366015625,3.6764453125,9.43486328125,8.4231953125,1.4108671875
-0.2951953125,3.9572421875,7.33711328125,-8.06582421875,-5.328109375,6.13666015625,-2.17968359375,1.31484375,-3.2174375,-8.00265625,-1.18047265625,2.9113203125,-12.98115625,-6.17574609375,-4.537796875,-2.65909375,13.47851953125,-3.84385546875,-3.54818359375,-0.0361640625,7.52218359375,7.28076171875,-4.8985,-2.9910703125,-2.21910546875,3.65466015625,1.4154453125,7.70586328125,5.9131953125,-0.9671328125
0.8878046875,2.0412421875,6.13211328125,-7.63482421875,-7.803109375,3.96266015625,-5.53568359375,0.71984375,-4.3874375,-10.49665625,-4.46747265625,-0.2846796875,-12.10115625,-8.02974609375,-7.147796875,-6.17609375,11.70851953125,-4.79285546875,-5.74418359375,-2.7701640625,4.27618359375,6.80076171875,-6.9005,-5.3920703125,-5.15310546875,0.83066015625,-0.8925546875,5.26886328125,2.8801953125,-4.0521328125
2.2548046875,-0.2097578125,5.21111328125,-6.61182421875,-11.202109375,1.19166015625,-9.48668359375,-1.82315625,-5.6744375,-13.11965625,-7.68847265625,-3.7356796875,-9.87715625,-9.79774609375,-9.463796875,-9.63309375,7.28651953125,-5.16785546875,-7.44218359375,-5.5331640625,0.583183593749999,5.95676171875,-8.4845,-7.2660703125,-8.36910546875,-2.65233984375,-3.1395546875,2.42886328125,-0.3128046875,-7.3311328125
3.1408046875,-2.3297578125,4.68611328125,-5.97982421875,-14.495109375,-1.38433984375,-12.73468359375,-5.21515625,-7.4404375,-15.51165625,-10.20447265625,-6.5926796875,-7.12715625,-11.40074609375,-11.117796875,-12.27409375,2.11751953125,-5.21485546875,-8.51418359375,-7.7441640625,-2.61281640625,4.76076171875,-9.5545,-8.5310703125,-11.17110546875,-5.87233984375,-5.1405546875,-0.42313671875,-3.1738046875,-10.1021328125
3.2388046875,-3.6847578125,4.85811328125,-6.15082421875,-16.655109375,-2.95133984375,-14.33668359375,-8.16415625,-9.3324375,-17.14965625,-11.39347265625,-7.9496796875,-4.79715625,-12.53674609375,-11.745796875,-13.34509375,-2.15648046875,-5.00885546875,-8.82718359375,-8.8621640625,-4.40281640625,3.48376171875,-9.9635,-9.0800703125,-12.85010546875,-7.93933984375,-6.6115546875,-2.85313671875,-5.1968046875,-11.7241328125
2.6458046875,-3.7237578125,6.12811328125,-6.78382421875,-16.868109375,-2.86733984375,-13.87268359375,-9.57615625,-10.4384375,-17.46265625,-10.82347265625,-7.2236796875,-3.41915625,-12.73574609375,-11.074796875,-12.38109375,-4.63348046875,-4.36485546875,-8.25318359375,-8.5701640625,-4.25281640625,2.64976171875,-9.5115,-8.7970703125,-12.92510546875,-8.31733984375,-7.2155546875,-4.40613671875,-5.9908046875,-11.8461328125
1.6718046875,-2.2567578125,8.69411328125,-7.07682421875,-14.688109375,-0.862339843750001,-11.44468359375,-8.91915625,-9.7994375,-16.03965625,-8.43247265625,-4.5086796875,-2.89615625,-11.56774609375,-9.046796875,-9.44909375,-5.20248046875,-2.98785546875,-6.75718359375,-6.9331640625,-2.25181640625,2.81276171875,-8.0665,-7.6670703125,-11.35510546875,-7.04933984375,-6.7125546875,-4.70413671875,-5.4328046875,-10.5631328125
0.6228046875,0.3752421875,12.15011328125,-6.32982421875,-10.258109375,2.75866015625,-7.64368359375,-6.46615625,-7.0104375,-12.89465625,-4.65447265625,-0.6796796875,-2.70815625,-8.95574609375,-5.945796875,-5.25809375,-4.30848046875,-0.78385546875,-4.51818359375,-4.4321640625,0.86018359375,4.22776171875,-5.7515,-5.8980703125,-8.62410546875,-4.76833984375,-5.1575546875,-3.65113671875,-3.7778046875,-8.4101328125
