"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
11.52040625,7.708984375,13.678828125,5.32700390625,7.71573046875,13.6192421875,14.33060546875,16.15437109375,-1.31432421875,12.47380859375,14.239234375,22.83973828125,-1.3091796875,3.6818984375,11.63202734375,13.981703125,7.60634375,4.4881796875,11.2336953125,10.87059765625,3.92621875,-5.41686328125,3.12896875,18.36471875,7.13253125,2.22173046875,0.284207031249999,3.10166015625,1.66930859375,8.9405234375
7.69140625,4.826984375,9.142828125,-0.23699609375,4.44273046875,7.7532421875,6.66060546875,11.79637109375,-1.70332421875,7.51780859375,9.291234375,5.88673828125,-2.2501796875,2.5278984375,8.48202734375,7.431703125,7.78234375,2.6951796875,9.0396953125,8.03559765625,3.71821875,-8.76886328125,0.89496875,15.88671875,5.88653125,0.95673046875,-0.816792968750001,2.10366015625,0.71730859375,8.4195234375
4.97840625,2.552984375,5.803828125,-4.14099609375,1.80973046875,3.9702421875,2.04860546875,8.62437109375,-3.82532421875,4.03580859375,5.912234375,-4.18826171875,-2.7001796875,1.3908984375,6.07802734375,3.733703125,7.31334375,1.5661796875,7.2576953125,6.13459765625,3.90421875,-9.77686328125,-0.51703125,14.02571875,5.27253125,0.53973046875,-1.42079296875,2.12666015625,0.44430859375,7.9875234375
3.22840625,0.837984375,3.810828125,-6.48399609375,-0.0432695312500004,2.2282421875,0.29760546875,6.67037109375,-7.10032421875,2.06280859375,3.992234375,-7.50826171875,-2.9081796875,0.1628984375,4.39002734375,2.696703125,6.47234375,1.0881796875,5.8116953125,5.06159765625,4.30621875,-8.51586328125,-1.11303125,12.81471875,5.19953125,1.00173046875,-1.62979296875,3.06966015625,0.79630859375,7.5285234375
2.02040625,-0.501015625,3.005828125,-7.78399609375,-1.13326953125,1.9002421875,0.28060546875,5.61237109375,-10.26132421875,1.21980859375,2.997234375,-6.14926171875,-3.3001796875,-1.2841015625,3.18102734375,3.271703125,5.71634375,1.0321796875,4.5096953125,4.43459765625,4.62321875,-5.86786328125,-1.14603125,12.11271875,5.34853125,2.04873046875,-1.73979296875,4.46266015625,1.45530859375,6.8885234375
1.00540625,-1.608015625,3.023828125,-8.53699609375,-1.58026953125,2.2282421875,0.71360546875,4.98337109375,-12.10432421875,1.00580859375,2.377234375,-2.73826171875,-4.1591796875,-2.9691015625,2.19702734375,4.257703125,5.27234375,1.1221796875,3.2126953125,3.87559765625,4.70921875,-3.04586328125,-0.93303125,11.73171875,5.39253125,3.20773046875,-2.05879296875,5.73666015625,2.01530859375,6.0005234375
0.11240625,-2.486015625,3.417828125,-8.95399609375,-1.53326953125,2.7072421875,0.83260546875,4.40337109375,-12.09832421875,1.06580859375,1.884234375,0.75273828125,-5.3481796875,-4.6811015625,1.34602734375,4.914703125,4.92334375,1.1891796875,1.9636953125,3.24559765625,4.72521875,-1.02986328125,-0.66903125,11.56471875,5.20253125,4.06473046875,-2.70179296875,6.53366015625,2.21230859375,4.9855234375
-0.484593749999999,-3.009015625,3.784828125,-8.98199609375,-1.11226953125,3.1712421875,0.58560546875,3.69637109375,-10.49832421875,1.28180859375,1.607234375,3.45673828125,-6.3031796875,-6.0001015625,0.73102734375,5.148703125,4.19234375,1.2381796875,0.986695312500001,2.67359765625,5.00321875,-0.18986328125,-0.35503125,11.62471875,4.89453125,4.44973046875,-3.51279296875,6.85566015625,2.05030859375,4.1235234375
-0.534593749999999,-3.033015625,3.878828125,-8.51099609375,-0.42726953125,3.6442421875,0.34360546875,2.91337109375,-8.01732421875,1.66180859375,1.746234375,5.31973828125,-6.3461796875,-6.5081015625,0.52702734375,5.242703125,2.82334375,1.3531796875,0.522695312500001,2.37459765625,5.69221875,-0.26886328125,0.10096875,11.94171875,4.66853125,4.44173046875,-4.19579296875,6.97466015625,1.74830859375,3.6765234375
0.114406250000001,-2.518015625,3.679828125,-7.52499609375,0.34273046875,4.1422421875,0.41560546875,2.31137109375,-5.39132421875,2.17380859375,2.333234375,6.51373828125,-5.1471796875,-6.0721015625,0.77902734375,5.414703125,1.14434375,1.5631796875,0.626695312500001,2.39859765625,6.49021875,-0.68786328125,0.71296875,12.41471875,4.57253125,4.19873046875,-4.55879296875,7.16866015625,1.52930859375,3.6675234375
1.40940625,-1.599015625,3.378828125,-6.14399609375,0.92973046875,4.5742421875,0.72860546875,2.26137109375,-3.13932421875,2.65180859375,3.100234375,7.02073828125,-3.0331796875,-4.9841015625,1.28002734375,5.546703125,-0.00365625000000014,1.7621796875,1.0616953125,2.51959765625,6.73321875,-0.95086328125,1.30196875,12.73371875,4.38053125,3.78973046875,-4.70579296875,7.47766015625,1.42530859375,3.7855234375
3.04240625,-0.561015625,3.268828125,-4.60199609375,1.07773046875,4.7612421875,0.87660546875,3.05837109375,-1.55332421875,2.84280859375,3.605234375,6.63673828125,-0.9211796875,-3.8251015625,1.64902734375,5.260703125,0.21434375,1.7621796875,1.3806953125,2.33959765625,5.80221875,-0.93086328125,1.54396875,12.46971875,3.70353125,3.15173046875,-5.02279296875,7.64566015625,1.23230859375,3.4895234375
4.53440625,0.254984375,3.561828125,-3.18599609375,0.71073046875,4.5562421875,0.44560546875,4.66937109375,-0.76332421875,2.56180859375,3.495234375,5.27973828125,0.1288203125,-3.1531015625,1.53402734375,4.215703125,2.03034375,1.4211796875,1.1536953125,1.52059765625,3.52421875,-0.87886328125,1.13596875,11.27271875,2.22353125,2.17173046875,-5.96979296875,7.27566015625,0.63430859375,2.2705234375
5.44640625,0.586984375,4.250828125,-2.13499609375,0.02173046875,3.9922421875,-0.626394531249999,6.61237109375,-0.72932421875,1.84580859375,2.724234375,3.25073828125,-0.5011796875,-3.2051015625,0.80802734375,2.348703125,4.82234375,0.7651796875,0.192695312500001,-0.0354023437500002,0.27021875,-1.19486328125,-0.0300312500000001,9.06071875,-0.12746875,0.80173046875,-7.81679296875,6.08566015625,-0.60069140625,-0.0714765624999999
5.60040625,0.355984375,5.097828125,-1.54799609375,-0.61126953125,3.3202421875,-1.96139453125,8.11737109375,-1.20832421875,0.992808593749999,1.562234375,1.17473828125,-2.5971796875,-3.8011015625,-0.37297265625,-0.0972968749999996,7.39634375,0.0201796875000002,-1.3343046875,-2.14440234375,-3.26478125,-2.07186328125,-1.76803125,6.10571875,-3.12546875,-0.89126953125,-10.48079296875,4.12566015625,-2.46969140625,-3.2784765625
5.16140625,-0.299015625,5.771828125,-1.33299609375,-0.80326953125,2.8972421875,-2.97039453125,8.51737109375,-1.77832421875,0.450808593749999,0.438234375,-0.36526171875,-5.1541796875,-4.4561015625,-1.62497265625,-2.694296875,8.61434375,-0.4618203125,-2.9603046875,-4.41640234375,-6.38478125,-3.27486328125,-3.63203125,2.96071875,-6.33646875,-2.74326953125,-13.52279296875,1.83166015625,-4.68569140625,-6.7044765625
4.50840625,-1.066015625,6.050828125,-1.23099609375,-0.31826953125,2.9982421875,-3.22539453125,7.62737109375,-1.97032421875,0.633808593749999,-0.256765625,-1.15626171875,-6.8281796875,-4.6201015625,-2.48397265625,-4.989296875,7.94634375,-0.3458203125,-4.0913046875,-6.38140234375,-8.60978125,-4.19286328125,-5.06603125,0.283718750000002,-9.24746875,-4.54126953125,-16.29279296875,-0.13033984375,-6.76369140625,-9.5644765625
4.00840625,-1.569015625,5.937828125,-0.88999609375,0.85373046875,3.7002421875,-2.66039453125,5.88737109375,-1.44132421875,1.75880859375,-0.300765624999999,-1.36126171875,-6.5751796875,-3.9301015625,-2.56197265625,-6.591296875,5.68534375,0.5301796875,-4.2493046875,-7.60940234375,-9.73978125,-4.15386328125,-5.61403125,-1.36028125,-11.38246875,-6.07226953125,-18.14579296875,-1.16233984375,-8.20269140625,-11.2494765625
3.85440625,-1.518015625,5.624828125,-0.0059960937500001,2.50073046875,4.8742421875,-1.51339453125,4.15837109375,-0.13732421875,3.75980859375,0.335234375000001,-1.24126171875,-4.1341796875,-2.3771015625,-1.68897265625,-7.233296875,2.72934375,2.0691796875,-3.2773046875,-7.82940234375,-9.82078125,-2.80986328125,-5.10203125,-1.67528125,-12.40446875,-7.17926953125,-18.66679296875,-1.00633984375,-8.67369140625,-11.5444765625
4.01740625,-0.842015625,5.352828125,1.49700390625,4.25173046875,6.2272421875,-0.146394531249999,3.28437109375,1.65567578125,6.28580859375,1.515234375,-0.91526171875,-0.1431796875,-0.3141015625,0.00902734374999969,-6.833296875,0.13434375,3.9541796875,-1.4213046875,-7.00840234375,-9.07678125,-0.36486328125,-3.70903125,-0.712281249999998,-12.18746875,-7.80626953125,-17.80879296875,0.167660156249999,-8.13869140625,-10.6754765625
4.33540625,0.278984375,5.291828125,3.36700390625,5.72573046875,7.3912421875,1.12460546875,3.65237109375,3.44267578125,8.81580859375,3.000234375,-0.33626171875,4.1548203125,1.7138984375,2.16902734375,-5.532296875,-1.33965625,5.7841796875,0.777695312500001,-5.35240234375,-7.81578125,2.50513671875,-1.88103125,1.15971875,-10.83746875,-8.02426953125,-15.89179296875,1.90566015625,-6.82669140625,-9.1664765625
