"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-1.21328125,0.54581640625,-3.40073828125,-8.025265625,-8.3767578125,-3.6959375,-4.61234375,2.33323046875,-1.03675,-10.43119140625,-7.9404375,-6.73793359375,-14.7798828125,-11.7462890625,-9.361171875,-10.76016796875,-1.148796875,-12.1997265625,-12.25910546875,-9.91712890625,-13.857140625,-9.0255703125,-12.8938984375,-13.9383046875,-14.472828125,-9.4762421875,-14.4300546875,-11.5136796875,-8.80965625,-11.8539921875
1.41671875,-0.34218359375,-3.80273828125,-7.313265625,-10.6347578125,-5.1359375,-5.63034375,4.22123046875,2.59725,-12.51119140625,-10.2624375,-7.40293359375,-14.4828828125,-13.2442890625,-12.514171875,-12.53616796875,-0.996796875,-11.7207265625,-14.21810546875,-10.41012890625,-13.725140625,-8.4825703125,-13.3328984375,-14.6043046875,-14.719828125,-8.6732421875,-14.9570546875,-11.2586796875,-9.89465625,-12.0269921875
2.81471875,-1.19618359375,-4.48073828125,-7.215265625,-12.2957578125,-6.4559375,-6.75134375,3.83723046875,4.63525,-14.38119140625,-12.2584375,-7.77593359375,-14.6958828125,-14.6072890625,-15.020171875,-13.80116796875,-1.067796875,-12.0417265625,-15.87910546875,-11.19912890625,-13.382140625,-8.6345703125,-14.1688984375,-15.3723046875,-15.054828125,-7.8912421875,-15.4490546875,-11.2096796875,-10.83665625,-12.2009921875
3.05371875,-1.92418359375,-5.26373828125,-7.596265625,-13.1457578125,-7.4439375,-7.85534375,1.37223046875,5.32125,-15.65619140625,-13.7034375,-7.80793359375,-15.3068828125,-15.5582890625,-16.608171875,-14.51516796875,-1.113796875,-12.8267265625,-16.98310546875,-12.13612890625,-12.845140625,-9.3065703125,-15.0918984375,-16.0143046875,-15.385828125,-7.1472421875,-15.7360546875,-11.1496796875,-11.47765625,-12.2759921875
2.67471875,-2.34318359375,-5.84473828125,-7.991265625,-12.9957578125,-7.7889375,-8.67434375,-2.07676953125,5.48825,-15.83119140625,-14.3044375,-7.47393359375,-15.8588828125,-15.7042890625,-17.006171875,-14.65916796875,-0.761796875,-13.3227265625,-17.18910546875,-12.81612890625,-12.108140625,-9.9325703125,-15.4838984375,-16.1063046875,-15.443828125,-6.3652421875,-15.5020546875,-10.6646796875,-11.54265625,-12.0139921875
2.40971875,-2.21718359375,-5.93873828125,-7.787265625,-11.6887578125,-7.1759375,-8.83834375,-4.97276953125,6.10425,-14.49319140625,-13.7694375,-6.71493359375,-15.7168828125,-14.6662890625,-15.981171875,-14.12816796875,0.259203125,-12.7317265625,-16.16710546875,-12.69212890625,-11.052140625,-9.7625703125,-14.6798984375,-15.1773046875,-14.836828125,-5.3352421875,-14.3660546875,-9.3156796875,-10.68265625,-11.0629921875
2.82471875,-1.37118359375,-5.42273828125,-6.508265625,-9.1877578125,-5.4629375,-8.01134375,-5.97776953125,7.82125,-11.55319140625,-11.9584375,-5.46193359375,-14.3768828125,-12.2742890625,-13.463171875,-12.76416796875,1.954203125,-10.5947265625,-13.78710546875,-11.32312890625,-9.504140625,-8.2105703125,-12.3168984375,-12.9643046875,-13.234828125,-3.8162421875,-12.0970546875,-6.8926796875,-8.66365625,-9.1459921875
4.06071875,0.14181640625,-4.40673828125,-4.081265625,-5.7417578125,-2.8599375,-6.07134375,-4.54276953125,10.70625,-7.40319140625,-9.0494375,-3.73493359375,-11.7848828125,-8.7492890625,-9.727171875,-10.55016796875,4.006203125,-7.0547265625,-10.28510546875,-8.62812890625,-7.439140625,-5.1775703125,-8.5838984375,-9.6523046875,-10.635828125,-1.7832421875,-8.8470546875,-3.6086796875,-5.62765625,-6.3229921875
5.79971875,1.95981640625,-3.19973828125,-0.958265625,-1.9727578125,0.0320624999999999,-3.28534375,-1.17676953125,14.20925,-2.88619140625,-5.5954375,-1.75093359375,-8.4558828125,-4.7342890625,-5.455171875,-7.77616796875,5.853203125,-2.8467265625,-6.29510546875,-5.02612890625,-5.159140625,-1.1985703125,-4.2378984375,-5.9063046875,-7.499828125,0.3657578125,-5.2270546875,-0.1096796875,-2.21065625,-3.1559921875
7.47371875,3.54481640625,-2.22073828125,2.016734375,1.2782421875,2.4260625,-0.31234375,2.77723046875,17.38425,0.96480859375,-2.3724375,0.0880664062500003,-5.2988828125,-1.1222890625,-1.568171875,-5.00716796875,6.887203125,0.9582734375,-2.64810546875,-1.31212890625,-3.227140625,2.7204296875,-0.3208984375,-2.6203046875,-4.592828125,1.9007578125,-2.0940546875,2.7643203125,0.661343749999999,-0.5329921875
8.60471875,4.46281640625,-1.86173828125,3.974734375,3.2642421875,3.6950625,2.00865625,5.76223046875,19.29625,3.30480859375,-0.0834375000000005,1.32906640625,-3.2328828125,1.2737109375,1.111828125,-2.85416796875,6.719203125,3.3622734375,-0.0551054687499999,1.65387109375,-2.175140625,5.5104296875,2.2921015625,-0.5143046875,-2.619828125,2.1607578125,-0.1540546875,4.3613203125,2.22534375,0.7880078125
9.05371875,4.61181640625,-2.34973828125,4.409734375,3.6152421875,3.6270625,3.00365625,6.68323046875,19.41825,3.77480859375,0.8865625,1.64106640625,-2.8148828125,2.0217109375,2.147828125,-1.72516796875,5.374203125,3.8152734375,1.13389453125,3.26887109375,-2.187140625,6.4754296875,3.2491015625,0.1586953125,-1.903828125,0.9927578125,0.3569453125,4.5143203125,2.26734375,0.6120078125
9.00371875,4.20481640625,-3.61673828125,3.356734375,2.4252421875,2.4470625,2.38965625,5.28823046875,17.81825,2.55580859375,0.5305625,0.92606640625,-4.0498828125,1.1747109375,1.578828125,-1.72116796875,3.282203125,2.3822734375,0.97589453125,3.36687109375,-3.026140625,5.5504296875,2.7881015625,-0.3733046875,-2.309828125,-1.1142421875,-0.2920546875,3.5713203125,1.18534375,-0.6199921875
8.71271875,3.54981640625,-5.28473828125,1.276734375,0.1622421875,0.613062499999999,0.300656249999999,2.16123046875,15.06325,0.22080859375,-0.8764375,-0.66493359375,-6.4188828125,-0.8072890625,-0.162171875,-2.67116796875,1.063203125,-0.3247265625,-0.18010546875,2.17887109375,-4.210140625,3.2744296875,1.5141015625,-1.6093046875,-3.426828125,-3.3092421875,-1.5440546875,2.1503203125,-0.29465625,-2.1489921875
8.29671875,2.83981640625,-6.79773828125,-1.178265625,-2.4997578125,-1.4009375,-2.82634375,-1.59876953125,11.99025,-2.48919140625,-2.9204375,-2.78693359375,-9.0858828125,-3.2452890625,-2.433171875,-4.25316796875,-0.763796875,-3.3987265625,-1.85910546875,0.18887109375,-5.310140625,0.5374296875,0.0801015624999994,-3.0553046875,-4.829828125,-4.8792421875,-2.8650546875,0.8233203125,-1.52165625,-3.3699921875
7.71371875,2.09981640625,-7.67573828125,-3.384265625,-4.8767578125,-3.2379375,-6.37834375,-4.86376953125,9.43925,-4.87919140625,-5.1644375,-5.00893359375,-11.2158828125,-5.4492890625,-4.594171875,-6.11416796875,-1.951796875,-5.9487265625,-3.58710546875,-2.04212890625,-6.175140625,-1.7525703125,-1.0488984375,-4.3923046875,-6.256828125,-5.6072421875,-3.9310546875,-0.0966796874999996,-2.19965625,-4.1049921875
6.89271875,1.29081640625,-7.74673828125,-4.902265625,-6.4587578125,-4.6959375,-9.68634375,-6.91976953125,8.03025,-6.46419140625,-7.2274375,-6.93593359375,-12.2948828125,-6.9092890625,-6.190171875,-7.95716796875,-2.507796875,-7.3967265625,-4.98110546875,-4.03112890625,-6.954140625,-2.9875703125,-1.6728984375,-5.5053046875,-7.629828125,-5.8032421875,-4.6670546875,-0.5916796875,-2.41665625,-4.5749921875
5.84871875,0.45681640625,-7.19473828125,-5.594265625,-7.0347578125,-5.7059375,-12.17734375,-7.66176953125,7.97525,-7.07619140625,-8.8224375,-8.30993359375,-12.2648828125,-7.4082890625,-7.053171875,-9.56516796875,-2.552796875,-7.6397265625,-5.80610546875,-5.46012890625,-7.901140625,-3.0405703125,-1.8128984375,-6.3983046875,-8.933828125,-6.0032421875,-5.1320546875,-0.8426796875,-2.45365625,-5.1099921875
4.70271875,-0.21318359375,-6.40773828125,-5.618265625,-6.7067578125,-6.2849375,-13.48334375,-7.48976953125,9.03625,-6.86219140625,-9.7634375,-9.04093359375,-11.4358828125,-7.0372890625,-7.260171875,-10.75616796875,-2.194796875,-7.0187265625,-5.98410546875,-6.20512890625,-9.107140625,-2.2445703125,-1.6158984375,-7.0663046875,-10.070828125,-6.5822421875,-5.3900546875,-1.0786796875,-2.52565625,-5.8499921875
3.64671875,-0.46218359375,-5.76573828125,-5.285265625,-5.8207578125,-6.4949375,-13.47334375,-6.99876953125,10.64325,-6.17919140625,-9.9694375,-9.17993359375,-10.2618828125,-6.1292890625,-7.034171875,-11.36416796875,-1.533796875,-6.1177265625,-5.60210546875,-6.29412890625,-10.358140625,-1.1885703125,-1.2628984375,-7.4423046875,-10.826828125,-7.5472421875,-5.4460546875,-1.4306796875,-2.64965625,-6.6279921875
2.89671875,-0.12918359375,-5.49273828125,-4.864265625,-4.8537578125,-6.4119375,-12.24134375,-6.67776953125,12.11925,-5.45019140625,-9.4864375,-8.87493359375,-9.1918828125,-5.1332890625,-6.632171875,-11.29016796875,-0.742796875,-5.5187265625,-4.89110546875,-5.87612890625,-11.255140625,-0.4555703125,-0.9178984375,-7.4463046875,-11.004828125,-8.5962421875,-5.2960546875,-1.8786796875,-2.71265625,-7.1149921875
