"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
1.4634765625,12.4090859375,4.71180078125,3.96615625,10.81612109375,12.22191796875,10.1910078125,10.37430078125,16.08011328125,21.85444921875,16.81574609375,6.78358984375,3.71829296875,13.1064609375,19.66666796875,11.8349765625,10.27751953125,7.79096875,15.416046875,13.13153515625,16.11352734375,0.896531250000001,8.2698359375,12.12868359375,5.90210546875,7.53003125,9.06302734375,10.6594453125,12.645390625,7.7338046875
6.1064765625,12.1030859375,5.43680078125,4.73115625,11.59812109375,13.81891796875,10.7010078125,12.82330078125,16.14211328125,22.55244921875,17.78774609375,8.60958984375,0.28829296875,13.8644609375,21.96066796875,12.6199765625,10.42851953125,8.91896875,14.788046875,14.33153515625,18.22252734375,1.00753125,8.9378359375,12.82968359375,8.43210546875,10.90903125,10.46802734375,12.5654453125,16.195390625,13.3618046875
8.5374765625,11.8940859375,6.19780078125,5.07215625,11.72712109375,14.93291796875,11.1120078125,14.20230078125,15.76711328125,22.98644921875,18.21074609375,9.96058984375,-2.07470703125,13.9524609375,23.09366796875,13.1909765625,11.04851953125,9.13196875,14.129046875,15.06153515625,19.69652734375,0.362531250000001,9.3738359375,13.31868359375,10.33210546875,12.93903125,11.34202734375,13.5984453125,18.027390625,15.9398046875
9.0104765625,11.8300859375,7.03580078125,5.28515625,11.16112109375,15.62191796875,11.4400078125,14.53930078125,15.11711328125,23.13344921875,18.08274609375,10.81258984375,-3.14170703125,13.5274609375,23.12566796875,13.5919765625,12.13651953125,8.61396875,13.523046875,15.39353515625,20.60752734375,-0.73846875,9.8178359375,13.69468359375,11.65610546875,13.76403125,11.83702734375,13.8364453125,18.240390625,15.8138046875
8.3774765625,11.8900859375,7.91980078125,5.76215625,10.03412109375,16.02491796875,11.6590078125,14.14930078125,14.45111328125,22.98444921875,17.49074609375,11.22358984375,-2.98570703125,12.9054609375,22.42766796875,13.8899765625,13.50651953125,7.81996875,13.039046875,15.48153515625,21.16252734375,-1.75446875,10.5188359375,14.08468359375,12.59310546875,13.93403125,12.20802734375,13.5634453125,17.414390625,14.2828046875
7.4644765625,11.9440859375,8.67480078125,6.67215625,8.55112109375,16.18191796875,11.6390078125,13.44030078125,13.91211328125,22.47444921875,16.49574609375,11.24358984375,-1.94170703125,12.2984609375,21.40266796875,14.0639765625,14.82751953125,7.16096875,12.639046875,15.38553515625,21.49552734375,-2.29846875,11.4728359375,14.50068359375,13.26510546875,14.02803125,12.56502734375,13.0114453125,16.168390625,12.7158046875
6.6944765625,11.7830859375,9.02780078125,7.81715625,6.89412109375,15.99091796875,11.1920078125,12.80030078125,13.43611328125,21.49044921875,15.09174609375,10.89258984375,-0.46070703125,11.7004609375,20.30666796875,13.9899765625,15.73751953125,6.78496875,12.173046875,15.02253515625,21.57152734375,-2.37646875,12.3748359375,14.78968359375,13.62010546875,14.35503125,12.77902734375,12.2274453125,14.851390625,11.8508046875
6.1004765625,11.2100859375,8.73980078125,8.75315625,5.16112109375,15.29991796875,10.1950078125,12.55230078125,12.82211328125,19.95144921875,13.28474609375,10.21458984375,1.02529296875,10.9604609375,19.24766796875,13.5189765625,15.99251953125,6.54896875,11.466046875,14.26253515625,21.27452734375,-2.33146875,12.8148359375,14.72868359375,13.50110546875,14.89303125,12.61802734375,11.1484453125,13.532390625,11.6828046875
5.5504765625,10.1420859375,7.76080078125,9.04915625,3.38612109375,14.05791796875,8.7080078125,12.88330078125,11.89311328125,17.90544921875,11.18974609375,9.33958984375,2.18129296875,9.9394609375,18.27966796875,12.6079765625,15.59251953125,6.15696875,10.444046875,13.07653515625,20.56452734375,-2.57646875,12.5668359375,14.18568359375,12.81010546875,15.43603125,11.97502734375,9.7954453125,12.208390625,11.8338046875
4.9544765625,8.6660859375,6.28980078125,8.52515625,1.60012109375,12.40391796875,6.9800078125,13.73430078125,10.62611328125,15.56844921875,9.06174609375,8.46558984375,2.79629296875,8.6224609375,17.47866796875,11.3829765625,14.78651953125,5.35196875,9.206046875,11.61053515625,19.56252734375,-3.30046875,11.7378359375,13.20968359375,11.62710546875,15.79003125,10.98902734375,8.3874453125,10.978390625,12.0198046875
4.3814765625,7.0080859375,4.71380078125,7.34515625,-0.11487890625,10.64191796875,5.3400078125,14.76530078125,9.19611328125,13.27244921875,7.21574609375,7.77358984375,2.79029296875,7.1374609375,16.93566796875,10.0679765625,13.93251953125,4.06196875,7.971046875,10.12153515625,18.50652734375,-4.34746875,10.6948359375,11.97868359375,10.18410546875,15.85803125,9.96302734375,7.3014453125,10.058390625,12.2558046875
4.0474765625,5.4350859375,3.43080078125,5.92615625,-1.61487890625,9.12691796875,4.0430078125,15.42830078125,7.90211328125,11.33144921875,5.90474609375,7.33558984375,2.21929296875,5.6914609375,16.68766796875,8.8529765625,13.29651953125,2.44296875,6.942046875,8.83553515625,17.60252734375,-5.31346875,9.8358359375,10.65468359375,8.73010546875,15.63303125,9.15802734375,6.8854453125,9.640390625,12.7418046875
4.1534765625,4.1420859375,2.64180078125,4.71915625,-2.75687890625,8.10791796875,3.1660078125,15.13930078125,7.02811328125,9.91444921875,5.18774609375,7.09558984375,1.22529296875,4.4614609375,16.63866796875,7.7949765625,12.91051953125,0.78596875,6.184046875,7.82153515625,16.90452734375,-5.78946875,9.3528359375,9.27668359375,7.38810546875,15.11603125,8.61102734375,7.2424453125,9.740390625,13.5898046875
4.6814765625,3.1900859375,2.23680078125,3.98715625,-3.47487890625,7.60091796875,2.5880078125,13.51030078125,6.70811328125,8.99344921875,4.89774609375,6.93058984375,-0.0257070312500001,3.5104609375,16.53466796875,6.8309765625,12.59651953125,-0.62603125,5.596046875,6.96953515625,16.28852734375,-5.60446875,9.1398359375,7.78168359375,6.11910546875,14.27603125,8.10102734375,8.1324453125,10.146390625,14.6378046875
5.3364765625,2.5030859375,1.85580078125,3.72015625,-3.81487890625,7.38191796875,2.0560078125,10.58430078125,6.87211328125,8.38344921875,4.68974609375,6.72058984375,-1.40470703125,2.7904609375,16.04866796875,5.8459765625,12.11251953125,-1.62703125,4.976046875,6.06653515625,15.53152734375,-4.93046875,8.8808359375,6.10968359375,4.77710546875,13.04703125,7.26702734375,9.0324453125,10.506390625,15.4718046875
5.7244765625,1.9290859375,1.10280078125,3.73115625,-3.90387890625,7.09791796875,1.2900078125,6.93630078125,7.29011328125,7.84344921875,4.19174609375,6.36758984375,-2.81770703125,2.2244609375,14.93266796875,4.7389765625,11.33951953125,-2.18903125,4.144046875,4.92153515625,14.43452734375,-4.18046875,8.2778359375,4.29568359375,3.24110546875,11.38103125,5.79802734375,9.3534453125,10.487390625,15.6378046875
5.5924765625,1.3240859375,-0.21919921875,3.83115625,-3.87687890625,6.44991796875,0.1130078125,3.51330078125,7.67711328125,7.17244921875,3.18274609375,5.78958984375,-4.17270703125,1.7594609375,13.13966796875,3.4729765625,10.36051953125,-2.38203125,3.024046875,3.47853515625,12.93652734375,-3.80046875,7.2468359375,2.49868359375,1.53810546875,9.33403125,3.60802734375,8.7124453125,9.933390625,14.8878046875
4.9384765625,0.632085937499999,-1.97919921875,3.94015625,-3.82387890625,5.34191796875,-1.4309921875,1.22730078125,7.80611328125,6.28744921875,1.72874609375,4.93258984375,-5.35470703125,1.3634609375,10.85066796875,2.0999765625,9.39951953125,-2.31703125,1.684046875,1.86953515625,11.15252734375,-4.08446875,5.9758359375,0.94068359375,-0.0998945312499995,7.10803125,0.89402734375,7.0954453125,8.911390625,13.3198046875
3.9884765625,-0.0829140625000004,-3.75119921875,4.10315625,-3.75587890625,3.95091796875,-3.0409921875,0.537300781249998,7.59111328125,5.25944921875,0.17974609375,3.83058984375,-6.23770703125,0.9934609375,8.39766796875,0.777976562499999,8.63651953125,-2.11703125,0.287046875,0.37853515625,9.34752734375,-5.07946875,4.7898359375,-0.18531640625,-1.32089453125,4.99403125,-1.93097265625,4.8234453125,7.626390625,11.3078046875
3.1234765625,-0.6619140625,-4.98419921875,4.41415625,-3.61987890625,2.67891796875,-4.2469921875,1.27530078125,7.11211328125,4.30644921875,-0.960253906249999,2.65158984375,-6.69570703125,0.5824609375,6.17566796875,-0.2630234375,8.05851953125,-1.87903125,-0.979953125000001,-0.67146484375,7.83352734375,-6.60246875,3.9428359375,-0.78831640625,-1.80989453125,3.22303125,-4.38597265625,2.3684453125,6.280390625,9.3158046875
2.7734765625,-0.928914062500001,-5.25519921875,4.94215625,-3.32787890625,2.01191796875,-4.6109921875,2.79430078125,6.56311328125,3.74444921875,-1.25025390625,1.66458984375,-6.64670703125,0.0984609375000005,4.55466796875,-0.788023437500001,7.44651953125,-1.63603125,-1.944953125,-1.04946484375,6.84852734375,-8.30746875,3.4988359375,-0.87431640625,-1.44689453125,1.83503125,-6.07597265625,0.1794453125,5.025390625,7.7268046875
3.2324765625,-0.7659140625,-4.47819921875,5.67715625,-2.78887890625,2.32491796875,-3.9349921875,4.32730078125,6.16211328125,3.87544921875,-0.49425390625,1.12858984375,-6.08170703125,-0.3975390625,3.80466796875,-0.6440234375,6.54451953125,-1.32703125,-2.446953125,-0.70046484375,6.45552734375,-9.77846875,3.3568359375,-0.47131640625,-0.343894531249999,0.67203125,-6.78097265625,-1.3815546875,4.004390625,6.7868046875
4.4954765625,-0.1539140625,-2.95619921875,6.53415625,-1.95887890625,3.70791796875,-2.3699921875,5.34030078125,6.08111328125,4.87744921875,1.18874609375,1.14958984375,-5.09770703125,-0.7265390625,4.02266796875,0.1679765625,5.27151953125,-0.81903125,-2.325953125,0.24053515625,6.51952734375,-10.63646875,3.3798359375,0.43468359375,1.21410546875,-0.486968749999999,-6.47797265625,-2.0385546875,3.422390625,6.6388046875
6.2404765625,0.802085937499999,-1.24819921875,7.39515625,-0.88687890625,5.89391796875,-0.3879921875,5.72830078125,6.40411328125,6.68744921875,3.40074609375,1.60058984375,-3.88470703125,-0.6575390625,5.07566796875,1.4469765625,3.81551953125,0.0179687500000001,-1.495953125,1.48653515625,6.77552734375,-10.64246875,3.4778359375,1.85268359375,2.87310546875,-1.75996875,-5.35397265625,-1.6225546875,3.513390625,7.3328046875
7.9474765625,1.8590859375,0.0578007812500001,8.12315625,0.20912109375,8.29291796875,1.3620078125,5.72030078125,7.06811328125,8.93144921875,5.56974609375,2.14558984375,-2.68370703125,-0.0645390624999997,6.55666796875,2.8009765625,2.50951953125,1.19196875,-0.0879531250000003,2.64453515625,6.92852734375,-9.77446875,3.5888359375,3.66368359375,4.28610546875,-3.08596875,-3.78797265625,-0.1565546875,4.390390625,8.7488046875
9.0494765625,2.6620859375,0.53980078125,8.53415625,0.92612109375,10.14491796875,2.2640078125,5.58530078125,7.79611328125,10.94144921875,7.08774609375,2.38858984375,-1.72170703125,0.9034609375,7.81866796875,3.7349765625,1.60751953125,2.49596875,1.477046875,3.29753515625,6.76152734375,-8.23446875,3.5988359375,5.52868359375,5.17010546875,-4.24496875,-2.29597265625,2.0754453125,5.902390625,10.5198046875
9.0584765625,2.8460859375,0.0578007812500001,8.40015625,0.78712109375,10.75291796875,1.9660078125,5.35530078125,8.11211328125,11.93044921875,7.49774609375,2.07958984375,-1.17070703125,1.7924609375,8.17166796875,3.8419765625,1.12451953125,3.53196875,2.590046875,3.13853515625,6.20952734375,-6.38846875,3.3288359375,6.95268359375,5.37810546875,-4.95496875,-1.39497265625,4.5314453125,7.613390625,12.0908046875
7.7284765625,2.2010859375,-1.23019921875,7.53515625,-0.53187890625,9.76291796875,0.5340078125,4.81930078125,7.53111328125,11.31144921875,6.66874609375,1.25158984375,-1.12070703125,2.0464609375,7.20866796875,2.9989765625,0.865519531249999,3.89396875,2.732046875,2.11353515625,5.38852734375,-4.64046875,2.6218359375,7.49668359375,4.94410546875,-4.98396875,-1.42797265625,6.5264453125,8.953390625,12.9408046875
