"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-9.84941015625,-4.4353125,-15.04712890625,-6.6906015625,-20.76141796875,-10.10219921875,-17.01698828125,-3.9277109375,-6.78789453125,-6.20262109375,-7.23877734375,-5.7312578125,4.74020703125,-16.67020703125,-12.07025390625,-6.573203125,-0.089574218750001,-0.4129296875,-9.4258515625,-16.155546875,-17.884703125,3.86503125,-9.20957421875,-11.74441015625,-13.45426171875,-6.38166015625,-13.26932421875,-3.58950390625,-6.3172890625,-6.31478515625
-9.45641015625,-5.7683125,-13.72212890625,-7.3766015625,-18.59141796875,-10.20219921875,-15.99998828125,-3.5767109375,-9.30589453125,-7.40362109375,-9.52377734375,-7.9082578125,3.73220703125,-19.99820703125,-13.55025390625,-10.446203125,0.956425781249999,-4.8789296875,-12.6988515625,-20.263546875,-19.968703125,-1.83196875,-13.00457421875,-16.55641015625,-16.62526171875,-6.35366015625,-18.84232421875,-9.13750390625,-7.8732890625,-7.65578515625
-9.71741015625,-6.9153125,-13.36512890625,-7.6186015625,-18.24141796875,-10.51619921875,-15.56098828125,-3.4577109375,-11.39889453125,-8.37762109375,-11.30877734375,-9.4552578125,2.34620703125,-22.78720703125,-15.10625390625,-13.649203125,0.803425781249999,-8.7679296875,-15.6208515625,-23.972546875,-21.699703125,-5.97696875,-15.74257421875,-20.79141015625,-19.25326171875,-6.27766015625,-22.96832421875,-12.75750390625,-8.7612890625,-8.52378515625
-10.28441015625,-7.5393125,-13.54712890625,-7.2616015625,-19.12441796875,-10.59819921875,-15.22198828125,-3.0867109375,-12.50189453125,-8.64862109375,-12.03677734375,-9.9572578125,0.84620703125,-24.47520703125,-16.11525390625,-15.580203125,-0.254574218750001,-11.4839296875,-17.5098515625,-26.491546875,-22.765703125,-8.11796875,-16.88957421875,-23.70641015625,-20.77526171875,-5.97766015625,-25.00832421875,-13.90350390625,-8.4722890625,-8.60978515625
-10.46941015625,-7.2183125,-13.38712890625,-6.2546015625,-19.86441796875,-9.76019921875,-14.21098828125,-1.8627109375,-11.96989453125,-7.59462109375,-11.07277734375,-9.0572578125,-0.35079296875,-24.41220703125,-15.67825390625,-15.609203125,-1.43057421875,-12.4249296875,-17.5318515625,-26.842546875,-22.832703125,-8.19496875,-16.04257421875,-24.41341015625,-20.56726171875,-5.23966015625,-24.51132421875,-12.41350390625,-6.5302890625,-7.64078515625
-9.64441015625,-5.6783125,-12.06012890625,-4.7206015625,-19.14141796875,-7.47419921875,-11.95398828125,0.499289062500001,-9.53989453125,-4.80062109375,-8.03977734375,-6.6722578125,-0.94179296875,-22.21620703125,-13.09925390625,-13.393203125,-1.85057421875,-11.3509296875,-15.1438515625,-24.375546875,-21.727703125,-6.65796875,-13.16557421875,-22.30641015625,-18.25426171875,-3.97366015625,-21.41632421875,-8.62950390625,-2.8032890625,-5.55178515625
-7.62141015625,-2.9973125,-9.27312890625,-2.9646015625,-16.49541796875,-3.74519921875,-8.42598828125,3.7302890625,-5.71589453125,-0.39762109375,-3.10477734375,-3.1392578125,-0.92379296875,-18.10520703125,-8.31625390625,-9.128203125,-0.963574218750001,-8.6299296875,-10.4718515625,-19.192546875,-19.555703125,-4.41196875,-8.72557421875,-17.43941015625,-13.97626171875,-2.32766015625,-16.20032421875,-3.45450390625,2.2697109375,-2.59878515625
-4.73441015625,0.3586875,-5.38812890625,-1.3546015625,-12.53541796875,0.83380078125,-4.14998828125,7.1472890625,-1.69389453125,4.87437890625,2.98422265625,0.8347421875,-0.54579296875,-12.93120703125,-2.00725390625,-3.541203125,1.22942578125,-5.1629296875,-4.3388515625,-12.186546875,-16.667703125,-2.51096875,-3.58657421875,-10.60241015625,-8.38826171875,-0.66566015625,-9.77932421875,1.83049609375,7.7347109375,0.70021484375
-1.64341015625,3.7236875,-1.19412890625,-0.1436015625,-8.50241796875,5.36980078125,0.0920117187499998,10.0112890625,1.17510546875,9.95437890625,9.17422265625,4.4227421875,-0.12279296875,-7.86520703125,4.68974609375,2.381796875,4.20542578125,-2.0039296875,2.0611484375,-4.674546875,-13.493703125,-1.72496875,1.31542578125,-3.03041015625,-2.40826171875,0.62733984375,-3.20832421875,5.97749609375,12.4867109375,3.77621484375
1.00258984375,6.5046875,2.47587109375,0.6133984375,-5.53641796875,9.09480078125,3.59501171875,11.8722890625,2.06010546875,13.91737890625,14.52522265625,7.0007421875,0.12420703125,-3.90820703125,10.63174609375,7.769796875,7.14442578125,0.0660703125000001,7.6291484375,2.135453125,-10.356703125,-2.25696875,5.31342578125,4.05658984375,3.13473828125,1.36033984375,2.67067578125,8.20649609375,15.7117109375,6.24121484375
