"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
12.0478359375,13.27311328125,12.19527734375,10.342375,16.13855859375,17.50534765625,15.90084765625,9.7078828125,12.88871484375,16.71581640625,23.54745703125,17.310796875,3.36562109375,14.7889921875,19.02783203125,19.30701171875,-1.9285,4.64734375,14.673421875,12.00505078125,11.52902734375,-3.05880078125,10.8961953125,12.02335546875,13.68981640625,8.68228125,11.27430078125,6.11413671875,8.86466796875,6.5176875
9.8198359375,12.80111328125,11.00827734375,9.492375,14.57555859375,17.48834765625,15.95784765625,9.6868828125,11.96071484375,13.82581640625,22.46345703125,15.862796875,4.07162109375,14.2779921875,18.18383203125,20.65101171875,1.8785,4.72734375,13.949421875,12.31205078125,14.07702734375,-3.71980078125,11.2361953125,12.56535546875,14.88381640625,10.37328125,13.27230078125,5.29313671875,7.24566796875,7.0646875
8.7938359375,12.94211328125,11.01027734375,8.555375,12.99555859375,17.23934765625,15.95684765625,9.9108828125,10.94871484375,11.52381640625,21.60345703125,15.193796875,4.24062109375,13.7679921875,17.41783203125,21.35901171875,4.8885,4.73634375,13.328421875,12.57105078125,15.31602734375,-3.83080078125,11.3961953125,12.86635546875,15.60081640625,11.21128125,14.43730078125,4.66013671875,5.99766796875,7.3826875
8.6538359375,13.44711328125,11.85027734375,7.360375,11.40855859375,16.67234765625,15.72284765625,9.8868828125,9.77671484375,9.82481640625,20.86345703125,15.234796875,3.84862109375,13.1729921875,16.66183203125,21.16101171875,7.0855,4.54334375,12.678421875,12.54705078125,15.13902734375,-3.49380078125,11.1551953125,12.65835546875,15.66381640625,11.25228125,14.52130078125,4.34413671875,5.17866796875,7.3776875
8.6398359375,13.78411328125,12.69027734375,5.830375,9.82355859375,15.71234765625,15.03184765625,9.0148828125,8.37971484375,8.56781640625,20.04045703125,15.523796875,3.03462109375,12.3839921875,15.78283203125,19.95501171875,8.6165,4.00234375,11.788421875,11.95205078125,13.81802734375,-3.02580078125,10.2701953125,11.65235546875,14.94181640625,10.77628125,13.42130078125,4.37913671875,4.67766796875,6.9596875
7.9768359375,13.39811328125,12.65327734375,4.119375,8.23655859375,14.31034765625,13.73584765625,7.0298828125,6.75771484375,7.51881640625,18.93645703125,15.394796875,2.05362109375,11.3459921875,14.63383203125,17.87101171875,9.5375,3.04534375,10.488421875,10.57805078125,11.77402734375,-2.78180078125,8.6031953125,9.69135546875,13.36681640625,10.13528125,11.21430078125,4.65013671875,4.27066796875,6.0996875
6.2088359375,11.94311328125,11.21827734375,2.556375,6.61355859375,12.45634765625,11.83484765625,4.1858828125,4.98271484375,6.44181640625,17.44545703125,14.314796875,1.25062109375,10.0919921875,13.09683203125,15.19601171875,9.6495,1.71134375,8.722421875,8.38405078125,9.33802734375,-2.99380078125,6.2161953125,6.83935546875,10.95681640625,9.58728125,8.15230078125,4.88113671875,3.69966796875,4.8576875
3.3058359375,9.37011328125,8.37227734375,1.409375,4.87455859375,10.17634765625,9.46184765625,1.0908828125,3.15571484375,5.14481640625,15.55845703125,12.154796875,0.97762109375,8.7109921875,11.12083203125,12.24701171875,8.6535,0.12434375,6.555421875,5.50405078125,6.68402734375,-3.70680078125,3.3551953125,3.37235546875,7.84481640625,9.12828125,4.58630078125,4.65313671875,2.73666796875,3.3126875
-0.4011640625,5.92411328125,4.54327734375,0.700375,2.93055859375,7.53634765625,6.79984765625,-1.6251171875,1.36671484375,3.53181640625,13.34945703125,9.245796875,1.44762109375,7.2939921875,8.74583203125,9.28401171875,6.5545,-1.57265625,4.134421875,2.21205078125,3.95502734375,-4.83580078125,0.3551953125,-0.32564453125,4.28181640625,8.37228125,0.83030078125,3.49213671875,1.19166796875,1.4366875
-4.3751640625,2.05011328125,0.37127734375,0.211375,0.75555859375,4.65334765625,4.02984765625,-3.5681171875,-0.31928515625,1.66481640625,10.96545703125,6.182796875,2.56462109375,5.8969921875,6.12883203125,6.51601171875,3.9415,-3.24865625,1.645421875,-1.14194921875,1.41702734375,-6.28080078125,-2.4838046875,-3.89064453125,0.59181640625,6.64028125,-2.95369921875,1.03613671875,-1.06833203125,-0.9603125
-8.0651640625,-1.73588671875,-3.53472265625,-0.341625,-1.52944140625,1.73134765625,1.34884765625,-4.6561171875,-1.84628515625,-0.19518359375,8.64045703125,3.550796875,3.87862109375,4.5659921875,3.56383203125,4.14201171875,1.8235,-4.79365625,-0.697578125,-4.18994921875,-0.544972656250001,-7.97880078125,-4.9508046875,-7.06564453125,-2.88218359375,3.37128125,-6.73069921875,-2.71286328125,-4.02833203125,-4.0853125
-11.0351640625,-4.95288671875,-6.74272265625,-1.100625,-3.62244140625,-0.90165234375,-0.96415234375,-5.0121171875,-3.12528515625,-1.64118359375,6.69145703125,1.742796875,4.74162109375,3.3869921875,1.44783203125,2.35701171875,1.0915,-6.08365625,-2.653578125,-6.61494921875,-1.59997265625,-9.84380078125,-6.9018046875,-9.70064453125,-5.82318359375,-1.32271875,-10.42369921875,-7.17586328125,-7.35533203125,-7.8413125
-13.0001640625,-7.21188671875,-8.99172265625,-1.919625,-5.09444140625,-2.83465234375,-2.56315234375,-4.8101171875,-3.98828515625,-2.25618359375,5.45045703125,0.911796875,4.63062109375,2.5129921875,0.176832031249999,1.30501171875,1.9475,-6.96565625,-3.988578125,-8.19994921875,-1.69397265625,-11.67980078125,-8.2268046875,-11.70964453125,-7.98118359375,-6.38171875,-13.76469921875,-11.25786328125,-10.34333203125,-11.5963125
-13.8021640625,-8.26288671875,-10.14072265625,-2.409625,-5.54544140625,-3.72165234375,-3.15915234375,-4.1841171875,-4.21128515625,-1.79918359375,5.13845703125,0.991796875,3.43962109375,2.1069921875,-0.00916796875000081,0.996011718749999,3.6635,-7.29265625,-4.560578125,-8.89494921875,-1.15497265625,-13.18680078125,-8.8618046875,-13.04864453125,-9.23918359375,-10.15771875,-16.31769921875,-13.78086328125,-12.13733203125,-14.2983125
-13.4451640625,-8.08688671875,-10.19372265625,-2.172625,-4.82944140625,-3.47065234375,-2.70215234375,-3.2541171875,-3.63528515625,-0.374183593750001,5.72445703125,1.750796875,1.56962109375,2.2229921875,0.820832031249999,1.25901171875,4.7925,-7.02865625,-4.419578125,-8.84094921875,-0.58197265625,-14.10580078125,-8.8578046875,-13.74264453125,-9.66118359375,-11.27271875,-17.68569921875,-14.05986328125,-12.16733203125,-14.9783125
-12.1611640625,-6.96088671875,-9.37372265625,-1.095625,-3.19944140625,-2.32665234375,-1.45815234375,-2.1911171875,-2.32328515625,1.55781640625,6.89945703125,2.872796875,-0.26637890625,2.6979921875,2.27983203125,1.80301171875,3.8275,-6.32965625,-3.844578125,-8.31094921875,-0.539972656250001,-14.36880078125,-8.4098046875,-13.89464453125,-9.48518359375,-9.41571875,-17.73469921875,-12.25186328125,-10.49633203125,-13.3033125
-10.3941640625,-5.40188671875,-8.10772265625,0.534375,-1.25344140625,-0.79265234375,0.11884765625,-1.1851171875,-0.63828515625,3.35281640625,8.19245703125,4.078796875,-1.42737890625,3.1629921875,3.80783203125,2.35701171875,0.0994999999999999,-5.51665625,-3.239578125,-7.57594921875,-1.21797265625,-14.13780078125,-7.7908046875,-13.63764453125,-9.00718359375,-5.52771875,-16.66069921875,-9.20686328125,-7.82033203125,-9.8233125
-8.6511640625,-3.95288671875,-6.84672265625,2.183375,0.32655859375,0.61434765625,1.62084765625,-0.3261171875,0.87271484375,4.48681640625,9.19745703125,5.227796875,-1.71437890625,3.2089921875,4.92183203125,2.82301171875,-5.5445,-4.91165625,-2.934578125,-6.77494921875,-2.29797265625,-13.68280078125,-7.1888046875,-13.03664453125,-8.43518359375,-1.25671875,-14.85969921875,-5.96186328125,-5.09833203125,-5.7543125
-7.3231640625,-2.94388671875,-5.85772265625,3.339375,1.09155859375,1.60934765625,2.88584765625,0.4718828125,1.70871484375,4.80681640625,9.76245703125,6.326796875,-1.50037890625,2.6299921875,5.43183203125,3.31101171875,-10.8035,-4.63865625,-2.999578125,-5.85494921875,-3.11197265625,-13.19180078125,-6.5768046875,-12.02564453125,-7.79418359375,1.93428125,-12.70169921875,-3.22086328125,-3.06833203125,-2.4343125
-6.5841640625,-2.39488671875,-5.13672265625,3.699375,1.01955859375,2.26034765625,4.01284765625,1.3728828125,1.63971484375,4.58781640625,10.03845703125,7.439796875,-1.51737890625,1.5839921875,5.52083203125,4.04501171875,-12.9215,-4.51365625,-3.185578125,-4.64494921875,-3.01597265625,-12.64980078125,-5.6968046875,-10.44164453125,-6.95418359375,3.44128125,-10.36469921875,-1.13686328125,-1.94733203125,-0.7663125
-6.3781640625,-2.07488671875,-4.49972265625,3.232375,0.48455859375,2.90634765625,5.21884765625,2.4378828125,0.81371484375,4.37581640625,10.35645703125,8.559796875,-2.40537890625,0.563992187499999,5.62383203125,5.20701171875,-10.1585,-4.12465625,-3.039578125,-2.97394921875,-1.71097265625,-11.84180078125,-4.2158046875,-8.16264453125,-5.73118359375,3.58628125,-7.84769921875,0.51113671875,-1.46133203125,-0.9053125
-6.4381640625,-1.66888671875,-3.74972265625,2.203375,0.0575585937500001,3.92234765625,6.62684765625,3.5148828125,-0.29028515625,4.71981640625,11.01945703125,9.544796875,-4.27937890625,0.1879921875,6.18883203125,6.81201171875,-2.8125,-3.04165625,-2.136578125,-0.79194921875,0.664027343749999,-10.48780078125,-1.9648046875,-5.24964453125,-4.00618359375,3.19728125,-5.13169921875,1.94713671875,-1.14133203125,-2.2883125
-6.3571640625,-0.94088671875,-2.83272265625,1.168375,0.23755859375,5.47034765625,8.13084765625,4.2758828125,-1.03828515625,5.93481640625,12.11345703125,10.149796875,-6.56737890625,0.914992187499999,7.43283203125,8.67901171875,6.8905,-1.06065625,-0.303578125,1.76205078125,3.66202734375,-8.40980078125,0.8931953125,-2.01464453125,-1.80518359375,3.04728125,-2.36769921875,3.11213671875,-0.673332031250001,-3.9703125
-5.7521640625,0.15011328125,-1.89772265625,0.827375,1.24355859375,7.38134765625,9.40284765625,4.3538828125,-0.86928515625,7.97281640625,13.44845703125,10.115796875,-8.23737890625,2.8349921875,9.22083203125,10.48101171875,15.9465,1.67434375,2.251421875,4.37005078125,6.73802734375,-5.67480078125,3.8671953125,1.03635546875,0.68281640625,3.52828125,0.0693007812500002,3.66113671875,-0.100332031250001,-5.0833125
-4.4721640625,1.40911328125,-1.24972265625,1.735375,2.94555859375,9.21934765625,10.04084765625,3.5158828125,0.49971484375,10.43481640625,14.62445703125,9.270796875,-8.31937890625,5.6199921875,11.11883203125,11.85401171875,21.9595,4.69434375,4.987421875,6.59305078125,9.41102734375,-2.67480078125,6.3061953125,3.34635546875,3.12681640625,4.63028125,1.68830078125,3.17613671875,0.207667968749999,-5.2293125
