"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
4.6240234375,-1.29346484375,4.2655546875,1.8722421875,-0.2224140625,0.4458359375,2.75196875,15.8762109375,0.93401953125,-1.46608984375,-2.18444921875,-0.34587109375,0.788492187500001,-2.06792578125,2.34473046875,7.12098828125,3.6708671875,5.320890625,3.44257421875,2.3016484375,5.176046875,-0.41841015625,-3.49043359375,2.60819921875,2.87997265625,15.70353125,-3.13364453125,-10.125265625,-0.393328125,1.4176953125
3.2230234375,-1.65846484375,3.5825546875,-1.7497578125,-0.491414062500001,1.6838359375,3.52696875,13.4912109375,-1.24398046875,-1.27208984375,-1.32744921875,-1.94387109375,0.0704921875000011,-1.39592578125,3.30773046875,8.22998828125,5.5588671875,4.901890625,3.62357421875,3.4226484375,6.154046875,1.05258984375,-2.24343359375,3.12419921875,4.02797265625,13.46153125,-1.26664453125,-6.779265625,1.176671875,2.4476953125
2.2090234375,-1.80546484375,3.3135546875,-4.4247578125,-0.952414062500001,2.3018359375,4.01596875,12.3392109375,-2.73098046875,-1.58008984375,-0.94444921875,-2.72287109375,-0.9185078125,-1.16592578125,3.77273046875,8.87098828125,6.9498671875,4.327890625,3.40257421875,3.9406484375,6.269046875,1.92258984375,-1.86143359375,3.12319921875,4.28597265625,11.59353125,-0.243644531249999,-5.386265625,1.944671875,3.3436953125
1.4670234375,-1.83446484375,3.3725546875,-6.0977578125,-1.6894140625,2.0938359375,4.10496875,12.3532109375,-3.63598046875,-2.53408984375,-1.23044921875,-2.76887109375,-2.2465078125,-1.55092578125,3.48573046875,8.87798828125,7.8668671875,3.320890625,2.62257421875,3.6516484375,5.317046875,1.88958984375,-2.53743359375,2.52419921875,3.52997265625,10.33553125,-0.18864453125,-6.128265625,1.687671875,3.9456953125
0.8520234375,-1.87846484375,3.5935546875,-6.9157578125,-2.7234140625,1.0268359375,3.77096875,13.1612109375,-4.29798046875,-4.08208984375,-2.24044921875,-2.42287109375,-3.8005078125,-2.58292578125,2.32473046875,8.20598828125,8.4308671875,1.630890625,1.25057421875,2.5266484375,3.384046875,0.85758984375,-4.17443359375,1.45319921875,1.95797265625,9.80253125,-0.931644531249999,-8.493265625,0.491671875,4.1426953125
0.3630234375,-1.99546484375,3.8535546875,-7.0767578125,-3.9724140625,-0.7111640625,3.09396875,14.3122109375,-5.03298046875,-5.94008984375,-3.83144921875,-2.09987109375,-5.2455078125,-4.09592578125,0.392730468749999,6.95898828125,8.7038671875,-0.759109375,-0.565425781250001,0.7446484375,0.842046875,-0.97241015625,-6.38043359375,0.21119921875,0.00997265625000043,9.86353125,-2.07164453125,-11.511265625,-1.223328125,3.9586953125
0.1500234375,-2.14646484375,4.0975546875,-6.7377578125,-5.2674140625,-2.7511640625,2.20196875,15.3482109375,-5.93698046875,-7.68708984375,-5.69644921875,-2.12587109375,-6.1465078125,-5.74292578125,-1.97326953125,5.35198828125,8.6238671875,-3.511109375,-2.54342578125,-1.3533515625,-1.780953125,-3.17641015625,-8.58843359375,-0.86880078125,-1.82402734375,10.14353125,-3.14164453125,-14.177265625,-2.870328125,3.5516953125
0.3840234375,-2.25346484375,4.2915546875,-6.0057578125,-6.4054140625,-4.6601640625,1.19696875,15.8152109375,-6.87398046875,-8.96108984375,-7.47744921875,-2.64787109375,-6.2135078125,-7.11592578125,-4.31526953125,3.63298828125,8.0608671875,-6.033109375,-4.38042578125,-3.3923515625,-3.999953125,-5.30341015625,-10.26943359375,-1.58480078125,-3.22502734375,10.17453125,-3.79664453125,-15.838265625,-3.935328125,3.1146953125
1.1090234375,-2.27746484375,4.3955546875,-4.9857578125,-7.2474140625,-6.1101640625,0.12496875,15.3632109375,-7.62698046875,-9.64208984375,-8.90044921875,-3.60687109375,-5.5185078125,-7.90992578125,-6.23826953125,2.01098828125,6.9758671875,-7.740109375,-5.88742578125,-5.0893515625,-5.535953125,-7.02441015625,-11.13243359375,-1.96880078125,-4.15102734375,9.61453125,-3.93164453125,-16.327265625,-4.153328125,2.7696953125
2.1570234375,-2.26246484375,4.3705546875,-3.8607578125,-7.7894140625,-6.9971640625,-1.00803125,13.8982109375,-8.06398046875,-9.91208984375,-9.87244921875,-4.78687109375,-4.5075078125,-8.08992578125,-7.57326953125,0.60298828125,5.5628671875,-8.312109375,-7.04942578125,-6.3423515625,-6.371953125,-8.14041015625,-11.20743359375,-2.24780078125,-4.77702734375,8.42653125,-3.68164453125,-15.838265625,-3.520328125,2.5536953125
3.1590234375,-2.34546484375,4.1845546875,-2.9597578125,-8.1964140625,-7.4761640625,-2.21803125,11.6202109375,-8.19598046875,-10.19408984375,-10.51144921875,-5.94487109375,-3.7945078125,-7.96292578125,-8.44426953125,-0.58801171875,4.2568671875,-7.801109375,-8.01042578125,-7.2423515625,-6.704953125,-8.52241015625,-10.77743359375,-2.72080078125,-5.32902734375,6.92153125,-3.30864453125,-14.684265625,-2.221328125,2.4806953125
3.6450234375,-2.72346484375,3.7825546875,-2.7087578125,-8.7474140625,-7.8881640625,-3.53403125,8.9222109375,-8.10098046875,-10.96108984375,-11.10144921875,-6.95187109375,-3.8665078125,-8.09992578125,-9.21526953125,-1.67001171875,3.5408671875,-6.551109375,-9.00742578125,-8.0313515625,-6.847953125,-8.08741015625,-10.21143359375,-3.61780078125,-5.94902734375,5.62153125,-3.08064453125,-13.140265625,-0.546328125,2.6016953125
3.2370234375,-3.56946484375,3.0815546875,-3.4187578125,-9.7044140625,-8.6231640625,-4.98303125,6.2352109375,-7.81298046875,-12.50208984375,-11.96344921875,-7.86187109375,-4.8555078125,-9.06392578125,-10.32026953125,-2.80701171875,3.6598671875,-5.033109375,-10.24542578125,-8.9863515625,-7.110953125,-6.86041015625,-9.79143359375,-5.01380078125,-6.66602734375,4.96953125,-3.20964453125,-11.416265625,1.148671875,2.9666953125
1.8370234375,-4.93746484375,2.0045546875,-5.0347578125,-11.1434140625,-9.9351640625,-6.55603125,3.9152109375,-7.28998046875,-14.73308984375,-13.29044921875,-8.82487109375,-6.4715078125,-11.05892578125,-12.02326953125,-4.12401171875,4.4628671875,-3.661109375,-11.77642578125,-10.2883515625,-7.673953125,-5.03441015625,-9.60243359375,-6.79080078125,-7.44202734375,5.05953125,-3.81664453125,-9.716265625,2.489671875,3.5266953125
-0.2949765625,-6.69446484375,0.5515546875,-7.0797578125,-12.8644140625,-11.7911640625,-8.17403125,2.1582109375,-6.48598046875,-17.19208984375,-15.01244921875,-9.91787109375,-8.1215078125,-13.72292578125,-14.24126953125,-5.61001171875,5.5098671875,-2.674109375,-13.41742578125,-11.9053515625,-8.478953125,-2.95341015625,-9.52743359375,-8.66680078125,-8.21802734375,5.58153125,-4.89664453125,-8.258265625,3.165671875,4.1086953125
-2.6159765625,-8.51346484375,-1.1494453125,-8.8687578125,-14.4454140625,-13.8441640625,-9.68303125,0.980210937499999,-5.45498046875,-19.23608984375,-16.80244921875,-11.03487109375,-9.1565078125,-16.24792578125,-16.52826953125,-7.10101171875,6.3448671875,-2.114109375,-14.78942578125,-13.5843515625,-9.236953125,-1.00941015625,-9.33743359375,-10.28380078125,-8.93102734375,6.03353125,-6.29164453125,-7.246265625,3.048671875,4.4946953125
-4.4799765625,-9.96246484375,-2.8144453125,-9.8697578125,-15.4334140625,-15.5691640625,-10.91103125,0.267210937499999,-4.39498046875,-20.32708984375,-18.21644921875,-11.92087109375,-9.1505078125,-17.78692578125,-18.26526953125,-8.35501171875,6.7178671875,-1.904109375,-15.48642578125,-14.9553515625,-9.571953125,0.49158984375,-8.85443359375,-11.32580078125,-9.50702734375,6.05153125,-7.71964453125,-6.797265625,2.263671875,4.5706953125
-5.3419765625,-10.63546484375,-4.0524453125,-9.9697578125,-15.5384140625,-16.4911640625,-11.72003125,-0.129789062500001,-3.58498046875,-20.24308984375,-18.89444921875,-12.31187109375,-8.0725078125,-17.87492578125,-18.93626953125,-9.17501171875,6.6108671875,-1.942109375,-15.26342578125,-15.6923515625,-9.233953125,1.40558984375,-8.05243359375,-11.62680078125,-9.87802734375,5.60253125,-8.86864453125,-6.903265625,1.153671875,4.4006953125
-4.9489765625,-10.31346484375,-4.4924453125,-9.4857578125,-14.7184140625,-16.3681640625,-12.04803125,-0.338789062500001,-3.26598046875,-19.09508984375,-18.70244921875,-12.07987109375,-6.3035078125,-16.59592578125,-18.34126953125,-9.47901171875,6.1398671875,-2.150109375,-14.13342578125,-15.6303515625,-8.226953125,1.75058984375,-7.05743359375,-11.20380078125,-9.98102734375,4.92253125,-9.48864453125,-7.430265625,0.149671875,4.1876953125
-3.4359765625,-9.07146484375,-3.9424453125,-8.9727578125,-13.1514140625,-15.2441640625,-11.90903125,-0.464789062500001,-3.51898046875,-17.21408984375,-17.76244921875,-11.28687109375,-4.4925078125,-14.46992578125,-16.64226953125,-9.29201171875,5.4448671875,-2.448109375,-12.32642578125,-14.7943515625,-6.787953125,1.64458984375,-6.04043359375,-10.21680078125,-9.76902734375,4.27253125,-9.43864453125,-8.146265625,-0.389328125,4.1436953125
-1.2939765625,-7.27046484375,-2.4944453125,-8.9207578125,-11.1544140625,-13.3971640625,-11.39203125,-0.581789062500001,-4.21998046875,-14.99708984375,-16.37644921875,-10.15187109375,-3.3215078125,-12.18592578125,-14.26826953125,-8.70601171875,4.6268671875,-2.734109375,-10.19042578125,-13.3723515625,-5.260953125,1.22158984375,-5.12443359375,-8.88280078125,-9.22102734375,3.69753125,-8.70264453125,-8.787265625,-0.302328125,4.3406953125
0.8250234375,-5.41646484375,-0.5004453125,-9.5087578125,-9.1194140625,-11.2461640625,-10.64903125,-0.687789062500001,-5.07198046875,-12.81308984375,-14.90544921875,-8.98087109375,-3.2625078125,-10.35092578125,-11.76326953125,-7.85101171875,3.7048671875,-2.920109375,-8.08442578125,-11.6423515625,-3.966953125,0.56858984375,-4.34443359375,-7.40680078125,-8.38302734375,2.98853125,-7.39764453125,-9.126265625,0.341671875,4.6426953125
2.3640234375,-3.93846484375,1.5585546875,-10.5627578125,-7.4504140625,-9.2301640625,-9.85303125,-0.689789062500001,-5.72998046875,-10.97108984375,-13.65744921875,-8.07987109375,-4.4185078125,-9.34192578125,-9.62726953125,-6.88601171875,2.6128671875,-2.992109375,-6.30342578125,-9.9103515625,-3.129953125,-0.29141015625,-3.68543359375,-5.94780078125,-7.38302734375,1.87953125,-5.75564453125,-9.045265625,1.316671875,4.7676953125
3.0570234375,-3.01246484375,3.2525546875,-11.7357578125,-6.4904140625,-7.6851640625,-9.11603125,-0.442789062500001,-5.98798046875,-9.71708984375,-12.79844921875,-7.65287109375,-6.4965078125,-9.26292578125,-8.17926953125,-5.98501171875,1.2638671875,-3.012109375,-5.03442578125,-8.4383515625,-2.829953125,-1.35641015625,-3.12143359375,-4.61680078125,-6.39502734375,0.35853125,-4.04564453125,-8.563265625,2.383671875,4.4716953125
2.9940234375,-2.50346484375,4.3535546875,-12.7597578125,-6.4474140625,-6.7601640625,-8.41203125,0.199210937499998,-5.90498046875,-9.21708984375,-12.33244921875,-7.71687109375,-8.9315078125,-10.00092578125,-7.50226953125,-5.28401171875,-0.3381328125,-3.069109375,-4.33442578125,-7.3993515625,-2.985953125,-2.56241015625,-2.64443359375,-3.49680078125,-5.56102734375,-1.18446875,-2.48464453125,-7.809265625,3.427671875,3.7436953125
2.5500234375,-2.07746484375,4.9065546875,-13.5687578125,-7.3134140625,-6.4001640625,-7.59103125,1.3562109375,-5.75998046875,-9.49008984375,-12.12744921875,-8.05987109375,-11.1195078125,-11.32892578125,-7.46126953125,-4.82901171875,-1.9831328125,-3.225109375,-4.15542578125,-6.8353515625,-3.376953125,-3.73441015625,-2.27043359375,-2.65580078125,-4.93302734375,-2.09446875,-1.18164453125,-6.941265625,4.498671875,2.8636953125
2.2140234375,-1.38846484375,5.1875546875,-14.2207578125,-8.8454140625,-6.4031640625,-6.47103125,3.0892109375,-5.82898046875,-10.35808984375,-11.97744921875,-8.28687109375,-12.6525078125,-12.97692578125,-7.78526953125,-4.54901171875,-3.2421328125,-3.484109375,-4.36642578125,-6.6563515625,-3.701953125,-4.62941015625,-2.02643359375,-2.12880078125,-4.45902734375,-1.79746875,-0.137644531249999,-6.071265625,5.739671875,2.2896953125
2.3950234375,-0.23046484375,5.5815546875,-14.7647578125,-10.6004140625,-6.4801640625,-4.93703125,5.3362109375,-6.16498046875,-11.45608984375,-11.65244921875,-7.96887109375,-13.4175078125,-14.63492578125,-8.14226953125,-4.25901171875,-3.5821328125,-3.775109375,-4.76942578125,-6.6373515625,-3.670953125,-5.03041015625,-1.89643359375,-1.87880078125,-4.00102734375,-0.113468750000001,0.73935546875,-5.191265625,7.266671875,2.4286953125
3.2990234375,1.41453515625,6.4545546875,-15.1407578125,-12.0444140625,-6.3141640625,-2.98703125,7.8872109375,-6.57698046875,-12.31008984375,-10.93144921875,-6.80487109375,-13.5345078125,-15.90192578125,-8.19326953125,-3.72901171875,-2.5941328125,-3.927109375,-5.10742578125,-6.4563515625,-3.085953125,-4.82041015625,-1.76543359375,-1.74880078125,-3.38002734375,2.63753125,1.61835546875,-4.144265625,9.097671875,3.4666953125
4.9170234375,3.42653515625,8.0695546875,-15.1887578125,-12.7004140625,-5.6301640625,-0.698031250000001,10.4742109375,-6.79998046875,-12.47308984375,-9.64744921875,-4.75587109375,-13.2105078125,-16.32392578125,-7.65226953125,-2.77101171875,-0.2151328125,-3.702109375,-5.10942578125,-5.7843515625,-1.896953125,-4.00341015625,-1.43343359375,-1.48080078125,-2.43902734375,5.75153125,2.69635546875,-2.681265625,11.161671875,5.3106953125
7.0530234375,5.59453515625,10.4785546875,-14.7517578125,-12.3154140625,-4.3081640625,1.79696875,12.8792109375,-6.69698046875,-11.68508984375,-7.76644921875,-2.07587109375,-12.6235078125,-15.56192578125,-6.38926953125,-1.33801171875,3.1918671875,-2.913109375,-4.58842578125,-4.4353515625,-0.227953125,-2.68941015625,-0.724433593750001,-0.82380078125,-1.12702734375,8.41453125,4.09435546875,-0.630265625000002,13.303671875,7.6326953125
9.3230234375,7.61053515625,13.4015546875,-13.8267578125,-10.9824140625,-2.4821640625,4.28996875,14.9412109375,-6.31898046875,-10.00008984375,-5.47144921875,0.74412890625,-11.8935078125,-13.61892578125,-4.53026953125,0.41098828125,6.9528671875,-1.544109375,-3.54842578125,-2.4973515625,1.622046875,-1.06741015625,0.373566406249999,0.31619921875,0.42897265625,9.99853125,5.74435546875,1.877734375,15.252671875,9.9516953125
