"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-0.878531249999999,-3.24381640625,-0.9780234375,3.08398046875,-0.981136718749999,-2.7339296875,-6.025984375,-2.169296875,-5.351609375,1.2183671875,-4.15185546875,-6.99155859375,8.5773203125,2.52203125,-0.1882890625,-0.93363671875,-12.85496484375,1.7188828125,0.87592578125,-1.2221171875,-2.78114453125,3.8089609375,4.68132421875,2.67832421875,-2.73795703125,-7.64332421875,5.075859375,2.92286328125,-44.38353515625,-3.37446484375
-2.34353125,-4.18781640625,-3.5510234375,1.20598046875,-3.13513671875,-4.7159296875,-7.841984375,-4.006296875,-8.108609375,-0.1636328125,-4.80685546875,-6.11855859375,1.7583203125,2.05903125,-0.0102890625000001,0.32336328125,-18.09596484375,3.8058828125,2.43992578125,0.1918828125,-2.69214453125,4.1659609375,6.67332421875,5.34732421875,-0.77295703125,-6.38732421875,7.171859375,5.49286328125,-41.20153515625,-1.22446484375
-3.26553125,-4.85881640625,-4.9460234375,-0.27701953125,-4.51713671875,-6.0579296875,-8.825984375,-5.252296875,-9.462609375,-0.9096328125,-5.20085546875,-5.63255859375,-3.2976796875,2.22303125,0.5767109375,1.48436328125,-18.29696484375,6.1228828125,3.93092578125,1.5318828125,-1.69314453125,5.6639609375,8.71632421875,7.56732421875,1.12304296875,-4.25132421875,9.335859375,8.52486328125,-37.83553515625,1.47053515625
-3.56553125,-5.16881640625,-5.0400234375,-1.23801953125,-5.01913671875,-6.5579296875,-8.827984375,-5.699296875,-9.320609375,-0.9186328125,-5.27185546875,-5.46355859375,-5.8086796875,2.96603125,1.5317109375,2.32936328125,-12.77196484375,8.3418828125,5.15492578125,2.5628828125,-0.04814453125,7.8779609375,10.38432421875,9.09632421875,2.73804296875,-1.37732421875,11.203859375,11.43286328125,-34.78453515625,4.34253515625
-3.40253125,-5.16381640625,-4.1130234375,-1.69801953125,-4.83213671875,-6.2429296875,-7.982984375,-5.276296875,-8.115609375,-0.3636328125,-5.08685546875,-5.39755859375,-5.4876796875,3.93003125,2.6077109375,2.58636328125,-2.80596484375,9.8548828125,5.81692578125,2.9738828125,1.60085546875,9.8509609375,11.07232421875,9.70532421875,3.76004296875,1.63167578125,12.205859375,13.18486328125,-32.87353515625,6.62653515625
-3.17753125,-5.09181640625,-2.7730234375,-1.88401953125,-4.43113671875,-5.4579296875,-6.706984375,-4.140296875,-6.649609375,0.3063671875,-4.87085546875,-5.23355859375,-2.8916796875,4.54903125,3.4147109375,2.06836328125,8.46203515625,10.0148828125,5.62692578125,2.5278828125,2.54385546875,10.6329609375,10.32132421875,9.25132421875,3.89704296875,3.92867578125,11.828859375,12.82586328125,-32.84653515625,7.52153515625
-3.41253125,-5.34781640625,-1.7690234375,-2.19901953125,-4.42713671875,-4.7839296875,-5.584984375,-2.694296875,-5.796609375,0.5043671875,-4.93985546875,-4.92055859375,0.5253203125,4.27403125,3.5657109375,0.81836328125,17.02803515625,8.4798828125,4.44292578125,1.2088828125,2.31985546875,9.7709609375,8.10532421875,7.78932421875,3.03604296875,4.77067578125,9.926859375,10.07886328125,-34.85453515625,6.64353515625
-4.51053125,-6.27981640625,-1.7110234375,-3.04201953125,-5.31013671875,-4.7869296875,-5.136984375,-1.449296875,-6.159609375,-0.2226328125,-5.52785546875,-4.56055859375,2.8923203125,2.83203125,2.8577109375,-0.82563671875,19.61403515625,5.4548828125,2.38892578125,-0.7021171875,0.91985546875,7.4649609375,4.90332421875,5.63732421875,1.37204296875,3.87067578125,6.893859375,5.62786328125,-38.20653515625,4.30553515625
-6.49653125,-7.93781640625,-2.8000234375,-4.54801953125,-7.17713671875,-5.7089296875,-5.552984375,-0.766296875,-7.839609375,-1.9376328125,-6.61385546875,-4.26955859375,2.7733203125,0.38703125,1.3777109375,-2.30963671875,15.17303515625,1.6948828125,-0.14207421875,-2.6911171875,-1.18014453125,4.3539609375,1.50832421875,3.31232421875,-0.60195703125,1.54467578125,3.535859375,0.84086328125,-41.60753515625,1.38853515625
-8.94653125,-9.98781640625,-4.7170234375,-6.44501953125,-9.65013671875,-7.3209296875,-6.589984375,-0.658296875,-10.424609375,-4.2596328125,-7.91385546875,-4.05255859375,-0.1146796875,-2.51396875,-0.5362890625,-3.11163671875,5.51603515625,-1.8041171875,-2.62507421875,-4.2221171875,-3.22614453125,1.1289609375,-1.32667578125,1.33532421875,-2.29095703125,-1.42432421875,0.704859375,-2.92613671875,-43.79453515625,-1.11746484375
