"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-7.3328828125,-10.63248046875,10.00276953125,-17.11280859375,-14.1295859375,-21.70475390625,-6.11059375,-8.25083203125,-9.083796875,-20.29616015625,-16.588171875,-14.300015625,-11.0884609375,-17.49894140625,-19.25927734375,-21.94033984375,-13.10208203125,-20.2263359375,-19.3816171875,-19.20534375,-17.5438671875,-11.8926875,-19.61900390625,-19.92457421875,-21.44961328125,-22.638671875,-19.12665234375,-11.78925,-22.1311015625,-27.06983203125
-15.6148828125,-12.83148046875,9.73276953125,-20.94680859375,-14.4905859375,-21.87975390625,-9.47659375,-12.36383203125,-10.554796875,-21.39016015625,-15.051171875,-10.981015625,-11.0634609375,-18.15594140625,-18.97027734375,-20.55933984375,-12.62208203125,-21.6613359375,-19.1026171875,-17.64834375,-16.5188671875,-13.2336875,-19.27200390625,-20.22657421875,-20.57561328125,-22.280671875,-21.68265234375,-13.39725,-23.3171015625,-27.72183203125
-19.6038828125,-13.24348046875,10.13576953125,-22.66780859375,-13.4685859375,-21.24875390625,-10.54159375,-14.03183203125,-10.776796875,-21.00716015625,-13.465171875,-8.505015625,-10.7434609375,-17.61094140625,-18.00627734375,-18.99433984375,-12.00808203125,-21.9313359375,-18.2366171875,-16.07934375,-15.3968671875,-13.4236875,-18.61600390625,-19.70657421875,-19.44361328125,-21.703671875,-22.32365234375,-14.28725,-23.6031015625,-27.72983203125
-19.0998828125,-11.75548046875,11.79876953125,-22.22980859375,-11.1535859375,-19.80175390625,-9.55559375,-13.31483203125,-9.765796875,-19.10716015625,-11.843171875,-6.929015625,-10.2494609375,-15.78994140625,-16.39527734375,-17.30533984375,-11.31108203125,-20.9593359375,-16.7736171875,-14.50534375,-14.2048671875,-12.5336875,-17.65600390625,-18.46057421875,-18.03961328125,-20.955671875,-21.17365234375,-14.40125,-23.0571015625,-27.11383203125
-15.1918828125,-8.85748046875,15.07776953125,-20.23980859375,-8.1605859375,-17.81875390625,-7.49259375,-11.00383203125,-7.941796875,-16.17416015625,-10.273171875,-6.086015625,-9.7654609375,-13.04594140625,-14.42327734375,-15.64433984375,-10.63308203125,-19.0433359375,-14.9326171875,-12.98934375,-13.0388671875,-11.0556875,-16.52600390625,-16.89557421875,-16.47661328125,-20.163671875,-18.94765234375,-13.91025,-22.0271015625,-26.11283203125
-9.6878828125,-5.47248046875,19.63776953125,-17.64180859375,-5.3495859375,-15.75275390625,-5.46859375,-8.17183203125,-5.932796875,-13.01116015625,-8.926171875,-5.719015625,-9.3804609375,-10.03494140625,-12.53127734375,-14.20933984375,-10.05508203125,-16.7283359375,-13.0896171875,-11.66934375,-12.0398671875,-9.6536875,-15.44100390625,-15.52757421875,-14.99661328125,-19.465671875,-16.52065234375,-13.11025,-20.9331015625,-25.06983203125
-4.4828828125,-2.67148046875,24.32276953125,-15.37380859375,-3.4765859375,-14.08375390625,-4.27459375,-5.78583203125,-4.372796875,-10.46116015625,-8.005171875,-5.628015625,-9.0304609375,-7.49094140625,-11.16827734375,-13.18333984375,-9.59608203125,-14.6353359375,-11.6476171875,-10.72234375,-11.3468671875,-8.8766875,-14.62800390625,-14.75057421875,-13.89561328125,-18.961671875,-14.56965234375,-12.27425,-20.0681015625,-24.31683203125
-1.0568828125,-1.32948046875,27.59076953125,-14.11380859375,-2.9345859375,-13.16975390625,-4.19259375,-4.48783203125,-3.711796875,-9.12516015625,-7.666171875,-5.730015625,-8.5904609375,-5.98594140625,-10.65427734375,-12.67933984375,-9.24808203125,-13.2773359375,-10.8926171875,-10.30834375,-11.0358671875,-8.9546875,-14.22900390625,-14.68757421875,-13.41261328125,-18.702671875,-13.42065234375,-11.55625,-19.5231015625,-24.07083203125
-0.0778828124999995,-1.80848046875,28.32976953125,-14.10380859375,-3.6595859375,-13.13975390625,-5.02059375,-4.46083203125,-4.074796875,-9.19616015625,-7.945171875,-6.035015625,-8.0234609375,-5.74494140625,-11.06727734375,-12.69633984375,-9.01108203125,-12.8913359375,-10.8976171875,-10.49734375,-11.0778671875,-9.7596875,-14.24700390625,-15.17757421875,-13.62061328125,-18.687671875,-13.05665234375,-10.98525,-19.2201015625,-24.37183203125
-1.2238828125,-3.75148046875,26.56176953125,-15.08280859375,-5.2195859375,-13.85075390625,-6.22759375,-5.37283203125,-5.212796875,-10.41716015625,-8.726171875,-6.562015625,-7.4324609375,-6.59194140625,-12.19427734375,-13.10033984375,-8.91108203125,-13.3673359375,-11.4976171875,-11.22934375,-11.3408671875,-10.9096875,-14.54400390625,-15.88457421875,-14.38361328125,-18.863671875,-13.21265234375,-10.53825,-19.0071015625,-25.07683203125
