"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-17.3148359375,-39.41153515625,-35.38596875,-19.18177734375,-42.5671953125,-31.12894921875,-50.54783984375,-21.40976953125,-33.44095703125,-50.95205859375,-53.25220703125,-11.49525,-5.300296875,-47.58476953125,-47.28760546875,-30.890640625,-9.63346484375,-6.114125,-47.40595703125,-35.74310546875,-22.696328125,-18.834875,-24.30244921875,-38.27946875,-35.00843359375,-32.66513671875,-34.68466796875,-30.18721875,-21.192484375,-42.1204921875
-18.7248359375,-39.58153515625,-38.20196875,-20.82677734375,-44.4321953125,-31.76394921875,-52.02983984375,-21.38276953125,-35.20695703125,-51.61505859375,-53.28720703125,-11.75125,-4.785296875,-48.53676953125,-47.33860546875,-30.430640625,-8.15846484375,-6.610125,-46.78695703125,-34.99410546875,-22.116328125,-18.650875,-24.47444921875,-38.16946875,-35.14843359375,-31.59913671875,-34.86666796875,-30.25921875,-21.418484375,-42.4954921875
-19.8958359375,-38.93853515625,-39.16496875,-20.99577734375,-44.9081953125,-31.79894921875,-52.37683984375,-20.84876953125,-35.75795703125,-51.55305859375,-52.81420703125,-11.37725,-4.386296875,-48.49376953125,-47.01160546875,-29.838640625,-6.60246484375,-6.503125,-45.82295703125,-34.20310546875,-21.043328125,-18.234875,-24.19044921875,-37.59446875,-34.64243359375,-30.00913671875,-34.85466796875,-30.10721875,-21.736484375,-42.5784921875
-20.6718359375,-37.55753515625,-38.10596875,-19.91677734375,-43.9761953125,-31.24994921875,-51.65983984375,-19.80076953125,-35.06995703125,-50.84505859375,-51.89820703125,-10.39525,-4.095296875,-47.54276953125,-46.41660546875,-29.151640625,-5.01746484375,-5.907125,-44.64395703125,-33.50610546875,-19.540328125,-17.678875,-23.61944921875,-36.67646875,-33.59543359375,-27.92413671875,-34.78166796875,-30.01821875,-22.313484375,-42.5004921875
-20.9668359375,-35.86653515625,-35.50796875,-18.30577734375,-42.0651953125,-30.33094921875,-50.30883984375,-18.42776953125,-33.55995703125,-49.80605859375,-50.78120703125,-9.06725,-3.955296875,-46.13176953125,-45.80360546875,-28.496640625,-3.53346484375,-5.202125,-43.56895703125,-33.10910546875,-17.886328125,-17.236875,-23.16244921875,-35.76846875,-32.39043359375,-25.59113671875,-34.93266796875,-30.45421875,-23.386484375,-42.5634921875
-20.8398359375,-34.48853515625,-32.33196875,-16.95677734375,-39.8341953125,-29.34994921875,-48.84483984375,-17.05376953125,-31.91695703125,-48.81105859375,-49.76220703125,-7.77525,-4.136296875,-44.84176953125,-45.41560546875,-28.074640625,-2.32146484375,-4.868125,-42.97495703125,-33.19810546875,-16.461328125,-17.245875,-23.26744921875,-35.30246875,-31.51443359375,-23.38713671875,-35.64166796875,-31.81621875,-25.186484375,-43.1054921875
-20.4938359375,-33.99353515625,-29.71696875,-16.38877734375,-37.9081953125,-28.57794921875,-47.63883984375,-16.01876953125,-30.82595703125,-48.12105859375,-49.07620703125,-6.87725,-4.895296875,-44.11576953125,-45.36060546875,-28.088640625,-1.52346484375,-5.262125,-43.11195703125,-33.83410546875,-15.604328125,-17.971875,-24.22344921875,-35.60346875,-31.33343359375,-21.66313671875,-37.13666796875,-34.20621875,-27.791484375,-44.3134921875
-20.1858359375,-34.66453515625,-28.63996875,-16.70377734375,-36.6901953125,-28.15494921875,-46.79583984375,-15.57076953125,-30.70595703125,-47.80105859375,-48.82620703125,-6.57025,-6.413296875,-44.09076953125,-45.56660546875,-28.645640625,-1.17846484375,-6.454125,-43.97395703125,-34.88010546875,-15.472328125,-19.450875,-26.00344921875,-36.70846875,-31.91343359375,-20.58713671875,-39.38166796875,-37.30121875,-30.988484375,-46.0694921875
-20.1038359375,-36.37653515625,-29.62596875,-17.64977734375,-36.3071953125,-28.07694921875,-46.24183984375,-15.82276953125,-31.59195703125,-47.76505859375,-48.98120703125,-6.85225,-8.624296875,-44.60776953125,-45.85760546875,-29.695640625,-1.20846484375,-8.204125,-45.27995703125,-36.03110546875,-15.990328125,-21.408875,-28.24944921875,-38.33246875,-32.99743359375,-20.08713671875,-42.02866796875,-40.41621875,-34.240484375,-47.9324921875
-20.2938359375,-38.66353515625,-32.56596875,-18.83477734375,-36.6751953125,-28.28894921875,-45.90783984375,-16.76776953125,-33.19495703125,-47.90905859375,-49.46720703125,-7.58625,-11.159296875,-45.36976953125,-46.10060546875,-31.047640625,-1.47546484375,-10.082125,-46.60595703125,-36.95810546875,-16.918328125,-23.342875,-30.40044921875,-39.98046875,-34.15343359375,-19.93213671875,-44.50666796875,-42.75621875,-36.829484375,-49.2984921875
-20.6738359375,-40.91253515625,-36.66596875,-19.92977734375,-37.6201953125,-28.81194921875,-45.89383984375,-18.32176953125,-35.09695703125,-48.23805859375,-50.25420703125,-8.62025,-13.452296875,-46.11876953125,-46.32160546875,-32.466640625,-1.88546484375,-11.662125,-47.58495703125,-37.48310546875,-17.999328125,-24.721875,-31.92044921875,-41.17546875,-35.01243359375,-19.89613671875,-46.22566796875,-43.72821875,-38.119484375,-49.6734921875
-21.1258359375,-42.56853515625,-40.59196875,-20.75577734375,-38.9591953125,-29.75794921875,-46.45983984375,-20.33776953125,-36.94095703125,-48.85705859375,-51.36220703125,-9.86525,-14.971296875,-46.74176953125,-46.67960546875,-33.769640625,-2.46146484375,-12.680125,-48.05095703125,-37.65510546875,-19.086328125,-25.206875,-32.49344921875,-41.65946875,-35.43843359375,-19.90313671875,-46.77666796875,-43.14821875,-37.780484375,-48.8874921875
-21.5738359375,-43.27753515625,-42.89696875,-21.25277734375,-40.5061953125,-31.21394921875,-47.83083984375,-22.58876953125,-38.52595703125,-49.81905859375,-52.75520703125,-11.28625,-15.442296875,-47.23976953125,-47.29160546875,-34.854640625,-3.32346484375,-13.091125,-48.04095703125,-37.66910546875,-20.180328125,-24.760875,-32.10244921875,-41.43346875,-35.53343359375,-20.05713671875,-46.03666796875,-41.24821875,-35.873484375,-47.1384921875
-21.9758359375,-42.95753515625,-42.65696875,-21.41377734375,-42.0241953125,-33.05294921875,-49.92983984375,-24.74376953125,-39.75995703125,-50.95805859375,-54.22020703125,-12.82125,-14.935296875,-47.62576953125,-48.04560546875,-35.653640625,-4.58646484375,-13.021125,-47.66295703125,-37.66410546875,-21.356328125,-23.614875,-30.97444921875,-40.66246875,-35.50343359375,-20.55113671875,-44.14966796875,-38.50821875,-32.769484375,-44.8634921875
-22.2488359375,-41.78653515625,-39.99896875,-21.24477734375,-43.1961953125,-34.84694921875,-52.25183984375,-26.41176953125,-40.55695703125,-51.85205859375,-55.34020703125,-14.30425,-13.787296875,-47.83576953125,-48.54760546875,-36.058640625,-6.21946484375,-12.659125,-46.95895703125,-37.58210546875,-22.634328125,-22.129875,-29.43544921875,-39.52946875,-35.47743359375,-21.51213671875,-41.43166796875,-35.43221875,-28.985484375,-42.5324921875
-22.2418359375,-40.11753515625,-36.10596875,-20.75977734375,-43.6671953125,-35.96894921875,-53.98683984375,-27.24576953125,-40.77595703125,-51.96205859375,-55.62020703125,-15.45725,-12.420296875,-47.72876953125,-48.27960546875,-35.899640625,-7.96746484375,-12.171125,-45.86295703125,-37.17310546875,-23.876328125,-20.651875,-27.78544921875,-38.13446875,-35.40743359375,-22.87113671875,-38.26366796875,-32.40721875,-25.039484375,-40.4754921875
-21.8218359375,-38.32553515625,-32.61196875,-19.99977734375,-43.1791953125,-35.86394921875,-54.36483984375,-27.08276953125,-40.28195703125,-50.89905859375,-54.70120703125,-15.97125,-11.167296875,-47.18376953125,-46.89160546875,-35.010640625,-9.39946484375,-11.660125,-44.29295703125,-36.17610546875,-24.774328125,-19.418875,-26.24244921875,-36.51146875,-35.08943359375,-24.33513671875,-35.03466796875,-29.67421875,-21.363484375,-38.8354921875
-21.0088359375,-36.66253515625,-30.73396875,-19.04577734375,-41.7161953125,-34.35794921875,-53.03183984375,-25.99776953125,-39.06295703125,-48.66205859375,-52.55420703125,-15.65525,-10.195296875,-46.20076953125,-44.43460546875,-33.358640625,-10.07246484375,-11.170125,-42.27295703125,-34.51610546875,-24.963328125,-18.538875,-24.93644921875,-34.71646875,-34.29143359375,-25.48013671875,-32.10066796875,-27.37321875,-18.277484375,-37.6044921875
-20.0338359375,-35.19553515625,-30.68096875,-18.03877734375,-39.5761953125,-31.78394921875,-50.21083984375,-24.25276953125,-37.30495703125,-45.69605859375,-49.54620703125,-14.55625,-9.508296875,-44.92176953125,-41.38460546875,-31.114640625,-9.73746484375,-10.699125,-39.99195703125,-32.39010546875,-24.204328125,-17.987875,-23.91844921875,-32.89046875,-32.91043359375,-25.92313671875,-29.74866796875,-25.58821875,-15.980484375,-36.6984921875
-19.2168359375,-33.83153515625,-31.65096875,-17.17677734375,-37.2741953125,-28.83794921875,-46.56783984375,-22.17176953125,-35.35595703125,-42.71105859375,-46.29020703125,-12.94625,-9.003296875,-43.56076953125,-38.42460546875,-28.618640625,-8.44346484375,-10.195125,-37.73795703125,-30.17410546875,-22.518328125,-17.624875,-23.16444921875,-31.23646875,-31.03343359375,-25.45413671875,-28.12566796875,-24.34021875,-14.523484375,-36.0034921875
