"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-9.334046875,-3.36957421875,-3.1882109375,2.8483359375,-8.08889453125,-2.388625,-5.49259375,-5.235,6.21414453125,-8.511140625,-11.471109375,-4.07719921875,12.3126484375,-7.98291015625,-15.89127734375,-14.49055859375,-6.5853046875,-8.60058203125,-22.31708203125,-12.3223828125,-10.7471484375,-2.947390625,-14.35348046875,-19.8913359375,-15.31519921875,-8.403359375,-16.57391796875,-17.37128125,-6.4447109375,-13.52915234375
-10.293046875,-3.48557421875,-5.3712109375,-0.819664062500001,-11.90089453125,-5.015625,-5.08159375,-8.044,0.99014453125,-10.765140625,-11.782109375,-2.55719921875,4.2096484375,-11.55991015625,-16.50427734375,-11.70655859375,-7.3253046875,-12.43158203125,-24.13308203125,-11.9203828125,-7.9801484375,-6.333390625,-17.60348046875,-19.6683359375,-12.57319921875,-6.847359375,-18.33591796875,-19.42928125,-6.7967109375,-11.99215234375
-10.348046875,-3.16957421875,-6.0732109375,-3.8236640625,-13.66889453125,-6.021625,-4.69659375,-8.997,-2.07085546875,-11.013140625,-10.933109375,-0.70819921875,-3.0443515625,-12.98091015625,-15.44227734375,-8.13455859375,-6.0613046875,-14.60958203125,-23.95308203125,-9.6803828125,-4.5641484375,-8.353390625,-18.44348046875,-18.2073359375,-9.12119921875,-4.613359375,-18.28691796875,-20.25428125,-6.0687109375,-9.93715234375
-9.390046875,-2.30357421875,-5.1452109375,-5.9676640625,-13.37089453125,-5.404625,-4.06059375,-8.165,-3.04585546875,-9.298140625,-8.850109375,1.45180078125,-8.7423515625,-12.02891015625,-12.67727734375,-3.90855859375,-2.9453046875,-14.92458203125,-21.78808203125,-5.7533828125,-0.7151484375,-8.852390625,-16.84148046875,-15.6063359375,-5.07819921875,-1.821359375,-16.35091796875,-19.64428125,-4.1987109375,-7.42515234375
-7.579046875,-0.91357421875,-2.8952109375,-7.1896640625,-11.62189453125,-3.630625,-2.85559375,-6.165,-2.64585546875,-6.305140625,-5.813109375,3.79480078125,-12.1483515625,-9.12291015625,-8.74927734375,0.51644140625,1.0476953125,-13.58958203125,-18.27408203125,-0.9113828125,3.0818515625,-7.981390625,-13.45948046875,-12.3713359375,-0.85319921875,1.151640625,-12.99991796875,-17.69128125,-1.4277109375,-4.69915234375
-5.272046875,0.82442578125,0.0787890624999998,-7.5576640625,-9.33789453125,-1.356625,-0.91659375,-3.785,-1.73585546875,-2.979140625,-2.309109375,6.12580078125,-12.8243515625,-5.09291015625,-4.51827734375,4.56744140625,4.5826953125,-11.06658203125,-14.32108203125,3.8556171875,6.3268515625,-6.042390625,-9.23248046875,-9.1373359375,3.03180078125,3.851640625,-8.98391796875,-14.69028125,1.8442890625,-2.06215234375
-2.903046875,2.64042578125,3.1367890625,-7.2686640625,-7.38189453125,0.820375,1.63740625,-1.653,-0.95285546875,-0.131140625,1.130890625,8.22880078125,-10.9123515625,-0.872910156250001,-0.80727734375,7.77544140625,6.6076953125,-7.86258203125,-10.72708203125,7.7436171875,8.7008515625,-3.361390625,-4.96448046875,-6.3843359375,6.15880078125,5.935640625,-5.00891796875,-11.03328125,5.2042890625,0.22884765625
-0.862046875,4.26342578125,5.7727890625,-6.6166640625,-6.31989453125,2.478375,4.40240625,-0.0850000000000004,-0.56585546875,1.801859375,4.076890625,9.91380078125,-7.1953515625,2.78808984375,1.87172265625,9.92944140625,6.7886953125,-4.39658203125,-7.93908203125,10.3616171875,10.1448515625,-0.252390625,-1.13048046875,-4.2773359375,8.36280078125,7.270640625,-1.52591796875,-7.12928125,8.3382890625,2.03784765625
0.625953125,5.50142578125,7.6887890625,-5.9106640625,-6.29789453125,3.429375,6.80540625,0.92,-0.54085546875,2.799859375,6.288890625,11.06880078125,-2.8633515625,5.51608984375,3.43872265625,11.11444140625,5.5356953125,-0.95658203125,-5.98808203125,11.7876171875,10.8378515625,2.976609375,2.12151953125,-2.6753359375,9.77580078125,7.947640625,1.33208203125,-3.34028125,11.0822890625,3.36784765625
1.557953125,6.28842578125,8.7787890625,-5.3636640625,-7.04989453125,3.730375,8.30340625,1.589,-0.67085546875,3.164859375,7.746890625,11.71280078125,0.8886484375,7.36508984375,4.20072265625,11.65644140625,3.6986953125,2.27541796875,-4.58208203125,12.4586171875,11.1128515625,6.010609375,4.84751953125,-1.2383359375,10.74980078125,8.232640625,3.69208203125,0.0457187500000007,13.4222890625,4.33884765625
2.126953125,6.68942578125,9.1137890625,-5.0286640625,-8.04889453125,3.646375,8.61040625,2.195,-0.71985546875,3.353859375,8.627890625,12.00080078125,3.2446484375,8.70608984375,4.68572265625,11.99844140625,2.1396953125,5.17741796875,-3.30408203125,12.9576171875,11.3608515625,8.532609375,7.13551953125,0.408664062499999,11.69780078125,8.463640625,5.80008203125,2.81571875,15.4172890625,5.11484765625
2.608953125,6.86742578125,8.9217890625,-4.8086640625,-8.73489453125,3.536375,7.83740625,2.871,-0.52585546875,3.787859375,9.199890625,12.14580078125,3.9376484375,9.99408984375,5.41472265625,12.52344140625,1.4106953125,7.63941796875,-1.82508203125,13.7526171875,11.8998515625,10.243609375,8.97851953125,2.5196640625,12.90180078125,8.912640625,7.86808203125,4.81271875,17.1042890625,5.79984765625
3.208953125,6.99742578125,8.5447890625,-4.5046640625,-8.71989453125,3.690375,6.46840625,3.528,-0.02285546875,4.698859375,9.682890625,12.29980078125,3.1746484375,11.52408984375,6.66872265625,13.38344140625,1.6256953125,9.51241796875,-0.0740820312500006,14.9816171875,12.8378515625,10.905609375,10.25351953125,5.0956640625,14.34680078125,9.646640625,9.94608203125,5.91771875,18.4262890625,6.36684765625
