"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-5.179890625,-5.02789453125,-7.05753515625,-5.396125,-2.85897265625,-5.3810703125,-7.71304296875,-12.8625859375,-7.72346484375,-12.28287109375,-14.01124609375,-12.2733515625,-17.406859375,-14.99597265625,-16.302203125,-23.00766015625,-29.9554296875,-13.5194296875,-17.7822421875,-14.9639921875,-16.2970546875,-10.923640625,-13.23574609375,-15.14471484375,-15.5599140625,-7.980625,-13.49570703125,-8.91972265625,-11.86265234375,-12.23841796875
-4.241890625,-3.79489453125,-5.98053515625,-6.021125,-3.72897265625,-6.5690703125,-7.51804296875,-12.3475859375,-7.10346484375,-13.81487109375,-15.77624609375,-13.2363515625,-18.628859375,-10.93597265625,-18.981203125,-22.09566015625,-28.4194296875,-13.6814296875,-17.3312421875,-13.0909921875,-14.7270546875,-9.714640625,-12.71674609375,-13.60971484375,-13.1839140625,-4.936625,-12.41770703125,-8.79172265625,-11.16165234375,-10.66641796875
-3.346890625,-2.67989453125,-4.69953515625,-5.921125,-4.47297265625,-7.3300703125,-6.46004296875,-11.5035859375,-5.95046484375,-14.91987109375,-15.99024609375,-12.8113515625,-17.837859375,-8.09097265625,-20.133203125,-19.68966015625,-26.3994296875,-12.3164296875,-16.3422421875,-10.8229921875,-12.1450546875,-6.933640625,-11.66374609375,-11.57171484375,-10.3829140625,-1.929625,-10.17170703125,-6.85472265625,-9.08665234375,-8.51641796875
-2.754890625,-1.91789453125,-3.49353515625,-5.306125,-5.38597265625,-7.8280703125,-4.72104296875,-10.2935859375,-4.63346484375,-15.73387109375,-14.82424609375,-11.2083515625,-15.252859375,-6.67797265625,-19.846203125,-16.14666015625,-24.0014296875,-9.6394296875,-15.0092421875,-8.5759921875,-9.0080546875,-2.890640625,-10.14274609375,-9.26271484375,-7.5849140625,0.624375000000001,-6.93270703125,-3.27772265625,-5.82865234375,-5.96341796875
-2.765890625,-1.74689453125,-2.76753515625,-4.680125,-6.85197265625,-8.3760703125,-2.94304296875,-8.8355859375,-3.81046484375,-16.57387109375,-13.00724609375,-9.1623515625,-11.884859375,-6.75997265625,-18.703203125,-12.51266015625,-21.5304296875,-6.4834296875,-13.7632421875,-6.9729921875,-6.2110546875,1.426359375,-8.42574609375,-7.14171484375,-5.4569140625,2.254375,-3.31670703125,1.09427734375,-2.09165234375,-3.41341796875
-3.556890625,-2.28889453125,-2.85753515625,-4.590125,-9.10497265625,-9.2820703125,-1.92604296875,-7.3565859375,-4.09846484375,-17.77287109375,-11.47224609375,-7.5923515625,-9.052859375,-8.34497265625,-17.469203125,-10.07066015625,-19.3914296875,-3.9484296875,-13.0982421875,-6.5319921875,-4.6420546875,4.808359375,-6.92974609375,-5.71171484375,-4.5859140625,2.679375,-0.13070703125,5.09127734375,1.21034765625,-1.32841796875
-5.056890625,-3.48289453125,-3.87753515625,-5.343125,-12.01297265625,-10.7090703125,-2.10604296875,-6.0485859375,-5.74046484375,-19.45487109375,-10.97724609375,-7.2033515625,-7.781859375,-11.29997265625,-16.752203125,-9.74666015625,-17.9844296875,-2.9774296875,-13.3682421875,-7.4349921875,-4.8020546875,6.380359375,-6.10774609375,-5.33871484375,-5.2179140625,1.939375,1.91029296875,7.68027734375,3.30434765625,-0.0574179687499994
-6.886890625,-5.04189453125,-5.61553515625,-6.783125,-14.98097265625,-12.5460703125,-3.31204296875,-4.9555859375,-8.38846484375,-21.37187109375,-11.80924609375,-8.1703515625,-8.413859375,-15.18597265625,-16.753203125,-11.70566015625,-17.5814296875,-3.9684296875,-14.6012421875,-9.4529921875,-6.6050546875,5.979359375,-6.25574609375,-6.09171484375,-7.1339140625,0.386375,2.44129296875,8.38327734375,3.85634765625,0.28258203125
-8.423890625,-6.46089453125,-7.53953515625,-8.277125,-17.09597265625,-14.3780703125,-4.90404296875,-4.0015859375,-11.13446484375,-22.92887109375,-13.67624609375,-10.0283515625,-10.579859375,-19.20697265625,-17.207203125,-15.27566015625,-18.2134296875,-6.6044296875,-16.4152421875,-12.0089921875,-9.4010546875,4.163359375,-7.32974609375,-7.67471484375,-9.6929140625,-1.433625,1.57929296875,7.47627734375,3.09634765625,-0.167417968749999
-9.038890625,-7.18289453125,-8.97953515625,-8.989125,-17.49597265625,-15.6460703125,-6.06504296875,-3.0975859375,-12.87446484375,-23.43287109375,-15.86824609375,-11.9043515625,-13.438859375,-22.34997265625,-17.577203125,-19.22166015625,-19.5944296875,-10.0074296875,-18.1372421875,-14.3809921875,-12.2480546875,1.863359375,-8.94274609375,-9.52971484375,-12.0869140625,-2.974625,-0.15470703125,5.79227734375,1.67834765625,-1.10741796875
