"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-2.86321875,-7.9477109375,-5.1690703125,-8.6483671875,-0.9743515625,0.495046875,-1.440015625,-9.81221484375,-12.6922109375,-6.1437734375,-1.42644140625,-7.01906640625,-20.75900390625,-12.880515625,-4.25256640625,-3.47192578125,-10.0675546875,-16.29865234375,-13.4798046875,-13.53971875,-7.67610546875,-4.7257421875,-11.99373828125,-21.92879296875,-19.59853515625,-18.11419921875,-32.41066796875,-8.32196484375,-17.355390625,-15.7659140625
-0.63721875,-2.8597109375,1.1809296875,-10.7323671875,-4.4093515625,-1.088953125,-0.259015625,-6.44221484375,-14.5672109375,-5.7247734375,-2.37544140625,1.28793359375,-13.08700390625,-12.442515625,-5.64956640625,-2.40392578125,-5.7855546875,-17.71465234375,-13.2768046875,-10.58471875,-1.16810546875,-5.9467421875,-11.32073828125,-20.49579296875,-14.98953515625,-10.66019921875,-30.72466796875,-7.76596484375,-14.586390625,-12.9189140625
1.01078125,0.6682890625,5.8969296875,-11.6633671875,-6.3843515625,-1.306953125,1.176984375,-2.19021484375,-15.8522109375,-4.9097734375,-2.02544140625,7.17493359375,-8.27000390625,-11.804515625,-5.46356640625,-0.49592578125,0.7164453125,-18.33365234375,-12.3568046875,-7.49371875,4.65789453125,-6.7367421875,-10.40473828125,-18.30779296875,-10.26153515625,-3.89719921875,-28.31266796875,-6.32396484375,-11.677390625,-9.7819140625
2.09278125,2.7542890625,8.9539296875,-11.3533671875,-6.4703515625,0.0410468749999997,3.171984375,2.80878515625,-16.2572109375,-3.4367734375,-0.22744140625,11.03193359375,-6.19500390625,-10.653515625,-3.56756640625,2.20107421875,8.7484453125,-17.81265234375,-10.4958046875,-4.19371875,9.48389453125,-6.9507421875,-8.92373828125,-15.18179296875,-5.48853515625,1.91080078125,-24.84766796875,-3.93396484375,-8.452390625,-6.3699140625
2.58478125,3.7472890625,10.5199296875,-10.1053671875,-4.7823515625,2.539046875,5.725984375,7.86778515625,-15.6952109375,-1.3447734375,2.58155859375,13.73293359375,-5.95500390625,-8.830515625,-0.48856640625,5.22407421875,16.5734453125,-16.07865234375,-7.7708046875,-0.78671875,13.01889453125,-6.5857421875,-6.65473828125,-11.21079296875,-0.90553515625,6.50980078125,-20.19066796875,-0.84496484375,-4.807390625,-2.8439140625
2.26378125,3.7772890625,10.5729296875,-8.4833671875,-2.0823515625,5.183046875,8.304984375,11.87078515625,-14.3842109375,0.8232265625,5.44955859375,15.75893359375,-6.42500390625,-6.548515625,2.71743359375,7.82707421875,22.2704453125,-13.44665234375,-4.6268046875,2.36728125,15.04689453125,-5.7917421875,-3.67273828125,-6.79079296875,3.10346484375,9.66280078125,-14.53566796875,2.48203515625,-0.848390625,0.497085937499998
0.81978125,2.6602890625,8.8769296875,-7.1243671875,0.4196484375,6.716046875,9.984984375,13.64578515625,-12.7712109375,2.1622265625,7.24855859375,16.81393359375,-6.73900390625,-4.369515625,4.85243359375,9.23507421875,24.6624453125,-10.52365234375,-1.7688046875,4.72528125,15.47389453125,-4.8077421875,-0.40973828125,-2.55179296875,6.09546484375,11.21280078125,-8.45866796875,5.50203515625,3.055609375,3.2770859375
-1.83521875,0.1912890625,5.3229296875,-6.5633671875,1.5056484375,6.152046875,9.904984375,12.50678515625,-11.3462109375,1.8362265625,7.14255859375,16.18993359375,-6.49500390625,-2.960515625,5.05143359375,8.92707421875,23.7284453125,-8.00265234375,0.0731953125000002,5.76028125,14.35589453125,-3.8977421875,2.43226171875,0.78820703125,7.67646484375,11.17380078125,-2.83066796875,7.66603515625,6.326609375,5.1250859375
-5.31821875,-3.4537109375,0.3559296875,-7.0743671875,0.4476484375,3.250046875,7.730984375,8.72678515625,-10.4322109375,-0.4597734375,4.93655859375,13.51893359375,-5.72300390625,-2.792515625,3.13843359375,6.82707421875,20.3834453125,-6.44165234375,0.3941953125,5.18128125,11.89889453125,-3.3467421875,4.06026171875,2.58520703125,7.60246484375,9.74780078125,1.39333203125,8.43403515625,8.304609375,5.7600859375
-8.76621875,-7.4817109375,-4.8330703125,-8.5433671875,-2.6553515625,-1.295953125,3.888984375,3.64378515625,-10.0512109375,-4.2517734375,1.17555859375,9.32893359375,-4.71300390625,-3.928515625,-0.26756640625,3.35707421875,15.9164453125,-6.12965234375,-0.9058046875,3.07728125,8.44189453125,-3.4787421875,3.80926171875,2.43420703125,5.85746484375,7.27980078125,3.45633203125,7.33303515625,8.431609375,5.0650859375
-11.05621875,-10.5867109375,-8.5160703125,-10.4233671875,-6.8333515625,-6.035953125,-0.506015625,-0.796214843750001,-9.9032109375,-8.3547734375,-3.02544140625,5.00293359375,-3.78300390625,-5.959515625,-3.96356640625,-0.675925781250001,11.4784453125,-7.03265234375,-3.4588046875,-0.0637187499999996,4.43689453125,-4.6007421875,1.39926171875,0.31020703125,2.69046484375,4.17780078125,3.03233203125,4.11303515625,6.458609375,3.1050859375
-11.19621875,-11.4027109375,-9.0830703125,-11.8763671875,-10.5843515625,-9.303953125,-3.991015625,-2.91121484375,-9.5162109375,-11.2947734375,-6.34444140625,2.12693359375,-3.06700390625,-8.135515625,-6.61256640625,-4.32192578125,7.8254453125,-8.83365234375,-6.5248046875,-3.48571875,0.39789453125,-6.8757421875,-2.89673828125,-3.38079296875,-1.41153515625,0.81180078125,0.305332031249996,-1.05996484375,2.595609375,0.0940859374999974
