"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
1.04403515625,-0.0693320312499996,-0.97242578125,-0.12025,3.395015625,6.195796875,7.026515625,-11.83380078125,-8.27831640625,0.7614375,9.62455859375,8.007953125,-19.3242109375,0.10878125,5.0053828125,4.3841796875,-1.586234375,-3.6446875,5.69144140625,2.75665234375,-0.36898828125,-4.99359765625,-0.121203125,3.74573828125,0.0932109375000003,-6.946359375,0.82256640625,-5.2769140625,-2.17684765625,-3.2172109375
5.16803515625,2.33666796875,0.24157421875,4.80275,5.665015625,9.206796875,7.559515625,1.29319921875,-3.23031640625,2.4804375,10.47955859375,2.828953125,-12.6722109375,3.10478125,6.7633828125,4.5231796875,-0.641234375,-0.8876875,8.01344140625,4.06465234375,0.60701171875,-1.62659765625,1.961796875,5.86173828125,1.9062109375,-5.726359375,3.09956640625,-3.2509140625,0.36515234375,-0.9292109375
7.53703515625,3.97266796875,0.43557421875,7.45475,6.736015625,10.544796875,7.032515625,9.69219921875,-0.0693164062500005,3.2844375,10.37555859375,-0.905046875,-8.3122109375,4.95078125,7.3793828125,3.9251796875,0.450765625,1.1113125,9.47744140625,4.52965234375,0.91501171875,0.63240234375,3.400796875,6.96773828125,2.8352109375,-5.280359375,4.51856640625,-2.0979140625,1.79115234375,0.1897890625
8.16703515625,4.75666796875,-0.23842578125,7.85675,6.541015625,10.244796875,5.632515625,12.73019921875,1.18268359375,3.1434375,9.34755859375,-2.982046875,-6.0422109375,5.50678125,6.7513828125,2.6721796875,1.582765625,2.1453125,9.90244140625,4.08065234375,0.51801171875,1.68240234375,4.005796875,6.90973828125,2.7732109375,-5.583359375,4.87056640625,-1.8989140625,1.92415234375,0.0507890624999998
7.65203515625,4.82566796875,-1.21442578125,6.79575,5.373015625,8.832796875,3.885515625,11.20819921875,1.10168359375,2.2614375,7.72155859375,-3.580046875,-4.9182109375,4.93678125,5.0853828125,1.0751796875,2.615765625,2.1833125,9.27244140625,2.85365234375,-0.44498828125,1.73240234375,3.711796875,5.77873828125,1.8362109375,-6.335359375,4.11256640625,-2.5169140625,0.87915234375,-1.0812109375
6.80403515625,4.45666796875,-1.81442578125,5.37075,3.733015625,6.989796875,2.340515625,6.83819921875,0.52668359375,0.929437500000001,5.93055859375,-3.130046875,-3.8432109375,3.60478125,2.7663828125,-0.5008203125,3.490765625,1.3833125,7.70344140625,1.09165234375,-1.71598828125,1.15040234375,2.595796875,3.82973828125,0.2842109375,-7.125359375,2.36656640625,-3.6859140625,-1.00984765625,-2.7332109375
6.23803515625,3.93666796875,-1.61742578125,4.45275,2.106015625,5.236796875,1.316515625,1.45819921875,0.132683593749999,-0.6355625,4.30555859375,-2.156046875,-2.1882109375,1.90978125,0.198382812499999,-1.7938203125,4.227765625,0.0503125,5.41544140625,-0.94434765625,-2.98598828125,0.27940234375,0.852796875,1.37773828125,-1.5807890625,-7.642359375,-0.10443359375,-5.1299140625,-3.30484765625,-4.4142109375
6.10503515625,3.42566796875,-0.69342578125,4.33775,0.749015625,3.782796875,0.795515625,-3.51280078125,0.128683593749999,-2.3785625,2.93755859375,-1.167046875,-0.106210937499999,0.13678125,-2.3456171875,-2.7448203125,4.807765625,-1.4846875,2.69544140625,-3.05934765625,-3.98698828125,-0.70659765625,-1.276203125,-1.29726171875,-3.5147890625,-7.813359375,-2.95743359375,-6.6509140625,-5.59984765625,-5.7952109375
6.11303515625,2.90266796875,0.43957421875,4.74775,-0.405984375,2.543796875,0.487515625,-7.18780078125,0.22968359375,-4.3915625,1.65155859375,-0.596046875,1.6307890625,-1.63721875,-4.7796171875,-3.5098203125,5.036765625,-2.9816875,-0.15555859375,-5.16234765625,-4.58198828125,-1.82359765625,-3.582203125,-3.99126171875,-5.3807890625,-7.803359375,-5.85243359375,-8.1709140625,-7.63484765625,-6.7892109375
5.76303515625,2.21466796875,1.10457421875,5.10775,-1.665984375,1.265796875,-0.029484375,-9.03880078125,-0.0933164062500005,-6.8075625,0.12855859375,-0.720046875,2.1377890625,-3.49521875,-7.1566171875,-4.3448203125,4.571765625,-4.3636875,-2.88255859375,-7.23234765625,-4.79698828125,-3.18159765625,-5.937203125,-6.56526171875,-7.1377890625,-7.870359375,-8.51643359375,-9.6859140625,-9.32784765625,-7.5112109375
