"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
12.02809375,15.68876171875,15.52530859375,26.8966015625,6.094390625,12.52355078125,3.76383203125,5.25873046875,11.7641640625,6.59896875,1.867734375,11.6896640625,14.7060234375,15.05262109375,13.37922265625,8.163296875,5.71021484375,13.10168359375,5.9155390625,8.7159609375,1.1088984375,8.079375,7.8059296875,9.69745703125,7.28220703125,5.03001953125,9.01441015625,7.403265625,8.5564921875,9.9579609375
13.32809375,17.08276171875,14.64830859375,29.1056015625,14.889390625,15.31755078125,12.36983203125,7.04573046875,12.3531640625,8.31396875,6.781734375,10.7786640625,17.4470234375,15.38662109375,13.95222265625,7.921296875,4.66621484375,13.62768359375,7.4355390625,8.9899609375,-0.0491015625,8.105375,8.1609296875,10.18345703125,5.22520703125,1.09301953125,9.05241015625,7.592265625,7.8564921875,9.5419609375
14.57009375,17.90376171875,13.65530859375,30.3926015625,20.447390625,17.86955078125,17.98583203125,8.08273046875,13.4291640625,10.25696875,10.432734375,11.0036640625,19.3320234375,16.00062109375,14.78422265625,8.633296875,4.09421484375,14.19968359375,9.0305390625,9.8879609375,-0.0501015625,8.161375,8.7949296875,11.02145703125,4.59720703125,-0.96298046875,9.46141015625,8.009265625,7.7144921875,9.2289609375
15.72209375,18.13176171875,12.32930859375,30.8626015625,22.929390625,20.04955078125,20.67783203125,8.43873046875,15.1301640625,12.36696875,12.799734375,12.2136640625,20.3220234375,16.84862109375,15.77022265625,10.185296875,4.07921484375,14.72568359375,10.6015390625,11.3219609375,1.1348984375,8.194375,9.5659296875,12.12645703125,5.37320703125,-1.00398046875,10.02841015625,8.444265625,7.8294921875,8.9229609375
16.72009375,17.88076171875,10.60730859375,30.8776015625,23.295390625,21.68255078125,21.29883203125,8.42373046875,17.3051640625,14.39896875,14.122734375,13.8716640625,20.5800234375,17.73462109375,16.68622265625,12.111296875,4.61621484375,15.05468359375,11.9385390625,12.9449609375,3.1388984375,8.129375,10.1759296875,13.24245703125,7.05220703125,0.53401953125,10.37041015625,8.522265625,7.6344921875,8.4299609375
17.37709375,17.31176171875,8.82030859375,30.7906015625,22.547390625,22.53455078125,20.82883203125,8.30873046875,19.4231640625,15.93796875,14.625734375,15.3246640625,20.3080234375,18.35862109375,17.27522265625,13.805296875,5.63221484375,15.01368359375,12.7605390625,14.2859609375,5.3538984375,7.906375,10.2929296875,14.01445703125,8.90420703125,2.85701953125,10.11641015625,7.860265625,6.5834921875,7.5139609375
17.35109375,16.55676171875,7.60730859375,30.7276015625,21.257390625,22.34755078125,19.88483203125,8.14473046875,20.6941640625,16.48396875,14.342734375,16.0286640625,19.5810234375,18.35262109375,17.25322265625,14.711296875,6.94621484375,14.42568359375,12.7595390625,14.8769609375,7.1208984375,7.478375,9.6449296875,14.06745703125,10.18720703125,5.03901953125,9.04641015625,6.208265625,4.3834921875,5.9329609375
16.29309375,15.66576171875,7.50230859375,30.5256015625,19.550390625,20.93555078125,18.60583203125,7.81973046875,20.3831640625,15.60496875,13.140734375,15.6776640625,18.2970234375,17.35862109375,16.32822265625,14.449296875,8.24121484375,13.13768359375,11.6685390625,14.3629609375,7.8868984375,6.807375,8.0899296875,13.08645703125,10.31820703125,6.22701953125,7.12641015625,3.543265625,1.0804921875,3.4849609375
14.11709375,14.60576171875,8.50630859375,29.8546015625,17.323390625,18.29055078125,16.84083203125,7.29473046875,18.1411640625,13.12096875,10.878734375,14.2796640625,16.2650234375,15.16562109375,14.28722265625,12.901296875,9.12121484375,11.09068359375,9.3555390625,12.5949609375,7.3398984375,5.877375,5.6619296875,10.92545703125,9.00120703125,5.84901953125,4.49141015625,0.098265625,-2.9745078125,0.0879609375000001
11.19009375,13.28276171875,10.01230859375,28.4736015625,14.504390625,14.66055078125,14.43783203125,6.77473046875,14.1811640625,9.23096875,7.587734375,12.1356640625,13.3820234375,11.82962109375,11.12222265625,10.244296875,9.26321484375,8.39268359375,5.9105390625,9.6909609375,5.4788984375,4.736375,2.5859296875,7.69045703125,6.29320703125,3.78101953125,1.39741015625,-3.683734375,-7.2385078125,-4.1240390625
8.21209375,11.61476171875,11.16430859375,26.4436015625,11.257390625,10.50455078125,11.46983203125,6.62573046875,9.2241640625,4.49996875,3.558734375,9.7086640625,9.8090234375,7.70362109375,7.08222265625,6.880296875,8.57521484375,5.33468359375,1.6775390625,6.0179609375,2.6088984375,3.508375,-0.7750703125,3.74245703125,2.56720703125,0.38401953125,-1.84558984375,-7.262734375,-11.1545078125,-8.7610390625
