"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-12.1290859375,-3.4941484375,-2.986828125,-4.46998828125,-10.5906015625,-6.26198828125,-7.72465234375,0.7252578125,-13.0313203125,-16.43548046875,-18.75021484375,-9.98863671875,-3.4281640625,-24.2395234375,-19.43758203125,-23.22377734375,-3.20130078125,-27.58519140625,-36.2840703125,-42.73164453125,-43.0891953125,-23.077859375,-47.11717578125,-43.0253828125,-54.3793046875,-29.8513828125,-51.79179296875,-35.00760546875,-38.83865625,-37.92411328125
-11.1900859375,-6.0451484375,-5.239828125,-3.57598828125,-9.8986015625,-6.51498828125,-9.27865234375,-0.6497421875,-11.7613203125,-16.56248046875,-20.84621484375,-10.15763671875,-4.6391640625,-22.5365234375,-21.03258203125,-22.52477734375,-3.77630078125,-22.37819140625,-32.0110703125,-39.84164453125,-39.6621953125,-16.385859375,-38.98817578125,-35.9943828125,-48.2873046875,-28.9603828125,-43.70879296875,-27.35160546875,-32.79665625,-33.13811328125
-10.1400859375,-7.0341484375,-6.307828125,-2.32298828125,-8.9816015625,-6.27598828125,-10.04165234375,-1.4967421875,-10.5483203125,-15.68248046875,-21.29921484375,-9.91363671875,-4.7831640625,-19.4185234375,-19.90958203125,-19.73077734375,-3.00730078125,-16.84719140625,-25.4720703125,-34.26864453125,-34.2491953125,-9.619859375,-29.51717578125,-27.2543828125,-40.1173046875,-25.3503828125,-34.17579296875,-18.67060546875,-25.71165625,-27.25311328125
-8.8490859375,-6.3971484375,-5.992828125,-0.793988281249999,-7.9116015625,-5.56098828125,-9.94165234375,-1.8787421875,-9.4203203125,-13.83148046875,-20.00421484375,-9.12163671875,-3.7921640625,-15.0075234375,-16.12958203125,-14.85877734375,-1.05630078125,-11.17619140625,-16.9520703125,-26.23364453125,-26.9361953125,-3.252859375,-19.16217578125,-17.2143828125,-30.0563046875,-18.9083828125,-23.54379296875,-9.36860546875,-17.78665625,-20.29711328125
-7.2220859375,-4.6241484375,-4.474828125,0.78201171875,-6.8556015625,-4.57998828125,-9.13265234375,-2.0537421875,-8.4363203125,-11.44748046875,-17.42521484375,-7.78463671875,-2.0041640625,-10.0295234375,-10.76058203125,-8.71677734375,1.42569921875,-5.82419140625,-7.6900703125,-17.03464453125,-18.5921953125,2.008140625,-9.11517578125,-7.1173828125,-19.1803046875,-10.4833828125,-12.88279296875,-0.389605468749998,-9.73665625,-12.79511328125
-5.3270859375,-2.5411484375,-2.265828125,2.12701171875,-5.9896015625,-3.64998828125,-7.93565234375,-2.3337421875,-7.6883203125,-9.19248046875,-14.40321484375,-6.09363671875,-0.0791640625000003,-5.5275234375,-5.39958203125,-2.59377734375,3.63869921875,-1.42819140625,0.6279296875,-8.48164453125,-10.5311953125,5.491140625,-0.855175781250001,1.4606171875,-9.0533046875,-1.5733828125,-3.58179296875,7.16039453125,-2.54965625,-5.64011328125
-3.4680859375,-0.9721484375,-0.0778281249999999,3.01601171875,-5.4396015625,-3.03998828125,-6.75465234375,-2.9107421875,-7.2533203125,-7.66948046875,-11.82621484375,-4.39363671875,1.2208359375,-2.4595234375,-1.50358203125,2.22322265625,4.96369921875,1.38580859375,6.5179296875,-2.17264453125,-4.0471953125,6.794140625,4.40082421875,7.2236171875,-1.1743046875,6.1666171875,3.15220703125,12.40039453125,2.83734375,0.170886718750001
-2.1160859375,-0.4341484375,1.345171875,3.33701171875,-5.2386015625,-2.86998828125,-5.97865234375,-3.7607421875,-7.1193203125,-7.17648046875,-10.31421484375,-3.08263671875,1.3248359375,-1.3345234375,0.152417968749999,4.88022265625,5.15369921875,2.23480859375,9.1899296875,1.07635546875,-0.0141953125000001,5.913140625,6.11882421875,9.6206171875,3.5116953125,11.4086171875,6.68720703125,14.92139453125,5.81934375,3.85088671875
-1.6870859375,-0.9851484375,1.463171875,3.13601171875,-5.3196015625,-3.07798828125,-5.85465234375,-4.6637421875,-7.1513203125,-7.59648046875,-10.02721484375,-2.45163671875,0.1088359375,-2.0445234375,-0.314582031250001,5.19822265625,4.33369921875,1.16080859375,8.7369296875,1.41735546875,1.3118046875,3.272140625,4.59082421875,8.9786171875,4.8586953125,13.5156171875,7.10320703125,14.81839453125,6.27534375,5.06688671875
-2.2610859375,-2.2501484375,0.172171875,2.64601171875,-5.5256015625,-3.43598828125,-6.34465234375,-5.2837421875,-7.1163203125,-8.46248046875,-10.66621484375,-2.55963671875,-2.0061640625,-3.9565234375,-2.06458203125,3.65322265625,2.88269921875,-1.32419140625,5.9879296875,-0.25064453125,0.2738046875,-0.354859375,0.774824218750002,6.2776171875,3.4486953125,12.6386171875,5.06120703125,12.57339453125,4.54434375,4.00188671875
