"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-2.5847734375,1.549140625,-2.18403125,-3.541875,5.64376171875,1.8468984375,-0.24911328125,5.3197734375,2.03612109375,3.37772265625,9.64358984375,6.6074453125,-9.01953125,6.90563671875,4.0414375,14.13440625,14.731015625,5.54729296875,9.94440625,10.2428671875,9.33498828125,7.98030078125,6.40633984375,7.43658984375,10.5970546875,14.47990234375,10.36769140625,12.62748828125,7.33614453125,7.77798046875
-1.0437734375,1.583140625,-0.96803125,-1.564875,7.02176171875,1.9328984375,0.62688671875,4.4997734375,-0.103878906249999,2.96572265625,9.48558984375,6.0394453125,-9.40153125,4.56163671875,3.8464375,12.26540625,9.802015625,4.27929296875,8.42940625,8.5468671875,6.05098828125,4.49830078125,4.40433984375,4.92958984375,8.5890546875,11.16190234375,7.27369140625,8.62448828125,3.69614453125,4.09298046875
-0.1657734375,1.269140625,-0.29003125,-0.519875,7.86176171875,1.9668984375,1.44788671875,4.1037734375,-1.34387890625,2.76172265625,9.59058984375,5.4924453125,-10.70353125,2.80063671875,4.4404375,11.19340625,6.582015625,2.89029296875,7.44840625,7.5048671875,3.97498828125,1.39630078125,2.84833984375,3.22158984375,7.2660546875,9.01090234375,4.89869140625,5.34148828125,1.11614453125,1.50598046875
0.2182265625,0.879140624999999,0.0369687500000002,-0.269875,8.24976171875,2.0488984375,2.24588671875,4.3327734375,-1.64387890625,2.93372265625,9.95758984375,5.0474453125,-12.27453125,1.86463671875,5.8354375,10.96040625,5.463015625,1.71029296875,7.13240625,7.2378671875,3.20398828125,-0.81569921875,1.99333984375,2.52458984375,6.7220546875,8.11890234375,3.50869140625,3.23748828125,-0.07085546875,0.18998046875
0.4652265625,0.806140625,0.34096875,-0.396875,8.40276171875,2.2808984375,3.02388671875,5.2657734375,-1.20987890625,3.53472265625,10.44858984375,4.8194453125,-13.17753125,1.82663671875,7.6994375,11.33440625,6.286015625,1.15129296875,7.43640625,7.6248671875,3.46098828125,-1.68769921875,1.95333984375,2.79158984375,6.8210546875,8.22190234375,3.12069140625,2.55448828125,0.14214453125,-0.03601953125
0.8002265625,1.241140625,0.78996875,-0.528875,8.42176171875,2.6288984375,3.66088671875,6.7327734375,-0.44587890625,4.32872265625,10.75058984375,4.8704453125,-12.91053125,2.46063671875,9.3944375,11.85140625,8.308015625,1.40029296875,8.06440625,8.2728671875,4.20898828125,-1.15269921875,2.52833984375,3.63658984375,7.2020546875,8.81190234375,3.37369140625,3.04248828125,1.31514453125,0.31398046875
1.1012265625,1.950140625,1.20496875,-0.598875,8.12676171875,2.8348984375,3.85888671875,8.2597734375,0.0481210937499998,4.73572265625,10.40158984375,5.0824453125,-11.73953125,3.18263671875,10.1294375,11.89740625,10.398015625,2.20029296875,8.45340625,8.5678671875,4.80298828125,0.32830078125,3.16433984375,4.37058984375,7.3340546875,9.29690234375,3.55069140625,3.91848828125,2.62214453125,0.50998046875
0.9712265625,2.352140625,1.14096875,-0.829875,7.13276171875,2.4858984375,3.23088671875,9.1937734375,-0.36087890625,4.03172265625,8.94658984375,5.1334453125,-10.42153125,3.20863671875,9.2194375,10.89940625,11.429015625,2.90429296875,7.90040625,7.8548671875,4.66998828125,1.94830078125,3.12633984375,4.20458984375,6.6590546875,9.18790234375,2.81769140625,4.15748828125,3.13614453125,-0.12401953125
0.0442265625,1.865140625,0.19696875,-1.499875,5.13876171875,1.2398984375,1.51088671875,8.9997734375,-2.00587890625,1.75072265625,6.19058984375,4.6334453125,-9.62253125,1.90563671875,6.4024375,8.58640625,10.758015625,2.78529296875,5.87040625,5.7098671875,3.49098828125,2.93030078125,1.82333984375,2.58058984375,4.8070546875,8.24590234375,0.60369140625,2.97948828125,2.23314453125,-1.90701953125
-1.7217734375,0.261140625,-1.69903125,-2.692875,2.23076171875,-0.9431015625,-1.23811328125,7.5337734375,-4.68887890625,-1.96527734375,2.39758984375,3.3594453125,-9.55253125,-0.86236328125,2.0284375,5.18340625,8.590015625,1.43629296875,2.29140625,2.1578671875,1.32398828125,2.87430078125,-0.891660156250001,-0.56941015625,1.7780546875,6.55490234375,-3.09830859375,0.24648828125,-0.12185546875,-4.65501953125
