"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
3.2948125,-0.599601562499999,2.89807421875,-6.2040625,-1.7669296875,-9.837234375,-4.1277265625,-4.51949609375,-4.6219296875,-9.0121328125,-6.63979296875,-1.24409375,-0.9711640625,-9.2616328125,-9.2640625,-6.13803515625,-3.50473046875,-10.89215234375,-9.43598046875,-9.329109375,-6.899796875,-9.50588671875,-11.48303125,-9.65544921875,-6.06409375,-5.80708203125,-13.35904296875,-7.185453125,-8.95164453125,-6.03229296875
3.6158125,-1.6616015625,2.47607421875,-6.3760625,-2.9299296875,-9.345234375,-4.9037265625,-5.09749609375,-4.9719296875,-9.4211328125,-7.32279296875,-5.21209375,0.5308359375,-9.1276328125,-9.9270625,-6.92303515625,-4.43173046875,-10.65515234375,-9.78998046875,-9.025109375,-7.024796875,-6.78688671875,-11.53203125,-9.99044921875,-6.82909375,-6.86908203125,-13.54004296875,-8.230453125,-8.82164453125,-7.01729296875
4.7788125,-1.3656015625,3.07807421875,-6.1290625,-3.0759296875,-8.807234375,-4.9057265625,-4.80549609375,-4.7659296875,-9.3571328125,-7.39079296875,-6.52109375,0.5028359375,-8.2756328125,-9.8770625,-6.92603515625,-4.30573046875,-9.57415234375,-9.23598046875,-8.252109375,-6.188796875,-4.44188671875,-10.62103125,-9.19144921875,-6.57909375,-8.27108203125,-12.57804296875,-8.156453125,-8.13964453125,-7.25929296875
6.5368125,0.0713984375000005,4.45407421875,-5.5280625,-2.3339296875,-8.271234375,-4.2767265625,-3.69549609375,-4.0179296875,-8.7911328125,-6.86079296875,-5.17609375,-0.7781640625,-6.7706328125,-9.1100625,-6.20003515625,-3.34973046875,-7.61815234375,-7.80798046875,-7.056109375,-4.714796875,-2.48888671875,-8.79303125,-7.38344921875,-5.48009375,-9.81408203125,-10.63404296875,-6.929453125,-6.88264453125,-6.79929296875
8.1968125,1.8823984375,5.91607421875,-4.8420625,-1.2069296875,-7.846234375,-3.4507265625,-2.17549609375,-2.9599296875,-7.8651328125,-5.97079296875,-2.10009375,-2.4471640625,-4.9536328125,-7.8500625,-5.07203515625,-2.21873046875,-5.08615234375,-5.87098046875,-5.675109375,-3.309796875,-0.88688671875,-6.44803125,-5.11344921875,-4.05709375,-11.06608203125,-8.29604296875,-4.865453125,-5.23764453125,-5.92329296875
8.9378125,3.1593984375,6.70107421875,-4.4320625,-0.2889296875,-7.671234375,-2.9007265625,-0.81649609375,-1.9309296875,-6.8231328125,-5.04979296875,1.34990625,-3.5521640625,-3.2816328125,-6.4440625,-3.95803515625,-1.62673046875,-2.53315234375,-3.94098046875,-4.428109375,-2.642796875,0.340113281250001,-4.17703125,-3.06844921875,-2.89009375,-11.53408203125,-6.27504296875,-2.493453125,-3.54064453125,-4.97929296875
8.2398125,3.2963984375,6.36707421875,-4.5650625,0.0380703125000001,-7.839234375,-2.8717265625,-0.0834960937500002,-1.2129296875,-5.9061328125,-4.34979296875,3.95290625,-3.5521640625,-2.1226328125,-5.2210625,-3.16303515625,-1.96873046875,-0.579152343750001,-2.47498046875,-3.571109375,-2.963796875,1.05811328125,-2.53203125,-1.76844921875,-2.32909375,-10.85608203125,-5.09104296875,-0.398453125,-2.16864453125,-4.20629296875
6.1808125,2.2293984375,4.97707421875,-5.2660625,-0.2349296875,-8.310234375,-3.2597265625,-0.13549609375,-0.9039296875,-5.2501328125,-3.93979296875,5.01190625,-2.5321640625,-1.6136328125,-4.3840625,-2.77403515625,-3.13373046875,0.31784765625,-1.71798046875,-3.200109375,-4.015796875,1.12011328125,-1.82703125,-1.38344921875,-2.39209375,-8.94908203125,-4.91704296875,0.917546875,-1.41964453125,-3.66629296875
3.4298125,0.392398437500001,3.02907421875,-6.2860625,-0.7819296875,-8.884234375,-3.6987265625,-0.79549609375,-0.8909296875,-4.8421328125,-3.71279296875,4.43790625,-1.0351640625,-1.6356328125,-3.9530625,-2.68503515625,-4.63173046875,0.0428476562500002,-1.66398046875,-3.240109375,-5.253796875,0.52011328125,-2.06703125,-1.74644921875,-2.85309375,-6.05808203125,-5.61204296875,1.162546875,-1.42864453125,-3.31229296875
0.9418125,-1.5306015625,1.20407421875,-7.2430625,-1.1529296875,-9.258234375,-3.7787265625,-1.69349609375,-0.9629296875,-4.5401328125,-3.47579296875,2.66390625,0.3038359375,-1.9036328125,-3.7760625,-2.69103515625,-5.88973046875,-1.14515234375,-2.11398046875,-3.520109375,-6.188796875,-0.513886718749999,-2.99903125,-2.51344921875,-3.43509375,-2.70908203125,-6.87304296875,0.332546875,-2.14764453125,-3.10229296875
