"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-10.049390625,-1.45191015625,-3.01969921875,-1.1899140625,-1.7995078125,-6.3840390625,-4.53011328125,-2.2371953125,0.449921875,-1.9583359375,-7.48861328125,-9.0222109375,-10.089234375,-2.913578125,-4.99151953125,-6.94587890625,-10.43024609375,-4.2466328125,-13.05218359375,-3.836609375,-2.8953359375,-11.6204609375,-10.36541015625,-6.963734375,-7.80048046875,0.2684453125,-9.509875,-17.21605859375,-20.415078125,-9.04317578125
-8.848390625,-0.67091015625,-2.45969921875,-1.7829140625,-3.7175078125,-5.9440390625,-1.41111328125,0.0798046874999999,2.352921875,-0.728335937500001,-6.76961328125,-5.7972109375,-8.748234375,-1.307578125,-3.15151953125,-4.83487890625,-1.67824609375,-2.4046328125,-10.58518359375,-1.545609375,0.2106640625,-7.0954609375,-7.51641015625,-4.481734375,-5.48548046875,2.2634453125,-7.435875,-11.09905859375,-12.904078125,-5.47417578125
-8.585390625,-0.96691015625,-2.73469921875,-2.0759140625,-5.2875078125,-6.6810390625,-0.43111328125,0.7978046875,2.853921875,-0.954335937500001,-7.66561328125,-4.5332109375,-7.943234375,-0.966578124999999,-3.16551953125,-4.72187890625,3.85175390625,-1.6356328125,-9.61018359375,-1.272609375,0.8736640625,-4.7554609375,-6.33241015625,-3.649734375,-5.33848046875,2.4144453125,-7.066875,-8.14505859375,-9.711078125,-4.47917578125
-8.716390625,-1.82491015625,-3.49469921875,-1.7909140625,-5.9765078125,-8.0680390625,-1.28611328125,0.2658046875,2.466921875,-2.1943359375,-9.63861328125,-4.8842109375,-6.977234375,-1.485578125,-4.58351953125,-6.14387890625,6.16375390625,-1.3796328125,-9.75718359375,-2.576609375,-0.5773359375,-3.9694609375,-6.35441015625,-4.088734375,-6.92148046875,0.9594453125,-7.937875,-7.72305859375,-10.168078125,-5.57417578125
-8.404390625,-2.34891015625,-4.04569921875,-0.7239140625,-5.3625078125,-9.1620390625,-2.94511328125,-0.6081953125,2.164921875,-3.5043359375,-11.55661328125,-5.8222109375,-4.994234375,-2.043578125,-6.31251953125,-7.92087890625,6.14475390625,-0.7146328125,-10.17918359375,-4.296609375,-2.9033359375,-3.3774609375,-6.57141015625,-4.846734375,-8.98148046875,-1.1655546875,-8.965875,-8.14205859375,-12.186078125,-7.30017578125
-7.165390625,-1.92191015625,-3.85369921875,1.0330859375,-3.5545078125,-9.2870390625,-4.34011328125,-0.9441953125,2.633921875,-4.1243359375,-12.46361328125,-6.3142109375,-1.753234375,-2.028578125,-7.38451953125,-8.93087890625,4.97675390625,0.9003671875,-10.20918359375,-5.311609375,-4.6493359375,-1.8904609375,-6.17741015625,-5.083734375,-10.21648046875,-2.8345546875,-9.195875,-7.83505859375,-13.640078125,-8.12217578125
-5.256390625,-0.65891015625,-2.94569921875,2.9880859375,-1.3335078125,-8.5210390625,-4.97011328125,-0.3801953125,3.753921875,-3.9973359375,-12.17861328125,-5.9072109375,1.955765625,-1.519578125,-7.53651953125,-8.75387890625,3.63175390625,3.1253671875,-9.84418359375,-5.189609375,-4.8803359375,0.5275390625,-5.15341015625,-4.621734375,-9.98748046875,-3.2825546875,-8.401875,-6.33305859375,-13.504078125,-7.29817578125
-3.561390625,0.66108984375,-1.92869921875,4.3830859375,0.1574921875,-7.6190390625,-5.02611328125,0.8158046875,4.665921875,-3.7563359375,-11.30961328125,-4.8522109375,4.639765625,-1.244578125,-7.23651953125,-7.80287890625,2.64075390625,4.8593671875,-9.69418359375,-4.288609375,-3.5373359375,2.8535390625,-4.24341015625,-3.970734375,-8.54248046875,-2.3975546875,-7.138875,-4.38005859375,-12.116078125,-5.18417578125
-3.043390625,1.13308984375,-1.57269921875,4.5620859375,0.0434921875000001,-7.4600390625,-5.00611328125,2.0408046875,4.382921875,-4.1863359375,-10.71561328125,-3.7372109375,5.019765625,-2.026578125,-7.17251953125,-6.89087890625,2.09075390625,4.9503671875,-10.44618359375,-3.322609375,-1.2873359375,3.7645390625,-4.34541015625,-3.830734375,-6.66948046875,-0.6405546875,-6.227875,-3.16405859375,-10.584078125,-2.82317578125
-4.154390625,0.321089843749999,-2.24969921875,3.3740859375,-1.7525078125,-8.4160390625,-5.18111328125,2.7918046875,2.507921875,-5.6093359375,-10.84661328125,-2.9822109375,2.943765625,-4.133578125,-7.65151953125,-6.62587890625,1.76675390625,2.9853671875,-12.24818359375,-2.770609375,0.9456640625,2.6175390625,-5.78241015625,-4.478734375,-5.10648046875,1.2774453125,-6.084875,-3.31205859375,-9.836078125,-1.17517578125
