"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-25.12112109375,-25.47722265625,-29.51037109375,-30.27296875,-14.80728125,-12.2208515625,-13.0116875,-20.4615390625,-21.64279296875,-25.35773828125,-16.17569140625,-4.96908984375,-17.00666015625,-15.99599609375,-7.1935703125,-13.67176171875,-3.4990859375,-3.83183203125,-4.33636328125,-2.10851953125,0.0330585937500003,-3.0406484375,-5.2385234375,-2.3808359375,-2.509515625,0.380109375,2.58873046875,-2.2099765625,-1.71001953125,2.34910546875
-23.54812109375,-25.87722265625,-30.17437109375,-28.39796875,-15.03428125,-11.2168515625,-13.6746875,-20.8235390625,-19.21779296875,-25.67073828125,-15.76869140625,-5.55508984375,-17.24866015625,-16.26899609375,-7.7245703125,-13.86776171875,-6.7010859375,-4.96883203125,-5.06136328125,-3.26851953125,-0.89794140625,-4.1756484375,-7.5035234375,-4.2488359375,-4.450515625,-0.347890625000001,0.89673046875,-3.3649765625,-2.36901953125,1.67110546875
-22.01612109375,-24.77922265625,-27.12237109375,-26.04996875,-14.90628125,-10.3188515625,-13.8936875,-19.6635390625,-17.93679296875,-25.66573828125,-15.57269140625,-5.74608984375,-16.68666015625,-16.26999609375,-7.9355703125,-14.35076171875,-7.7270859375,-5.46483203125,-5.49836328125,-4.24151953125,-1.53394140625,-4.5956484375,-8.7275234375,-5.7458359375,-5.910515625,-1.163890625,-0.43926953125,-4.0879765625,-2.93601953125,0.80810546875
-20.18712109375,-21.97822265625,-20.40637109375,-22.89996875,-14.32528125,-9.6388515625,-13.7896875,-16.9135390625,-17.40579296875,-25.32373828125,-15.73169140625,-5.84508984375,-15.37866015625,-16.00399609375,-8.0595703125,-15.21376171875,-6.7540859375,-5.43083203125,-5.82036328125,-5.22851953125,-2.03094140625,-4.5056484375,-9.0285234375,-7.0588359375,-7.013515625,-2.080890625,-1.60926953125,-4.7329765625,-3.68401953125,-0.45689453125
-17.74112109375,-17.81722265625,-11.63437109375,-18.90896875,-13.32928125,-9.3018515625,-13.6656875,-13.1605390625,-16.89079296875,-24.74773828125,-16.38169140625,-6.33108984375,-13.64766015625,-15.56999609375,-8.4825703125,-16.48076171875,-4.6660859375,-5.20783203125,-6.33136328125,-6.49151953125,-2.64594140625,-4.4126484375,-8.8915234375,-8.4898359375,-8.049515625,-3.071890625,-2.94126953125,-5.8519765625,-4.98301953125,-2.32989453125
-14.65712109375,-13.16622265625,-3.45537109375,-14.56096875,-12.10328125,-9.3708515625,-13.7896875,-9.4895390625,-15.80679296875,-24.10673828125,-17.53369140625,-7.53008984375,-11.90566015625,-15.08099609375,-9.4935703125,-18.04076171875,-2.6140859375,-5.13683203125,-7.24536328125,-8.12551953125,-3.53794140625,-4.8156484375,-8.8635234375,-10.2148359375,-9.255515625,-4.069890625,-4.67026953125,-7.8159765625,-7.04901953125,-4.85089453125
-11.30312109375,-9.14722265625,1.51762890625,-10.76496875,-10.90628125,-9.7728515625,-14.1946875,-7.0415390625,-13.97379296875,-23.52873828125,-18.96569140625,-9.35908984375,-10.48166015625,-14.56899609375,-11.0525703125,-19.58876171875,-1.5640859375,-5.34583203125,-8.49136328125,-9.91651953125,-4.62794140625,-5.8916484375,-9.2305234375,-12.0948359375,-10.619515625,-4.984890625,-6.74226953125,-10.4899765625,-9.71801953125,-7.76789453125
-8.29412109375,-6.68222265625,1.88662890625,-8.42496875,-9.95528125,-10.2998515625,-14.6506875,-6.4965390625,-11.63579296875,-23.03873828125,-20.25069140625,-11.35608984375,-9.50566015625,-13.95699609375,-12.7575703125,-20.68776171875,-1.9140859375,-5.68983203125,-9.71136328125,-11.39751953125,-5.62794140625,-7.3696484375,-9.8865234375,-13.7018359375,-11.849515625,-5.727890625,-8.77326953125,-13.2069765625,-12.42201953125,-10.54389453125
-6.22112109375,-6.09422265625,-1.86437109375,-7.96196875,-9.35328125,-10.6898515625,-14.8346875,-7.7695390625,-9.34379296875,-22.57473828125,-20.94369140625,-12.93508984375,-8.91666015625,-13.14299609375,-14.0225703125,-20.94376171875,-3.3260859375,-5.88983203125,-10.45836328125,-12.07451953125,-6.20694140625,-8.7046484375,-10.4655234375,-14.5318359375,-12.542515625,-6.227890625,-10.20826953125,-15.0939765625,-14.41001953125,-12.54689453125
-5.39812109375,-6.96722265625,-7.57837109375,-9.06496875,-9.06728125,-10.7338515625,-14.5446875,-10.0795390625,-7.71379296875,-22.05773828125,-20.78469140625,-13.67108984375,-8.56966015625,-12.11399609375,-14.3595703125,-20.16976171875,-4.8800859375,-5.76183203125,-10.45936328125,-11.66851953125,-6.17594140625,-9.4316484375,-10.6245234375,-14.2678359375,-12.396515625,-6.423890625,-10.59126953125,-15.5519765625,-15.10101953125,-13.29789453125
-5.72412109375,-8.38522265625,-12.44237109375,-10.82996875,-8.96328125,-10.3308515625,-13.7986875,-12.3375390625,-7.12179296875,-21.44673828125,-19.78769140625,-13.44608984375,-8.37466015625,-10.99099609375,-13.5795703125,-18.40776171875,-5.5740859375,-5.38383203125,-9.74736328125,-10.20651953125,-5.53694140625,-9.4706484375,-10.2835234375,-12.9178359375,-11.332515625,-6.252890625,-9.78226953125,-14.5769765625,-14.34201953125,-12.64789453125
-6.75412109375,-9.43822265625,-14.33537109375,-12.21996875,-8.88428125,-9.5118515625,-12.7886875,-13.6545390625,-7.52879296875,-20.76873828125,-18.19369140625,-12.44508984375,-8.33366015625,-9.99999609375,-11.8555703125,-15.85376171875,-4.9200859375,-5.07483203125,-8.63036328125,-7.96651953125,-4.43494140625,-9.1486484375,-9.6655234375,-10.7858359375,-9.505515625,-5.650890625,-8.02326953125,-12.7349765625,-12.44101953125,-10.81489453125
-7.94612109375,-9.72022265625,-12.83637109375,-12.60996875,-8.77128125,-8.4458515625,-11.7686875,-13.7495390625,-8.59579296875,-20.13773828125,-16.37669140625,-11.04208984375,-8.45466015625,-9.40999609375,-9.6515703125,-12.79876171875,-3.2470859375,-5.21083203125,-7.53336328125,-5.34851953125,-3.04594140625,-8.9336484375,-9.1475234375,-8.3308359375,-7.216515625,-4.585890625,-5.81226953125,-10.8139765625,-9.96201953125,-8.26889453125
-8.94212109375,-9.50122265625,-9.37237109375,-12.05296875,-8.72328125,-7.4138515625,-10.9586875,-13.0345390625,-9.92379296875,-19.73373828125,-14.73569140625,-9.64108984375,-8.64566015625,-9.45099609375,-7.5635703125,-9.59776171875,-1.5060859375,-5.99883203125,-6.82336328125,-2.76351953125,-1.49994140625,-9.0796484375,-9.0235234375,-5.9978359375,-4.813515625,-3.077890625,-3.65926953125,-9.3759765625,-7.43601953125,-5.52589453125
