"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
47.2877109375,7.6128125,-5.23934375,23.4656640625,-11.7020078125,-17.2106171875,-4.729765625,41.70798828125,26.586703125,-24.583296875,-14.48110546875,13.2494375,50.838140625,-27.9559375,-5.46665234375,-25.67704296875,30.53213671875,-23.65416796875,-21.5731484375,-7.2383828125,-0.3084453125,6.33816015625,-11.5133046875,-11.2000703125,-1.64408203125,3.56941796875,8.01311328125,-1.2497109375,6.63147265625,3.3569140625
46.1117109375,7.9578125,-5.23634375,22.0066640625,-11.2120078125,-15.1606171875,-2.527765625,42.31498828125,26.697703125,-23.020296875,-12.38910546875,14.6204375,49.386140625,-27.0329375,-4.78165234375,-23.49604296875,33.15113671875,-23.23616796875,-20.1631484375,-5.6903828125,1.7115546875,6.21616015625,-12.8743046875,-9.5980703125,-0.206082031249998,4.37741796875,10.03811328125,-0.3357109375,8.41647265625,5.5129140625
45.4537109375,8.1798125,-5.10434375,21.2336640625,-10.2390078125,-12.9506171875,-0.795765625,42.50798828125,27.176703125,-21.603296875,-10.82710546875,15.3174375,48.958140625,-25.9539375,-4.96765234375,-22.37604296875,33.91413671875,-22.42716796875,-18.9071484375,-4.8793828125,2.5055546875,6.28116015625,-13.7163046875,-8.8620703125,-0.251082031249998,4.66441796875,10.62711328125,-0.0147109375000001,9.33047265625,6.3129140625
45.5697109375,8.5198125,-4.67334375,21.2466640625,-8.5970078125,-10.5976171875,0.396234375000001,42.34298828125,28.095703125,-20.271296875,-9.77710546875,15.3964375,49.676140625,-24.6559375,-5.74665234375,-22.20104296875,32.82913671875,-21.25816796875,-17.8111484375,-4.6943828125,2.1045546875,6.54816015625,-13.9573046875,-9.0130703125,-1.65408203125,4.45941796875,9.54311328125,-0.4137109375,9.11947265625,5.6699140625
46.5957109375,9.2808125,-3.81834375,21.9336640625,-6.2720078125,-8.2616171875,1.078234375,41.98398828125,29.374703125,-18.951296875,-9.09510546875,15.1114375,51.320140625,-23.1529375,-6.50965234375,-22.51804296875,30.50313671875,-19.93316796875,-16.8881484375,-4.7913828125,0.9445546875,6.96816015625,-13.6633046875,-9.8140703125,-3.77908203125,3.98341796875,6.98011328125,-1.4917109375,7.76147265625,3.9199140625
48.4117109375,10.6088125,-2.60734375,23.0026640625,-3.5100078125,-6.2676171875,1.313234375,41.55598828125,30.783703125,-17.661296875,-8.65110546875,14.7204375,53.399140625,-21.5799375,-6.70165234375,-22.83204296875,27.81613671875,-18.74316796875,-16.1951484375,-4.8363828125,-0.374445312500001,7.46716015625,-13.0033046875,-10.9080703125,-5.83208203125,3.54341796875,3.48611328125,-3.0327109375,5.51547265625,1.6479140625
50.5827109375,12.3158125,-1.35734375,24.0646640625,-0.786007812500001,-5.0476171875,1.114234375,41.04298828125,31.999703125,-16.564296875,-8.43910546875,14.3394375,55.314140625,-20.1779375,-6.17265234375,-22.88904296875,25.52613671875,-17.94916796875,-15.8381484375,-4.7353828125,-1.3714453125,8.01216015625,-12.1503046875,-11.9670703125,-7.21408203125,3.40141796875,-0.18888671875,-4.6507109375,2.90347265625,-0.5250859375
52.4597109375,13.9028125,-0.55734375,24.7936640625,1.3469921875,-4.9686171875,0.435234375,40.29498828125,32.745703125,-15.925296875,-8.58710546875,13.8914375,56.554140625,-19.2099375,-5.28465234375,-22.79104296875,24.01213671875,-17.66416796875,-15.9181484375,-4.6903828125,-1.8684453125,8.64216015625,-11.2023046875,-12.8060703125,-7.71608203125,3.65841796875,-3.31288671875,-5.8587109375,0.57047265625,-2.1330859375
53.4207109375,14.7698125,-0.65834375,25.0776640625,2.4689921875,-6.1206171875,-0.782765625,39.12198828125,32.889703125,-15.991296875,-9.26910546875,13.1904375,56.876140625,-18.8739375,-4.71965234375,-22.90304296875,23.22813671875,-17.80716796875,-16.4681484375,-5.0683828125,-2.0224453125,9.43416015625,-10.1613046875,-13.4240703125,-7.52008203125,4.20341796875,-5.37188671875,-6.2037109375,-0.92952734375,-2.9600859375
53.1287109375,14.4958125,-1.86234375,25.0726640625,2.4509921875,-8.2336171875,-2.539765625,37.41098828125,32.493703125,-16.856296875,-10.57510546875,12.0554375,56.376140625,-19.2139375,-5.12465234375,-23.63904296875,22.84713671875,-18.13316796875,-17.4051484375,-6.1893828125,-2.2114453125,10.43316015625,-8.9883046875,-13.9600703125,-7.05308203125,4.73341796875,-6.19888671875,-5.4297109375,-1.33052734375,-3.0680859375
51.6847109375,13.0458125,-4.00434375,25.1136640625,1.5099921875,-10.7386171875,-4.741765625,35.18398828125,31.809703125,-18.364296875,-12.42710546875,10.3994375,55.415140625,-20.0629375,-6.78065234375,-25.24704296875,22.49513671875,-18.32816796875,-18.5421484375,-8.1623828125,-2.8434453125,11.59716015625,-7.6853046875,-14.6020703125,-6.79208203125,4.85141796875,-5.99388671875,-3.5917109375,-0.73352734375,-2.7530859375
49.5887109375,10.8038125,-6.58634375,25.5556640625,0.154992187499999,-12.9626171875,-7.201765625,32.59798828125,31.235703125,-20.110296875,-14.57410546875,8.2534375,54.461140625,-21.0429375,-9.47865234375,-27.69204296875,21.93813671875,-18.12116796875,-19.6331484375,-10.8503828125,-4.1694453125,12.80116015625,-6.3473046875,-15.4790703125,-7.10208203125,4.21341796875,-5.23488671875,-1.0787109375,0.44047265625,-2.4540859375
47.5377109375,8.4168125,-8.96234375,26.6276640625,-0.991007812500001,-14.3466171875,-9.679765625,29.89298828125,31.200703125,-21.552296875,-16.67410546875,5.7434375,53.906140625,-21.6429375,-12.61565234375,-30.67004296875,21.12113671875,-17.38516796875,-20.4401484375,-13.9403828125,-6.1864453125,13.88216015625,-5.1353046875,-16.5900703125,-8.15608203125,2.65041796875,-4.51788671875,1.4662890625,1.59847265625,-2.6390859375
46.1437109375,6.5308125,-10.58434375,28.3356640625,-1.4370078125,-14.6426171875,-11.941765625,27.33498828125,31.971703125,-22.206296875,-18.40910546875,3.0634375,53.939140625,-21.4059375,-15.45865234375,-33.71404296875,20.07613671875,-16.18816796875,-20.8001484375,-17.0403828125,-8.6334453125,14.69816015625,-4.2203046875,-17.8080703125,-9.91908203125,0.24841796875,-4.36688671875,3.3222890625,2.13747265625,-3.6720859375
45.7097109375,5.5648125,-11.19634375,30.4656640625,-1.0280078125,-14.0036171875,-13.822765625,25.15598828125,33.505703125,-21.847296875,-19.57310546875,0.465437499999999,54.521140625,-20.1289375,-17.41965234375,-36.34504296875,18.83613671875,-14.78016796875,-20.6611484375,-19.7623828125,-11.1004453125,15.16416015625,-3.7193046875,-18.9180703125,-12.18408203125,-2.65758203125,-5.06688671875,3.9052890625,1.60947265625,-5.7040859375
