"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-7.294890625,-11.75362109375,-11.68015625,-6.13203515625,-9.3997578125,-23.08192578125,-24.51009765625,-17.218109375,-8.51451171875,-18.558,-30.2406171875,-20.67984375,-6.67380859375,-22.637671875,-22.532828125,-26.063234375,-0.92199609375,-22.9970546875,-20.3004453125,-21.301921875,-8.07119140625,-20.78488671875,-25.34240625,-19.22823046875,-13.80692578125,2.46850390625,-19.1199375,-10.9943984375,-4.37093359375,1.32181640625
-9.452890625,-8.99362109375,-9.14115625,-4.29503515625,-6.1887578125,-19.92892578125,-18.29009765625,-15.395109375,-8.11751171875,-16.528,-26.0826171875,-16.63984375,-7.50380859375,-22.682671875,-17.792828125,-20.821234375,-0.187996093749999,-20.5850546875,-16.2414453125,-15.774921875,-5.47319140625,-18.10388671875,-22.42940625,-11.89123046875,-7.77392578125,3.86250390625,-11.0639375,-6.7713984375,3.28706640625,10.06781640625
-11.651890625,-9.05262109375,-8.71815625,-3.39703515625,-4.9377578125,-18.04292578125,-14.75809765625,-14.107109375,-7.97751171875,-15.388,-21.7446171875,-12.46484375,-6.27980859375,-23.359671875,-13.489828125,-14.794234375,0.17700390625,-17.6020546875,-12.4304453125,-9.835921875,-2.70219140625,-12.46288671875,-17.67340625,-4.12823046875,-1.56992578125,5.70350390625,-2.2439375,0.4936015625,11.74106640625,18.52481640625
-12.983890625,-11.17562109375,-9.82815625,-3.11103515625,-5.1427578125,-17.05692578125,-13.31409765625,-13.025109375,-7.61551171875,-14.685,-17.0726171875,-8.19884375,-3.17880859375,-24.194671875,-9.520828125,-8.115234375,0.35400390625,-14.1260546875,-8.8854453125,-3.712921875,0.0298085937499999,-4.28588671875,-11.39540625,3.32676953125,4.15407421875,7.65750390625,6.4120625,9.8176015625,20.00606640625,25.72081640625
-12.182890625,-13.38262109375,-10.96315625,-2.63203515625,-5.4167578125,-15.98692578125,-12.25809765625,-11.539109375,-6.26251171875,-13.414,-11.9176171875,-3.92084375,1.07419140625,-24.175671875,-5.530828125,-1.250234375,0.756003906250001,-10.3790546875,-5.4534453125,2.188078125,2.41380859375,4.82411328125,-4.61840625,9.39576953125,8.54107421875,9.16250390625,13.4470625,18.7766015625,26.45006640625,30.44781640625
-8.265890625,-13.48162109375,-10.46415625,-1.05403515625,-4.1367578125,-13.66092578125,-9.82409765625,-9.149109375,-3.18151171875,-10.434,-6.2176171875,0.26215625,5.68319140625,-22.148671875,-1.058828125,5.179765625,1.82200390625,-6.5470546875,-1.8164453125,7.490078125,4.25080859375,12.84411328125,1.48559375,13.23376953125,11.02907421875,9.78850390625,17.6270625,24.6406015625,29.55906640625,31.86481640625
-1.182890625,-10.17762109375,-7.34015625,2.19096484375,-0.215757812500001,-9.26292578125,-5.22509765625,-5.831109375,1.95148828125,-5.01,-0.1006171875,4.17315625,10.06019140625,-17.384671875,4.212171875,10.584765625,3.75100390625,-2.6400546875,2.3775546875,11.991078125,5.60380859375,18.22011328125,6.16859375,14.73176953125,11.72607421875,9.50050390625,18.6000625,25.6656015625,28.69306640625,29.96081640625
7.875109375,-3.74962109375,-1.77715625,7.03496484375,6.3442421875,-2.79092578125,1.02890234375,-2.074109375,8.76948828125,2.755,6.0343828125,7.51715625,13.86819140625,-10.002671875,10.168171875,14.592765625,6.36500390625,1.4789453125,7.2985546875,15.666078125,6.77080859375,20.45711328125,9.38559375,14.63076953125,11.38507421875,8.65950390625,17.0870625,21.8726015625,24.39706640625,25.60381640625
16.788109375,4.07637890625,4.92384375,12.75396484375,14.3842421875,4.81007421875,7.61490234375,1.430890625,16.18948828125,11.82,11.5343828125,9.94815625,16.94419140625,-1.015671875,16.169171875,17.144765625,9.19000390625,5.9359453125,12.7535546875,18.561078125,8.09880859375,20.22311328125,11.68459375,14.19376953125,11.02207421875,7.76250390625,14.5600625,15.0056015625,18.20406640625,20.21081640625
23.366109375,11.00237890625,10.97184375,18.25396484375,22.0692421875,11.98707421875,13.13390234375,4.174890625,22.75648828125,20.531,15.6713828125,11.27615625,19.22219140625,7.963328125,21.244171875,18.462765625,11.65500390625,10.6939453125,18.1915546875,20.719078125,9.78080859375,18.97711328125,13.84759375,14.66376953125,11.46307421875,7.17650390625,12.6510625,7.8396015625,12.10206640625,15.28681640625
