"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-16.79574609375,-12.6771328125,-14.62317578125,-14.618765625,-5.51022265625,-7.90759375,-2.1690703125,-4.1271328125,3.48608984375,-1.23911328125,0.0230156249999998,-3.95108984375,-14.369265625,-3.5343671875,-2.15707421875,1.06171484375,4.5388046875,-3.799828125,-1.31855078125,1.65998046875,3.04342578125,0.5745859375,-3.33844921875,-1.1059375,1.35929296875,6.31440234375,-2.11841796875,0.78063671875,2.0157578125,2.05482421875
-14.12474609375,-9.9431328125,-12.30217578125,-12.998765625,-3.90522265625,-6.71359375,-0.6810703125,-2.2851328125,2.56808984375,0.26888671875,1.552015625,-5.61608984375,-9.874265625,-2.8063671875,-1.10007421875,1.89471484375,6.3838046875,-1.474828125,-0.91155078125,2.86698046875,5.35942578125,1.9915859375,-3.05944921875,-0.8589375,2.84829296875,6.83840234375,-2.22841796875,2.64463671875,2.0107578125,3.01382421875
-13.38274609375,-9.0961328125,-11.64417578125,-12.338765625,-3.44622265625,-6.43959375,-0.3150703125,-1.6731328125,1.32108984375,0.72688671875,2.042015625,-6.19008984375,-6.311265625,-2.8483671875,-0.79207421875,1.82871484375,6.6718046875,-0.468828124999999,-0.93655078125,3.06698046875,5.97242578125,2.4965859375,-3.36344921875,-1.0479375,3.29629296875,6.91440234375,-2.81841796875,3.15463671875,1.1727578125,2.97782421875
-14.37674609375,-9.9671328125,-12.51217578125,-12.513765625,-3.95022265625,-6.93859375,-0.9430703125,-2.1851328125,-0.0539101562500002,0.30688671875,1.567015625,-5.65408984375,-3.804265625,-3.4473671875,-1.10107421875,0.95371484375,5.4898046875,-0.568828125,-1.25455078125,2.32698046875,4.93342578125,2.2665859375,-4.01544921875,-1.5789375,2.70929296875,6.68340234375,-3.72941796875,2.35163671875,-0.3092421875,2.03582421875
-16.24874609375,-11.7701328125,-14.20717578125,-13.099765625,-4.80522265625,-7.72959375,-2.0320703125,-3.2931328125,-1.16891015625,-0.43311328125,0.583015625,-4.37808984375,-2.243265625,-4.0723671875,-1.60707421875,-0.28328515625,3.4828046875,-1.069828125,-1.54355078125,1.06898046875,2.88342578125,1.9025859375,-4.51244921875,-2.1689375,1.47029296875,6.41840234375,-4.57441796875,0.83563671875,-1.8452421875,0.65982421875
-17.96774609375,-13.5561328125,-15.85417578125,-13.654765625,-5.31222265625,-8.26259375,-2.9320703125,-4.3511328125,-1.65191015625,-0.85111328125,-0.300984375,-2.96108984375,-1.417265625,-4.1503671875,-1.82907421875,-1.29828515625,1.5238046875,-1.150828125,-1.46755078125,-0.15501953125,0.72242578125,2.1285859375,-4.35444921875,-2.4799375,0.15029296875,6.32340234375,-4.94641796875,-0.49236328125,-2.7182421875,-0.51917578125
-18.79674609375,-14.6291328125,-16.79117578125,-13.933765625,-5.02622265625,-8.16359375,-3.1570703125,-4.8901328125,-1.33191015625,-0.51511328125,-0.583984375,-1.97308984375,-1.163265625,-3.3333671875,-1.42907421875,-1.63428515625,0.2968046875,-0.291828125,-0.84455078125,-0.90501953125,-0.79257421875,3.3795859375,-3.32244921875,-2.2729375,-0.73370703125,6.40940234375,-4.63641796875,-0.86736328125,-2.4502421875,-0.99517578125
-18.49674609375,-14.7191328125,-16.77317578125,-13.894765625,-3.91022265625,-7.34859375,-2.5470703125,-4.7531328125,-0.30391015625,0.65188671875,-0.047984375,-1.75008984375,-1.392265625,-1.6523671875,-0.33707421875,-1.16428515625,0.0178046875000002,1.495171875,0.27144921875,-0.99501953125,-1.31357421875,5.4865859375,-1.60044921875,-1.5189375,-0.92070703125,6.53240234375,-3.74041796875,-0.0693632812500001,-1.0532421875,-0.59617578125
-17.20674609375,-13.8841328125,-15.91117578125,-13.565765625,-2.26322265625,-5.96659375,-1.2490703125,-4.0471328125,1.12608984375,2.40688671875,1.211015625,-2.29808984375,-1.997265625,0.5106328125,1.26392578125,-0.11028515625,0.4148046875,3.707171875,1.61344921875,-0.49601953125,-0.93057421875,7.6865859375,0.30755078125,-0.4129375,-0.45470703125,6.53440234375,-2.60041796875,1.47863671875,0.9747578125,0.47182421875
-15.18174609375,-12.2831328125,-14.42617578125,-12.900765625,-0.47522265625,-4.26059375,0.4419296875,-2.9911328125,2.58508984375,4.36988671875,2.905015625,-3.30808984375,-2.706265625,2.6106328125,3.07092578125,1.13071484375,0.9838046875,5.635171875,2.83644921875,0.38098046875,0.0234257812499996,8.9805859375,1.82355078125,0.7310625,0.42029296875,6.37540234375,-1.61541796875,2.95663671875,2.9157578125,1.77182421875
