"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
3.613421875,1.007015625,3.041078125,-0.0304179687500001,4.66291796875,9.91548828125,3.27676171875,-8.795453125,-0.51066015625,11.246984375,4.36546484375,1.20388671875,-1.07932421875,4.38976953125,8.424640625,3.97220703125,-4.76655859375,3.36391796875,10.01318359375,8.20887890625,-1.6616328125,-1.79290625,7.29438671875,7.3387265625,3.25601953125,-3.31786328125,6.893203125,6.44593359375,3.598375,-1.8040859375
3.627421875,-0.231984375,2.485078125,-1.17641796875,4.01491796875,8.63348828125,1.24176171875,-8.893453125,-0.52766015625,9.793984375,1.96246484375,-0.56311328125,-1.00632421875,3.56876953125,6.061640625,2.08120703125,-5.04555859375,3.21391796875,8.56718359375,7.01387890625,-3.7716328125,-0.47590625,6.64238671875,6.0947265625,2.15701953125,-5.74486328125,5.264203125,5.47593359375,1.802375,-5.2710859375
3.687421875,-0.867984374999999,2.342078125,-1.51341796875,3.84291796875,7.73848828125,-0.570238281250001,-9.214453125,-0.34566015625,8.898984375,0.25746484375,-1.87411328125,-0.77332421875,3.12276953125,4.447640625,0.81920703125,-4.74355859375,3.40691796875,7.68118359375,6.36587890625,-5.0286328125,1.28109375,6.46638671875,5.5517265625,1.66601953125,-7.28586328125,4.526203125,5.15793359375,1.090375,-7.2810859375
3.634421875,-1.044984375,2.467078125,-1.25041796875,3.95191796875,7.07548828125,-2.16923828125,-9.713453125,-0.11066015625,8.386984375,-0.76953515625,-2.64211328125,-0.44332421875,2.97076953125,3.524640625,0.21220703125,-3.90855859375,3.77791796875,7.25518359375,6.20987890625,-5.3276328125,3.24209375,6.61838671875,5.6737265625,1.81101953125,-7.72786328125,4.679203125,5.48493359375,1.556375,-7.5630859375
3.250421875,-1.129984375,2.534078125,-0.924417968749999,3.93191796875,6.32348828125,-3.63923828125,-10.271453125,-0.0736601562499999,7.847984375,-1.39253515625,-2.91311328125,-0.182324218750001,2.86076953125,2.963640625,0.06020703125,-2.84355859375,4.00491796875,6.95818359375,6.26087890625,-4.8306328125,4.94409375,6.76238671875,6.1347265625,2.38101953125,-7.09386328125,5.414203125,6.22293359375,2.919375,-6.2950859375
2.393421875,-1.490984375,2.219078125,-1.08341796875,3.38791796875,5.21048828125,-5.04823828125,-10.762453125,-0.449660156249999,6.872984375,-1.98353515625,-2.83511328125,-0.19432421875,2.48276953125,2.342640625,0.0352070312500001,-1.97955859375,3.78291796875,6.40418359375,6.14387890625,-3.8916328125,5.92009375,6.56438671875,6.4637265625,3.00201953125,-5.63086328125,6.276203125,7.01793359375,4.619375,-4.0540859375
1.099421875,-2.295984375,1.389078125,-1.99741796875,2.15291796875,3.68848828125,-6.36323828125,-11.074453125,-1.28066015625,5.283984375,-2.80353515625,-2.55011328125,-0.60932421875,1.61976953125,1.364640625,-0.13979296875,-1.66555859375,2.98791796875,5.34318359375,5.57887890625,-2.8806328125,5.93209375,5.86338671875,6.2497265625,3.30901953125,-3.71786328125,6.859203125,7.54593359375,6.033375,-1.6220859375
-0.412578125,-3.436984375,0.184078125,-3.54541796875,0.356917968749999,1.97648828125,-7.42023828125,-11.087453125,-2.39966015625,3.223984375,-3.86653515625,-2.09211328125,-1.39832421875,0.26076953125,-0.0083593749999995,-0.54579296875,-1.96255859375,1.74391796875,3.76618359375,4.52987890625,-2.0166328125,5.07509375,4.73638671875,5.3297265625,3.12001953125,-1.73986328125,6.943203125,7.61793359375,6.699375,0.2929140625
-1.829578125,-4.620984375,-1.057921875,-5.32141796875,-1.65308203125,0.42448828125,-7.99923828125,-10.667453125,-3.51466015625,1.070984375,-4.96353515625,-1.36811328125,-2.36732421875,-1.37823046875,-1.571359375,-1.05879296875,-2.59755859375,0.35191796875,1.88118359375,3.20387890625,-1.2976328125,3.72909375,3.42538671875,3.8427265625,2.50201953125,0.00513671874999999,6.517203125,7.21493359375,6.471375,1.2769140625
-2.905578125,-5.537984375,-1.988921875,-6.86141796875,-3.49508203125,-0.68651171875,-7.99023828125,-9.757453125,-4.36966015625,-0.770015625,-5.81253515625,-0.27011328125,-3.24432421875,-2.94923046875,-3.003359375,-1.46179296875,-3.11055859375,-0.83708203125,0.00918359375000022,1.92287890625,-0.5976328125,2.37709375,2.20938671875,2.1317265625,1.70501953125,1.32613671875,5.699203125,6.45193359375,5.526375,1.2849140625
-3.570578125,-6.022984375,-2.415921875,-7.82541796875,-4.92008203125,-1.29751171875,-7.50123828125,-8.483453125,-4.88166015625,-2.059015625,-6.22553515625,1.16688671875,-3.80932421875,-4.12323046875,-4.047359375,-1.60679296875,-3.12355859375,-1.57508203125,-1.55581640625,0.94187890625,0.1713671875,1.39109375,1.26938671875,0.5637265625,0.99101953125,2.12213671875,4.635203125,5.50893359375,4.243375,0.5689140625
-3.926578125,-6.115984375,-2.372921875,-8.10441796875,-5.88408203125,-1.57951171875,-6.83023828125,-7.130453125,-5.15666015625,-2.821015625,-6.20953515625,2.69488671875,-4.00632421875,-4.74123046875,-4.611359375,-1.51279296875,-2.54155859375,-1.82608203125,-2.64281640625,0.32987890625,0.9383671875,0.87209375,0.62238671875,-0.6392734375,0.49701953125,2.35413671875,3.437203125,4.54893359375,3.017375,-0.4970859375
-4.139578125,-5.992984375,-2.057921875,-7.82241796875,-6.50908203125,-1.81351171875,-6.29523828125,-5.992453125,-5.40666015625,-3.286015625,-5.93053515625,3.94388671875,-3.96332421875,-4.87923046875,-4.771359375,-1.32979296875,-1.56055859375,-1.79208203125,-3.23881640625,-0.0131210937500004,1.5063671875,0.62909375,0.12638671875,-1.4482734375,0.20901953125,2.05513671875,2.191203125,3.67593359375,2.106375,-1.5730859375
-4.313578125,-5.835984375,-1.678921875,-7.26741796875,-6.96508203125,-2.20151171875,-6.04823828125,-5.197453125,-5.83666015625,-3.723015625,-5.59953515625,4.61888671875,-3.91232421875,-4.79423046875,-4.671359375,-1.20879296875,-0.48555859375,-1.83508203125,-3.45181640625,-0.23012109375,1.7033671875,0.31609375,-0.43261328125,-1.9522734375,0.0470195312500003,1.38113671875,1.023203125,2.95193359375,1.584375,-2.4240859375
-4.418578125,-5.720984375,-1.323921875,-6.77141796875,-7.34408203125,-2.74651171875,-6.01223828125,-4.631453125,-6.55966015625,-4.271015625,-5.36053515625,4.67888671875,-4.07032421875,-4.79923046875,-4.430359375,-1.18879296875,0.48844140625,-2.30408203125,-3.44781640625,-0.38312109375,1.5383671875,-0.36090625,-1.21461328125,-2.2432734375,-0.0169804687499998,0.63013671875,0.120203125,2.43393359375,1.409375,-2.8990859375
-4.339578125,-5.613984375,-0.952921875,-6.59841796875,-7.62808203125,-3.29351171875,-5.97423828125,-4.017453125,-7.55566015625,-4.898015625,-5.27653515625,4.34188671875,-4.54632421875,-5.12923046875,-4.114359375,-1.19879296875,1.37244140625,-3.37508203125,-3.40881640625,-0.42812109375,1.2293671875,-1.48390625,-2.25861328125,-2.3672734375,0.0620195312500003,0.16813671875,-0.323796875,2.19093359375,1.501375,-2.9080859375
-3.981578125,-5.469984375,-0.503921875,-6.86341796875,-7.75808203125,-3.69451171875,-5.77723828125,-3.102453125,-8.68366015625,-5.505015625,-5.39453515625,3.92688671875,-5.30832421875,-5.87523046875,-3.801359375,-1.17179296875,2.31044140625,-4.97108203125,-3.52181640625,-0.32912109375,1.0673671875,-2.90490625,-3.48961328125,-2.3672734375,0.31701953125,0.25613671875,-0.241796875,2.25393359375,1.785375,-2.4400859375
-3.386578125,-5.330984375,-0.0169218750000004,-7.51241796875,-7.73708203125,-3.96851171875,-5.47723828125,-1.862453125,-9.74266015625,-6.066015625,-5.81653515625,3.62588671875,-6.20632421875,-6.98423046875,-3.651359375,-1.17579296875,3.38944140625,-6.79308203125,-3.96781640625,-0.18112109375,1.2163671875,-4.31690625,-4.78261328125,-2.3622734375,0.65101953125,0.89213671875,0.215203125,2.56293359375,2.161375,-1.6080859375
-2.766578125,-5.342984375,0.324078125,-8.34441796875,-7.68708203125,-4.33451171875,-5.34223828125,-0.584453125,-10.55866015625,-6.685015625,-6.67053515625,3.38488671875,-7.03732421875,-8.29223046875,-3.912359375,-1.42879296875,4.48944140625,-8.43008203125,-4.86281640625,-0.24212109375,1.5823671875,-5.37890625,-6.01661328125,-2.5612734375,0.80001953125,1.79113671875,0.714203125,2.94793359375,2.487375,-0.6680859375
-2.412578125,-5.675984375,0.281078125,-9.09841796875,-7.82508203125,-5.11151171875,-5.69023828125,0.277546875,-11.05866015625,-7.552015625,-8.02553515625,2.95488671875,-7.62932421875,-9.58723046875,-4.828359375,-2.19279296875,5.29444140625,-9.50908203125,-6.20081640625,-0.83312109375,1.8523671875,-5.83290625,-7.09261328125,-3.1732734375,0.43001953125,2.51213671875,0.880203125,3.18893359375,2.590375,0.0329140624999997
-2.534578125,-6.406984375,-0.295921875,-9.57141796875,-8.36708203125,-6.54551171875,-6.67723828125,0.397546875,-11.27666015625,-8.834015625,-9.80653515625,2.06488671875,-7.90032421875,-10.66923046875,-6.505359375,-3.61879296875,5.45944140625,-9.83808203125,-7.82081640625,-2.16012109375,1.6643671875,-5.59490625,-7.92861328125,-4.2842734375,-0.69398046875,2.67213671875,0.484203125,3.10693359375,2.325375,0.1769140625
-3.146578125,-7.473984375,-1.361921875,-9.71941796875,-9.43908203125,-8.66651171875,-8.17723828125,-0.199453125,-11.32966015625,-10.565015625,-11.78253515625,0.60288671875,-7.88732421875,-11.41323046875,-8.816359375,-5.62179296875,4.82444140625,-9.46408203125,-9.45081640625,-4.16912109375,0.8283671875,-4.80090625,-8.46661328125,-5.7742734375,-2.53698046875,2.13213671875,-0.435796875,2.65793359375,1.655375,-0.3870859375
-4.076578125,-8.702984375,-2.685921875,-9.67441796875,-11.01208203125,-11.23151171875,-9.83723828125,-1.169453125,-11.38966015625,-12.591015625,-13.61953515625,-1.33011328125,-7.72932421875,-11.80623046875,-11.408359375,-7.88279296875,3.53744140625,-8.66208203125,-10.80381640625,-6.53112109375,-0.5576328125,-3.76990625,-8.68861328125,-7.3432734375,-4.75798046875,1.06113671875,-1.588796875,1.96193359375,0.697375,-1.5460859375
-5.063578125,-9.889984375,-3.948921875,-9.67241796875,-12.90008203125,-13.78251171875,-11.24923828125,-2.082453125,-11.63566015625,-14.595015625,-14.99553515625,-3.48311328125,-7.61432421875,-11.95823046875,-13.820359375,-9.96379296875,1.97844140625,-7.83608203125,-11.69681640625,-8.76112109375,-2.1436328125,-2.89890625,-8.65261328125,-8.6482734375,-6.83998046875,-0.14286328125,-2.576796875,1.25093359375,-0.300625,-2.9480859375
-5.867578125,-10.855984375,-4.875921875,-9.92341796875,-14.79408203125,-15.80051171875,-12.13123828125,-2.654453125,-12.17066015625,-16.205015625,-15.72053515625,-5.58711328125,-7.68632421875,-12.04823046875,-15.647359375,-11.49579296875,0.58544140625,-7.37708203125,-12.12681640625,-10.43112109375,-3.5036328125,-2.50490625,-8.51161328125,-9.4622734375,-8.33398046875,-1.05586328125,-3.097796875,0.75693359375,-1.051625,-4.1520859375
-6.315578125,-11.461984375,-5.318921875,-10.47341796875,-16.34308203125,-16.88651171875,-12.41923828125,-2.840453125,-12.94066015625,-17.117015625,-15.79453515625,-7.46111328125,-7.96232421875,-12.24423046875,-16.658359375,-12.31979296875,-0.34455859375,-7.52708203125,-12.24281640625,-11.34312109375,-4.3306328125,-2.68390625,-8.47161328125,-9.7612734375,-9.05098046875,-1.42386328125,-3.085796875,0.61193359375,-1.339625,-4.8070859375
-6.324578125,-11.606984375,-5.268921875,-11.14741796875,-17.22208203125,-16.87251171875,-12.24123828125,-2.766453125,-13.70866015625,-17.174015625,-15.36653515625,-9.02511328125,-8.31632421875,-12.59323046875,-16.829359375,-12.50579296875,-0.73355859375,-8.27008203125,-12.22781640625,-11.56912109375,-4.5436328125,-3.26890625,-8.69161328125,-9.6752734375,-9.09098046875,-1.24286328125,-2.700796875,0.82193359375,-1.096625,-4.7620859375
-5.894578125,-11.236984375,-4.812921875,-11.62041796875,-17.21408203125,-15.84151171875,-11.80623828125,-2.585453125,-14.13566015625,-16.375015625,-14.62753515625,-10.25611328125,-8.55332421875,-12.98423046875,-16.286359375,-12.24879296875,-0.69655859375,-9.33108203125,-12.16181640625,-11.32412109375,-4.2536328125,-3.89990625,-9.17861328125,-9.3542734375,-8.68298046875,-0.68986328125,-2.182796875,1.29293359375,-0.398625,-4.0350859375
-5.108578125,-10.381984375,-4.092921875,-11.60641796875,-16.27408203125,-14.08451171875,-11.27723828125,-2.348453125,-13.94366015625,-14.872015625,-13.73253515625,-11.13111328125,-8.53732421875,-13.21323046875,-15.239359375,-11.73579296875,-0.43455859375,-10.29008203125,-11.97781640625,-10.80612109375,-3.6456328125,-4.19890625,-9.76061328125,-8.8422734375,-8.00998046875,0.02513671875,-1.686796875,1.89293359375,0.595375,-2.7160859375
-4.124578125,-9.185984375,-3.285921875,-11.06841796875,-14.58908203125,-12.03851171875,-10.72323828125,-1.977453125,-13.08366015625,-12.967015625,-12.81053515625,-11.61511328125,-8.30632421875,-13.11623046875,-13.930359375,-11.07479296875,-0.12655859375,-10.77008203125,-11.53781640625,-10.08312109375,-2.8616328125,-3.96190625,-10.16561328125,-8.0542734375,-7.10998046875,0.78113671875,-1.202796875,2.49393359375,1.717375,-0.8920859375
-3.177578125,-7.915984375,-2.593921875,-10.31241796875,-12.58008203125,-10.20651171875,-10.17023828125,-1.369453125,-11.83266015625,-11.090015625,-12.01053515625,-11.69911328125,-8.08432421875,-12.68923046875,-12.629359375,-10.32279296875,0.12444140625,-10.60708203125,-10.76181640625,-9.12612109375,-1.9606328125,-3.25190625,-10.15761328125,-6.8592734375,-5.91698046875,1.59413671875,-0.591796875,3.00293359375,2.839375,1.3409140625
