"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-8.5274609375,-1.0273046875,-5.60981640625,-5.88972265625,-8.81490234375,-0.8860625,1.67284765625,1.4503125,-7.6598359375,-10.1211015625,-0.76958984375,3.90806640625,-4.815328125,-11.36932421875,-8.254765625,1.80415234375,-15.379171875,-2.06678515625,-15.2763359375,-6.413375,-1.31978125,-7.0881875,-7.767265625,-7.5068515625,-5.764296875,1.06937109375,-12.34159765625,-11.56287890625,-4.71230078125,-5.0551796875
-7.0484609375,-1.1943046875,-3.00481640625,-4.65572265625,-6.60890234375,0.3839375,2.07484765625,6.1423125,-5.0498359375,-8.9451015625,-1.73358984375,3.61906640625,-3.852328125,-9.03132421875,-8.039765625,0.42415234375,-9.537171875,0.71521484375,-15.3943359375,-8.941375,-2.97078125,-3.2521875,-7.728265625,-10.2518515625,-8.957296875,-1.66062890625,-15.20559765625,-9.91087890625,-6.51530078125,-7.1981796875
-7.0594609375,-2.5993046875,-2.54481640625,-4.79372265625,-6.74590234375,-0.7330625,0.62284765625,7.5073125,-4.7908359375,-9.8651015625,-3.93658984375,2.13006640625,-3.106328125,-8.50932421875,-9.794765625,-1.95484765625,-5.098171875,0.58021484375,-16.8013359375,-12.276375,-5.05978125,-1.7041875,-8.878265625,-13.9478515625,-12.516296875,-4.60562890625,-18.70559765625,-9.75587890625,-8.84630078125,-9.6461796875
-8.3564609375,-4.9623046875,-3.96881640625,-6.00272265625,-8.82690234375,-3.9110625,-2.41515234375,5.8673125,-6.4168359375,-12.5301015625,-7.15758984375,-0.364933593749999,-3.454328125,-9.49932421875,-13.157765625,-5.00784765625,-2.482171875,-1.91178515625,-19.1073359375,-15.929375,-7.23178125,-2.3161875,-10.856265625,-17.9878515625,-15.960296875,-7.42762890625,-22.38359765625,-10.96087890625,-11.45230078125,-12.1121796875
-10.0934609375,-7.4003046875,-6.16781640625,-7.36672265625,-11.50190234375,-7.8280625,-5.96415234375,2.7683125,-8.5838359375,-15.7101015625,-10.56358984375,-3.11593359375,-5.208328125,-11.03332421875,-16.904765625,-7.89284765625,-1.621171875,-5.14178515625,-21.3573359375,-18.920375,-8.84778125,-4.1701875,-12.813265625,-21.2178515625,-18.482296875,-9.54462890625,-25.38459765625,-12.83087890625,-13.76630078125,-14.1111796875
-11.1144609375,-8.7563046875,-7.68881640625,-7.77072265625,-13.10690234375,-10.7470625,-8.59215234375,0.1553125,-9.8088359375,-17.8371015625,-12.98158984375,-5.09193359375,-7.345328125,-12.00332421875,-19.484765625,-9.59484765625,-1.870171875,-7.34578515625,-22.5093359375,-20.199375,-9.25278125,-6.0541875,-13.846265625,-22.4758515625,-19.290296875,-10.34862890625,-26.82759765625,-14.43787890625,-15.13630078125,-15.1581796875
-10.4214609375,-8.0733046875,-7.35881640625,-6.39472265625,-12.37390234375,-11.2170625,-9.09415234375,-0.5076875,-9.1508359375,-17.6471015625,-13.33658984375,-5.38593359375,-7.862328125,-11.65032421875,-19.651765625,-9.34184765625,-2.247171875,-7.46878515625,-21.8713359375,-19.081375,-8.06678125,-7.0441875,-13.422265625,-21.1128515625,-17.944296875,-9.45362890625,-26.18659765625,-15.01687890625,-15.12930078125,-14.9531796875
-7.5584609375,-4.9923046875,-4.69381640625,-3.02372265625,-8.89190234375,-8.6160625,-6.93315234375,1.2533125,-6.4988359375,-14.6321015625,-11.04658984375,-3.56193359375,-5.111328125,-9.78232421875,-16.915765625,-6.90484765625,-2.008171875,-5.50178515625,-19.3283359375,-15.499375,-5.35978125,-6.8541875,-11.554265625,-17.2468515625,-14.560296875,-6.90962890625,-23.50059765625,-14.27287890625,-13.71230078125,-13.5041796875
-2.7844609375,0.0796953124999999,-0.02281640625,1.89027734375,-3.19390234375,-3.3270625,-2.41115234375,4.9383125,-2.4518359375,-9.1701015625,-6.25658984375,0.17606640625,0.908671875,-6.69732421875,-11.663765625,-2.67584765625,-1.119171875,-2.25078515625,-15.2903359375,-10.015375,-1.67478125,-5.8301875,-8.712265625,-11.6868515625,-9.806296875,-3.28462890625,-19.35559765625,-12.46287890625,-11.25430078125,-11.1421796875
3.0125390625,6.0856953125,5.66718359375,7.39127734375,3.46609765625,3.4299375,3.45584765625,9.4353125,2.0031640625,-2.3551015625,0.17641015625,5.03006640625,8.291671875,-2.95832421875,-4.981765625,2.45215234375,-0.133171875,1.17721484375,-10.5023359375,-3.645375,2.10421875,-4.6251875,-5.575265625,-5.6198515625,-4.701296875,0.45537109375,-14.66659765625,-10.22487890625,-8.38430078125,-8.4261796875
