"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-2.416578125,2.2146953125,-2.4679453125,1.44687890625,5.17504296875,-1.40185546875,-1.7709765625,6.89809375,2.35355859375,-1.42998828125,-5.6334140625,-0.8584921875,-3.92951171875,-0.515734375000001,-11.89931640625,-7.9251953125,10.0206015625,-5.049546875,-12.7888046875,-19.28219921875,-9.8966953125,-12.52028515625,-19.5093125,-27.5775,-27.6499140625,-20.820796875,-38.80895703125,-33.34898046875,-34.53118359375,-30.10073046875
-0.889578124999999,4.2696953125,4.8380546875,5.81287890625,5.01304296875,0.41614453125,1.4760234375,8.03009375,2.84055859375,-0.84498828125,-2.8964140625,2.3625078125,-3.29951171875,0.154265624999999,-11.13331640625,-4.8691953125,10.1166015625,-4.586546875,-13.1468046875,-17.35219921875,-8.4456953125,-12.58628515625,-21.4603125,-28.9035,-28.2329140625,-19.367796875,-41.94195703125,-32.90498046875,-34.62718359375,-30.58573046875
0.861421875,5.9096953125,9.2860546875,9.05087890625,4.94504296875,2.16014453125,4.0710234375,8.44009375,3.91155859375,0.842011718749999,-0.2614140625,3.8295078125,-2.15751171875,2.085265625,-8.73731640625,-1.9601953125,10.1176015625,-3.199546875,-11.8378046875,-14.65119921875,-6.8846953125,-11.31028515625,-21.2853125,-28.4505,-27.4629140625,-17.448796875,-43.07895703125,-31.38898046875,-34.21618359375,-30.12473046875
2.931421875,7.0786953125,10.8080546875,11.03887890625,5.24804296875,3.90014453125,6.0620234375,8.10009375,5.58955859375,3.73901171875,2.3575859375,3.7055078125,-0.54451171875,5.224265625,-4.71931640625,0.8648046875,10.1576015625,-0.921546875,-8.7818046875,-11.07119921875,-5.0736953125,-8.95128515625,-18.8733125,-25.8945,-25.0139140625,-14.794796875,-41.75095703125,-28.82998046875,-32.94118359375,-28.26173046875
5.315421875,7.8636953125,10.0280546875,12.03087890625,6.25904296875,5.70914453125,7.5650234375,7.17509375,7.68155859375,7.53501171875,4.9985859375,2.6815078125,1.30648828125,9.026265625,0.29368359375,3.6208046875,10.3566015625,1.879453125,-4.4948046875,-6.80519921875,-2.9326953125,-6.31528515625,-14.8133125,-21.4415,-20.9309140625,-11.241796875,-38.00095703125,-25.61598046875,-30.53718359375,-24.74273046875
7.857421875,8.4506953125,7.8150546875,12.53287890625,8.22504296875,7.62514453125,8.6150234375,5.90309375,9.86355859375,11.59201171875,7.5805859375,1.5485078125,3.10648828125,12.687265625,5.33568359375,6.1848046875,10.6956015625,4.699453125,0.1491953125,-2.28419921875,-0.5336953125,-4.30328515625,-10.0993125,-15.7145,-15.5869140625,-6.833796875,-32.30495703125,-22.24798046875,-26.95318359375,-19.63573046875
10.253421875,9.0246953125,4.9760546875,13.05987890625,11.11504296875,9.64514453125,9.1820234375,4.46909375,11.80755859375,15.17101171875,9.9235859375,0.8685078125,4.65148828125,15.481265625,9.51168359375,8.3368046875,11.0106015625,7.123453125,4.2811953125,1.99680078125,1.9053046875,-3.41328515625,-5.7023125,-9.5135,-9.5459140625,-1.859796875,-25.37295703125,-19.02898046875,-22.38218359375,-13.35773046875
12.134421875,9.6616953125,2.1790546875,13.87087890625,14.49204296875,11.70114453125,9.2850234375,2.96609375,13.25755859375,17.66001171875,11.8315859375,0.8465078125,5.88248828125,16.990265625,12.29168359375,9.8768046875,11.1086015625,8.955453125,7.3211953125,5.64180078125,4.0963046875,-3.48228515625,-2.2363125,-3.5805,-3.4199140625,3.163203125,-17.93095703125,-15.91498046875,-17.20618359375,-6.61773046875
13.153421875,10.2656953125,-0.0369453125000001,14.83187890625,17.54204296875,13.61214453125,9.0500234375,1.45309375,14.05055859375,18.70701171875,13.1385859375,1.3705078125,6.84948828125,17.152265625,13.58068359375,10.7048046875,10.9066015625,10.192453125,9.0541953125,8.41680078125,5.7843046875,-3.83328515625,0.1316875,1.5365,2.1970859375,7.566203125,-10.61295703125,-12.61998046875,-11.92718359375,-0.30473046875
13.056421875,10.6096953125,-1.2789453125,15.51487890625,19.34104296875,15.06814453125,8.6570234375,0.0690937500000002,14.09355859375,18.26401171875,13.7095859375,2.1265078125,7.60148828125,16.159265625,13.58968359375,10.8168046875,10.4986015625,10.897453125,9.5381953125,10.18780078125,6.8013046875,-3.71928515625,1.5526875,5.4805,6.7340859375,10.690203125,-3.97195703125,-8.92398046875,-7.11918359375,4.68326953125
11.735421875,10.4546953125,-1.3529453125,15.46587890625,19.25804296875,15.71114453125,8.2500234375,-0.93890625,13.34855859375,16.55901171875,13.4505859375,2.7385078125,8.10248828125,14.316265625,12.65568359375,10.2488046875,10.1066015625,11.088453125,8.9541953125,10.84180078125,7.0763046875,-2.78628515625,2.2616875,8.0475,9.6890859375,12.085203125,1.49704296875,-4.96298046875,-3.35418359375,7.66526953125
9.295421875,9.6826953125,-0.3109453125,14.49687890625,17.29104296875,15.29314453125,7.8910234375,-1.29790625,11.86655859375,14.03401171875,12.3575859375,2.9135078125,8.20348828125,11.942265625,11.10668359375,9.0478046875,9.9456015625,10.720453125,7.5321953125,10.28880078125,6.6423046875,-1.26528515625,2.3986875,9.1705,10.7340859375,11.690203125,5.39504296875,-1.30398046875,-1.05918359375,8.37226953125
6.110421875,8.3536953125,1.5170546875,12.79487890625,14.09904296875,13.82714453125,7.5640234375,-0.87590625,9.84155859375,11.24101171875,10.5565859375,2.5325078125,7.70848828125,9.353265625,9.20668359375,7.2738046875,10.0906015625,9.771453125,5.5421953125,8.54380078125,5.6243046875,0.18871484375,1.9706875,8.9555,9.8530859375,9.876203125,7.52804296875,1.27701953125,-0.371183593750001,7.03226953125
2.808421875,6.6476953125,3.5370546875,10.80987890625,10.68804296875,11.60614453125,7.1840234375,0.19009375,7.64355859375,8.69101171875,8.2895859375,1.6435078125,6.49048828125,6.881265625,7.13968359375,5.0218046875,10.4076015625,8.334453125,3.3071953125,5.81780078125,4.2263046875,0.91471484375,0.9506875,7.6965,7.3880859375,7.286203125,8.00404296875,2.19101953125,-1.04218359375,4.25726953125
0.133421875000001,4.7906953125,4.9550546875,9.01287890625,7.94904296875,9.08514453125,6.5940234375,1.47909375,5.74655859375,6.72701171875,5.8265859375,0.3885078125,4.60748828125,4.874265625,5.03068359375,2.4468046875,10.5986015625,6.661453125,1.1921953125,2.54680078125,2.6803046875,0.66771484375,-0.5733125,5.8445,3.9710859375,4.550203125,7.24104296875,1.39501953125,-2.49518359375,0.806269531250001
-1.300578125,3.0216953125,5.0010546875,7.71587890625,6.35504296875,6.72714453125,5.6230234375,2.41009375,4.58655859375,5.50201171875,3.4075859375,-1.0544921875,2.36248828125,3.666265625,2.99368359375,-0.2171953125,10.3466015625,5.112453125,-0.4488046875,-0.67619921875,1.2003046875,-0.19628515625,-2.3013125,3.9205,0.375085937499999,2.052203125,5.88004296875,-0.496980468749999,-3.98318359375,-2.63273046875
-1.255578125,1.5966953125,3.2950546875,7.05887890625,5.94104296875,4.90814453125,4.1990234375,2.47909375,4.41455859375,5.04901171875,1.2455859375,-2.4734921875,0.26048828125,3.513265625,1.21268359375,-2.6401953125,9.5146015625,4.048453125,-1.3258046875,-3.23219921875,-0.0326953125,-0.87028515625,-3.7663125,2.3995,-2.6639140625,-0.103796875,4.58904296875,-2.41998046875,-4.80818359375,-5.50973046875
0.0394218750000004,0.779695312499999,0.1670546875,7.09587890625,6.48604296875,3.89914453125,2.4690234375,1.49709375,5.23255859375,5.37901171875,-0.4364140625,-3.6124921875,-1.13251171875,4.512265625,-0.0323164062500005,-4.4361953125,8.2536015625,3.723453125,-1.2948046875,-4.65719921875,-0.8636953125,-0.51928515625,-4.5173125,1.5815,-4.6159140625,-1.952796875,3.80904296875,-3.34498046875,-4.55118359375,-7.40773046875
2.008421875,0.7576953125,-3.3329453125,7.84187890625,7.71904296875,3.86414453125,0.8230234375,-0.29590625,6.82055859375,6.50401171875,-1.3814140625,-4.2014921875,-1.36851171875,6.538265625,-0.421316406250001,-5.2821953125,6.9516015625,4.216453125,-0.4178046875,-4.80719921875,-1.1886953125,1.25671484375,-4.3463125,1.4575,-5.3169140625,-3.512796875,3.51104296875,-2.81798046875,-3.28918359375,-8.11173046875
4.001421875,1.5636953125,-5.8429453125,9.21887890625,9.42604296875,4.84514453125,-0.2129765625,-2.32490625,8.83455859375,8.39101171875,-1.3364140625,-4.0384921875,-0.25351171875,9.249265625,0.261683593749999,-5.0381953125,6.0456015625,5.409453125,1.0221953125,-3.92819921875,-1.0086953125,4.17271484375,-3.4413125,1.6605,-5.0609140625,-4.762796875,3.10604296875,-1.26198046875,-1.67018359375,-7.79373046875
