"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
0.2844453125,1.9095703125,0.6769921875,8.48122265625,7.22140625,1.3724453125,-7.43232421875,-3.161859375,8.70691015625,3.57444921875,1.6186328125,-10.77589453125,10.14571875,9.3489921875,3.63412109375,-3.196015625,-5.90204296875,3.28056640625,1.56846875,-0.19871484375,-4.69559765625,-3.49843359375,-1.32503125,-0.8730390625,-3.66895703125,-8.55793359375,-5.0064609375,-2.9921484375,-2.89671875,-8.98790234375
5.4854453125,5.4875703125,3.2739921875,12.49722265625,8.56040625,4.1164453125,-3.22332421875,-0.548859375,12.43591015625,4.94144921875,2.6956328125,0.0621054687500004,7.83471875,10.9579921875,4.24512109375,-0.319015625,-5.04404296875,5.62356640625,2.87446875,0.47528515625,-2.59859765625,-3.20843359375,-0.48203125,-0.2450390625,-2.38795703125,-6.69793359375,-4.6724609375,-3.3741484375,-2.62071875,-7.82690234375
7.6084453125,7.0455703125,4.1549921875,14.00022265625,8.27440625,4.7054453125,-1.54532421875,0.453140625,12.95891015625,4.62744921875,2.5356328125,5.57710546875,5.57271875,10.4829921875,3.81712109375,0.590984375,-3.33004296875,6.39156640625,2.93946875,0.32528515625,-1.70759765625,-3.29243359375,-0.60903125,-0.2260390625,-2.01095703125,-5.26193359375,-5.0274609375,-3.7601484375,-2.93771875,-7.18690234375
6.7984453125,6.5395703125,3.3809921875,13.04022265625,6.48140625,3.3224453125,-2.26032421875,-0.248859375,10.44891015625,2.87044921875,1.3216328125,5.98510546875,3.43471875,7.9439921875,2.43612109375,-0.223015625,-1.07004296875,5.32356640625,1.77546875,-0.54071484375,-1.95059765625,-3.86643359375,-1.73203125,-0.7540390625,-2.43995703125,-4.27693359375,-5.9834609375,-4.2401484375,-3.76771875,-6.98390234375
4.2184453125,4.6295703125,1.6029921875,10.55122265625,3.96840625,0.9294453125,-4.35932421875,-2.204859375,6.29691015625,0.56944921875,-0.2743671875,3.17710546875,1.54971875,4.1889921875,0.59312109375,-1.857015625,1.12595703125,2.77856640625,-0.13353125,-1.71171484375,-2.85259765625,-4.84543359375,-3.47403125,-1.5430390625,-3.26995703125,-3.69893359375,-7.1814609375,-4.8471484375,-4.80671875,-6.97890234375
1.4064453125,2.3655703125,-0.2560078125,7.88622265625,1.85940625,-1.2385546875,-6.49432421875,-4.570859375,2.42091015625,-1.17355078125,-1.4243671875,-0.40389453125,0.0567187500000004,0.547992187499999,-1.03687890625,-3.247015625,2.67895703125,-0.30943359375,-2.03153125,-2.66571484375,-3.73259765625,-5.90343359375,-5.16403125,-2.2130390625,-3.99895703125,-3.46893359375,-8.1454609375,-5.4621484375,-5.66671875,-6.94490234375
-0.4055546875,0.7345703125,-1.3870078125,6.21522265625,1.11440625,-2.1965546875,-7.55932421875,-6.374859375,0.36891015625,-1.54855078125,-1.5033671875,-2.84689453125,-0.91128125,-1.7060078125,-1.86187890625,-3.627015625,3.25295703125,-2.80743359375,-3.18653125,-2.99771484375,-3.97659765625,-6.58943359375,-6.12003125,-2.4510390625,-4.23295703125,-3.51693359375,-8.4784609375,-5.8231484375,-6.03671875,-6.77590234375
-0.6955546875,0.2935703125,-1.3710078125,6.09522265625,2.11040625,-1.5465546875,-7.06032421875,-6.820859375,0.70391015625,-0.33355078125,-0.3273671875,-3.31989453125,-1.24228125,-1.8590078125,-1.57587890625,-2.766015625,2.83295703125,-3.90943359375,-3.17253125,-2.56271484375,-3.30459765625,-6.56343359375,-5.95403125,-2.1200390625,-3.83195703125,-3.73393359375,-8.0174609375,-5.6621484375,-5.79571875,-6.52190234375
0.3414453125,1.0455703125,-0.2590078125,7.36422265625,4.52640625,0.4734453125,-5.17732421875,-5.577859375,2.94291015625,2.10444921875,1.8196328125,-2.01389453125,-0.89928125,0.022992187499999,-0.22387890625,-0.946015625,1.71595703125,-3.47543359375,-1.99253125,-1.49471484375,-1.91759765625,-5.79443359375,-4.74003125,-1.2840390625,-2.93395703125,-3.98693359375,-6.8954609375,-4.8941484375,-5.05471875,-6.33490234375
2.0714453125,2.5725703125,1.5379921875,9.36122265625,7.55840625,3.1684453125,-2.58932421875,-2.936859375,5.98591015625,5.04844921875,4.3346328125,0.26410546875,0.0147187500000001,3.2389921875,1.86212109375,1.248984375,0.38595703125,-1.98243359375,-0.02953125,-0.10571484375,-0.39659765625,-4.58143359375,-2.94803125,-0.1610390625,-1.87195703125,-4.16893359375,-5.4774609375,-3.7081484375,-4.09871875,-6.38890234375
3.7854453125,4.2995703125,3.4519921875,11.31122265625,10.32940625,5.6834453125,-0.16732421875,0.278140625,8.73891015625,7.73044921875,6.5296328125,2.54010546875,1.25571875,6.8179921875,4.19612109375,3.192984375,-0.72304296875,-0.18343359375,2.15446875,1.25628515625,0.60040234375,-3.39143359375,-1.20103125,0.9699609375,-1.02795703125,-4.27293359375,-4.2194609375,-2.4911484375,-3.29171875,-6.81390234375
5.0114453125,5.7405703125,4.9659921875,12.66822265625,12.22540625,7.2994453125,1.31967578125,3.062140625,10.58691015625,9.56944921875,7.8276328125,3.99010546875,2.50271875,9.8859921875,6.25812109375,4.422984375,-1.45704296875,1.27956640625,4.02046875,2.30628515625,0.67640234375,-2.63343359375,-0.0130312500000003,1.8469609375,-0.69895703125,-4.41293359375,-3.5124609375,-1.6561484375,-2.94771875,-7.65690234375
5.6494453125,6.6105703125,5.7479921875,13.24622265625,13.01940625,7.6234453125,1.40167578125,4.632140625,11.49191015625,10.26144921875,7.8926328125,4.10110546875,3.43671875,11.8659921875,7.57912109375,4.706984375,-1.98904296875,2.10456640625,5.18646875,2.84328515625,-0.16559765625,-2.48143359375,0.36096875,2.2729609375,-1.02095703125,-4.78293359375,-3.5764609375,-1.4561484375,-3.23271875,-8.87690234375
5.8784453125,6.8195703125,5.6689921875,13.13922265625,12.78040625,6.6194453125,-0.00232421875000011,4.651140625,11.74291015625,9.74244921875,6.6716328125,2.77410546875,3.85371875,12.5099921875,7.82612109375,4.032984375,-2.65904296875,2.35956640625,5.46946875,2.74228515625,-1.62559765625,-2.80943359375,-0.0480312500000002,2.1389609375,-1.95195703125,-5.54993359375,-4.4114609375,-1.8781484375,-4.08871875,-10.32590234375
5.8884453125,6.3815703125,4.7359921875,12.54522265625,11.70140625,4.5424453125,-2.57232421875,3.161140625,11.56791015625,8.13644921875,4.4076328125,0.35410546875,3.82571875,11.8379921875,6.89312109375,2.567984375,-3.78604296875,2.35956640625,4.87546875,1.97728515625,-3.31659765625,-3.24543359375,-0.99903125,1.4359609375,-3.29195703125,-6.75193359375,-5.7904609375,-2.6671484375,-5.20971875,-11.73690234375
5.6404453125,5.3535703125,3.0429921875,11.66322265625,9.97540625,1.8444453125,-5.64632421875,0.406140625,10.93291015625,5.72044921875,1.6016328125,-2.43889453125,3.77671875,10.0709921875,4.96812109375,0.631984375,-5.56004296875,2.45656640625,3.59046875,0.67128515625,-4.91459765625,-3.31743359375,-2.13603125,0.2919609375,-4.71595703125,-8.23993359375,-7.3094609375,-3.4141484375,-6.12171875,-12.72890234375
4.8644453125,3.8185703125,0.7679921875,10.64822265625,7.78640625,-0.9205546875,-8.39532421875,-3.246859375,9.60391015625,2.90744921875,-1.0883671875,-4.74989453125,4.28871875,7.5919921875,2.51912109375,-1.341015625,-7.97404296875,2.83156640625,1.95346875,-0.86271484375,-6.19259765625,-2.64543359375,-3.09003125,-1.0080390625,-5.83295703125,-9.69993359375,-8.4654609375,-3.7011484375,-6.32071875,-12.87190234375
3.3194453125,1.9385703125,-1.7730078125,9.59122265625,5.37140625,-3.2085546875,-10.09632421875,-7.230859375,7.41791015625,0.19544921875,-3.0163671875,-5.94089453125,5.69771875,4.9099921875,0.18912109375,-2.887015625,-10.73504296875,3.38556640625,0.40846875,-2.15871484375,-6.99359765625,-1.10143359375,-3.55703125,-2.0560390625,-6.27395703125,-10.72793359375,-8.7904609375,-3.2191484375,-5.44571875,-11.81390234375
1.1124453125,-0.0194296874999997,-4.1050078125,8.49622265625,3.05640625,-4.6005546875,-10.39232421875,-10.710859375,4.52891015625,-1.92755078125,-3.7423671875,-5.86989453125,7.73971875,2.5939921875,-1.38187890625,-3.637015625,-13.22804296875,3.79956640625,-0.59653125,-2.72471484375,-7.20159765625,1.13856640625,-3.34003125,-2.4120390625,-5.77995703125,-10.94293359375,-7.9814609375,-1.8391484375,-3.38171875,-9.42690234375
-1.2005546875,-1.6974296875,-5.6850078125,7.30422265625,1.19840625,-4.8865546875,-9.37632421875,-12.730859375,1.46391015625,-3.09255078125,-3.1633671875,-4.90689453125,9.56071875,1.1389921875,-1.74687890625,-3.421015625,-14.65604296875,3.74756640625,-0.74053125,-2.21571484375,-6.71959765625,3.68956640625,-2.37503125,-1.7530390625,-4.27795703125,-10.09293359375,-6.0014609375,0.3488515625,-0.31871875,-5.91290234375
-2.8585546875,-2.7594296875,-6.0940078125,5.95722265625,0.0434062499999994,-4.1155546875,-7.50332421875,-12.612859375,-1.10008984375,-3.16055078125,-1.5433671875,-3.68589453125,10.10371875,0.784992187499999,-0.81787890625,-2.325015625,-14.33004296875,3.14656640625,0.0474687500000002,-0.59771484375,-5.52459765625,6.12956640625,-0.75103125,-0.0130390625,-1.94295703125,-8.16193359375,-3.1354609375,3.0508515625,3.28828125,-1.82690234375
-3.3545546875,-3.0374296875,-5.2580078125,4.44122265625,-0.403593750000001,-2.6335546875,-5.40732421875,-10.405859375,-2.66308984375,-2.29855078125,0.5566328125,-2.76989453125,8.68071875,1.3929921875,1.06712109375,-0.704015625,-12.00504296875,2.22056640625,1.51946875,1.76428515625,-3.80259765625,8.13656640625,1.26196875,2.5069609375,0.77304296875,-5.45293359375,0.0425390625000004,5.7938515625,6.79628125,2.02609765625
-2.7725546875,-2.6364296875,-3.5350078125,2.79622265625,-0.39659375,-1.0455546875,-3.73632421875,-6.993859375,-3.12408984375,-0.97855078125,2.4486328125,-2.45789453125,5.44771875,2.4659921875,3.22612109375,0.886984375,-8.09804296875,1.33256640625,3.15146875,4.15828515625,-2.01959765625,9.49856640625,3.20096875,5.1409609375,3.19604296875,-2.57293359375,2.7785390625,7.9888515625,9.50828125,4.78709765625
-1.7375546875,-1.8994296875,-1.5820078125,1.12222265625,-0.31259375,-0.0305546875000001,-2.98132421875,-3.684859375,-2.75408984375,0.18144921875,3.5236328125,-2.77789453125,1.49771875,3.3519921875,4.87512109375,1.865984375,-3.64804296875,0.69756640625,4.32246875,5.75428515625,-0.81259765625,10.05256640625,4.49196875,7.0369609375,4.61104296875,-0.27893359375,4.3475390625,9.0328515625,10.82928125,5.80109765625
-1.0025546875,-1.2234296875,-0.0300078125000001,-0.395777343749998,-0.44759375,-0.0455546875000001,-3.31532421875,-1.470859375,-1.96408984375,0.67344921875,3.4646328125,-3.57389453125,-1.56328125,3.5369921875,5.43012109375,1.854984375,0.0459570312500004,0.23456640625,4.56546875,5.93828515625,-0.68859765625,9.64956640625,4.65896875,7.4859609375,4.54504296875,0.807066406250001,4.3035390625,8.4968515625,10.42828125,4.83509765625
-1.0035546875,-0.8444296875,0.8179921875,-1.49877734375,-0.876593750000001,-1.0935546875,-4.51132421875,-0.484859375,-1.06308984375,0.32144921875,2.3516328125,-4.56889453125,-2.41328125,2.8789921875,4.76112109375,0.858984375,1.98395703125,-0.30743359375,3.77546875,4.60228515625,-1.72059765625,8.23656640625,3.57196875,6.2439609375,2.99504296875,0.47606640625,2.6665390625,6.3248515625,8.36528125,2.17209765625
-1.6755546875,-0.7214296875,1.0849921875,-1.93677734375,-1.46059375,-2.7075546875,-6.01032421875,-0.0628593749999999,-0.17308984375,-0.66955078125,0.6496328125,-5.37989453125,-0.744281249999999,1.6539921875,3.24112109375,-0.710015625,1.90595703125,-1.08543359375,2.26446875,2.22628515625,-3.44759765625,5.97156640625,1.57996875,3.6729609375,0.486042968750001,-0.96593359375,-0.0544609375,2.9408515625,5.13528125,-1.46790234375
-2.5825546875,-0.6044296875,1.1739921875,-1.59577734375,-1.96259375,-4.1535546875,-7.11132421875,0.686140625,0.689910156250001,-1.81755078125,-0.9463671875,-5.54489453125,2.55571875,0.4029921875,1.57712109375,-2.179015625,0.33195703125,-1.97543359375,0.61146875,-0.30671484375,-5.04259765625,3.27056640625,-0.58103125,0.6099609375,-2.11595703125,-2.83993359375,-3.0294609375,-0.8321484375,1.55028125,-5.16290234375
