"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-14.6122109375,-16.1587421875,-10.877625,-1.275921875,1.022171875,4.41095703125,8.3761953125,7.359984375,11.8722265625,4.387328125,4.0464375,-0.66297265625,4.08809375,3.90930078125,7.417265625,-0.2269296875,-6.2471015625,-10.55476953125,1.948796875,0.23165625,-2.953125,0.16026171875,0.0597109374999998,-2.33473828125,-5.56080859375,-3.38459765625,4.14084765625,-8.52594140625,-13.2264921875,-8.1327890625
-19.4002109375,-19.6047421875,-16.378625,-6.535921875,0.614171875,0.67895703125,-0.0578046874999998,2.206984375,6.8252265625,2.630328125,0.6884375,-4.94497265625,2.70809375,4.04030078125,3.245265625,-5.0659296875,-6.2401015625,-11.86176953125,-0.422203125,-2.82634375,-4.189125,-1.53973828125,-2.0422890625,-5.04473828125,-7.18280859375,-4.26959765625,-0.0691523437499999,-5.57294140625,-13.1304921875,-8.0477890625
-22.3082109375,-22.3897421875,-20.750625,-10.187921875,-0.914828125,-2.57004296875,-6.1258046875,-1.290015625,3.6442265625,0.296328125,-2.4055625,-8.22197265625,2.07909375,2.20330078125,-0.287734375,-8.6299296875,-6.3051015625,-12.76976953125,-2.787203125,-5.53434375,-5.448125,-3.61973828125,-4.1712890625,-7.57473828125,-8.76780859375,-5.12259765625,-3.12015234375,-4.35994140625,-13.4264921875,-8.5887890625
-23.0782109375,-24.1017421875,-23.596625,-12.369921875,-3.162828125,-4.96304296875,-9.6268046875,-2.942015625,1.9412265625,-2.166671875,-4.8495625,-10.34797265625,1.72009375,-0.91469921875,-2.842734375,-10.6399296875,-6.4041015625,-12.88076953125,-4.741203125,-7.60134375,-6.588125,-5.94073828125,-6.0322890625,-9.70073828125,-10.16880859375,-5.97759765625,-4.94615234375,-4.89194140625,-14.1274921875,-9.7377890625
-21.9552109375,-24.4487421875,-24.734625,-13.578921875,-5.314828125,-6.20804296875,-10.9088046875,-2.937015625,0.7582265625,-4.060671875,-6.2455625,-11.38597265625,0.97709375,-3.93069921875,-4.209734375,-11.1209296875,-6.4841015625,-11.90876953125,-5.837203125,-8.78334375,-7.430125,-8.13773828125,-7.2622890625,-11.20573828125,-11.21480859375,-6.85859765625,-5.74115234375,-6.63694140625,-15.0984921875,-11.2287890625
-19.5292109375,-23.3927421875,-24.203625,-14.241921875,-6.565828125,-6.24504296875,-10.5208046875,-1.655015625,-0.6617734375,-4.821671875,-6.3605625,-11.45897265625,-0.48790625,-5.56569921875,-4.371734375,-10.3159296875,-6.5111015625,-9.85076953125,-5.845203125,-8.98834375,-7.831125,-9.74673828125,-7.6002890625,-11.95373828125,-11.76080859375,-7.71559765625,-5.75815234375,-8.80894140625,-16.0914921875,-12.6467890625
-16.5302109375,-21.1717421875,-22.226625,-14.509921875,-6.415828125,-5.27104296875,-8.9658046875,0.449984375,-2.3167734375,-4.249671875,-5.1975625,-10.61997265625,-2.51890625,-5.17769921875,-3.486734375,-8.5549296875,-6.4431015625,-6.96876953125,-4.846203125,-8.27834375,-7.718125,-10.39273828125,-6.9752890625,-11.90373828125,-11.69880859375,-8.40159765625,-5.19715234375,-10.65694140625,-16.8024921875,-13.5917890625
-13.6302109375,-18.2147421875,-19.180625,-14.339921875,-4.788828125,-3.65104296875,-6.6578046875,2.894984375,-3.4877734375,-2.545671875,-3.0005625,-8.86497265625,-4.66890625,-2.88069921875,-1.830734375,-6.1709296875,-6.2031015625,-3.64676953125,-3.156203125,-6.81334375,-7.071125,-9.96873828125,-5.5142890625,-11.08373828125,-10.94580859375,-8.71859765625,-4.23415234375,-11.64694140625,-16.9714921875,-13.8127890625
-11.2242109375,-15.0207421875,-15.555625,-13.678921875,-2.021828125,-1.78704296875,-3.9668046875,5.220984375,-3.3147734375,-0.189671875,-0.2385625,-6.28897265625,-6.51090625,0.63430078125,0.249265625,-3.5039296875,-5.6841015625,-0.26876953125,-1.190203125,-4.82534375,-5.927125,-8.70573828125,-3.5142890625,-9.58873828125,-9.48880859375,-8.53459765625,-3.07715234375,-11.55294140625,-16.4774921875,-13.2757890625
-9.2922109375,-12.0327421875,-11.874625,-12.545921875,1.231171875,-0.0260429687499999,-1.2558046875,7.122984375,-1.4797734375,2.224328125,2.4584375,-3.23597265625,-7.79990625,4.39030078125,2.347265625,-0.9329296875,-4.8261015625,2.79023046875,0.650796875,-2.61634375,-4.389125,-7.08773828125,-1.3872890625,-7.61073828125,-7.44980859375,-7.89659765625,-1.96215234375,-10.47194140625,-15.4054921875,-12.1467890625
