"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
1.0529140625,-1.169140625,0.47897265625,-1.4804375,-0.61145703125,-2.95446484375,-2.7599375,-2.396265625,2.21754296875,-3.3873359375,-2.43359765625,-0.3375078125,8.8659296875,-2.2646875,-4.65757421875,-5.17877734375,1.97121484375,1.7675234375,-2.81687890625,-3.8685546875,-1.63375,4.36184765625,-1.611953125,-0.49207421875,-2.0817734375,0.8519609375,2.6930625,3.1113828125,6.00583203125,1.8404375
0.6349140625,-1.181140625,0.17197265625,-1.7414375,-0.95845703125,-3.10246484375,-3.2099375,-2.980265625,2.32654296875,-3.3253359375,-2.44959765625,-0.3175078125,8.6859296875,-2.1316875,-4.69257421875,-5.22977734375,1.72621484375,1.6725234375,-2.82787890625,-3.8735546875,-1.82175,4.21484765625,-1.564953125,-0.33707421875,-2.1297734375,0.7419609375,2.7570625,3.0153828125,6.02483203125,1.8744375
0.3869140625,-1.215140625,-0.00602734374999997,-1.8704375,-1.10245703125,-3.10446484375,-3.3799375,-3.232265625,2.44154296875,-3.2453359375,-2.39459765625,-0.2195078125,8.5329296875,-2.0246875,-4.65957421875,-5.19377734375,1.54721484375,1.6165234375,-2.75487890625,-3.8285546875,-1.99075,4.14984765625,-1.515953125,-0.19107421875,-2.1807734375,0.5639609375,2.8100625,2.9683828125,6.01483203125,1.8914375
0.3239140625,-1.258140625,-0.05102734375,-1.8414375,-1.03845703125,-2.93346484375,-3.2529375,-3.164265625,2.55754296875,-3.1203359375,-2.23259765625,-0.0245078125,8.4209296875,-1.9316875,-4.52957421875,-5.04377734375,1.46921484375,1.6125234375,-2.58787890625,-3.7095546875,-2.11775,4.14684765625,-1.467953125,-0.04107421875,-2.2197734375,0.3299609375,2.8600625,2.9583828125,5.96983203125,1.8834375
0.4179140625,-1.281140625,0.01597265625,-1.6594375,-0.80445703125,-2.58846484375,-2.8809375,-2.872265625,2.68054296875,-2.9163359375,-1.93159765625,0.2714921875,8.3539296875,-1.8186875,-4.28357421875,-4.76377734375,1.51921484375,1.6675234375,-2.33987890625,-3.4945546875,-2.16875,4.14184765625,-1.421953125,0.12992578125,-2.2157734375,0.0899609375,2.9280625,2.9503828125,5.89483203125,1.8564375
0.6239140625,-1.259140625,0.17397265625,-1.3624375,-0.44445703125,-2.09346484375,-2.3449375,-2.467265625,2.82054296875,-2.6063359375,-1.47959765625,0.6574921875,8.3219296875,-1.6436875,-3.92457421875,-4.35977734375,1.71421484375,1.7715234375,-2.03687890625,-3.1735546875,-2.10875,4.06484765625,-1.374953125,0.33592578125,-2.1447734375,-0.0960390625,3.0300625,2.9083828125,5.80683203125,1.8274375
0.8839140625,-1.179140625,0.39997265625,-1.0054375,-0.00245703124999999,-1.49246484375,-1.7299375,-2.028265625,2.98154296875,-2.1903359375,-0.89759765625,1.1034921875,8.3019296875,-1.3826875,-3.47957421875,-3.85877734375,2.03821484375,1.8935234375,-1.71987890625,-2.7605546875,-1.91875,3.86084765625,-1.326953125,0.56992578125,-1.9967734375,-0.1810390625,3.1690625,2.8083828125,5.72383203125,1.8154375
1.1329140625,-1.052140625,0.65897265625,-0.6544375,0.46454296875,-0.86346484375,-1.1179375,-1.604265625,3.14754296875,-1.7113359375,-0.25159765625,1.5634921875,8.2719296875,-1.0536875,-3.00657421875,-3.30677734375,2.43721484375,1.9875234375,-1.43187890625,-2.2995546875,-1.61275,3.51784765625,-1.279953125,0.80092578125,-1.7937734375,-0.1620390625,3.3190625,2.6473828125,5.66083203125,1.8284375
1.3119140625,-0.906140625,0.89697265625,-0.3644375,0.88654296875,-0.30346484375,-0.5789375,-1.228265625,3.28354296875,-1.2413359375,0.36140234375,1.9824921875,8.2169296875,-0.7186875,-2.57357421875,-2.76577734375,2.82921484375,2.0045234375,-1.21687890625,-1.8595546875,-1.23775,3.06984765625,-1.245953125,0.97992578125,-1.5817734375,-0.0790390625,3.4340625,2.4423828125,5.62283203125,1.8594375
1.3789140625,-0.781140625,1.05897265625,-0.1714375,1.18954296875,0.09153515625,-0.1649375,-0.937265625,3.35354296875,-0.8673359375,0.83840234375,2.3174921875,8.1389296875,-0.4616875,-2.24157421875,-2.29877734375,3.13621484375,1.9145234375,-1.10387890625,-1.5155546875,-0.85975,2.58584765625,-1.244953125,1.06492578125,-1.4147734375,0.000960937499999977,3.4610625,2.2183828125,5.59983203125,1.8894375
