"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
10.586046875,-3.15368359375,1.9549765625,-1.32969921875,-8.7642109375,-3.7061171875,-7.5851953125,7.0073515625,-2.45827734375,1.2510234375,-4.51221484375,-1.58879296875,0.71234765625,-4.44115625,-5.351125,-3.484828125,-3.15720703125,-5.36079296875,-7.3760078125,-4.14425,-5.9169375,-0.45675390625,-7.10798046875,-9.2943828125,-5.61337109375,-4.38469140625,-10.224640625,-5.41639453125,-11.87747265625,-3.4607109375
17.871046875,2.85131640625,5.5609765625,1.31930078125,-3.4262109375,-1.2681171875,2.6748046875,6.8913515625,-0.0832773437500001,3.6460234375,-2.81721484375,0.0592070312499998,1.46134765625,-4.00215625,-2.921125,-0.320828125,-0.54720703125,-3.67279296875,-5.8390078125,-1.41025,-1.7939375,0.24224609375,-4.93798046875,-7.7323828125,-3.82537109375,-3.71269140625,-7.261640625,-4.52939453125,-9.67147265625,-0.9237109375
20.747046875,6.47831640625,6.7049765625,2.43230078125,0.1277890625,0.6208828125,9.9518046875,5.9773515625,1.68872265625,5.2140234375,-1.26921484375,1.38820703125,2.09634765625,-3.25515625,-1.574125,1.407171875,1.23179296875,-2.37679296875,-4.8280078125,0.0027500000000007,0.9200625,0.79424609375,-3.42198046875,-6.8473828125,-3.02237109375,-3.61769140625,-5.304640625,-3.99739453125,-8.39447265625,0.2582890625
19.130046875,7.49731640625,5.2099765625,2.99130078125,2.3207890625,1.9608828125,14.0128046875,4.2823515625,2.89172265625,6.0180234375,-0.0652148437499998,2.44020703125,2.85134765625,-2.18115625,-1.323125,1.759171875,2.04079296875,-1.48679296875,-4.4110078125,0.0507500000000007,2.1740625,1.26724609375,-2.53298046875,-6.7013828125,-3.27937109375,-4.04369140625,-4.460640625,-3.82739453125,-8.04247265625,0.1722890625
14.771046875,6.43831640625,1.7549765625,4.19830078125,3.8477890625,2.8088828125,15.2048046875,2.1363515625,3.58572265625,6.2620234375,0.55178515625,3.22920703125,3.90134765625,-0.95415625,-1.913125,1.192171875,1.99679296875,-0.96879296875,-4.5310078125,-0.94525,2.2630625,1.73424609375,-2.08898046875,-7.1723828125,-4.36937109375,-4.74069140625,-4.579640625,-3.94339453125,-8.32847265625,-0.6957109375
10.571046875,4.27531640625,-2.3190234375,6.32130078125,4.9567890625,3.1278828125,13.9538046875,0.0813515624999996,3.70172265625,6.0550234375,0.37478515625,3.62820703125,5.12434765625,0.0718437499999998,-3.032125,0.235171875,1.42579296875,-0.82979296875,-5.0800078125,-2.51725,1.5760625,2.16224609375,-1.91498046875,-8.0383828125,-5.86637109375,-5.39669140625,-5.359640625,-4.24139453125,-8.85047265625,-1.7527109375
9.148046875,2.00231640625,-5.3980234375,8.41030078125,5.2347890625,2.7458828125,10.5558046875,-1.2936484375,3.09972265625,5.3200234375,-0.69321484375,3.41720703125,6.09134765625,0.46884375,-4.466125,-0.750828125,0.76079296875,-1.11979296875,-5.9590078125,-4.25525,0.4290625,2.40524609375,-1.93698046875,-9.0653828125,-7.31937109375,-5.77769140625,-6.452640625,-4.60539453125,-9.25947265625,-2.5517109375
11.430046875,0.341316406250001,-6.1340234375,9.06330078125,3.9927890625,1.4758828125,5.4018046875,-1.5506484375,1.75272265625,3.9080234375,-2.57421484375,2.45020703125,6.33634765625,-0.0691562500000003,-6.107125,-1.642828125,0.39679296875,-1.83579296875,-7.0750078125,-5.88125,-0.9479375,2.31324609375,-2.15398046875,-10.0553828125,-8.37837109375,-5.79569140625,-7.527640625,-4.88539453125,-9.34947265625,-2.8947109375
16.262046875,-0.28868359375,-3.9580234375,7.53230078125,0.8597890625,-0.6891171875,-0.6691953125,-0.553648437500001,-0.10927734375,1.8040234375,-4.95221484375,0.83320703125,5.67534765625,-1.54915625,-7.851125,-2.451828125,0.59679296875,-2.82279296875,-8.2960078125,-7.21025,-2.3159375,1.89624609375,-2.53798046875,-10.8443828125,-8.84237109375,-5.48369140625,-8.306640625,-4.90439453125,-9.06747265625,-2.8047109375
21.392046875,0.38231640625,0.7319765625,4.32730078125,-3.8632109375,-3.4401171875,-6.3161953125,1.4663515625,-2.04727734375,-0.7439765625,-7.30521484375,-1.02079296875,4.36634765625,-3.63415625,-9.498125,-3.172828125,1.42579296875,-3.77379296875,-9.4100078125,-8.07925,-3.3789375,1.37624609375,-2.96498046875,-11.2963828125,-8.64537109375,-4.92369140625,-8.601640625,-4.51839453125,-8.47647265625,-2.4237109375
