"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
9.187765625,0.6583125,5.02556640625,-2.345859375,-5.80862890625,-5.306140625,1.43226171875,7.48004296875,-4.45340625,-45.93308984375,-1.26301171875,1.0381875,-25.797984375,-4.9924296875,-2.54935546875,-0.38075,8.58973046875,-4.76435546875,-2.64149609375,-1.08928125,2.1904921875,3.576328125,-0.3686953125,-0.00399999999999956,4.26974609375,2.3919375,6.51878515625,7.1303359375,7.17002734375,0.500105468749999
6.255765625,0.2093125,4.30756640625,-5.996859375,-7.65462890625,-8.542140625,-3.38273828125,3.19404296875,-8.82240625,-47.86108984375,-4.52101171875,-2.0768125,-6.048984375,-8.6414296875,-4.70835546875,-2.51475,4.45073046875,-7.26035546875,-4.75749609375,-2.35428125,2.2984921875,3.773328125,-1.4106953125,-2.01,3.25674609375,0.9099375,4.76178515625,7.5043359375,6.39402734375,-0.486894531250001
4.616765625,-0.2236875,3.62256640625,-8.190859375,-8.92062890625,-10.733140625,-6.57373828125,0.21004296875,-11.60740625,-49.10508984375,-6.58401171875,-4.3628125,5.340015625,-10.9254296875,-6.16835546875,-3.89475,0.52373046875,-8.92135546875,-6.56149609375,-3.35728125,1.8674921875,3.493328125,-2.7336953125,-4.014,2.09974609375,-0.5850625,2.70778515625,6.9733359375,5.74202734375,-1.71389453125
4.231765625,-0.5346875,3.00056640625,-8.785859375,-9.43562890625,-11.695140625,-8.10573828125,-1.43795703125,-12.46940625,-49.55008984375,-7.39301171875,-5.7418125,8.317015625,-11.6944296875,-6.91035546875,-4.49175,-3.05226953125,-9.71735546875,-8.03649609375,-4.15528125,0.7894921875,2.490328125,-4.3666953125,-6.023,0.739746093749999,-2.1570625,0.289785156250001,5.3443359375,5.09702734375,-3.23889453125
4.697765625,-0.5876875,2.50156640625,-8.032859375,-9.17962890625,-11.507140625,-8.38873828125,-2.08095703125,-11.53440625,-49.27708984375,-7.21801171875,-6.3048125,5.412015625,-11.2024296875,-7.09835546875,-4.45875,-6.09626953125,-9.86835546875,-9.20649609375,-4.84628125,-0.8325078125,0.649328125,-6.2156953125,-7.972,-0.806253906250001,-3.8100625,-2.40921484375,2.7313359375,4.26202734375,-5.02889453125
5.518765625,-0.2876875,2.20056640625,-6.414859375,-8.30962890625,-10.458140625,-7.99473828125,-2.19195703125,-9.38640625,-48.53308984375,-6.48601171875,-6.2038125,0.227015624999999,-9.9844296875,-6.97235546875,-4.01875,-8.42826953125,-9.71135546875,-10.07649609375,-5.46828125,-2.6755078125,-1.889671875,-8.0936953125,-9.689,-2.40425390625,-5.4300625,-5.12821484375,-0.4406640625,3.04902734375,-6.94889453125
6.323765625,0.3533125,2.13756640625,-4.480859375,-7.12462890625,-8.950140625,-7.41873828125,-2.18995703125,-6.88740625,-47.64908984375,-5.59501171875,-5.6108125,-4.151984375,-8.6674296875,-6.74435546875,-3.36675,-9.93826953125,-9.57235546875,-10.62849609375,-5.96228125,-4.3005078125,-4.704671875,-9.7726953125,-10.945,-3.82425390625,-6.8060625,-7.49521484375,-3.5566640625,1.39202734375,-8.77289453125
6.906765625,1.2043125,2.27256640625,-2.744859375,-5.98862890625,-7.404140625,-6.99473828125,-2.35795703125,-4.90040625,-46.93108984375,-4.81501171875,-4.7428125,-6.144984375,-7.7744296875,-6.54735546875,-2.64575,-10.65626953125,-9.66135546875,-10.85249609375,-6.22528125,-5.3105078125,-7.201671875,-11.0576953125,-11.552,-4.82025390625,-7.7010625,-9.14921484375,-5.9956640625,-0.57197265625,-10.21989453125
7.201765625,2.0553125,2.48156640625,-1.593859375,-5.21362890625,-6.167140625,-6.87573828125,-2.84195703125,-3.99540625,-46.56008984375,-4.27301171875,-3.8838125,-5.827984375,-7.5774296875,-6.42235546875,-1.95875,-10.73426953125,-10.01435546875,-10.78049609375,-6.18028125,-5.4925078125,-8.802671875,-11.8386953125,-11.452,-5.24525390625,-7.9450625,-9.85021484375,-7.3186640625,-2.50297265625,-11.00089453125
7.269765625,2.6933125,2.63356640625,-1.186859375,-4.94562890625,-5.418140625,-7.03273828125,-3.63495703125,-4.26340625,-46.52308984375,-3.98401171875,-3.3068125,-4.385984375,-8.0154296875,-6.32735546875,-1.38775,-10.34426953125,-10.47635546875,-10.45949609375,-5.82128125,-4.8495078125,-9.136671875,-12.0786953125,-10.727,-5.10525390625,-7.4750625,-9.52321484375,-7.3656640625,-3.95397265625,-10.88189453125
