"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-4.793828125,-11.816265625,-21.511453125,1.70286328125,-5.9654140625,-4.2120078125,-17.66968359375,-8.83984375,-6.76969921875,-7.49961328125,-7.43534375,-8.79410546875,-8.6086484375,-9.24840234375,-5.91905078125,-2.87509375,-9.4570546875,-8.355234375,-9.22838671875,-8.46730078125,-0.17066796875,-8.50743359375,-4.76420703125,-5.82937890625,-5.84345703125,5.6848671875,-5.612125,-1.64376171875,-4.0656953125,-8.32329296875
-6.434828125,-10.887265625,-20.547453125,4.85286328125,-7.7424140625,-5.0520078125,-16.32368359375,-9.84584375,-9.10069921875,-9.03761328125,-7.35434375,-8.28210546875,-5.4676484375,-10.81840234375,-6.83605078125,-2.56209375,-9.8730546875,-8.230234375,-10.41138671875,-8.58130078125,-0.47466796875,-8.23843359375,-5.51120703125,-6.84237890625,-5.39145703125,5.5918671875,-5.269125,-1.53576171875,-2.3386953125,-4.08629296875
-9.841828125,-11.939265625,-21.770453125,6.81986328125,-9.4914140625,-5.9880078125,-15.51868359375,-10.77084375,-10.91669921875,-10.56861328125,-7.73734375,-8.22010546875,-3.4316484375,-12.08940234375,-8.01805078125,-3.06409375,-10.8320546875,-8.162234375,-11.61138671875,-9.39730078125,-1.51166796875,-7.82143359375,-6.40020703125,-8.11937890625,-5.80345703125,4.9978671875,-5.278125,-1.34276171875,-1.6116953125,-2.01729296875
-14.418828125,-14.605265625,-24.681453125,7.65986328125,-10.9754140625,-6.9430078125,-15.25268359375,-11.43484375,-12.14669921875,-11.90861328125,-8.51734375,-8.57110546875,-2.3116484375,-12.87940234375,-9.36205078125,-4.42809375,-12.1910546875,-8.211234375,-12.70938671875,-11.01130078125,-3.29166796875,-7.27643359375,-7.36720703125,-9.62837890625,-7.27545703125,3.6898671875,-5.688125,-1.15276171875,-1.8336953125,-2.18829296875
-18.858828125,-17.839265625,-28.007453125,7.76486328125,-11.9064140625,-7.7770078125,-15.41968359375,-11.62884375,-12.79069921875,-12.81761328125,-9.47534375,-9.15210546875,-1.6286484375,-13.05440234375,-10.65605078125,-6.43909375,-13.5660546875,-8.427234375,-13.54838671875,-13.31330078125,-5.59066796875,-6.72743359375,-8.28720703125,-11.23137890625,-9.74545703125,1.5708671875,-6.484125,-1.13376171875,-2.7006953125,-4.15129296875
-21.797828125,-20.494265625,-30.420453125,7.65886328125,-12.0584140625,-8.3430078125,-15.88668359375,-11.22284375,-12.84369921875,-13.10661328125,-10.37534375,-9.73910546875,-0.9666484375,-12.60340234375,-11.68905078125,-8.68809375,-14.5130546875,-8.798234375,-14.01938671875,-16.00330078125,-8.04666796875,-6.35343359375,-9.03220703125,-12.72337890625,-12.86345703125,-1.2571328125,-7.581125,-1.43576171875,-3.8526953125,-7.24229296875
-22.355828125,-21.787265625,-31.111453125,7.85386328125,-11.3174140625,-8.5270078125,-16.47468359375,-10.22284375,-12.27669921875,-12.70461328125,-11.06334375,-10.12110546875,-0.188648437499999,-11.66240234375,-12.33905078125,-10.67409375,-14.7060546875,-9.208234375,-14.10638671875,-18.64030078125,-10.26166796875,-6.28143359375,-9.49620703125,-13.88937890625,-16.05245703125,-4.4531328125,-8.790125,-2.08076171875,-4.9786953125,-10.72129296875
-20.394828125,-21.446265625,-29.938453125,8.67186328125,-9.7614140625,-8.3030078125,-16.97368359375,-8.75984375,-11.11169921875,-11.68961328125,-11.48734375,-10.14310546875,0.543351562500001,-10.47940234375,-12.60605078125,-11.92309375,-14.0280546875,-9.466234375,-13.87838671875,-20.72230078125,-11.88366796875,-6.48943359375,-9.61520703125,-14.55537890625,-18.64745703125,-7.4661328125,-9.846125,-2.92776171875,-5.8566953125,-13.85729296875
-16.506828125,-19.651265625,-27.296453125,10.06186328125,-7.7454140625,-7.7610078125,-17.20868359375,-7.05284375,-9.52669921875,-10.29161328125,-11.66134375,-9.72310546875,0.9123515625,-9.34040234375,-12.60505078125,-12.13009375,-12.5690546875,-9.397234375,-13.45438671875,-21.80930078125,-12.65866796875,-6.81543359375,-9.37320703125,-14.63337890625,-20.08245703125,-9.6691328125,-10.503125,-3.74776171875,-6.3936953125,-16.07929296875
-11.761828125,-16.912265625,-23.870453125,11.58086328125,-5.8694140625,-7.0980078125,-17.09268359375,-5.37084375,-7.90069921875,-8.85961328125,-11.64534375,-8.88110546875,0.634351562500001,-8.52140234375,-12.51205078125,-11.23309375,-10.5810546875,-8.938234375,-12.97138671875,-21.65430078125,-12.46266796875,-7.04343359375,-8.81920703125,-14.15437890625,-20.05445703125,-10.5731328125,-10.631125,-4.34276171875,-6.6356953125,-17.10429296875
