"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
12.33253125,8.58338671875,9.705453125,0.979351562500001,-1.775453125,-0.87338671875,4.39424609375,2.1171796875,2.43541015625,2.55482421875,2.0165546875,5.4984296875,-6.6084296875,-1.3249140625,1.44880859375,2.4738515625,8.45980859375,-6.1482890625,-1.7098515625,2.90663671875,3.20385546875,-12.402484375,-9.5551875,1.33737109375,4.24173046875,-8.88440234375,-6.752484375,-11.610734375,-7.06259765625,-5.45132421875
11.31153125,9.84638671875,11.367453125,0.828351562500001,-2.156453125,-0.63138671875,4.95224609375,-0.00182031250000003,1.25541015625,-0.776175781249999,1.5835546875,6.6384296875,-6.0334296875,-0.4969140625,0.55280859375,2.5818515625,9.82680859375,-4.4522890625,-1.1738515625,2.44763671875,5.81385546875,-11.974484375,-7.8441875,1.16637109375,5.47673046875,-7.43640234375,-3.995484375,-9.570734375,-5.44359765625,-3.44632421875
10.33253125,10.55638671875,12.377453125,0.9573515625,-2.789453125,-0.997386718750001,4.64424609375,-1.0738203125,0.30941015625,-3.43517578125,0.7925546875,6.9034296875,-5.5144296875,-0.2389140625,-0.53719140625,2.0808515625,9.56180859375,-3.2182890625,-1.0998515625,1.46763671875,6.63185546875,-11.616484375,-6.7351875,0.615371093749999,5.59073046875,-6.62340234375,-2.643484375,-8.296734375,-4.80159765625,-2.68032421875
9.34753125,10.58338671875,12.505453125,1.0953515625,-3.569453125,-1.89638671875,3.46724609375,-1.3048203125,-0.20358984375,-5.18717578125,-0.3514453125,6.2694296875,-5.2234296875,-0.4319140625,-1.72119140625,0.9298515625,7.45480859375,-2.4752890625,-1.4998515625,-0.0203632812499999,5.56685546875,-11.193484375,-6.2371875,-0.25862890625,4.60173046875,-6.30140234375,-2.707484375,-7.820734375,-5.10959765625,-3.08932421875
8.35153125,9.97038671875,11.724453125,0.822351562500001,-4.303453125,-3.07838671875,1.71124609375,-1.1958203125,-0.18958984375,-5.95317578125,-1.7274453125,4.9964296875,-5.3374296875,-0.7779140625,-2.83519140625,-0.7311484375,3.78680859375,-2.1722890625,-2.2678515625,-1.83136328125,3.11385546875,-10.532484375,-6.2241875,-1.30362890625,2.84273046875,-6.19240234375,-3.804484375,-7.980734375,-6.02559765625,-4.17532421875
7.42253125,8.92038671875,10.251453125,-0.198648437499999,-4.849453125,-4.28538671875,-0.18475390625,-1.1898203125,0.20141015625,-5.87017578125,-3.1574453125,3.4914296875,-5.9024296875,-1.0109140625,-3.75819140625,-2.6571484375,-0.78319140625,-2.2602890625,-3.2568515625,-3.71836328125,0.0988554687499999,-9.529484375,-6.5601875,-2.40062890625,0.73073046875,-6.09940234375,-5.411484375,-8.545734375,-7.09859765625,-5.27932421875
6.63253125,7.67638671875,8.444453125,-2.0626484375,-5.199453125,-5.36538671875,-1.82275390625,-1.4898203125,0.59341015625,-5.27717578125,-4.4734453125,2.1104296875,-6.7714296875,-1.0239140625,-4.47319140625,-4.5871484375,-5.39719140625,-2.7212890625,-4.3408515625,-5.49436328125,-2.68214453125,-8.206484375,-7.1511875,-3.55662890625,-1.43326953125,-5.99540234375,-7.101484375,-9.295734375,-7.94859765625,-5.87332421875
5.93653125,6.39338671875,6.642453125,-4.5696484375,-5.463453125,-6.29238671875,-2.98875390625,-2.1158203125,0.57541015625,-4.60417578125,-5.5634453125,1.0314296875,-7.6724296875,-0.8779140625,-5.04819140625,-6.3101484375,-9.19619140625,-3.5322890625,-5.4148515625,-7.09136328125,-4.75314453125,-6.688484375,-7.9311875,-4.88462890625,-3.54626953125,-5.98040234375,-8.654484375,-10.044734375,-8.36359765625,-5.76932421875
5.15453125,5.07538671875,5.054453125,-7.2846484375,-5.780453125,-7.12338671875,-3.69175390625,-3.0338203125,-0.0815898437500002,-4.21217578125,-6.3884453125,0.2294296875,-8.3454296875,-0.7219140625,-5.58719140625,-7.6881484375,-11.50619140625,-4.6282890625,-6.4008515625,-8.55236328125,-6.03514453125,-5.154484375,-8.8301875,-6.50162890625,-5.64726953125,-6.20640234375,-10.056484375,-10.642734375,-8.31059765625,-5.13832421875
4.05853125,3.63038671875,3.739453125,-9.7156484375,-6.260453125,-7.95138671875,-4.11375390625,-4.2258203125,-1.33858984375,-4.28317578125,-6.9864453125,-0.4555703125,-8.6574296875,-0.7179140625,-6.18219140625,-8.6761484375,-11.99519140625,-5.9122890625,-7.2628515625,-9.95336328125,-6.74114453125,-3.811484375,-9.7741875,-8.42162890625,-7.80526953125,-6.82740234375,-11.427484375,-10.987734375,-7.88459765625,-4.40532421875
2.50053125,1.96338671875,2.633453125,-11.5316484375,-6.972453125,-8.85438671875,-4.53075390625,-5.6838203125,-2.97058984375,-4.83017578125,-7.4554453125,-1.2285703125,-8.6294296875,-1.0079140625,-6.88419140625,-9.3251484375,-10.74719140625,-7.2982890625,-8.0308515625,-11.31936328125,-7.16014453125,-2.876484375,-10.6981875,-10.52362890625,-10.01326953125,-7.94740234375,-12.909484375,-11.056734375,-7.26559765625,-4.05432421875
0.52353125,0.0773867187499997,1.631453125,-12.6816484375,-7.927453125,-9.85138671875,-5.19675390625,-7.3608203125,-4.68358984375,-5.75917578125,-7.9134453125,-2.2485703125,-8.3854296875,-1.6879140625,-7.67819140625,-9.7431484375,-8.22619140625,-8.7372890625,-8.7898515625,-12.56136328125,-7.47514453125,-2.562484375,-11.5541875,-12.57162890625,-12.13126953125,-9.53140234375,-14.561484375,-10.917734375,-6.67359765625,-4.44832421875
-1.57446875,-1.85661328125,0.681453125,-13.3056484375,-9.043453125,-10.85438671875,-6.21875390625,-9.1158203125,-6.18758984375,-6.91517578125,-8.4164453125,-3.5375703125,-8.0684296875,-2.7649140625,-8.45719140625,-10.0301484375,-5.14719140625,-10.1882890625,-9.6138515625,-13.47336328125,-7.68614453125,-3.015484375,-12.2861875,-14.26962890625,-13.88326953125,-11.32040234375,-16.295484375,-10.714734375,-6.31259765625,-5.69332421875
-3.29246875,-3.51361328125,-0.153546875,-13.5476484375,-10.124453125,-11.66138671875,-7.45575390625,-10.6688203125,-7.22658984375,-8.09017578125,-8.8934453125,-4.9145703125,-7.8044296875,-4.1269140625,-9.01419140625,-10.1871484375,-2.25719140625,-11.5622890625,-10.4788515625,-13.79636328125,-7.64714453125,-4.216484375,-12.8061875,-15.31362890625,-14.90326953125,-12.83240234375,-17.875484375,-10.609734375,-6.30359765625,-7.58632421875
-4.13746875,-4.53261328125,-0.736546875,-13.4326484375,-10.901453125,-12.00438671875,-8.52075390625,-11.6498203125,-7.63158984375,-9.02817578125,-9.1354453125,-6.0205703125,-7.6924296875,-5.5449140625,-9.09819140625,-10.0871484375,-0.11019140625,-12.6912890625,-11.2148515625,-13.32336328125,-7.15414453125,-5.925484375,-12.9921875,-15.44162890625,-14.83526953125,-13.50240234375,-18.971484375,-10.735734375,-6.63459765625,-9.65932421875
-3.88146875,-4.67761328125,-0.949546875,-12.9176484375,-11.152453125,-11.65638671875,-8.92975390625,-11.7318203125,-7.38758984375,-9.49417578125,-8.8954453125,-6.4495703125,-7.8014296875,-6.7579140625,-8.51219140625,-9.5401484375,1.07180859375,-13.3782890625,-11.5698515625,-11.99236328125,-6.04314453125,-7.735484375,-12.7511875,-14.50162890625,-13.45926953125,-12.92640234375,-19.268484375,-11.155734375,-7.16859765625,-11.34032421875
-2.69246875,-3.94861328125,-0.753546875,-12.0166484375,-10.796453125,-10.55038671875,-8.32575390625,-10.7688203125,-6.64658984375,-9.35617578125,-8.0174453125,-5.9415703125,-8.1494296875,-7.5679140625,-7.22819140625,-8.4171484375,1.40880859375,-13.4952890625,-11.3268515625,-9.93836328125,-4.25014453125,-9.242484375,-12.1031875,-12.52662890625,-10.80226953125,-11.08540234375,-18.599484375,-11.860734375,-7.72359765625,-12.15632421875
-1.03346875,-2.55661328125,-0.158546875,-10.8646484375,-9.919453125,-8.83538671875,-6.66275390625,-8.8388203125,-5.65058984375,-8.63417578125,-6.5344453125,-4.5025703125,-8.6644296875,-7.9149140625,-5.42619140625,-6.7561484375,1.26980859375,-13.0652890625,-10.4408515625,-7.46136328125,-1.82614453125,-10.209484375,-11.2261875,-9.77762890625,-7.17226953125,-8.38540234375,-17.044484375,-12.766734375,-8.16259765625,-11.93332421875
0.56353125,-0.84261328125,0.787453125,-9.6826484375,-8.705453125,-6.82838671875,-4.23475390625,-6.2028203125,-4.62058984375,-7.48317578125,-4.6684453125,-2.3915703125,-9.2044296875,-7.8549140625,-3.43819140625,-4.7711484375,1.15880859375,-12.2582890625,-9.0748515625,-4.93036328125,1.06085546875,-10.633484375,-10.4041875,-6.70162890625,-3.08726953125,-5.45740234375,-14.904484375,-13.720734375,-8.43159765625,-10.85332421875
1.70953125,0.82138671875,1.959453125,-8.6876484375,-7.350453125,-4.89238671875,-1.57075390625,-3.2278203125,-3.68958984375,-6.15117578125,-2.7574453125,-0.00757031250000018,-9.6234296875,-7.4979140625,-1.63119140625,-2.7861484375,1.57080859375,-11.3122890625,-7.5568515625,-2.68636328125,4.12285546875,-10.664484375,-9.8971875,-3.82962890625,0.85073046875,-2.84240234375,-12.591484375,-14.528734375,-8.53359765625,-9.37232421875
2.25653125,2.08738671875,3.107453125,-8.0066484375,-6.023453125,-3.34138671875,0.73924609375,-0.3268203125,-2.90358984375,-4.92217578125,-1.1764453125,2.2424296875,-9.8464296875,-6.9589140625,-0.32119140625,-1.1581484375,2.80780859375,-10.4282890625,-6.2758515625,-0.99836328125,6.95185546875,-10.493484375,-9.8411875,-1.65862890625,4.08273046875,-0.817402343750001,-10.490484375,-15.036734375,-8.50559765625,-8.02732421875
2.28653125,2.69638671875,3.895453125,-7.6286484375,-4.881453125,-2.41038671875,2.20424609375,2.0871796875,-2.26658984375,-4.07217578125,-0.2674453125,4.0184296875,-9.8784296875,-6.3749140625,0.25580859375,-0.2151484375,4.78380859375,-9.6962890625,-5.5638515625,-0.0913632812499996,9.05085546875,-10.276484375,-10.2151875,-0.54662890625,6.16273046875,0.562597656249999,-8.885484375,-15.206734375,-8.40759765625,-7.23332421875
2.01453125,2.53838671875,4.037453125,-7.4396484375,-4.084453125,-2.23738671875,2.55824609375,3.6501796875,-1.77858984375,-3.81317578125,-0.2794453125,5.0724296875,-9.7544296875,-5.9149140625,-0.0331914062499998,-0.201148437500001,6.95980859375,-9.0882890625,-5.5978515625,-0.15336328125,9.95485546875,-10.123484375,-10.8851875,-0.63862890625,6.81973046875,1.31959765625,-7.923484375,-15.126734375,-8.32459765625,-7.13332421875
1.64653125,1.68738671875,3.458453125,-7.3066484375,-3.771453125,-2.83738671875,1.80924609375,4.1121796875,-1.44858984375,-4.23817578125,-1.2854453125,5.2724296875,-9.4594296875,-5.7589140625,-1.18519140625,-1.1991484375,8.53980859375,-8.5052890625,-6.3368515625,-1.27936328125,9.41185546875,-10.103484375,-11.6631875,-1.80962890625,6.01573046875,1.49359765625,-7.594484375,-14.915734375,-8.32759765625,-7.54132421875
1.29353125,0.40038671875,2.345453125,-7.1566484375,-3.997453125,-4.07538671875,0.23224609375,3.4201796875,-1.27858984375,-5.28217578125,-3.1394453125,4.6434296875,-8.9164296875,-6.0259140625,-3.02019140625,-3.0691484375,8.85980859375,-7.8482890625,-7.5208515625,-3.36336328125,7.51985546875,-10.232484375,-12.3551875,-3.67962890625,3.97673046875,1.19059765625,-7.746484375,-14.619734375,-8.42459765625,-8.03632421875
0.98353125,-0.94961328125,1.084453125,-6.9706484375,-4.672453125,-5.67738671875,-1.72075390625,1.7611796875,-1.25758984375,-6.71617578125,-5.4944453125,3.4004296875,-8.0324296875,-6.7179140625,-5.20019140625,-5.4651484375,7.74180859375,-7.1032890625,-8.7628515625,-6.04136328125,4.73285546875,-10.451484375,-12.8051875,-5.73462890625,1.14873046875,0.606597656249999,-8.147484375,-14.187734375,-8.54059765625,-8.16732421875
0.71853125,-1.98261328125,0.0834531250000001,-6.7366484375,-5.564453125,-7.30038671875,-3.54775390625,-0.4608203125,-1.36958984375,-8.21217578125,-7.8904453125,1.9154296875,-6.7904296875,-7.6949140625,-7.30719140625,-7.9231484375,5.58580859375,-6.3572890625,-9.6718515625,-8.76036328125,1.69585546875,-10.600484375,-12.9261875,-7.49862890625,-1.92826953125,-0.0704023437500005,-8.579484375,-13.524734375,-8.55059765625,-7.69732421875
