"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
2.2885546875,2.442734375,0.2632578125,-2.81291015625,-3.40082421875,-9.8293203125,0.90419140625,-6.94528125,-9.27609375,-3.1170390625,-1.594796875,0.47975,-4.22679296875,-4.3412109375,-6.679859375,-9.308203125,-0.86821484375,-13.98558203125,-10.725671875,-7.21358203125,-4.93274609375,-3.05465625,-3.76617578125,-8.2421875,-10.73027734375,10.924421875,-7.26348046875,-5.80013671875,1.64309375,-2.1293359375
-2.2334453125,0.908734375,1.1452578125,-3.25291015625,-3.13082421875,-7.1503203125,-0.66780859375,-6.20528125,-8.80109375,-3.0580390625,-1.220796875,1.60675,-3.03879296875,-2.9262109375,-5.198859375,-8.494203125,-0.37521484375,-12.60858203125,-7.112671875,-5.85458203125,-4.79274609375,-1.18665625,-2.13217578125,-5.9121875,-9.61427734375,12.273421875,-0.99248046875,-2.72113671875,4.60909375,0.9846640625
-5.1774453125,-0.364265625,1.6472578125,-3.72991015625,-3.17582421875,-5.7803203125,-1.98180859375,-5.37928125,-8.67909375,-3.0980390625,-1.074796875,2.17675,-2.04679296875,-2.0582109375,-4.340859375,-7.972203125,-0.86821484375,-11.56158203125,-5.015671875,-5.07058203125,-4.69774609375,0.05334375,-1.04617578125,-4.5041875,-8.93927734375,12.872421875,2.84351953125,-0.58513671875,6.79309375,3.2496640625
-6.3364453125,-1.305265625,1.6502578125,-4.14091015625,-3.52582421875,-5.6673203125,-2.77680859375,-4.45228125,-8.65609375,-3.2940390625,-1.073796875,2.33975,-1.45879296875,-1.7182109375,-4.208859375,-7.813203125,-2.09021484375,-10.79358203125,-4.440671875,-5.01858203125,-4.67874609375,0.75134375,-0.58217578125,-4.1291875,-8.78827734375,12.604421875,4.32151953125,0.58186328125,8.07209375,4.5976640625
-5.9994453125,-1.878265625,1.1682578125,-4.42791015625,-4.07782421875,-6.3903203125,-2.79780859375,-3.48428125,-8.40809375,-3.6400390625,-1.062796875,2.39175,-1.49479296875,-1.7082109375,-4.716859375,-7.997203125,-3.33021484375,-10.15658203125,-4.999671875,-5.67058203125,-4.74674609375,1.19034375,-0.66017578125,-4.6291875,-9.11127734375,11.583421875,4.19451953125,1.00186328125,8.52509375,5.2006640625
-4.8004453125,-2.075265625,0.3772578125,-4.67391015625,-4.68582421875,-7.4423203125,-1.94580859375,-2.62028125,-7.85009375,-4.0320390625,-0.924796875,2.52875,-2.21979296875,-1.7992109375,-5.647859375,-8.414203125,-3.81121484375,-9.54758203125,-6.197671875,-6.80358203125,-4.89374609375,1.63334375,-1.11917578125,-5.6881875,-9.76827734375,10.098421875,3.35851953125,0.96286328125,8.33909375,5.3266640625
-3.4654453125,-1.932265625,-0.4457421875,-5.07691015625,-5.21682421875,-8.4643203125,-0.42980859375,-2.03428125,-7.25609375,-4.3300390625,-0.658796875,2.69175,-3.36679296875,-1.8892109375,-6.753859375,-8.926203125,-3.13321484375,-9.03858203125,-7.638671875,-8.08358203125,-5.10474609375,2.14934375,-1.81917578125,-6.9691875,-10.58427734375,8.503421875,2.45751953125,0.64086328125,7.68309375,5.1746640625
-2.5464453125,-1.548265625,-1.0417421875,-5.80091015625,-5.57882421875,-9.3133203125,1.22819140625,-1.86028125,-7.09609375,-4.4520390625,-0.371796875,2.63675,-4.36279296875,-2.0762109375,-7.833859375,-9.423203125,-1.49321484375,-8.86758203125,-9.049671875,-9.19358203125,-5.34474609375,2.60434375,-2.69117578125,-8.2031875,-11.37627734375,7.116421875,1.79751953125,0.0408632812499997,6.65609375,4.7976640625
-2.2494453125,-1.047265625,-1.2577421875,-6.84991015625,-5.72282421875,-9.9933203125,2.37619140625,-2.11828125,-7.70809375,-4.4180390625,-0.193796875,2.14375,-4.61279296875,-2.5642109375,-8.734859375,-9.825203125,0.45178515625,-9.27258203125,-10.208671875,-9.90258203125,-5.53974609375,2.82034375,-3.67917578125,-9.1771875,-11.93827734375,6.163421875,1.45651953125,-0.88613671875,5.33809375,4.1486640625
-2.4074453125,-0.509265625,-1.0787421875,-8.02991015625,-5.62882421875,-10.5273203125,2.53519140625,-2.68428125,-9.05209375,-4.3060390625,-0.179796875,1.20375,-3.87479296875,-3.4542109375,-9.299859375,-10.045203125,1.94578515625,-10.25558203125,-10.902671875,-10.07858203125,-5.55674609375,2.77234375,-4.63217578125,-9.6931875,-12.04027734375,5.788421875,1.42351953125,-2.07413671875,3.89509375,3.2266640625
