"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
10.585953125,5.29343359375,3.1512109375,3.633859375,17.068015625,11.83992578125,0.545742187500001,-11.75970703125,5.77715234375,7.29075390625,6.57596875,3.04323046875,7.8252578125,3.67288671875,3.267125,3.6216953125,4.1620859375,2.98112109375,-0.2847734375,-1.2160859375,-4.36671875,-12.09525,-2.11916015625,-6.8392890625,-2.41597265625,1.37433984375,3.292765625,-1.00988671875,-0.34458203125,10.20506640625
13.071953125,6.75743359375,4.7502109375,5.612859375,19.025015625,12.39492578125,2.4487421875,-8.60970703125,9.49015234375,10.35475390625,7.62296875,3.76323046875,10.9642578125,7.87488671875,4.649125,4.2686953125,6.2520859375,8.84112109375,2.8512265625,0.0459140624999987,-0.802718749999999,-4.16725,2.69983984375,-4.3362890625,-1.27197265625,2.02233984375,5.683765625,1.20111328125,2.87641796875,8.89906640625
14.359953125,7.71843359375,5.3422109375,6.472859375,20.151015625,12.86292578125,2.7947421875,-7.64470703125,11.87715234375,12.17975390625,8.13596875,3.62723046875,13.3272578125,11.30488671875,5.796125,4.1806953125,7.6800859375,12.81112109375,5.6672265625,0.940914062499999,0.757281250000001,1.76175,6.30983984375,-1.7252890625,-0.80397265625,0.49133984375,7.770765625,2.70511328125,5.28141796875,8.03706640625
14.440953125,8.11243359375,4.9482109375,6.235859375,20.158015625,13.21292578125,2.0017421875,-8.84570703125,12.76415234375,12.72975390625,8.18696875,2.66723046875,14.6602578125,13.70188671875,6.722125,3.3976953125,8.1230859375,14.70212109375,8.0172265625,1.5329140625,0.56128125,5.19375,8.44083984375,0.8087109375,-0.93997265625,-2.84566015625,9.422765625,3.55911328125,6.86541796875,7.80806640625
13.826953125,8.12643359375,4.0672109375,5.418859375,19.067015625,13.50492578125,1.0677421875,-11.38770703125,12.50715234375,12.43075390625,8.07996875,1.29923046875,15.0322578125,15.07688671875,7.548125,2.3126953125,7.4700859375,14.98212109375,9.8432265625,2.0709140625,-0.37571875,6.20275,9.20583984375,3.0237109375,-1.30597265625,-6.68066015625,10.530765625,3.97711328125,7.84741796875,8.39006640625
13.371953125,8.14443359375,3.4572109375,4.809859375,17.229015625,13.90392578125,0.960742187500001,-14.01570703125,11.87615234375,11.95775390625,8.20996875,0.20623046875,14.8892578125,15.74988671875,8.438125,1.5536953125,6.0000859375,14.54612109375,11.2002265625,2.8709140625,-0.77671875,5.40875,9.06283984375,4.7577109375,-1.39997265625,-9.36466015625,11.002765625,4.12311328125,8.49341796875,9.85306640625
13.857953125,8.54943359375,3.6972109375,5.058859375,15.181015625,14.60592578125,2.0347421875,-15.56770703125,11.65615234375,11.90575390625,8.85196875,0.0552304687500005,14.8332578125,16.18788671875,9.475125,1.7016953125,4.3500859375,14.25212109375,12.1792265625,4.1169140625,0.26328125,3.68775,8.57883984375,5.9427109375,-0.87197265625,-9.66066015625,10.709765625,3.90911328125,8.88741796875,11.98306640625
15.546953125,9.47743359375,4.8552109375,6.300859375,13.496015625,15.68892578125,3.8617421875,-15.39970703125,12.20815234375,12.49675390625,10.00796875,1.17523046875,15.2682578125,16.70488671875,10.573125,2.9756953125,3.2760859375,14.47112109375,12.7752265625,5.6819140625,2.81528125,1.74575,8.10283984375,6.5187109375,0.21402734375,-7.31166015625,9.442765625,2.96511328125,8.80341796875,14.18506640625
18.016953125,10.74843359375,6.4972109375,8.077859375,12.716015625,17.04392578125,5.5367421875,-13.54970703125,13.29415234375,13.53275390625,11.41296875,3.37023046875,16.2232578125,17.29088671875,11.497125,5.0906953125,3.3660859375,14.94012109375,12.8582265625,7.1309140625,6.08528125,-0.16925,7.60183984375,6.3497109375,1.36302734375,-3.09266015625,6.970765625,0.81411328125,7.77741796875,15.63306640625
20.422953125,12.02743359375,8.0352109375,9.658859375,13.280015625,18.45892578125,6.2257421875,-10.61870703125,14.34115234375,14.61975390625,12.70396875,6.01523046875,17.4982578125,17.71988671875,12.029125,7.4066953125,4.8570859375,15.04012109375,12.3222265625,7.9459140625,8.87228125,-2.20625,6.79983984375,5.2937109375,1.90702734375,1.67933984375,3.231765625,-2.78788671875,5.38941796875,15.61706640625
