"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-16.32660546875,-19.64984765625,-3.8633671875,-23.00205078125,-38.0600390625,-28.84684765625,-27.84123828125,-7.3299296875,-31.12979296875,-23.75659375,-23.0444609375,6.1349921875,-30.17319140625,-25.30057421875,-22.5476875,-7.63737109375,-11.27123046875,-20.08174609375,-17.66769140625,-9.63075,-4.019796875,-14.30967578125,-14.4268984375,0.60723046875,-2.4765,-2.17639453125,-6.415359375,-4.35880859375,-3.34296875,9.0163515625
-13.55360546875,-16.93884765625,-2.1063671875,-19.06105078125,-33.3780390625,-21.65084765625,-24.15023828125,-6.0279296875,-29.90879296875,-21.45059375,-20.0324609375,5.8439921875,-23.88519140625,-24.61157421875,-18.4406875,-8.27137109375,-1.15723046875,-23.68974609375,-14.61169140625,-8.05675,-6.906796875,-20.15867578125,-15.4348984375,0.62823046875,-2.9865,1.29860546875,-3.771359375,-2.83180859375,0.583031250000001,10.0293515625
-10.86060546875,-15.14584765625,-1.3743671875,-14.84705078125,-29.5800390625,-16.54284765625,-21.71523828125,-4.8449296875,-27.35079296875,-19.27259375,-17.4884609375,4.7489921875,-20.28119140625,-24.18557421875,-15.5816875,-9.39237109375,6.67376953125,-26.45274609375,-14.01469140625,-8.04775,-9.569796875,-24.27567578125,-17.0948984375,-0.68476953125,-4.8685,3.64560546875,-3.032359375,-2.48480859375,2.29703125,10.0433515625
-8.34160546875,-14.21484765625,-1.6813671875,-10.14705078125,-26.4850390625,-13.53284765625,-20.37423828125,-3.6639296875,-23.58479296875,-17.27659375,-15.3704609375,2.9289921875,-19.15919140625,-23.89157421875,-13.9976875,-10.87837109375,12.84776953125,-28.03574609375,-15.65469140625,-9.39375,-11.547796875,-26.23267578125,-19.1188984375,-2.93976953125,-7.8415,4.83160546875,-4.035359375,-3.07880859375,1.85903125,9.1123515625
-6.34660546875,-13.85384765625,-2.7453671875,-5.13905078125,-23.7750390625,-12.18984765625,-19.64523828125,-2.4029296875,-19.24579296875,-15.56959375,-13.5874609375,0.8069921875,-19.61419140625,-23.50857421875,-13.4526875,-12.38237109375,17.85976953125,-28.33974609375,-18.53969140625,-11.39875,-12.378796875,-26.07867578125,-20.9598984375,-5.30076953125,-11.1045,5.05660546875,-6.037359375,-4.04280859375,-0.0389687499999987,7.5313515625
-5.42060546875,-13.74184765625,-4.0673671875,-0.53805078125,-21.3090390625,-11.99784765625,-19.09223828125,-1.1199296875,-15.19379296875,-14.29259375,-12.1454609375,-0.965007812500001,-20.61119140625,-22.87857421875,-13.6736875,-13.49237109375,20.97876953125,-27.59674609375,-21.48669140625,-13.30275,-11.888796875,-24.36067578125,-22.1378984375,-7.03176953125,-13.7665,4.55260546875,-8.189359375,-4.91080859375,-2.52896875,5.5983515625
-5.93960546875,-13.65884765625,-5.0033671875,2.70994921875,-19.1760390625,-12.46784765625,-18.53423828125,0.0460703125000002,-12.20179296875,-13.53459375,-11.1774609375,-1.7370078125,-21.28119140625,-21.97657421875,-14.4236875,-13.90637109375,20.41976953125,-26.25374609375,-23.58369140625,-14.60175,-10.315796875,-21.89767578125,-22.4718984375,-7.84976953125,-15.2375,3.54660546875,-9.908359375,-5.59880859375,-4.95496875,3.4873515625
-7.72360546875,-13.45384765625,-4.9193671875,3.94394921875,-17.5670390625,-13.17384765625,-18.05123828125,0.9420703125,-10.70679296875,-13.23959375,-10.8384609375,-1.1320078125,-20.95919140625,-20.85857421875,-15.4536875,-13.53237109375,14.63576953125,-24.70474609375,-24.40669140625,-15.13175,-8.185796875,-19.39267578125,-22.0798984375,-7.89576953125,-15.3815,2.34360546875,-11.002359375,-6.36080859375,-7.03196875,1.3063515625
-9.95760546875,-12.98784765625,-3.4663671875,3.16794921875,-16.6180390625,-13.82284765625,-17.83523828125,1.4600703125,-10.68079296875,-13.19859375,-11.1874609375,0.7319921875,-19.25019140625,-19.53657421875,-16.4716875,-12.49037109375,3.61076953125,-23.06274609375,-24.00569140625,-14.98075,-6.047796875,-17.13867578125,-21.2138984375,-7.45176953125,-14.4395,1.35660546875,-11.589359375,-7.52080859375,-8.79896875,-0.793648437499999
-11.47360546875,-12.12684765625,-0.8313671875,1.10094921875,-16.2660390625,-14.21084765625,-17.97023828125,1.5740703125,-11.64579296875,-13.10759375,-12.1154609375,3.2599921875,-16.17719140625,-17.93857421875,-17.1476875,-11.02937109375,-10.78623046875,-21.15474609375,-22.72469140625,-14.34775,-4.265796875,-14.99267578125,-20.0888984375,-6.67976953125,-12.8565,0.97060546875,-11.954359375,-9.19980859375,-10.44996875,-2.5886484375
