"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
15.524234375,11.64780859375,15.005265625,9.0957421875,4.66480859375,13.86520703125,18.22683984375,-3.661109375,12.053453125,14.21534375,15.24608984375,9.6476328125,9.66394921875,6.6907421875,9.693859375,13.94645703125,8.885515625,4.963125,13.33501171875,12.78909375,9.96549609375,9.784203125,8.9405703125,11.19969921875,10.8746953125,-2.27596875,15.048765625,4.710171875,8.97722265625,14.28021875
7.763234375,4.38780859375,8.652265625,3.0027421875,-1.69419140625,5.93820703125,12.69483984375,-6.435109375,3.856453125,6.73234375,10.43408984375,8.3376328125,4.48794921875,0.5377421875,4.557859375,12.19845703125,6.540515625,0.0971250000000001,8.39701171875,9.03809375,7.30349609375,1.738203125,2.5815703125,5.19669921875,4.2346953125,-3.30896875,8.032765625,-2.120828125,1.98122265625,6.65521875
3.571234375,0.61980859375,5.799265625,-0.4842578125,-4.86519140625,1.42820703125,9.22583984375,-6.417109375,-0.237546875,3.59434375,7.64408984375,8.1526328125,2.32594921875,-0.8852578125,2.841859375,11.37545703125,6.355515625,-0.981875,7.29601171875,7.60409375,6.21949609375,-2.987796875,0.0885703125000008,2.36769921875,0.1726953125,-3.41896875,3.809765625,-6.532828125,-2.36777734375,1.92721875
3.397234375,0.51980859375,6.359265625,-1.0372578125,-4.46919140625,0.63720703125,8.07983984375,-3.975109375,-0.0145468750000006,4.87334375,6.77208984375,8.7696328125,2.98694921875,2.1437421875,4.300859375,10.89545703125,7.875515625,1.323125,9.72901171875,8.11909375,6.23949609375,-4.208796875,1.2375703125,2.53069921875,-1.3943046875,-2.92496875,2.378765625,-8.416828125,-4.06077734375,0.21321875
6.577234375,3.13280859375,9.048265625,0.9137421875,-1.20119140625,2.82620703125,8.92683984375,-0.451109375,3.443453125,9.14134375,7.06408984375,9.5606328125,5.34994921875,7.6507421875,7.418859375,9.82545703125,9.982515625,5.291125,14.02701171875,9.38309375,6.41949609375,-2.702796875,4.4925703125,4.46769921875,-1.2593046875,-2.33196875,2.927765625,-8.266828125,-3.82677734375,0.81321875
11.557234375,6.81380859375,12.021265625,4.3827421875,3.40780859375,6.53620703125,10.99283984375,2.583890625,8.282453125,14.08334375,7.52008984375,9.9896328125,8.02494921875,12.8947421875,10.125859375,7.47045703125,11.602515625,8.799125,17.97401171875,10.01909375,5.96349609375,0.232203125,7.7875703125,6.58969921875,-0.4133046875,-1.93596875,4.344765625,-6.788828125,-2.67277734375,2.63521875
16.354234375,9.85980859375,13.628265625,8.1217421875,7.52580859375,10.07720703125,13.28083984375,4.029890625,12.527453125,17.38234375,7.30908984375,9.7996328125,9.91294921875,15.4627421875,10.666859375,3.79645703125,12.186515625,10.216125,19.73201171875,9.10009375,4.63549609375,3.266203125,9.3955703125,7.60469921875,0.3566953125,-1.69496875,5.651765625,-4.660828125,-1.48577734375,4.58921875
19.266234375,11.13380859375,13.076265625,10.9577421875,9.67280859375,12.10520703125,14.88983984375,3.634890625,14.689453125,17.59534375,6.10708984375,9.0226328125,10.51594921875,14.1907421875,8.341859375,-0.46654296875,11.838515625,9.000125,18.54001171875,6.54109375,2.81749609375,5.458203125,8.5745703125,6.97669921875,0.6896953125,-1.31896875,6.295765625,-2.428828125,-0.78877734375,5.88521875
19.546234375,10.46380859375,10.740265625,12.1427421875,9.23280859375,12.11620703125,15.33283984375,1.992890625,14.201453125,14.71234375,4.24508984375,7.9226328125,9.97894921875,9.5847421875,3.811859375,-4.04854296875,11.175515625,5.847125,14.96201171875,3.15009375,1.30249609375,6.520203125,5.8175703125,5.04869921875,0.7056953125,-0.42496875,6.259765625,-0.467828125,-0.63777734375,6.22921875
17.647234375,8.62680859375,7.918265625,11.5837421875,6.62380859375,10.54020703125,14.67783984375,0.151890625000001,11.518453125,10.06634375,2.51908984375,6.8586328125,8.88794921875,3.5237421875,-1.229140625,-5.63754296875,10.974515625,2.328125,10.55601171875,0.27009375,0.91749609375,6.786203125,2.5525703125,2.79769921875,0.8536953125,1.25003125,5.932765625,1.031171875,-0.71177734375,5.80621875
14.862234375,6.84580859375,6.110265625,9.8147421875,3.02480859375,8.34620703125,13.36483984375,-0.969109374999999,7.802453125,5.59434375,1.69408984375,6.0566328125,7.88194921875,-1.6702578125,-4.901140625,-4.49354296875,11.742515625,0.131125,7.08301171875,-0.84590625,2.11149609375,6.884203125,0.405570312500001,1.30469921875,1.5936953125,3.63003125,5.811765625,2.038171875,-0.56177734375,5.06721875
12.595234375,6.07080859375,6.188265625,7.7227421875,-0.22519140625,6.40020703125,11.81983984375,-1.045109375,4.384453125,2.86134375,1.98708984375,5.4656328125,7.33694921875,-4.2752578125,-6.041140625,-0.84354296875,13.459515625,0.297125,5.68801171875,0.37509375,4.70449609375,7.339203125,0.418570312500001,1.25969921875,3.0836953125,6.20003125,6.206765625,2.662171875,0.14322265625,4.46521875
11.718234375,6.45180859375,7.943265625,6.1787421875,-2.24619140625,5.01020703125,10.17583984375,-0.419109375,2.284453125,2.37034375,2.89408984375,4.8446328125,7.30794921875,-3.7862578125,-4.703140625,4.14945703125,15.629515625,2.835125,6.48401171875,3.57609375,7.94949609375,8.329203125,2.6355703125,2.72469921875,5.0716953125,8.17903125,7.132765625,3.117171875,1.48822265625,4.30421875
12.243234375,7.29380859375,10.198265625,5.7287421875,-2.91619140625,3.85520703125,8.24983984375,0.193890625,1.962453125,3.46234375,3.43108984375,3.9656328125,7.65194921875,-0.9232578125,-2.052140625,8.82445703125,17.549515625,6.821125,8.65101171875,7.63109375,10.83649609375,9.625203125,6.1765703125,5.16969921875,6.9836953125,8.85803125,8.342765625,3.589171875,3.27422265625,4.66321875
13.384234375,7.49080859375,11.379265625,6.4187421875,-2.76919140625,2.26820703125,5.76883984375,0.109890625,3.268453125,4.76834375,2.62408984375,2.7566328125,8.18494921875,2.8197421875,0.216859375,11.62445703125,18.570515625,10.834125,10.91201171875,11.07309375,12.43449609375,10.654203125,9.6575703125,7.67969921875,8.1326953125,7.90503125,9.401765625,4.027171875,5.03522265625,5.35321875
