"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-46.40183984375,15.8862734375,3.23715234375,14.3477734375,34.61090625,35.750609375,62.48594921875,58.84134375,-48.6700703125,28.6525546875,35.14202734375,10.09117578125,-13.915203125,-10.39398046875,17.9346328125,40.51903515625,35.9418125,-68.29351171875,9.05755078125,15.4088125,-23.1659765625,-29.924375,-31.47629296875,-3.7644609375,-11.578171875,-20.503203125,-35.87987109375,-0.669992187499998,-9.531828125,0.0631796874999999
-47.50083984375,12.0192734375,-3.46984765625,11.1297734375,33.22590625,32.906609375,57.30494921875,57.98734375,-46.1510703125,25.3575546875,29.25802734375,6.56917578125,-19.751203125,-13.83698046875,10.4526328125,33.57503515625,38.0668125,-74.59651171875,1.19455078125,5.7208125,-27.4069765625,-37.076375,-39.31729296875,-13.3234609375,-22.567171875,-22.952203125,-43.69287109375,-8.6859921875,-16.287828125,-4.6668203125
-48.55383984375,7.4612734375,-8.46884765625,8.02177343749999,26.49490625,26.551609375,48.79794921875,54.49234375,-45.7450703125,18.1395546875,20.71702734375,0.855175781250004,-24.150203125,-20.42498046875,1.7406328125,24.88803515625,36.8538125,-80.96051171875,-6.58444921875,-4.0651875,-32.7009765625,-41.938375,-46.30329296875,-21.5914609375,-32.179171875,-26.056203125,-49.18887109375,-13.7069921875,-20.388828125,-8.0218203125
-49.66383984375,2.9082734375,-11.09684765625,5.64177343749999,15.73090625,17.361609375,37.56994921875,48.93834375,-47.2870703125,8.1115546875,10.08802734375,-6.63582421875,-27.106203125,-29.21298046875,-7.3383671875,14.96603515625,32.0418125,-86.77251171875,-13.53444921875,-13.1421875,-38.8819765625,-44.184375,-51.89929296875,-27.8194609375,-39.659171875,-29.650203125,-51.85287109375,-15.4159921875,-21.573828125,-9.6588203125
-50.74883984375,-0.5167265625,-11.12984765625,4.80777343749999,4.68790625,7.547609375,25.64494921875,42.83034375,-49.6070703125,-1.7734453125,-0.84497265625,-14.65982421875,-28.799203125,-37.66598046875,-15.0953671875,5.17103515625,24.4028125,-91.01251171875,-18.54544921875,-20.3151875,-45.3449765625,-43.952375,-55.50029296875,-31.3234609375,-44.386171875,-33.264203125,-51.69187109375,-14.2349921875,-20.312828125,-9.5408203125
-51.39883984375,-1.8587265625,-8.92384765625,6.16477343749999,-2.24009375,-0.198390625000002,15.39594921875,37.68334375,-50.8900703125,-8.1454453125,-9.87697265625,-21.84682421875,-29.188203125,-42.78198046875,-19.7573671875,-2.85396484375,15.3878125,-92.59851171875,-20.54544921875,-24.4891875,-51.2599765625,-41.570375,-56.54129296875,-31.6824609375,-46.077171875,-36.269203125,-49.13187109375,-10.9509921875,-17.444828125,-7.8838203125
-50.97483984375,-0.8507265625,-5.47484765625,9.84877343749999,-2.17209375,-3.986390625,8.32094921875,34.18334375,-49.3990703125,-8.8524453125,-15.35497265625,-27.39082421875,-27.898203125,-42.46498046875,-20.2693671875,-7.85796484375,6.6468125,-90.83051171875,-18.95944921875,-25.1571875,-55.8099765625,-37.387375,-54.69329296875,-28.9104609375,-44.902171875,-38.036203125,-44.83687109375,-6.3579921875,-13.782828125,-5.0378203125
-48.86083984375,1.9402734375,-2.28584765625,15.3717734375,4.90090625,-3.562390625,4.38894921875,31.92534375,-44.2790703125,-3.9394453125,-16.84297265625,-31.34782421875,-24.512203125,-36.43998046875,-16.7503671875,-9.41396484375,-0.412187499999998,-85.72951171875,-13.98944921875,-22.6141875,-58.3949765625,-31.790375,-50.04729296875,-23.4964609375,-41.435171875,-38.112203125,-39.52487109375,-1.0759921875,-9.868828125,-1.3958203125
-44.75283984375,5.3702734375,-1.00284765625,21.7717734375,16.25890625,-0.291390625000002,2.29394921875,29.74434375,-36.0290703125,4.5035546875,-15.18997265625,-34.41382421875,-19.022203125,-26.26398046875,-10.4023671875,-7.96096484375,-4.9361875,-78.08351171875,-6.58044921875,-17.8331875,-58.7679765625,-25.333375,-43.18529296875,-16.2904609375,-36.495171875,-36.382203125,-33.83287109375,4.4420078125,-5.970828125,2.6471796875
-38.95283984375,8.2202734375,-2.84884765625,27.9507734375,27.93690625,3.629609375,0.36994921875,26.35234375,-26.3430703125,13.4785546875,-11.99997265625,-37.36682421875,-12.021203125,-14.53798046875,-2.9603671875,-4.49296484375,-6.7331875,-69.20251171875,1.89255078125,-12.0641875,-57.0909765625,-18.807375,-35.07029296875,-8.2784609375,-30.910171875,-33.147203125,-28.24187109375,9.8200078125,-2.241828125,6.6901796875
