"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-33.969,-14.10291015625,-33.94965234375,-11.3303046875,-15.4769453125,-9.05987109375,-14.2711015625,-10.7279375,-16.1518359375,-25.0358984375,-21.79616015625,-16.4793671875,-18.7422265625,-17.6697421875,-37.45901171875,-25.93890234375,5.242046875,-15.4834140625,-27.90201953125,-33.85208984375,-15.02338671875,-15.4586640625,-23.4659609375,-35.9231640625,-18.69047265625,-17.763796875,-23.63957421875,-17.12807421875,-7.85836328125,-28.11124609375
-27.763,-16.96191015625,-38.73765234375,-12.8053046875,-13.9229453125,-8.46587109375,-14.5791015625,-9.2239375,-15.3148359375,-24.8818984375,-22.62716015625,-17.3423671875,-20.3482265625,-16.8297421875,-37.04401171875,-24.18090234375,5.747046875,-15.5634140625,-27.19501953125,-32.71208984375,-15.13138671875,-15.3546640625,-22.3839609375,-34.6501640625,-18.00747265625,-16.447796875,-23.62457421875,-17.02207421875,-8.23836328125,-28.06324609375
-23.436,-18.23291015625,-40.78665234375,-13.8263046875,-12.4339453125,-7.33387109375,-13.9611015625,-8.0079375,-14.4308359375,-24.0718984375,-22.25016015625,-17.3843671875,-21.0762265625,-15.6537421875,-36.18301171875,-22.37290234375,6.606046875,-15.4424140625,-26.04801953125,-31.18908984375,-14.65238671875,-15.4926640625,-21.4039609375,-33.0971640625,-16.92047265625,-15.330796875,-23.33457421875,-17.17407421875,-8.67736328125,-28.71924609375
-21.041,-18.08191015625,-40.19765234375,-14.1463046875,-11.0179453125,-5.76787109375,-12.6181015625,-7.1019375,-13.4618359375,-22.7118984375,-20.83216015625,-16.6843671875,-20.6042265625,-14.2157421875,-34.88401171875,-20.65290234375,7.662046875,-15.1134140625,-24.54001953125,-29.31708984375,-13.71738671875,-15.8476640625,-20.5929609375,-31.3851640625,-15.57247265625,-14.613796875,-22.78957421875,-17.52007421875,-9.20736328125,-30.11424609375
-20.134,-17.18891015625,-37.94065234375,-13.6323046875,-9.7209453125,-4.09187109375,-11.1101015625,-6.5019375,-12.4238359375,-21.1338984375,-18.96116015625,-15.6033671875,-18.8672265625,-12.7787421875,-33.30901171875,-19.23390234375,8.598046875,-14.6344140625,-22.94201953125,-27.30308984375,-12.68538671875,-16.2946640625,-20.0169609375,-29.7781640625,-14.29347265625,-14.477796875,-22.12557421875,-17.88007421875,-9.83036328125,-32.03924609375
-20.125,-16.35791015625,-35.37565234375,-12.3533046875,-8.6589453125,-2.72987109375,-10.0721015625,-6.2519375,-11.4398359375,-19.7398984375,-17.36416015625,-14.6193671875,-16.1842265625,-11.7137421875,-31.73501171875,-18.36190234375,9.093046875,-14.1184140625,-21.61501953125,-25.47508984375,-11.96638671875,-16.6786640625,-19.7339609375,-28.5711640625,-13.46847265625,-14.984796875,-21.55857421875,-18.05507421875,-10.50136328125,-34.14024609375
-20.55,-16.16591015625,-33.71665234375,-10.6033046875,-7.9959453125,-2.04887109375,-9.9241015625,-6.4489375,-10.7098359375,-18.8588984375,-16.60816015625,-14.1573671875,-13.2212265625,-11.3277421875,-30.47701171875,-18.23790234375,8.955046875,-13.6874140625,-20.85701953125,-24.18108984375,-11.84738671875,-16.8826640625,-19.7679609375,-27.9681640625,-13.37447265625,-16.030796875,-21.29657421875,-17.93507421875,-11.12736328125,-36.02924609375
-21.143,-16.76191015625,-33.61065234375,-8.8323046875,-7.8509453125,-2.22587109375,-10.7031015625,-7.1549375,-10.3918359375,-18.6438984375,-16.89416015625,-14.4593671875,-10.7462265625,-11.6837421875,-29.75901171875,-18.90490234375,8.175046875,-13.4154140625,-20.75301953125,-23.62208984375,-12.38438671875,-16.8416640625,-20.0649609375,-27.9671640625,-14.02547265625,-17.374796875,-21.41357421875,-17.52407421875,-11.57036328125,-37.35024609375
-21.746,-17.86191015625,-34.93365234375,-7.4983046875,-8.2009453125,-3.15487109375,-12.0641015625,-8.2929375,-10.4898359375,-19.0118984375,-17.97916015625,-15.4833671875,-9.2872265625,-12.5137421875,-29.57201171875,-20.13590234375,6.904046875,-13.2714140625,-21.08501953125,-23.70108984375,-13.37138671875,-16.5246640625,-20.4439609375,-28.3201640625,-15.11147265625,-18.696796875,-21.76057421875,-16.89307421875,-11.66036328125,-37.78924609375
-22.212,-18.90791015625,-36.88865234375,-6.8873046875,-8.8539453125,-4.44787109375,-13.4391015625,-9.6119375,-10.8238359375,-19.6558984375,-19.25516015625,-16.8993671875,-8.8952265625,-13.3147421875,-29.62601171875,-21.42590234375,5.404046875,-13.1224140625,-21.38401953125,-24.01308984375,-14.40938671875,-15.8986640625,-20.5989609375,-28.5831640625,-16.07147265625,-19.684796875,-21.97557421875,-16.10307421875,-11.24736328125,-37.09624609375
-22.375,-19.37091015625,-38.43265234375,-6.9883046875,-9.5089453125,-5.55887109375,-14.2871015625,-10.7609375,-11.1198359375,-20.1708984375,-20.02416015625,-18.2053671875,-9.1792265625,-13.5707421875,-29.47401171875,-22.15190234375,3.967046875,-12.7834140625,-21.11901953125,-24.01108984375,-15.07838671875,-14.9386640625,-20.1899609375,-28.2971640625,-16.32347265625,-20.111796875,-21.64357421875,-15.17207421875,-10.27036328125,-35.15224609375
-22.089,-19.03091015625,-38.85765234375,-7.4933046875,-9.8849453125,-6.01187109375,-14.3291015625,-11.4509375,-11.1438359375,-20.2438984375,-19.84716015625,-18.9643671875,-9.5642265625,-12.9937421875,-28.78001171875,-21.87990234375,2.835046875,-12.1214140625,-19.94501953125,-23.30408984375,-15.12038671875,-13.6676640625,-18.9999609375,-27.2151640625,-15.55347265625,-19.908796875,-20.51757421875,-14.12707421875,-8.81836328125,-32.05924609375
-21.312,-18.08191015625,-38.15365234375,-7.9523046875,-9.8299453125,-5.61987109375,-13.6651015625,-11.6089375,-10.8088359375,-19.8038984375,-18.76116015625,-19.0003671875,-9.6342265625,-11.6637421875,-27.53801171875,-20.61190234375,2.144046875,-11.1224140625,-17.90301953125,-21.90008984375,-14.55638671875,-12.2056640625,-17.0779609375,-25.4461640625,-13.89247265625,-19.182796875,-18.66757421875,-13.06707421875,-7.13236328125,-28.19024609375
