"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
6.842140625,3.0008671875,5.8356171875,1.9408828125,7.141890625,9.60091796875,16.3680234375,9.973625,5.63228125,5.1869453125,10.369828125,9.83131640625,10.37819921875,3.7664921875,4.5486953125,4.7473671875,2.7509140625,7.3964453125,1.6485703125,5.01651171875,4.58369921875,4.2165859375,7.42625,9.58159375,5.51848046875,0.2420859375,7.9564375,14.70715234375,9.8588984375,5.461859375
12.099140625,2.8338671875,5.9006171875,1.7148828125,5.363890625,6.69291796875,12.9370234375,6.110625,4.73928125,3.9829453125,9.238828125,9.90931640625,9.21319921875,2.7284921875,3.2026953125,4.5413671875,5.3449140625,4.6914453125,3.2675703125,3.42651171875,4.76169921875,2.7965859375,5.15925,10.01159375,8.49348046875,3.9820859375,8.3314375,6.28015234375,7.9108984375,5.940859375
15.378140625,2.5548671875,6.0396171875,0.6308828125,4.835890625,5.46391796875,11.2720234375,4.236625,4.45228125,3.7639453125,9.016828125,10.36331640625,6.83119921875,2.3264921875,2.5966953125,4.9943671875,6.6939140625,3.2184453125,4.8835703125,3.06951171875,5.31869921875,2.1785859375,4.02625,10.84859375,10.98848046875,6.6680859375,8.8754375,2.03515234375,7.1458984375,6.484859375
16.265140625,2.4388671875,6.2466171875,-1.0861171875,5.483890625,5.77591796875,11.1680234375,4.080625,4.66328125,4.4359453125,9.608828125,11.05631640625,3.07719921875,2.4524921875,2.7456953125,6.0533671875,6.8339140625,2.8584453125,6.4175703125,3.86951171875,6.20869921875,2.2105859375,3.85425,11.91059375,12.88848046875,8.1950859375,9.4234375,1.62015234375,7.3468984375,6.825859375
14.866140625,2.8018671875,6.4586171875,-2.7011171875,6.824890625,6.97591796875,11.8690234375,4.768625,5.07028125,5.5579453125,10.608828125,11.70831640625,-1.65280078125,2.7554921875,3.4026953125,7.4033671875,6.1899140625,3.0894453125,7.6865703125,5.33851171875,7.22969921875,2.4285859375,4.07625,12.78759375,14.09348046875,8.6750859375,9.6754375,3.34915234375,7.8668984375,6.637859375
11.815140625,3.7338671875,6.5416171875,-3.3271171875,8.241890625,8.27991796875,12.5430234375,5.378625,5.35028125,6.5709453125,11.496828125,12.04231640625,-6.39980078125,2.8264921875,4.1746953125,8.6003671875,5.2899140625,3.2924453125,8.4515703125,6.81851171875,8.10169921875,2.3275859375,4.06225,13.03959375,14.48648046875,8.3200859375,9.3454375,5.24915234375,8.0128984375,5.724859375
8.181140625,4.9698671875,6.3576171875,-2.4651171875,9.231890625,9.10591796875,12.6510234375,5.354625,5.30128125,7.0389453125,11.874828125,11.93531640625,-9.87380078125,2.3904921875,4.7036953125,9.2583671875,4.5269140625,3.0504453125,8.5935703125,7.74551171875,8.58869921875,1.6875859375,3.45225,12.46259375,14.03848046875,7.4260859375,8.3624375,6.04215234375,7.4578984375,4.157859375
5.165140625,5.9768671875,5.8466171875,-0.3541171875,9.535890625,9.22491796875,12.0780234375,4.604625,4.87028125,6.8169453125,11.607828125,11.45731640625,-10.91080078125,1.4374921875,4.7996953125,9.2053671875,4.0639140625,2.3064453125,8.2085703125,7.83851171875,8.60269921875,0.697585937499999,2.30125,11.20859375,12.90048046875,6.3760859375,6.9444375,5.55115234375,6.3948984375,2.301859375
3.600140625,6.2008671875,5.0756171875,2.1598828125,9.161890625,8.74191796875,11.0550234375,3.390625,4.10728125,6.0619453125,10.844828125,10.81931640625,-8.99580078125,0.2164921875,4.4736953125,8.5283671875,3.8889140625,1.3354453125,7.5495703125,7.15251171875,8.23469921875,-0.212414062500001,0.98225,9.68159375,11.37048046875,5.5460859375,5.4864375,4.43015234375,5.3468984375,0.695859375
3.493140625,5.3348671875,4.2026171875,4.0958828125,8.327890625,7.96691796875,9.9750234375,2.128625,3.12628125,5.1179453125,9.894828125,10.24031640625,-4.63980078125,-0.9005078125,3.8886953125,7.5223671875,3.9289140625,0.5264453125,6.9005703125,5.99151171875,7.68669921875,-0.670414062500001,-0.0597499999999997,8.32159375,9.79248046875,5.1790859375,4.3524375,3.50815234375,4.8158984375,-0.173140625
