"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
12.3064296875,10.36509375,8.5419921875,-2.2619609375,9.8740546875,13.4621484375,13.47671875,17.13301171875,11.3080546875,13.0658984375,13.31991015625,14.1277578125,9.9935390625,10.5326796875,10.5216953125,11.0634140625,3.20411328125,9.5388359375,5.0170859375,6.432859375,8.14733984375,9.43978515625,7.59134765625,4.10736328125,2.9246875,12.6516875,-12.08273828125,4.527265625,6.19353515625,7.7185546875
16.9294296875,14.18709375,12.6219921875,4.0970390625,16.0830546875,18.0511484375,17.13571875,21.60401171875,16.1170546875,17.8118984375,16.68191015625,16.2837578125,13.5755390625,12.1066796875,14.1046953125,14.0214140625,5.30611328125,9.8698359375,7.4480859375,10.564859375,11.54933984375,5.73678515625,9.68334765625,9.14636328125,7.3326875,14.0556875,-7.91673828125,5.449265625,8.00653515625,10.6545546875
21.0084296875,18.09509375,16.4899921875,9.7210390625,21.4050546875,22.9411484375,21.03671875,25.24301171875,20.3710546875,22.7948984375,20.40491015625,18.4527578125,17.3045390625,13.5626796875,18.3616953125,17.4554140625,8.22811328125,11.0558359375,10.5890859375,15.375859375,15.07033984375,4.52278515625,12.26134765625,14.75736328125,12.6186875,15.5126875,-3.14573828125,6.558265625,10.21453515625,13.8325546875
24.3504296875,21.85009375,19.9679921875,14.2830390625,25.4920546875,27.7811484375,24.98071875,27.92801171875,23.7680546875,27.5808984375,24.24391015625,20.5667578125,20.8665390625,14.7906796875,23.0316953125,21.2004140625,11.42111328125,12.9468359375,14.3070859375,20.672859375,18.51733984375,5.66278515625,15.29034765625,20.73836328125,18.4776875,16.8476875,2.13626171875,7.999265625,12.87353515625,17.1205546875
26.8514296875,25.08809375,22.8639921875,17.5340390625,28.1270546875,31.9341484375,28.59171875,29.73901171875,26.0570546875,31.4788984375,27.71991015625,22.5267578125,23.7165390625,15.7316796875,27.4926953125,24.8414140625,13.97111328125,15.0488359375,18.1530859375,25.861859375,21.57033984375,8.09478515625,18.49034765625,26.49836328125,24.1266875,17.7866875,7.51026171875,9.831265625,15.81453515625,20.1665546875
28.5184296875,27.48109375,25.0449921875,19.3630390625,29.2880546875,34.7371484375,31.46271875,30.88101171875,27.1450546875,33.8438984375,30.31291015625,24.2437578125,25.2885390625,16.4566796875,30.9976953125,27.8764140625,15.14511328125,16.7858359375,21.5420859375,30.120859375,23.90733984375,10.34478515625,21.42234765625,31.21136328125,28.5916875,18.0416875,12.32526171875,11.924265625,18.63253515625,22.4915546875
29.4434296875,28.83109375,26.4459921875,19.8490390625,29.1670546875,35.7661484375,33.28471875,31.59801171875,27.1950546875,34.3638984375,31.63991015625,25.6527578125,25.2955390625,17.1826796875,32.9406953125,29.8764140625,14.82111328125,17.8138359375,23.9730859375,32.668859375,25.30633984375,11.23478515625,23.68234765625,34.06736328125,31.0446875,17.4286875,15.89626171875,13.943265625,20.77353515625,23.6355546875
29.7364296875,29.09109375,27.0349921875,19.2520390625,28.1030546875,34.9901484375,33.90671875,32.06601171875,26.6060546875,33.1738984375,31.55691015625,26.7107578125,23.9665390625,18.1856796875,33.0316953125,30.5974140625,13.54211328125,18.2258359375,25.1810859375,33.018859375,25.68433984375,10.45878515625,25.07734765625,34.53636328125,31.0576875,15.9356875,17.71626171875,15.415265625,21.70153515625,23.2725546875
29.4424296875,28.32409375,26.7599921875,17.9270390625,26.4590546875,32.7251484375,33.31971875,32.29201171875,25.8590546875,30.7498984375,30.14391015625,27.3567578125,22.0435390625,19.6326796875,31.3346953125,30.0024140625,12.19111328125,18.5098359375,25.1590859375,31.116859375,25.05333984375,8.71278515625,25.64634765625,32.52336328125,28.6566875,13.7276875,17.58826171875,15.862265625,21.03753515625,21.2515546875
28.4964296875,26.63409375,25.5399921875,16.2060390625,24.5000546875,29.4641484375,31.57571875,32.11301171875,25.3210546875,27.6748984375,27.61491015625,27.4767578125,20.5025390625,21.4386796875,28.1746953125,28.1954140625,11.51611328125,19.2298359375,24.0700859375,27.313859375,23.44733984375,7.25678515625,25.53334765625,28.35736328125,24.2086875,11.0496875,15.61926171875,14.935265625,18.63853515625,17.6055546875
