"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-24.5728046875,19.138328125,32.06262109375,-18.00019921875,-21.2160625,31.1703125,63.7109375,16.7056015625,-43.0292734375,0.279753906250001,50.98605859375,70.61125,-66.6918203125,-20.93123828125,33.53984765625,67.1562265625,58.02913671875,-23.0076328125,1.94272265625,34.10494140625,69.27611328125,-38.005125,-11.98576171875,9.62224609375,30.3894375,12.35571875,-6.4004765625,-29.71780859375,-26.68998828125,-20.1811953125
-33.3708046875,14.390328125,24.63262109375,-28.03219921875,-30.4330625,22.5793125,55.8699375,12.8496015625,-52.7122734375,-4.28824609375,47.96805859375,66.89025,-76.3258203125,-26.30523828125,33.31684765625,64.9482265625,56.67313671875,-30.5766328125,0.254722656249999,34.15094140625,66.46111328125,-41.391125,-17.12276171875,8.42124609375,29.7714375,15.37371875,-5.7094765625,-28.32180859375,-24.20798828125,-15.9391953125
-44.2408046875,6.033328125,14.91162109375,-37.92319921875,-41.6930625,9.9963125,43.5179375,5.3986015625,-62.3802734375,-12.48924609375,39.47605859375,58.96125,-83.9398203125,-32.48223828125,29.02684765625,58.0922265625,52.42913671875,-37.1336328125,-3.66127734375,29.82294140625,60.66811328125,-43.175125,-21.54376171875,4.61124609375,26.4294375,16.65171875,-5.8584765625,-25.59280859375,-21.06298828125,-12.0841953125
-57.4648046875,-6.357671875,2.30962109375,-47.55919921875,-55.1190625,-6.9746875,26.0499375,-6.0513984375,-72.2022734375,-24.79124609375,24.68905859375,46.35525,-89.8248203125,-40.01423828125,19.69584765625,45.7272265625,44.95213671875,-43.1246328125,-10.54427734375,20.04494140625,51.36811328125,-43.744125,-25.70176171875,-2.54675390625,19.6964375,15.67771875,-7.3614765625,-21.86980859375,-17.62698828125,-9.1001953125
-72.6298046875,-22.053671875,-13.06437890625,-56.85019921875,-70.1250625,-27.2916875,4.3749375,-20.6643984375,-82.4292734375,-40.47424609375,4.52905859375,29.98025,-95.1748203125,-49.31923828125,5.50984765625,28.3312265625,34.72713671875,-49.4966328125,-20.55427734375,4.94094140625,38.84411328125,-44.139125,-30.40676171875,-13.11475390625,9.5944375,12.31271875,-10.5984765625,-17.99780859375,-14.58198828125,-7.5011953125
-88.7088046875,-39.410671875,-30.26937890625,-65.77619921875,-85.6120625,-48.7226875,-19.2890625,-36.5883984375,-93.2692734375,-57.83224609375,-18.55994140625,11.82025,-101.5808203125,-60.37823828125,-12.10215234375,7.6082265625,22.82813671875,-57.2046328125,-33.07827734375,-14.08605859375,24.06911328125,-45.505125,-36.35076171875,-26.35675390625,-3.1485625,6.83371875,-15.5824765625,-14.87380859375,-12.54498828125,-7.5721953125
-104.2838046875,-56.302671875,-47.59737890625,-74.43519921875,-100.2620625,-68.4246875,-41.9410625,-51.4843984375,-104.7112734375,-74.59124609375,-41.19694140625,-5.65275,-110.2678203125,-72.49523828125,-30.68815234375,-13.9007734375,10.51513671875,-66.5996328125,-46.68327734375,-34.55805859375,8.42611328125,-48.471125,-43.62276171875,-40.77075390625,-17.2015625,-0.123281250000001,-21.7964765625,-12.99380859375,-11.71998828125,-9.1591953125
-117.8508046875,-70.602671875,-62.84737890625,-82.98919921875,-112.8060625,-83.6416875,-60.4780625,-63.1573984375,-116.3472734375,-88.40224609375,-59.83794140625,-20.15575,-121.4228203125,-84.28123828125,-47.25815234375,-33.3747734375,-1.17786328125,-77.0086328125,-59.31527734375,-53.40405859375,-6.65088671875,-52.754125,-51.43776171875,-54.30375390625,-30.9015625,-7.72528125,-28.1754765625,-12.21780859375,-11.74498828125,-11.6251953125
-128.0768046875,-80.590671875,-73.77437890625,-91.49619921875,-122.1600625,-92.2856875,-72.3600625,-70.0983984375,-127.2692734375,-97.26724609375,-71.54694140625,-30.13275,-133.9068203125,-93.90923828125,-58.94415234375,-48.2877734375,-11.71386328125,-86.7506328125,-68.74127734375,-67.63605859375,-19.99488671875,-57.185125,-58.26976171875,-64.73375390625,-42.5935625,-15.16328125,-33.3004765625,-11.82780859375,-11.82198828125,-14.0241953125
-133.9778046875,-85.205671875,-78.60737890625,-99.69319921875,-127.4500625,-93.2336875,-76.0680625,-71.7563984375,-136.1392734375,-99.84624609375,-74.56794140625,-35.00175,-145.5458203125,-99.58223828125,-63.64015234375,-56.8737734375,-21.06586328125,-93.6626328125,-73.12027734375,-75.00405859375,-30.86888671875,-60.178125,-62.35076171875,-70.16975390625,-50.9355625,-21.82028125,-35.7594765625,-10.85680859375,-11.02698828125,-15.3961953125
-134.9888046875,-84.127671875,-76.50937890625,-106.88419921875,-128.0180625,-86.3766875,-71.3230625,-68.5323984375,-141.4742734375,-95.62524609375,-68.57494140625,-35.05475,-153.8868203125,-100.06923828125,-60.44015234375,-58.3567734375,-29.47786328125,-95.9476328125,-71.52127734375,-74.46105859375,-38.91588671875,-60.432125,-62.34976171875,-69.52275390625,-55.0595625,-27.30028125,-34.5724765625,-8.53080859375,-8.68698828125,-15.0521953125
-131.0068046875,-77.737671875,-67.84037890625,-112.01319921875,-123.4710625,-72.5056875,-59.0340625,-61.5413984375,-142.0782734375,-84.96924609375,-54.60494140625,-31.13275,-157.0928203125,-95.09023828125,-49.78515234375,-52.9437734375,-37.09186328125,-92.9336328125,-64.19727734375,-66.30505859375,-43.97288671875,-57.528125,-57.92476171875,-62.78875390625,-54.5875625,-31.32228125,-29.5074765625,-4.61580859375,-4.62498828125,-12.7431953125
-122.4118046875,-66.973671875,-54.10637890625,-113.93219921875,-113.8080625,-53.1016875,-41.0380625,-52.2533984375,-137.4432734375,-69.06924609375,-34.73294140625,-24.23375,-154.5738203125,-85.41623828125,-33.30015234375,-41.6347734375,-43.64986328125,-85.3736328125,-52.49327734375,-51.98605859375,-45.88588671875,-52.141125,-49.90076171875,-51.05475390625,-49.5725625,-33.59628125,-21.1814765625,0.466191406250001,0.781011718749999,-8.6741953125
-110.0518046875,-53.162671875,-37.57937890625,-111.76819921875,-99.5640625,-30.1196875,-19.6850625,-42.1173984375,-127.9692734375,-49.75824609375,-11.59694140625,-15.24975,-147.1018203125,-72.65323828125,-13.38615234375,-25.9567734375,-48.43786328125,-75.1596328125,-38.43027734375,-33.68105859375,-44.46188671875,-45.775125,-39.98976171875,-36.19675390625,-40.4705625,-33.81028125,-10.8904765625,5.77819140625,6.72001171875,-3.4121953125
-95.1788046875,-37.795671875,-20.70937890625,-105.26919921875,-81.9000625,-5.7476875,2.6319375,-32.2503984375,-114.9062734375,-29.21224609375,12.12905859375,-4.85875,-136.4458203125,-58.79523828125,7.32084765625,-7.6817734375,-50.50186328125,-64.6146328125,-24.13227734375,-13.78005859375,-39.59588671875,-40.218125,-30.21476171875,-20.38775390625,-28.1395625,-31.74528125,-0.260476562500001,10.17819140625,12.18301171875,2.2548046875
-79.2748046875,-22.291671875,-5.51637890625,-95.02419921875,-62.5430625,17.8533125,23.8929375,-23.2343984375,-100.0862734375,-9.55424609375,34.22305859375,6.45825,-124.7438203125,-45.70923828125,26.50784765625,11.4332265625,-49.01186328125,-55.7206328125,-11.30627734375,5.60494140625,-31.47788671875,-36.940125,-22.28076171875,-5.57375390625,-13.8095625,-27.46228125,9.1845234375,12.66219140625,16.22201171875,7.4568046875
-63.8078046875,-7.777671875,6.85962109375,-82.42119921875,-43.5520625,38.8573125,42.7469375,-15.0743984375,-85.5212734375,7.52575390625,53.26005859375,18.35325,-113.9078203125,-34.72623828125,42.60884765625,29.8712265625,-43.60586328125,-49.6056328125,-0.940277343750001,22.96194140625,-20.71488671875,-36.691125,-17.15076171875,6.91524609375,1.0484375,-21.42828125,16.3595234375,12.64719140625,18.16101171875,11.3838046875
-49.9608046875,5.038328125,16.28862109375,-69.34519921875,-26.9550625,56.0533125,58.6209375,-7.3423984375,-72.9812734375,21.01475390625,68.71205859375,30.53225,-105.2208203125,-26.45823828125,55.00784765625,46.5032265625,-34.54886328125,-46.4396328125,6.72572265625,37.51494140625,-8.29788671875,-39.387125,-14.91876171875,16.51024609375,14.9614375,-14.46928125,20.7855234375,10.09919140625,17.72101171875,13.4208046875
-38.4608046875,15.850328125,23.44662109375,-57.68219921875,-14.3730625,68.9843125,71.6029375,0.540601562500001,-63.6792734375,30.61075390625,80.80105859375,42.68425,-99.2038203125,-20.87923828125,63.94384765625,60.6492265625,-22.69186328125,-45.6806328125,11.99872265625,49.13394140625,4.61611328125,-44.279125,-14.98976171875,23.30824609375,26.7594375,-7.55328125,22.5595234375,5.47719140625,15.03401171875,13.2838046875
-29.5718046875,24.614328125,29.35462109375,-48.86019921875,-6.7390625,77.8303125,82.1319375,8.9686015625,-58.1142734375,36.55875390625,90.13805859375,54.40425,-95.6918203125,-17.57023828125,70.15884765625,72.0432265625,-9.26986328125,-46.4856328125,15.41772265625,58.11194140625,16.96711328125,-50.297125,-16.44276171875,27.81324609375,35.8244375,-1.48628125,22.1825234375,-0.466808593749999,10.57301171875,11.1228046875
-23.2518046875,31.343328125,34.87662109375,-43.55119921875,-4.2020625,83.0893125,90.6119375,17.9136015625,-56.1062734375,39.36775390625,97.31505859375,65.15625,-94.0658203125,-16.01523828125,74.45584765625,80.7442265625,4.37013671875,-48.0886328125,17.45672265625,64.90094140625,28.01211328125,-56.397125,-18.41176171875,30.64924609375,42.1874375,3.32371875,20.3395234375,-6.93980859375,5.02201171875,7.5168046875
