"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-14.9403984375,-15.7356875,-12.9533203125,-7.51262890625,-17.7471796875,-15.03834375,-8.41619921875,-9.31740234375,-13.91473046875,-17.4180078125,-9.68815234375,-9.9618046875,-8.04698828125,-17.9027109375,-12.578296875,-11.14964453125,-14.26030078125,-15.16316015625,-11.27758984375,-8.9840546875,-14.91846875,-20.93209765625,-15.01766015625,-8.3001953125,-14.2451328125,-10.4730234375,3.58409765625,-6.28175390625,-5.88815625,-4.65151953125
-7.6173984375,-10.2876875,-8.4743203125,-3.86462890625,-11.4421796875,-9.85334375,-3.60119921875,-7.89240234375,-9.48373046875,-12.2460078125,-4.82315234375,-7.3908046875,-5.40598828125,-11.9667109375,-7.933296875,-5.58364453125,-10.10630078125,-9.48216015625,-5.57358984375,-3.7860546875,-7.78046875,-15.98509765625,-7.73366015625,-2.7751953125,-7.7921328125,-6.3530234375,9.87509765625,-1.55375390625,-0.15415625,0.0734804687500006
-4.9033984375,-8.1646875,-7.1063203125,-2.59562890625,-8.9301796875,-8.61234375,-2.57219921875,-8.38840234375,-7.81673046875,-10.2280078125,-3.83915234375,-7.4498046875,-3.53598828125,-9.0717109375,-6.896296875,-3.87664453125,-8.22830078125,-6.40016015625,-3.27258984375,-2.2850546875,-4.27246875,-12.10809765625,-3.89366015625,-0.2521953125,-3.7691328125,-4.2390234375,13.28009765625,1.56924609375,3.28484375,2.51648046875
-7.0103984375,-9.3196875,-8.5353203125,-3.63162890625,-10.3141796875,-11.07434375,-5.03519921875,-10.15040234375,-8.80373046875,-11.4880078125,-6.47515234375,-9.5988046875,-2.45098828125,-9.4587109375,-9.352296875,-5.86264453125,-8.41130078125,-6.17816015625,-4.56558984375,-4.3190546875,-4.48246875,-9.47909765625,-3.88966015625,-0.9241953125,-2.3621328125,-3.9780234375,13.47109765625,2.83124609375,4.30884375,2.59948046875
-12.5153984375,-12.5306875,-11.3313203125,-6.06462890625,-14.3411796875,-15.59434375,-9.33019921875,-11.83040234375,-11.36873046875,-15.0020078125,-11.03615234375,-12.3298046875,-2.01198828125,-12.3167109375,-13.817296875,-9.97164453125,-9.69530078125,-8.22516015625,-8.43458984375,-8.3850546875,-7.29946875,-8.08109765625,-6.97866015625,-3.9521953125,-2.9701328125,-4.7490234375,11.03309765625,2.36524609375,3.47184375,0.97948046875
-18.8463984375,-15.9516875,-13.6653203125,-8.56362890625,-18.8871796875,-19.88034375,-13.24519921875,-12.19540234375,-13.96073046875,-18.9340078125,-15.17615234375,-13.9568046875,-2.01898828125,-16.0067109375,-18.027296875,-13.94164453125,-10.91130078125,-11.27416015625,-12.98358984375,-12.3040546875,-10.90346875,-7.72809765625,-11.48266015625,-7.7321953125,-4.4191328125,-5.4910234375,7.28209765625,0.64024609375,1.72784375,-1.21151953125
-23.1473984375,-17.7716875,-14.0223203125,-9.82862890625,-21.6911796875,-21.85334375,-14.92119921875,-10.71840234375,-15.08573046875,-21.2140078125,-16.81715234375,-13.3258046875,-2.17398828125,-18.5247109375,-19.778296875,-15.70364453125,-11.12330078125,-13.67916015625,-16.01758984375,-14.0680546875,-13.38646875,-7.96209765625,-15.23666015625,-10.3811953125,-5.3181328125,-5.3070234375,3.90009765625,-1.58875390625,0.15284375,-2.71851953125
-23.3133984375,-16.8096875,-11.7193203125,-9.01262890625,-21.1141796875,-20.35334375,-13.49019921875,-7.69640234375,-13.80773046875,-20.2750078125,-14.91015234375,-10.2328046875,-2.07898828125,-18.2117109375,-17.774296875,-14.13064453125,-9.89730078125,-13.93416015625,-15.80458984375,-12.5880546875,-13.37346875,-8.04909765625,-16.29566015625,-10.4261953125,-4.5701328125,-3.7820234375,2.36009765625,-3.44775390625,-0.38115625,-2.59151953125
-18.8423984375,-12.8956875,-7.1043203125,-6.02162890625,-16.7221796875,-15.51634375,-9.30519921875,-3.96740234375,-10.11073046875,-15.7170078125,-9.79015234375,-5.4378046875,-1.38098828125,-14.4807109375,-12.183296875,-9.42364453125,-7.36830078125,-11.28516015625,-11.78958984375,-8.1140546875,-10.49946875,-7.21709765625,-13.71166015625,-7.4471953125,-1.8711328125,-1.1240234375,3.30809765625,-4.26575390625,0.473843749999999,-0.59251953125
-11.0103984375,-6.9126875,-1.3423203125,-1.56062890625,-9.4631796875,-8.64634375,-3.66619921875,-0.43040234375,-4.92173046875,-8.5240078125,-2.96715234375,-0.2908046875,0.0690117187499997,-8.1197109375,-4.574296875,-2.95464453125,-4.07830078125,-6.09116015625,-4.85458984375,-2.0950546875,-5.52146875,-5.02309765625,-7.95466015625,-2.2971953125,2.1158671875,1.9589765625,6.30109765625,-3.83975390625,2.42184375,2.69048046875
