"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-12.04718359375,-8.54791796875,-11.09934765625,-0.46732421875,-16.9790078125,-10.23592578125,-10.53353125,-2.07014453125,-6.13101171875,-6.61391796875,-7.03165234375,-6.55006640625,-10.340359375,-13.81909375,-17.260609375,-7.21383984375,-8.7791171875,-14.27290234375,-12.88855078125,-4.16927734375,-2.2644296875,-2.04002734375,-9.95496875,-6.46646875,-7.6152734375,-16.65940234375,3.2625,-11.6148359375,-11.838328125,-5.61003125
-12.31718359375,-10.48791796875,-11.43134765625,-2.36232421875,-16.7120078125,-10.94192578125,-11.17353125,-5.20014453125,-7.28701171875,-7.16891796875,-8.66965234375,-7.04306640625,-8.045359375,-16.14509375,-19.763609375,-8.76983984375,-9.4131171875,-15.30390234375,-15.26855078125,-5.73527734375,-3.5944296875,-1.05502734375,-10.42196875,-6.50246875,-7.1532734375,-13.52140234375,3.2335,-13.3228359375,-13.179328125,-6.97303125
-13.82418359375,-12.69591796875,-12.38534765625,-3.84132421875,-17.4650078125,-12.45492578125,-11.94753125,-7.69314453125,-8.35401171875,-9.60691796875,-11.02265234375,-7.62506640625,-5.659359375,-18.76009375,-23.203609375,-11.27683984375,-10.7861171875,-16.55690234375,-18.13855078125,-8.28727734375,-4.9974296875,-2.58702734375,-12.38996875,-7.78046875,-8.0192734375,-10.29840234375,2.0285,-14.8008359375,-14.618328125,-7.95103125
-16.16218359375,-14.88691796875,-13.66234765625,-4.87732421875,-19.0460078125,-14.45492578125,-12.64853125,-9.26614453125,-9.24401171875,-13.21191796875,-13.54465234375,-8.21906640625,-3.508359375,-20.80909375,-26.679609375,-14.34983984375,-12.8821171875,-17.52890234375,-20.50055078125,-11.30327734375,-6.6884296875,-6.32502734375,-15.05996875,-9.73046875,-10.0312734375,-6.51040234375,0.0674999999999999,-15.7868359375,-15.921328125,-8.40903125
-18.31118359375,-16.45291796875,-14.59334765625,-5.44532421875,-20.7310078125,-16.12292578125,-12.87853125,-9.68714453125,-9.70601171875,-16.33091796875,-15.20865234375,-8.59506640625,-1.941359375,-21.03909375,-28.663609375,-17.06783984375,-15.2491171875,-17.42290234375,-20.86955078125,-13.67927734375,-8.6254296875,-10.86202734375,-16.81496875,-11.14146875,-12.3112734375,-1.87940234375,-1.6105,-15.8978359375,-16.673328125,-8.30803125
-19.11018359375,-16.66191796875,-14.41934765625,-5.42932421875,-21.5210078125,-16.47992578125,-12.21053125,-8.85514453125,-9.32501171875,-17.18891796875,-15.02665234375,-8.43906640625,-1.080359375,-18.46809375,-27.823609375,-18.36683984375,-17.0671171875,-15.51190234375,-18.10455078125,-14.23927734375,-10.2404296875,-14.36702734375,-16.05896875,-10.79446875,-13.5932734375,2.99859765625,-1.8425,-14.7608359375,-16.442328125,-7.75503125
-17.86418359375,-15.05291796875,-12.68834765625,-4.71732421875,-20.6220078125,-14.91892578125,-10.45553125,-6.94114453125,-7.77701171875,-14.87491796875,-12.65665234375,-7.55806640625,-0.803359374999999,-13.11109375,-23.878609375,-17.57583984375,-17.4261171875,-11.62190234375,-12.22655078125,-12.38927734375,-10.5944296875,-15.52802734375,-12.15296875,-8.19146875,-12.8452734375,6.46059765625,0.00750000000000028,-12.2588359375,-15.062328125,-7.01903125
-14.72518359375,-11.79991796875,-9.53034765625,-3.39132421875,-17.9460078125,-11.60592578125,-7.89253125,-4.45914453125,-5.16501171875,-9.90291796875,-8.70165234375,-6.05206640625,-0.942359375,-6.24009375,-17.938609375,-14.79283984375,-15.6941171875,-6.38490234375,-4.67355078125,-8.52627734375,-8.8884296875,-14.17002734375,-5.89096875,-3.92546875,-9.8442734375,6.43759765625,3.6455,-8.6878359375,-12.777328125,-6.41803125
-10.68318359375,-7.80191796875,-5.69734765625,-1.84232421875,-14.2960078125,-7.51692578125,-5.27053125,-2.17014453125,-2.18701171875,-4.05191796875,-4.51765234375,-4.32206640625,-1.474359375,-0.0100937500000002,-12.125609375,-10.90783984375,-11.8241171875,-1.13290234375,2.19344921875,-3.93927734375,-5.0384296875,-11.21102734375,0.76103125,0.53953125,-5.3882734375,1.75659765625,7.9215,-4.7218359375,-10.174328125,-6.12403125
-7.22418359375,-4.39691796875,-2.37234765625,-0.69732421875,-11.0840078125,-4.10192578125,-3.56653125,-0.87414453125,0.0299882812499996,0.39808203125,-1.63865234375,-2.97206640625,-2.593359375,3.37390625,-8.675609375,-7.29083984375,-6.5431171875,2.52309765625,6.05644921875,-0.29827734375,0.0195703125,-8.07402734375,5.49303125,3.50453125,-1.0292734375,-6.76940234375,11.3015,-1.2418359375,-7.958328125,-6.07403125
