"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
15.621484375,3.55301171875,18.02581640625,-7.33915625,20.74719921875,3.48990625,-4.351296875,-5.26805859375,19.08821875,-14.461984375,2.3064921875,-7.2683828125,-5.5306875,3.76869921875,-13.1250703125,-11.85558203125,-3.72565234375,-12.09720703125,-16.07798046875,-14.4765703125,1.12901953125,11.51916796875,-16.7053828125,-11.37401953125,-11.9403203125,26.0552734375,-4.600921875,68.10984375,40.1652578125,34.68287890625
16.456484375,1.82501171875,12.64681640625,-6.21615625,23.30919921875,5.20390625,-2.071296875,-2.54805859375,19.68621875,-13.566984375,2.6214921875,-4.8673828125,-4.4716875,4.75069921875,-11.4860703125,-10.41958203125,-2.16565234375,-11.78220703125,-15.49498046875,-13.4805703125,1.89401953125,11.97916796875,-15.8833828125,-11.01401953125,-12.7043203125,26.3062734375,-4.738921875,67.47684375,39.2102578125,33.03687890625
16.689484375,0.682011718749999,8.76581640625,-5.10615625,25.41819921875,6.83690625,-0.038296875,-0.39805859375,20.31621875,-12.494984375,3.3064921875,-2.5293828125,-3.8546875,5.60569921875,-10.1430703125,-9.04458203125,-1.02465234375,-11.34720703125,-15.09898046875,-12.7345703125,2.79201953125,12.32816796875,-15.1203828125,-10.76301953125,-13.3983203125,26.4652734375,-5.235921875,66.42984375,37.4252578125,30.78987890625
16.451484375,0.256011718749999,7.05381640625,-4.11115625,27.06619921875,8.22890625,1.661703125,1.17194140625,21.02021875,-11.375984375,4.2594921875,-0.3443828125,-3.8946875,6.38669921875,-9.1980703125,-7.74558203125,-0.33365234375,-10.73920703125,-14.87798046875,-12.2085703125,3.81801953125,12.58016796875,-14.4283828125,-10.57801953125,-13.9123203125,26.6252734375,-6.081921875,64.97784375,34.9132578125,28.02087890625
16.112484375,0.59801171875,7.90381640625,-3.36715625,28.33919921875,9.19890625,2.989703125,2.32094140625,21.80921875,-10.416984375,5.2744921875,1.6226171875,-4.6896875,7.20469921875,-8.6570703125,-6.49958203125,0.0693476562500001,-9.94920703125,-14.71598046875,-11.7225703125,4.95601953125,12.77316796875,-13.8013828125,-10.31201953125,-14.0613203125,26.9952734375,-7.087921875,63.27684375,32.1252578125,25.10987890625
16.070484375,1.68001171875,11.20781640625,-2.98415625,29.28419921875,9.61190625,3.949703125,3.26294140625,22.58921875,-9.819984375,6.1574921875,3.3366171875,-6.1036875,8.15169921875,-8.4270703125,-5.25758203125,0.49234765625,-9.05520703125,-14.45798046875,-11.0055703125,6.20701953125,12.93116796875,-13.2413828125,-9.75701953125,-13.6303203125,27.8372734375,-7.940921875,61.55384375,29.6592578125,22.61287890625
16.534484375,3.35701171875,16.22781640625,-3.02215625,29.80619921875,9.41990625,4.543703125,4.14594140625,23.15821875,-9.739984375,6.7634921875,4.7066171875,-7.7676875,9.19569921875,-8.3890703125,-4.00558203125,1.21734765625,-8.25120703125,-14.00698046875,-9.8275703125,7.58601953125,13.01116796875,-12.7933828125,-8.75501953125,-12.4563203125,29.3392734375,-8.335921875,60.00384375,28.0162578125,21.06387890625
17.400484375,5.34301171875,21.73681640625,-3.47615625,29.69319921875,8.66590625,4.755703125,4.95594140625,23.26821875,-10.253984375,7.0014921875,5.5426171875,-9.2156875,10.13969921875,-8.4420703125,-2.82658203125,2.31134765625,-7.78920703125,-13.37998046875,-8.1095703125,9.08201953125,12.89616796875,-12.5353828125,-7.29801953125,-10.5133203125,31.4852734375,-8.081921875,58.73584375,27.4432578125,20.81187890625
18.306484375,7.30901171875,26.43681640625,-4.27315625,28.77819921875,7.51790625,4.568703125,5.53594140625,22.77621875,-11.292984375,6.8644921875,5.6376171875,-10.0906875,10.68269921875,-8.5000703125,-1.87658203125,3.54934765625,-7.84120703125,-12.66798046875,-5.9655703125,10.65501953125,12.46016796875,-12.5093828125,-5.52701953125,-7.9203203125,34.0392734375,-7.134921875,57.77484375,27.9172578125,21.95887890625
18.870484375,9.03801171875,29.45181640625,-5.26515625,27.14319921875,6.26890625,4.035703125,5.69394140625,21.76921875,-12.593984375,6.4594921875,4.9526171875,-10.3166875,10.59069921875,-8.4360703125,-1.28858203125,4.54634765625,-8.36820703125,-11.93198046875,-3.6195703125,12.24901953125,11.66416796875,-12.6343828125,-3.63101953125,-4.8823203125,36.6492734375,-5.533921875,57.10484375,29.2612578125,24.41587890625
18.953484375,10.50501171875,30.58881640625,-6.22015625,25.19719921875,5.28790625,3.308703125,5.35194140625,20.59021875,-13.745984375,5.9994921875,3.7266171875,-10.0986875,9.86369921875,-8.0800703125,-1.06058203125,4.99134765625,-9.09320703125,-11.12798046875,-1.2985703125,13.81101953125,10.63516796875,-12.6983828125,-1.73401953125,-1.6043203125,39.0082734375,-3.334921875,56.71784375,31.2852578125,27.98587890625
18.752484375,11.85101171875,30.25781640625,-6.85715625,23.55419921875,4.88190625,2.606703125,4.60094140625,19.71821875,-14.335984375,5.7094921875,2.3996171875,-9.7256875,8.79769921875,-7.2970703125,-1.03358203125,4.83234765625,-9.60520703125,-10.13798046875,0.839429687500002,15.29401953125,9.66316796875,-12.4453828125,0.154980468750001,1.7406796875,40.9652734375,-0.595921875,56.63184375,33.8532578125,32.41687890625
18.659484375,13.24201171875,29.14481640625,-6.92315625,22.75519921875,5.15690625,2.125703125,3.63494140625,19.55621875,-14.109984375,5.7214921875,1.4036171875,-9.3156875,7.87969921875,-6.0890703125,-0.98358203125,4.27334765625,-9.55720703125,-8.87998046875,2.6844296875,16.62701953125,9.08816796875,-11.7233828125,2.06698046875,4.9776796875,42.5182734375,2.551078125,56.88084375,36.8502578125,37.37787890625
18.995484375,14.70501171875,27.83181640625,-6.28215625,23.01719921875,5.93990625,1.949703125,2.63594140625,20.23921875,-13.076984375,5.9994921875,0.9556171875,-8.7086875,7.57069921875,-4.6670703125,-0.77758203125,3.61934765625,-8.83820703125,-7.41698046875,4.1144296875,17.68501953125,9.15416796875,-10.5903828125,3.96098046875,7.8606796875,43.6992734375,5.823078125,57.46084375,40.0752578125,42.40387890625
