"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-19.20978515625,-20.58513671875,-18.03450390625,-14.49710546875,-11.6101171875,-17.47025390625,-14.25767578125,-18.0652421875,-13.3210390625,-13.0721015625,-18.397203125,-20.2277109375,-15.04663671875,-9.1322265625,-22.58166015625,-22.9815,-32.761015625,-18.53018359375,-20.61152734375,-22.008171875,-16.977296875,-17.22120703125,-17.119109375,-25.38051171875,-18.26408203125,-17.5821875,-14.2476875,-8.496265625,-9.507328125,-11.45850390625
-18.39778515625,-18.88613671875,-16.34050390625,-13.46410546875,-10.0621171875,-13.17725390625,-18.49367578125,-16.2782421875,-11.8720390625,-10.3801015625,-13.411203125,-16.7167109375,-12.00363671875,-9.4092265625,-16.79466015625,-21.6765,-30.707015625,-16.39618359375,-16.94652734375,-18.038171875,-14.475296875,-15.18820703125,-15.249109375,-21.45351171875,-15.26608203125,-15.6981875,-11.7126875,-6.712265625,-8.203328125,-9.91650390625
-15.75078515625,-15.77313671875,-13.22350390625,-10.88310546875,-6.0751171875,-7.54325390625,-18.33867578125,-13.4472421875,-9.1170390625,-5.7501015625,-7.105203125,-12.5967109375,-7.83063671875,-7.5002265625,-9.37966015625,-17.3025,-27.810015625,-13.89918359375,-11.89052734375,-12.382171875,-11.470296875,-13.03920703125,-12.808109375,-16.77451171875,-12.30208203125,-14.1071875,-9.8826875,-6.357265625,-8.237328125,-9.55450390625
-11.49578515625,-11.54613671875,-8.92750390625,-7.13110546875,-0.1491171875,-1.08425390625,-14.30967578125,-9.7582421875,-5.3060390625,0.1788984375,-0.0242031250000001,-8.1477109375,-2.84263671875,-3.7892265625,-1.18266015625,-10.2425,-23.972015625,-10.96818359375,-6.00952734375,-5.694171875,-8.005296875,-10.54520703125,-9.866109375,-11.91251171875,-9.58008203125,-12.4971875,-9.0316875,-7.354265625,-9.630328125,-10.36450390625
-6.68678515625,-7.21313671875,-4.41850390625,-3.32110546875,6.0428828125,4.83774609375,-8.52967578125,-6.0122421875,-1.3540390625,5.7288984375,6.409796875,-4.1667109375,1.97536328125,0.3127734375,5.90533984375,-2.2965,-19.536015625,-7.83018359375,-0.70952734375,0.397828124999999,-4.506296875,-7.63720703125,-6.902109375,-8.00251171875,-7.47808203125,-10.5091875,-9.3236875,-9.163265625,-11.933328125,-11.90450390625
-2.82678515625,-4.14713671875,-1.08350390625,-0.82610546875,10.3048828125,8.46274609375,-3.66367578125,-3.3762421875,1.4779609375,8.8418984375,10.314796875,-1.8177109375,5.31036328125,2.9557734375,9.68333984375,3.9495,-15.256015625,-5.10918359375,2.30747265625,3.913828125,-1.787296875,-4.63720703125,-4.755109375,-6.27451171875,-6.47508203125,-8.0801875,-10.7556875,-11.086265625,-14.420328125,-13.49950390625
-1.26678515625,-3.54113671875,-0.20550390625,-0.65710546875,10.8768828125,8.37074609375,-1.81367578125,-2.8692421875,2.1109609375,8.0278984375,10.120796875,-2.2267109375,6.10236328125,2.7537734375,8.66033984375,6.1215,-12.020015625,-3.62418359375,1.83847265625,3.414828125,-0.807296875,-2.23620703125,-4.284109375,-7.41451171875,-6.95708203125,-5.6331875,-13.0406875,-12.527265625,-16.308328125,-14.49950390625
-2.57278515625,-5.79613671875,-2.33550390625,-2.94810546875,7.3208828125,4.27874609375,-3.87367578125,-4.8822421875,0.2249609375,3.2078984375,5.409796875,-5.8987109375,4.09236328125,-0.4462265625,2.94533984375,3.0555,-10.432015625,-3.89818359375,-2.07452734375,-1.201171875,-2.188296875,-1.16220703125,-5.816109375,-11.05251171875,-8.91308203125,-3.9101875,-15.4986875,-13.040265625,-16.901328125,-14.45550390625
-6.14878515625,-10.13813671875,-6.87450390625,-6.78510546875,0.9448828125,-2.53225390625,-9.29067578125,-8.9192421875,-3.4310390625,-3.9281015625,-2.553203125,-12.2347109375,0.0463632812500001,-5.2702265625,-5.45266015625,-4.5655,-10.494015625,-5.68118359375,-7.87852734375,-8.402171875,-5.738296875,-1.73720703125,-8.728109375,-15.68651171875,-11.72308203125,-3.5591875,-17.1136875,-12.281265625,-15.683328125,-13.17650390625
-10.36178515625,-14.77513671875,-12.13650390625,-10.52210546875,-5.5301171875,-9.48625390625,-16.12567578125,-13.6392421875,-7.2030390625,-10.3341015625,-11.016203125,-19.4947109375,-4.46463671875,-9.1642265625,-13.18466015625,-14.2235,-11.578015625,-7.88018359375,-12.95752734375,-15.453171875,-10.338296875,-3.62420703125,-11.545109375,-19.21051171875,-14.25008203125,-4.7501875,-16.8816875,-10.040265625,-12.483328125,-10.73050390625
-13.16378515625,-17.57313671875,-15.95850390625,-12.44110546875,-9.0141171875,-13.64225390625,-21.59367578125,-17.2432421875,-9.1550390625,-12.7431015625,-16.697203125,-25.3187109375,-7.64463671875,-9.3682265625,-16.84166015625,-22.3655,-12.687015625,-8.98618359375,-14.68652734375,-19.442171875,-14.310296875,-5.91820703125,-12.582109375,-19.80551171875,-15.25208203125,-7.0311875,-14.3156875,-6.408265625,-7.648328125,-7.43250390625
-12.93378515625,-16.93913671875,-16.55250390625,-11.44910546875,-7.3581171875,-12.87625390625,-23.18967578125,-18.1432421875,-7.8580390625,-9.0921015625,-17.093203125,-27.5837109375,-8.13863671875,-4.2072265625,-14.39166015625,-25.7655,-12.830015625,-7.77818359375,-11.61052734375,-18.461171875,-16.065296875,-7.50920703125,-10.761109375,-16.74151171875,-13.88808203125,-9.4711875,-9.7626875,-1.890265625,-2.054328125,-3.80350390625
-9.14778515625,-12.49413671875,-13.23550390625,-7.49410546875,-0.3531171875,-6.79425390625,-19.83467578125,-15.6412421875,-3.0260390625,0.4028984375,-11.560203125,-25.2197109375,-5.53463671875,5.8797734375,-6.12266015625,-22.8595,-11.374015625,-3.91818359375,-4.18452734375,-12.387171875,-14.725296875,-7.54520703125,-6.182109375,-10.69051171875,-10.09008203125,-11.0171875,-4.3606875,2.646734375,3.107671875,-0.46850390625
-2.63078515625,-5.27013671875,-6.73950390625,-1.58810546875,10.0468828125,2.98074609375,-12.33867578125,-10.2362421875,4.2119609375,13.0548984375,-1.674203125,-18.6497109375,-0.53163671875,18.2127734375,5.32533984375,-14.3885,-8.276015625,1.77181640625,5.25647265625,-2.984171875,-10.484296875,-5.80920703125,-0.204109375,-3.49351171875,-4.68608203125,-10.9581875,0.3233125,6.156734375,6.647671875,1.92749609375
4.71121484375,2.63386328125,1.01049609375,4.52489453125,20.3888828125,13.29674609375,-3.02167578125,-3.4322421875,11.5819609375,24.5888984375,9.293796875,-9.7177109375,5.28036328125,28.7907734375,15.90733984375,-3.0865,-4.153015625,7.49281640625,13.30647265625,6.720828125,-4.600296875,-2.88320703125,4.986890625,2.47148828125,0.76091796875,-9.3131875,2.7643125,7.629734375,7.635671875,2.77449609375
10.60621484375,8.84286328125,7.61049609375,8.97589453125,27.0468828125,20.63374609375,5.11532421875,2.7877578125,16.4759609375,30.7648984375,17.619796875,-1.0847109375,9.97036328125,33.8327734375,21.73933984375,7.3765,-0.143015624999999,11.09181640625,16.79147265625,13.551828125,1.036703125,0.00779296874999957,7.193890625,5.10948828125,4.42991796875,-6.9021875,1.9313125,6.345734375,5.585671875,1.55349609375
13.31421484375,11.62986328125,11.09749609375,10.45189453125,27.6518828125,22.47774609375,9.31932421875,6.6037578125,17.0219609375,29.0828984375,20.547796875,4.6792890625,11.96736328125,31.2807734375,20.64033984375,13.7375,2.465984375,10.92981640625,14.06547265625,15.367828125,4.619703125,1.46479296875,5.122890625,3.38548828125,4.92491796875,-4.9961875,-2.3496875,2.150734375,0.615671875,-1.98850390625
12.28921484375,10.52786328125,10.66449609375,8.68389453125,21.9938828125,18.27374609375,8.05832421875,6.9447578125,12.9139609375,19.8278984375,17.286796875,5.9292890625,10.65936328125,21.6697734375,12.97033984375,14.2655,2.732984375,6.61481640625,5.74747265625,11.833828125,5.105703125,0.543792968749999,-0.995109375,-2.23551171875,1.89691796875,-4.7171875,-9.2296875,-4.331265625,-6.455328125,-7.60050390625
8.31021484375,6.38586328125,6.85049609375,4.51789453125,12.0518828125,9.53874609375,1.70632421875,3.8557578125,5.5689609375,5.9868984375,9.165796875,2.4172890625,6.63036328125,8.0417734375,1.41533984375,9.2725,0.470984375000002,-0.739183593749999,-5.44552734375,4.503828125,2.566703125,-2.75220703125,-9.370109375,-9.88251171875,-3.73008203125,-6.4911875,-16.9686875,-11.693265625,-14.159328125,-14.35550390625
3.04621484375,0.912863281249999,1.22049609375,-0.44010546875,1.1788828125,-0.81725390625,-7.54867578125,-1.5562421875,-2.4160390625,-7.9201015625,-0.993203125,-4.7157109375,1.42536328125,-5.1662265625,-10.13166015625,0.8315,-3.668015625,-8.84318359375,-15.70552734375,-3.827171875,-1.903296875,-7.37920703125,-17.237109375,-16.90551171875,-10.02908203125,-9.8291875,-23.3756875,-18.020265625,-20.633328125,-20.74050390625
-1.69978515625,-4.03413671875,-4.28450390625,-4.45110546875,-7.1611171875,-9.62125390625,-16.65767578125,-7.5962421875,-8.2720390625,-17.5661015625,-9.988203125,-13.3567109375,-3.06663671875,-13.8292265625,-18.07866015625,-8.1555,-8.478015625,-15.04618359375,-21.60452734375,-10.208171875,-6.649296875,-11.62520703125,-21.854109375,-20.83251171875,-14.78708203125,-13.5361875,-26.4616875,-21.409265625,-24.075328125,-25.05750390625
-4.72978515625,-7.17513671875,-8.10850390625,-6.32010546875,-10.6971171875,-14.59725390625,-22.96767578125,-12.6272421875,-10.1540390625,-20.4171015625,-15.413203125,-21.1247109375,-5.36163671875,-15.6972265625,-20.46066015625,-15.0935,-12.703015625,-17.35618359375,-21.40752734375,-12.683171875,-10.134296875,-13.85020703125,-21.566109375,-20.32551171875,-16.39208203125,-16.2681875,-25.1426875,-20.642265625,-23.341328125,-26.03350390625
-5.88178515625,-8.30113671875,-9.68750390625,-5.90110546875,-9.2061171875,-15.19325390625,-25.10567578125,-15.5752421875,-7.9230390625,-16.5851015625,-16.519203125,-26.1747109375,-4.94063671875,-11.1342265625,-17.59766015625,-18.5895,-15.490015625,-15.29518359375,-15.73452734375,-11.059171875,-11.579296875,-13.24220703125,-16.518109375,-15.74051171875,-14.55408203125,-17.1721875,-19.7236875,-15.779265625,-18.487328125,-23.38750390625
-5.98278515625,-8.29713671875,-9.62350390625,-4.16810546875,-4.5681171875,-12.69125390625,-23.30967578125,-16.1822421875,-3.2360390625,-8.6441015625,-14.394203125,-27.7987109375,-2.45063671875,-2.8102265625,-11.82666015625,-18.7985,-16.630015625,-10.17118359375,-7.24952734375,-6.931171875,-11.252296875,-10.22920703125,-8.691109375,-9.00051171875,-10.44608203125,-16.2701875,-11.8736875,-8.315265625,-10.922328125,-18.03350390625
-6.34378515625,-8.59613671875,-9.28350390625,-2.72410546875,0.1328828125,-9.50425390625,-19.25067578125,-15.0192421875,1.1769609375,-0.4911015625,-11.329203125,-26.5307109375,0.55636328125,5.3967734375,-6.40966015625,-17.1505,-16.565015625,-4.55618359375,0.45747265625,-2.899171875,-10.230296875,-6.33020703125,-1.126109375,-2.77351171875,-6.15108203125,-14.3721875,-4.0406875,-0.710265624999999,-2.979328125,-11.75150390625
-8.02578515625,-10.32613671875,-9.99150390625,-2.96410546875,2.0718828125,-7.96125390625,-15.30667578125,-13.2252421875,2.7669609375,4.2578984375,-9.670203125,-23.7447109375,2.27336328125,9.8857734375,-4.08566015625,-15.5675,-16.151015625,-1.17518359375,4.32547265625,-1.340171875,-9.770296875,-3.47220703125,3.306890625,0.656488281249999,-3.68508203125,-12.5851875,1.4613125,4.568734375,2.964671875,-6.45950390625
-11.23978515625,-13.63413671875,-12.28750390625,-5.32410546875,-0.0271171875,-9.25725390625,-13.47367578125,-11.9762421875,0.3399609375,3.6528984375,-10.761203125,-20.9987109375,1.47836328125,8.7067734375,-5.97366015625,-15.5305,-16.275015625,-1.72118359375,2.96647265625,-3.350171875,-10.671296875,-3.09720703125,3.049890625,0.26948828125,-4.12508203125,-11.7571875,3.2753125,6.031734375,5.411671875,-3.44050390625
-15.19278515625,-17.55713671875,-15.64850390625,-9.06210546875,-5.4341171875,-13.08325390625,-14.54767578125,-11.9672421875,-5.3980390625,-2.0081015625,-14.520203125,-19.4737109375,-1.83163671875,2.2777734375,-11.28866015625,-17.4845,-17.453015625,-6.14118359375,-2.92852734375,-8.380171875,-12.971296875,-5.47920703125,-1.589109375,-3.44051171875,-7.25608203125,-12.1511875,1.3833125,3.708734375,4.241671875,-2.91250390625
-18.44978515625,-20.52613671875,-18.81950390625,-12.65110546875,-11.9791171875,-18.03425390625,-18.13667578125,-13.2332421875,-12.1810390625,-10.5891015625,-19.755203125,-19.7357109375,-6.38963671875,-6.9142265625,-17.93566015625,-20.9015,-19.643015625,-12.69718359375,-11.05852734375,-14.682171875,-16.052296875,-9.57820703125,-8.679109375,-8.87951171875,-11.84608203125,-13.4741875,-3.0476875,-0.969265624999999,0.615671875,-4.12350390625
