"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
4.95808984375,3.80892578125,2.2435,-0.00626953125000052,-1.54834375,-8.0935234375,1.7734296875,6.74574609375,-1.2162578125,-0.0459375000000002,-1.04559375,-1.181515625,-4.845125,-4.31571875,-3.0973671875,-0.760953125,5.876703125,-0.707578125,-0.946625,-3.55560546875,-3.54462109375,-12.57798046875,-11.06139453125,0.2496640625,-4.20247265625,-7.71434765625,-7.87623046875,-8.87726171875,-7.23071875,-12.559421875
2.99908984375,2.90292578125,1.1375,-3.07726953125,-1.36834375,-8.4435234375,5.3604296875,0.60374609375,-4.8442578125,-0.1189375,2.33040625,4.053484375,-9.877125,-4.53271875,-1.3003671875,3.164046875,3.889703125,-0.896578125,-0.659625,-1.29460546875,-2.00562109375,-11.02798046875,-10.71839453125,0.7846640625,-2.83447265625,-7.17734765625,-6.53723046875,-7.62226171875,-5.85971875,-10.413421875
0.47508984375,1.37592578125,-0.3385,-5.51526953125,-2.42534375,-9.7125234375,5.6624296875,-3.01325390625,-7.4802578125,-1.1429375,2.56040625,6.222484375,-13.911125,-5.73971875,-1.6823671875,3.286046875,2.274703125,-1.786578125,-1.532625,-1.38360546875,-2.10162109375,-10.42998046875,-11.22339453125,-0.0613359375,-3.24247265625,-7.55334765625,-6.53823046875,-7.89326171875,-5.86471875,-9.785421875
-2.51491015625,-0.69107421875,-2.0525,-7.11426953125,-4.40234375,-11.6945234375,2.7084296875,-4.22225390625,-8.7682578125,-2.8779375,-0.19159375,4.851484375,-16.511125,-7.71371875,-4.0973671875,-0.0439531249999998,0.761703125,-3.250578125,-3.466625,-3.65760546875,-3.61462109375,-10.78398046875,-12.58039453125,-2.1873359375,-5.28047265625,-8.75734765625,-7.83823046875,-9.80326171875,-7.23771875,-10.715421875
-5.57091015625,-2.93807421875,-3.7015,-7.83226953125,-6.50934375,-13.7765234375,-2.2505703125,-3.86925390625,-8.6312578125,-4.7019375,-4.63359375,0.662484375,-17.506125,-9.85671875,-7.6153671875,-5.101953125,-1.013296875,-4.898578125,-5.941625,-7.11260546875,-5.69362109375,-11.80598046875,-14.50039453125,-4.9953359375,-8.13747265625,-10.33634765625,-9.93123046875,-12.95226171875,-9.46871875,-12.652421875
-8.06491015625,-4.83207421875,-4.9425,-7.80126953125,-7.92134375,-15.1975234375,-7.2265703125,-3.00425390625,-7.3142578125,-5.9119375,-8.95359375,-4.476515625,-17.092125,-11.49971875,-10.9593671875,-9.671953125,-3.144296875,-6.264578125,-8.246625,-10.41160546875,-7.27562109375,-13.06998046875,-16.52639453125,-7.6723359375,-10.71947265625,-11.64234765625,-12.07823046875,-16.58126171875,-11.75271875,-14.652421875
-9.32991015625,-5.83807421875,-5.5085,-7.27126953125,-8.17734375,-15.3785234375,-10.2845703125,-2.40025390625,-5.3192578125,-6.0319375,-11.57559375,-8.209515625,-15.760125,-12.20371875,-13.0273671875,-12.004953125,-5.238296875,-6.996578125,-9.764625,-12.44860546875,-7.58062109375,-14.16098046875,-18.17839453125,-9.5053359375,-12.11147265625,-12.10434765625,-13.60023046875,-19.82626171875,-13.31671875,-15.734421875
-8.96091015625,-5.65607421875,-5.2955,-6.52226953125,-7.34534375,-14.2055234375,-10.3525703125,-2.35925390625,-3.2482578125,-4.9989375,-11.75559375,-8.803515625,-14.146125,-11.90971875,-13.2773671875,-11.488953125,-6.516296875,-6.968578125,-10.176625,-12.73760546875,-6.46162109375,-14.78898046875,-19.10239453125,-10.1293359375,-11.92647265625,-11.46334765625,-14.10723046875,-22.00126171875,-13.70871875,-15.283421875
-7.06591015625,-4.38707421875,-4.4195,-5.79326953125,-5.90434375,-12.0955234375,-7.6665703125,-2.77025390625,-1.6352578125,-3.1669375,-9.79659375,-6.076515625,-12.888125,-10.90471875,-11.8683671875,-8.771953125,-6.230296875,-6.301578125,-9.556625,-11.51760546875,-4.46062109375,-14.86698046875,-19.17939453125,-9.6173359375,-10.42847265625,-9.88434765625,-13.61123046875,-22.80226171875,-12.96271875,-13.298421875
-4.30591015625,-2.55207421875,-3.1875,-5.21826953125,-4.45634375,-9.7915234375,-3.5775703125,-3.28025390625,-0.8072578125,-1.1189375,-6.77959375,-1.494515625,-12.480125,-9.66271875,-9.5103671875,-5.312953125,-4.149296875,-5.304578125,-8.308625,-9.53660546875,-2.54262109375,-14.53398046875,-18.55739453125,-8.4013359375,-8.36847265625,-7.87834765625,-12.47823046875,-22.37826171875,-11.54271875,-10.387421875
-1.63091015625,-0.86807421875,-1.9915,-4.80926953125,-3.42734375,-7.9915234375,0.1924296875,-3.48125390625,-0.8452578125,0.6260625,-3.95559375,2.669484375,-13.100125,-8.63571875,-7.0953671875,-2.564953125,-0.829296875,-4.332578125,-6.969625,-7.64760546875,-1.60362109375,-14.07798046875,-17.55939453125,-7.0573359375,-6.60347265625,-6.07634765625,-11.23223046875,-21.21626171875,-10.10171875,-7.493421875
0.17308984375,0.09592578125,-1.1405,-4.46826953125,-2.90634375,-7.0205234375,2.4064296875,-3.12525390625,-1.5882578125,1.8320625,-2.11959375,4.611484375,-14.451125,-8.05371875,-5.2693671875,-1.250953125,2.561703125,-3.628578125,-5.959625,-6.39060546875,-2.01162109375,-13.77298046875,-16.50739453125,-6.0363359375,-5.68247265625,-4.95334765625,-10.28323046875,-19.89626171875,-9.15771875,-5.480421875
0.85008984375,0.18692578125,-0.7445,-4.04026953125,-2.67034375,-6.7345234375,2.7984296875,-2.27825390625,-2.6472578125,2.6080625,-1.33859375,3.881484375,-15.761125,-7.84671875,-4.2033671875,-1.179953125,4.784703125,-3.216578125,-5.410625,-5.81060546875,-3.43562109375,-13.72298046875,-15.56539453125,-5.5073359375,-5.62347265625,-4.64034765625,-9.74723046875,-18.84026171875,-8.86071875,-4.773421875
0.73108984375,-0.30907421875,-0.7225,-3.38626953125,-2.38834375,-6.6975234375,1.9624296875,-1.27325390625,-3.4682578125,3.2480625,-1.14859375,1.379484375,-16.023125,-7.72171875,-3.6513671875,-1.656953125,5.124703125,-2.915578125,-5.179625,-5.59760546875,-5.10062109375,-13.79398046875,-14.69339453125,-5.3713359375,-6.02247265625,-4.92234765625,-9.45623046875,-18.17926171875,-8.97171875,-5.225421875
0.44508984375,-0.89407421875,-0.9005,-2.44326953125,-1.84734375,-6.4995234375,0.7934296875,-0.46025390625,-3.4922578125,3.9860625,-1.02159375,-1.390515625,-14.447125,-7.35071875,-3.2383671875,-2.113953125,3.651703125,-2.459578125,-4.990625,-5.38960546875,-6.24062109375,-13.68798046875,-13.74039453125,-5.4033359375,-6.36647265625,-5.40834765625,-9.12423046875,-17.78026171875,-9.04871875,-6.235421875
0.51208984375,-1.14507421875,-1.1155,-1.25926953125,-1.06334375,-5.9845234375,-0.0915703125,0.0437460937499999,-2.3822578125,4.8280625,-0.71359375,-3.215515625,-10.936125,-6.53971875,-2.7133671875,-2.419953125,1.066703125,-1.645578125,-4.612625,-4.99860546875,-6.45562109375,-13.10598046875,-12.57439453125,-5.3933359375,-6.31547265625,-5.73534765625,-8.54223046875,-17.35626171875,-8.68771875,-7.054421875
1.10008984375,-0.88407421875,-1.2595,0.0117304687499997,-0.20734375,-5.2695234375,-0.5745703125,0.36174609375,-0.1832578125,5.5850625,-0.29959375,-3.685515625,-6.276125,-5.28671875,-2.0263671875,-2.729953125,-1.718296875,-0.434578125,-3.934625,-4.42960546875,-5.77562109375,-11.90898046875,-11.16939453125,-5.2093359375,-5.80047265625,-5.69434765625,-7.68223046875,-16.61626171875,-7.70771875,-7.117421875
2.07608984375,-0.17407421875,-1.2685,1.16373046875,0.55165625,-4.5555234375,-0.8315703125,0.66074609375,2.6847421875,6.0540625,0.0454062500000001,-3.133515625,-1.842125,-3.73371875,-1.2603671875,-3.114953125,-3.961296875,1.031421875,-2.964625,-3.77460546875,-4.51662109375,-10.21898046875,-9.62939453125,-4.7923359375,-4.95847265625,-5.26934765625,-6.66723046875,-15.39326171875,-6.22471875,-6.272421875
3.19508984375,0.78592578125,-1.1105,2.00373046875,1.14865625,-3.9355234375,-0.9975703125,0.94474609375,5.5537421875,6.1830625,0.25140625,-2.194515625,1.076875,-2.10571875,-0.5263671875,-3.365953125,-5.280296875,2.482421875,-1.791625,-3.10860546875,-3.09762109375,-8.40698046875,-8.14139453125,-4.1463359375,-4.01347265625,-4.60534765625,-5.68823046875,-13.71926171875,-4.60671875,-4.811421875
4.22508984375,1.77092578125,-0.7875,2.37573046875,1.62965625,-3.3385234375,-0.9985703125,1.04674609375,7.7147421875,6.0990625,0.41740625,-1.317515625,1.930875,-0.63971875,0.1086328125,-3.103953125,-5.652296875,3.626421875,-0.553625,-2.46560546875,-1.90362109375,-6.95298046875,-6.90439453125,-3.3433359375,-3.17347265625,-3.94334765625,-4.89323046875,-11.82826171875,-3.32471875,-3.306421875
4.95908984375,2.59192578125,-0.3505,2.16773046875,2.08465625,-2.6375234375,-0.6725703125,0.79374609375,8.6377421875,6.0020625,0.70140625,-0.543515625,1.117875,0.47828125,0.6336328125,-2.063953125,-5.327296875,4.269421875,0.603375,-1.85660546875,-1.20462109375,-6.23398046875,-6.02939453125,-2.5083359375,-2.57847265625,-3.52334765625,-4.32923046875,-10.05726171875,-2.75071875,-2.341421875
5.20808984375,3.10292578125,0.0705,1.33673046875,2.55665625,-1.8145234375,-0.0205703125000001,0.20574609375,8.1427421875,6.0090625,1.13940625,0.306484375,-0.328125,1.13928125,1.0536328125,-0.367953125,-4.705296875,4.370421875,1.540375,-1.31960546875,-1.10162109375,-6.32698046875,-5.50139453125,-1.7893359375,-2.28947265625,-3.49134765625,-3.95723046875,-8.70726171875,-2.99071875,-2.253421875
4.86108984375,3.18392578125,0.2545,-0.0572695312500002,2.96165625,-1.0695234375,0.6134296875,-0.48025390625,6.4417421875,6.0370625,1.49940625,1.171484375,-1.332125,1.28028125,1.2916328125,1.364046875,-4.179296875,4.024421875,2.126375,-0.97160546875,-1.52762109375,-6.96098046875,-5.22539453125,-1.3293359375,-2.33147265625,-3.83534765625,-3.72723046875,-7.92326171875,-3.84971875,-3.029421875
3.97008984375,2.73892578125,-0.0674999999999999,-1.82426953125,3.05765625,-0.817523437499999,0.5914296875,-0.98225390625,4.0437421875,5.8020625,1.30840625,1.459484375,-1.279125,0.85428125,1.1406328125,2.175046875,-3.949296875,3.384421875,2.232375,-1.01460546875,-2.31462109375,-7.62998046875,-5.11739453125,-1.2483359375,-2.70847265625,-4.39434765625,-3.64423046875,-7.65926171875,-4.94071875,-4.359421875
2.79808984375,1.76492578125,-1.0535,-3.65526953125,2.56365625,-1.4825234375,-0.6995703125,-1.18725390625,1.5647421875,4.9780625,0.11140625,0.306484375,-0.168125,-0.13671875,0.3766328125,1.227046875,-3.906296875,2.614421875,1.774375,-1.63460546875,-3.25962109375,-7.82998046875,-5.14339453125,-1.6083359375,-3.36647265625,-4.92634765625,-3.75123046875,-7.70826171875,-5.84371875,-5.802421875
