"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
1.380359375,-9.65029296875,-25.315171875,32.0914453125,-18.49098046875,-39.20009765625,-57.593515625,-31.74103515625,10.37828515625,-49.36430859375,-67.11376171875,-36.22273828125,41.4770703125,-33.53775,-69.28030078125,-58.70826171875,0.506671874999999,-20.3604140625,-67.1017109375,-84.0611328125,-44.62614453125,-23.01780078125,-66.5555859375,-77.5328671875,-81.66782421875,-34.6138515625,-87.33892578125,-59.53713671875,-65.91397265625,-65.58858984375
-0.0306406249999993,-10.00729296875,-26.440171875,25.9154453125,-21.21898046875,-41.54109765625,-63.098515625,-33.82803515625,6.05828515625,-49.95130859375,-69.23376171875,-41.27173828125,37.4230703125,-36.36875,-70.12930078125,-64.14326171875,-4.802328125,-24.3854140625,-68.7307109375,-89.0591328125,-49.97414453125,-25.04680078125,-70.4675859375,-82.2078671875,-87.00282421875,-38.3308515625,-92.15892578125,-62.12813671875,-69.96697265625,-69.05458984375
-1.117640625,-10.33729296875,-26.959171875,20.8544453125,-23.32698046875,-42.40309765625,-65.752515625,-34.82003515625,2.37528515625,-49.81430859375,-69.44476171875,-44.75773828125,33.8070703125,-38.26475,-69.69930078125,-67.66726171875,-10.160328125,-27.0774140625,-69.0187109375,-91.6621328125,-53.62114453125,-25.84280078125,-72.0095859375,-84.2208671875,-89.60282421875,-40.3878515625,-93.94992578125,-62.55113671875,-71.50897265625,-70.19158984375
-2.347640625,-10.91429296875,-27.098171875,16.7414453125,-25.02398046875,-42.07209765625,-65.501515625,-34.59503515625,-0.80271484375,-49.09230859375,-67.80376171875,-46.44773828125,30.4930703125,-39.16775,-68.02630078125,-69.11126171875,-15.550328125,-28.3904140625,-67.8187109375,-91.6051328125,-55.40914453125,-25.34780078125,-70.9425859375,-83.2698671875,-89.01182421875,-40.6438515625,-92.29492578125,-60.44413671875,-70.16397265625,-68.61758984375
-4.429640625,-12.16429296875,-27.372171875,13.0584453125,-26.82498046875,-41.50709765625,-63.284515625,-33.34503515625,-3.81871484375,-48.26930859375,-65.10076171875,-46.58073828125,27.1720703125,-39.28975,-65.63130078125,-68.94126171875,-20.824328125,-28.6954140625,-65.3827109375,-89.3601328125,-55.71214453125,-23.88680078125,-67.7075859375,-79.8358671875,-85.58282421875,-39.4478515625,-87.64792578125,-56.01313671875,-66.24997265625,-64.61258984375
-7.946640625,-14.50829296875,-28.339171875,9.2724453125,-29.31598046875,-41.95009765625,-60.598515625,-31.47503515625,-6.99271484375,-47.97030859375,-62.53176171875,-45.76973828125,23.5480703125,-38.97575,-63.29830078125,-68.05926171875,-25.665328125,-28.5764140625,-62.2557109375,-85.9181328125,-55.25814453125,-22.01180078125,-63.1565859375,-74.9278671875,-80.32282421875,-37.4118515625,-81.08792578125,-49.90313671875,-60.60597265625,-58.96858984375
-13.085640625,-18.19729296875,-30.343171875,5.0844453125,-32.91198046875,-44.46109765625,-58.920515625,-29.46103515625,-10.44371484375,-48.72030859375,-61.23876171875,-44.77573828125,19.4860703125,-38.53175,-61.78430078125,-67.46126171875,-29.630328125,-28.5724140625,-59.0687109375,-82.4071328125,-54.84414453125,-20.26580078125,-58.1925859375,-69.6698671875,-74.53682421875,-35.0798515625,-73.88592578125,-42.97413671875,-54.27797265625,-52.69058984375
-19.586640625,-23.22529296875,-33.372171875,0.4634453125,-37.68298046875,-49.54509765625,-59.199515625,-27.69003515625,-14.06771484375,-50.72830859375,-61.91376171875,-44.24973828125,15.0540703125,-38.11975,-61.56230078125,-67.88526171875,-32.276328125,-28.9894140625,-56.3127109375,-79.7061328125,-55.03614453125,-18.97980078125,-53.4595859375,-64.9058671875,-69.38282421875,-32.6828515625,-67.05192578125,-36.04413671875,-48.16897265625,-46.63958984375
-26.845640625,-29.28829296875,-37.042171875,-4.4625546875,-43.29098046875,-56.94009765625,-61.547515625,-26.30803515625,-17.63971484375,-53.77330859375,-64.55076171875,-44.49573828125,10.4580703125,-37.72275,-62.64230078125,-69.54426171875,-33.276328125,-29.8324140625,-54.1487109375,-78.1611328125,-55.94114453125,-18.16380078125,-49.1735859375,-60.9398671875,-65.49382421875,-30.0468515625,-61.03692578125,-29.68413671875,-42.76497265625,-41.24658984375
-34.058640625,-35.81029296875,-40.685171875,-9.5275546875,-49.01998046875,-65.60009765625,-65.198515625,-25.13803515625,-20.93571484375,-57.20630859375,-68.40476171875,-45.31673828125,5.9120703125,-37.15775,-64.50630078125,-71.99826171875,-32.468328125,-30.8374140625,-52.3227109375,-77.4671328125,-57.10314453125,-17.51780078125,-45.1345859375,-57.4798671875,-62.75182421875,-26.6858515625,-55.63492578125,-24.07513671875,-38.01197265625,-36.38658984375
