"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
11.1085546875,9.85374609375,9.5071171875,7.61294921875,0.694765625,4.428359375,2.5190078125,3.47859375,-0.10344921875,2.33663671875,0.7813984375,-1.1701484375,-5.551828125,-3.5493125,-0.415359375,0.0470234375,1.36583203125,-2.67118359375,-2.5889609375,-2.18978515625,-3.04942578125,-7.15430078125,-4.3273984375,-4.20765625,-6.434140625,-2.22143359375,-7.55544140625,-11.29476953125,-12.13781640625,-13.382296875
11.2015546875,10.43074609375,10.5441171875,8.19394921875,1.830765625,3.697359375,3.3160078125,2.84659375,-0.65244921875,2.10663671875,-0.2996015625,-2.1751484375,-4.550828125,-3.4253125,-0.973359375,-1.1549765625,-0.63116796875,-2.32518359375,-2.3369609375,-3.23278515625,-4.43842578125,-5.56130078125,-3.5813984375,-3.91065625,-7.417140625,-3.01243359375,-7.03744140625,-9.44876953125,-10.32981640625,-13.131296875
8.2625546875,8.52174609375,8.6051171875,7.74094921875,1.542765625,2.454359375,2.8930078125,1.31259375,-1.24844921875,1.50763671875,-1.5266015625,-3.4461484375,-3.583828125,-3.7013125,-1.629359375,-2.3699765625,-2.24516796875,-2.23818359375,-2.3389609375,-3.86078515625,-5.76642578125,-4.41330078125,-3.1663984375,-3.69865625,-8.044140625,-3.96843359375,-6.52544140625,-7.91476953125,-8.83381640625,-13.029296875
2.6615546875,4.32474609375,3.9141171875,6.38994921875,-0.0742343750000001,0.836359375,1.3280078125,-0.94140625,-1.79644921875,0.65563671875,-2.7516015625,-4.8691484375,-2.474828125,-4.2953125,-2.228359375,-3.4459765625,-3.35416796875,-2.36118359375,-2.4759609375,-3.95678515625,-6.82242578125,-3.76230078125,-3.0023984375,-3.47365625,-8.182140625,-4.94143359375,-5.97944140625,-6.71076953125,-7.65281640625,-13.002296875
-3.8364453125,-0.86325390625,-2.0348828125,4.69594921875,-2.367234375,-0.745640625,-0.7939921875,-3.31240625,-2.12444921875,-0.13136328125,-3.6906015625,-6.1581484375,-1.047828125,-4.9393125,-2.522359375,-4.1429765625,-3.91216796875,-2.53518359375,-2.5159609375,-3.51178515625,-7.36042578125,-3.55430078125,-2.8873984375,-3.09565625,-7.779140625,-5.67443359375,-5.36944140625,-5.80176953125,-6.74181640625,-12.915296875
-8.8894453125,-5.24025390625,-7.1698828125,3.33794921875,-4.444234375,-1.803640625,-2.6549921875,-5.04440625,-2.06844921875,-0.47436328125,-4.0436015625,-6.9711484375,0.702171875,-5.3113125,-2.298359375,-4.2509765625,-3.97016796875,-2.58318359375,-2.2439609375,-2.63678515625,-7.23542578125,-3.68330078125,-2.6223984375,-2.47865625,-6.892140625,-5.93343359375,-4.70144140625,-5.16876953125,-6.08981640625,-12.654296875
-10.7294453125,-7.33925390625,-9.7988828125,2.78694921875,-5.577234375,-1.993640625,-3.5919921875,-5.56240625,-1.57544921875,-0.10936328125,-3.6386015625,-7.0601484375,2.536171875,-5.1763125,-1.488359375,-3.6829765625,-3.66016796875,-2.38218359375,-1.5689609375,-1.51278515625,-6.47242578125,-4.02830078125,-2.0953984375,-1.63165625,-5.673140625,-5.59643359375,-4.00344140625,-4.81976953125,-5.72081640625,-12.166296875
-8.9314453125,-6.62125390625,-9.2718828125,3.15094921875,-5.430234375,-1.245640625,-3.3609921875,-4.69540625,-0.72544921875,1.01563671875,-2.5026015625,-6.3601484375,4.065171875,-4.4633125,-0.189359375,-2.5079765625,-3.13316796875,-1.90218359375,-0.5359609375,-0.30778515625,-5.22342578125,-4.46830078125,-1.3163984375,-0.64665625,-4.307140625,-4.68443359375,-3.28844140625,-4.75876953125,-5.64581640625,-11.445296875
-4.4104453125,-3.53425390625,-6.0378828125,4.22894921875,-4.069234375,0.254359375,-2.1559921875,-2.71040625,0.33155078125,2.74263671875,-0.8316015625,-4.9851484375,4.913171875,-3.2613125,1.397640625,-0.9059765625,-2.46716796875,-1.19018359375,0.7120390625,0.89421484375,-3.66442578125,-4.89930078125,-0.3893984375,0.35834375,-2.941140625,-3.30743359375,-2.54744140625,-4.93276953125,-5.80081640625,-10.505296875
1.1765546875,0.83374609375,-1.2608828125,5.67494921875,-1.843234375,2.189359375,-0.4129921875,-0.17440625,1.44855078125,4.76863671875,1.0923984375,-3.1601484375,4.840171875,-1.7843125,3.044640625,0.9050234375,-1.63016796875,-0.35218359375,1.9900390625,2.09421484375,-1.92442578125,-5.26130078125,0.5166015625,1.28434375,-1.649140625,-1.61843359375,-1.78144140625,-5.23176953125,-6.03481640625,-9.359296875
6.1895546875,5.23774609375,3.7171171875,7.13194921875,0.759765625,4.237359375,1.4170078125,2.27559375,2.50355078125,6.71763671875,2.9843984375,-1.1611484375,3.794171875,-0.3233125,4.553640625,2.7100234375,-0.52216796875,0.46981640625,3.1050390625,3.30721484375,-0.10042578125,-5.56130078125,1.2076015625,2.05634375,-0.458140625,0.21256640625,-1.04644140625,-5.52576953125,-6.16481640625,-8.038296875
