"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
7.1481328125,7.3701015625,7.86980078125,5.8807265625,0.000925781249999917,6.08906640625,0.79884765625,7.9850390625,0.50296484375,7.96938671875,6.07042578125,10.255875,0.9484765625,2.7230546875,6.8779921875,-1.5446484375,8.3453828125,4.40316796875,10.4182734375,1.5515546875,2.70098046875,5.046171875,6.3154609375,6.375234375,4.0585390625,5.2361171875,10.8174609375,8.8298828125,14.98408984375,6.38904296875
6.7261328125,6.8351015625,7.53680078125,5.9507265625,1.25792578125,7.03106640625,4.77584765625,8.0790390625,2.51296484375,8.72238671875,6.73042578125,9.905875,0.4494765625,3.7820546875,7.9549921875,-1.8806484375,7.5853828125,4.20316796875,10.1272734375,1.0145546875,1.19598046875,4.017171875,5.8304609375,5.414234375,1.9305390625,2.8741171875,9.7914609375,6.6388828125,12.78708984375,4.69204296875
6.7901328125,6.6451015625,7.53480078125,6.7317265625,2.25792578125,7.98106640625,7.77784765625,8.5130390625,4.26996484375,9.41238671875,7.52342578125,9.667875,0.4444765625,4.8510546875,8.9169921875,-1.8126484375,7.0653828125,3.94416796875,10.0302734375,0.8545546875,0.25498046875,2.942171875,5.5114609375,4.691234375,0.4225390625,1.2411171875,8.5374609375,4.3458828125,10.65008984375,3.23204296875
7.2601328125,6.7601015625,7.79180078125,8.0597265625,2.85792578125,8.81606640625,9.77884765625,9.2030390625,5.61996484375,9.86638671875,8.34642578125,9.496875,0.8194765625,5.7000546875,9.6499921875,-1.3606484375,6.7213828125,3.51016796875,9.9192734375,1.0295546875,-0.09601953125,1.761171875,5.1524609375,4.072234375,-0.5044609375,0.3581171875,6.9374609375,1.8538828125,8.37008984375,1.92404296875
7.8351328125,6.9821015625,8.06980078125,9.4297265625,2.89092578125,9.31506640625,10.82984765625,9.8370390625,6.33596484375,9.83538671875,8.94142578125,9.238875,1.2114765625,5.9460546875,9.9609921875,-0.7456484375,6.3373828125,2.73616796875,9.4382734375,1.3025546875,-0.05001953125,0.414171875,4.4194609375,3.282234375,-1.0994609375,-0.00188281250000011,4.8874609375,-0.927117187499999,5.68008984375,0.53104296875
8.1181328125,7.0191015625,8.06080078125,10.2057265625,2.22792578125,9.23306640625,10.92984765625,9.9710390625,6.18496484375,9.10938671875,8.96542578125,8.677875,1.1604765625,5.2180546875,9.6269921875,-0.3076484375,5.6343828125,1.48916796875,8.2732734375,1.3445546875,0.06598046875,-1.104828125,3.0444609375,2.056234375,-1.6634609375,-0.1838828125,2.3544609375,-4.0041171875,2.42208984375,-1.21395703125
7.7951328125,6.6191015625,7.54580078125,9.9297265625,0.90292578125,8.44806640625,10.17084765625,9.2550390625,5.09996484375,7.64838671875,8.18442578125,7.674875,0.3284765625,3.3990546875,8.5559921875,-0.3206484375,4.4403828125,-0.22083203125,6.3662734375,0.9245546875,-0.02801953125,-2.698828125,1.0274609375,0.322234375,-2.3704609375,-0.4598828125,-0.5415390625,-7.2331171875,-1.28791015625,-3.41095703125
6.8081328125,5.7201015625,6.54280078125,8.5427265625,-0.80907421875,7.06906640625,8.79484765625,7.6580390625,3.30396484375,5.68538671875,6.67342578125,6.301875,-1.2875234375,0.7850546875,6.9409921875,-0.8026484375,2.8583828125,-2.14983203125,4.0262734375,0.0895546875000003,-0.38701953125,-4.161828125,-1.2855390625,-1.675765625,-3.1354609375,-0.8748828125,-3.4665390625,-10.2821171875,-5.01491015625,-5.83495703125
5.4231328125,4.5291015625,5.34980078125,6.4397265625,-2.45307421875,5.44706640625,7.10184765625,5.5630390625,1.26396484375,3.68138671875,4.86642578125,4.885875,-3.2965234375,-1.9889453125,5.2619921875,-1.4566484375,1.2893828125,-3.86383203125,1.8362734375,-0.8044453125,-0.78001953125,-5.241828125,-3.3175390625,-3.436765625,-3.6334609375,-1.2208828125,-5.9325390625,-12.6971171875,-8.12191015625,-7.95995703125
4.1171328125,3.4441015625,4.41480078125,4.2937265625,-3.55907421875,4.06706640625,5.41984765625,3.6410390625,-0.46803515625,2.14738671875,3.40442578125,3.893875,-5.0825234375,-4.2149453125,4.1109921875,-1.8126484375,0.2683828125,-4.90383203125,0.396273437500001,-1.2594453125,-0.83201953125,-5.752828125,-4.5295390625,-4.421765625,-3.4814609375,-1.1738828125,-7.4635390625,-14.0571171875,-10.02891015625,-9.18095703125
3.3331328125,2.8291015625,4.09280078125,2.7547265625,-3.82407421875,3.35806640625,4.16584765625,2.5580390625,-1.45503515625,1.41238671875,2.82942578125,3.716875,-6.1265234375,-5.4269453125,3.9129921875,-1.4966484375,0.1893828125,-5.01483203125,0.0202734375000002,-0.9164453125,-0.26601953125,-5.684828125,-4.6825390625,-4.339765625,-2.4884609375,-0.5208828125,-7.8155390625,-14.1491171875,-10.47091015625,-9.13195703125
3.2491328125,2.8061015625,4.43080078125,2.1547265625,-3.26207421875,3.49106640625,3.70484765625,2.6520390625,-1.52703515625,1.44938671875,3.28642578125,4.442875,-6.2755234375,-5.6099453125,4.6679921875,-0.4846484375,1.0783828125,-4.29083203125,0.577273437500001,0.2065546875,0.87998046875,-5.211828125,-3.9465390625,-3.325765625,-0.8194609375,0.6871171875,-7.1125390625,-13.0801171875,-9.62091015625,-7.90195703125
3.7111328125,3.1741015625,5.12780078125,2.3777265625,-2.22507421875,4.29006640625,4.04284765625,3.7580390625,-0.84803515625,1.88438671875,4.40842578125,5.759875,-5.7845234375,-5.1789453125,5.8729921875,0.8293515625,2.5503828125,-3.14883203125,1.5512734375,1.6605546875,2.22798046875,-4.607828125,-2.8105390625,-1.903765625,1.0455390625,2.1261171875,-5.8145390625,-11.2521171875,-7.99791015625,-6.01995703125
4.3291328125,3.5191015625,5.67780078125,2.9547265625,-1.26407421875,5.32706640625,4.75784765625,5.2690390625,0.16096484375,2.18338671875,5.47842578125,7.058875,-5.1225234375,-4.7569453125,6.7259921875,1.7823515625,3.9633828125,-2.14783203125,2.2952734375,2.7535546875,3.22598046875,-4.108828125,-1.8465390625,-0.753765625,2.5045390625,3.3411171875,-4.5375390625,-9.2161171875,-6.22191015625,-4.21195703125
4.6781328125,3.4441015625,5.62680078125,3.3227265625,-0.86907421875,6.14606640625,5.31384765625,6.4030390625,1.04296484375,1.91838671875,5.79342578125,7.691875,-4.6895234375,-4.8359453125,6.5189921875,1.7473515625,4.6843828125,-1.74883203125,2.3332734375,2.8795546875,3.38798046875,-3.814828125,-1.4715390625,-0.419765625,3.0815390625,3.9421171875,-3.7915390625,-7.4811171875,-4.76391015625,-3.07895703125
4.4961328125,2.7791015625,4.79680078125,3.0857265625,-1.23407421875,6.46506640625,5.40284765625,6.5300390625,1.51096484375,0.97738671875,5.01842578125,7.246875,-4.6275234375,-5.5339453125,5.0039921875,0.4393515625,4.3443828125,-2.12983203125,1.5672734375,1.8105546875,2.51198046875,-3.702828125,-1.7965390625,-1.080765625,2.6105390625,3.7511171875,-3.7805390625,-6.3531171875,-3.78391015625,-2.86095703125
3.8011328125,1.6921015625,3.38580078125,2.1647265625,-2.19307421875,6.25906640625,4.95384765625,5.4220390625,1.51496484375,-0.369613281249999,3.34642578125,5.707875,-4.8015234375,-6.5639453125,2.5319921875,-1.9296484375,2.9743828125,-3.12483203125,0.2932734375,-0.1754453125,0.76598046875,-3.681828125,-2.6185390625,-2.487765625,1.3005390625,2.8691171875,-4.3385390625,-5.8411171875,-3.11891015625,-3.37595703125
2.8891328125,0.6301015625,1.89680078125,0.8017265625,-3.29507421875,5.75306640625,4.04384765625,3.3530390625,1.20696484375,-1.56961328125,1.41942578125,3.460875,-4.9075234375,-7.4009453125,-0.0900078125000006,-4.6986484375,0.9883828125,-4.28983203125,-0.9257265625,-2.3964453125,-1.35401953125,-3.644828125,-3.5095390625,-4.046765625,-0.3274609375,1.6311171875,-4.9995390625,-5.6641171875,-2.39391015625,-4.12895703125
2.2221328125,0.1441015625,0.939800781250001,-0.5382734375,-3.97007421875,5.36606640625,2.95384765625,1.0010390625,0.88196484375,-1.99161328125,0.0754257812499999,1.159875,-4.6215234375,-7.5049453125,-1.8870078125,-6.9956484375,-0.9706171875,-5.05683203125,-1.4727265625,-4.0074453125,-3.18901953125,-3.464828125,-3.9665390625,-5.029765625,-1.6194609375,0.4911171875,-5.1715390625,-5.3581171875,-1.20491015625,-4.50895703125
2.2571328125,0.6521015625,0.990800781250001,-1.3362734375,-3.71907421875,5.58306640625,2.21184765625,-0.7999609375,0.90096484375,-1.17261328125,0.0264257812500004,-0.492125,-3.7085234375,-6.5099453125,-2.0810078125,-8.0756484375,-2.2686171875,-4.92783203125,-0.8917265625,-4.3104453125,-4.14201953125,-2.989828125,-3.5835390625,-4.825765625,-2.0314609375,-0.1428828125,-4.3685390625,-4.4631171875,0.68408984375,-4.01595703125
3.2501328125,2.2471015625,2.18580078125,-1.2152734375,-2.31807421875,6.74106640625,2.31484765625,-1.4059609375,1.52996484375,0.97538671875,1.54542578125,-0.999124999999999,-2.1095234375,-4.3569453125,-0.4140078125,-7.6126484375,-2.5286171875,-3.67383203125,0.9332734375,-3.0444453125,-3.92001953125,-2.088828125,-2.2095390625,-3.180765625,-1.3434609375,-0.0858828125,-2.4305390625,-2.7541171875,3.21308984375,-2.47295703125
5.1191328125,4.6041015625,4.22980078125,-0.1072734375,0.0629257812499999,8.83306640625,3.36984765625,-0.6429609375,2.78296484375,4.08238671875,4.32642578125,-0.261125,0.0204765624999999,-1.3529453125,2.7099921875,-5.8506484375,-1.7726171875,-1.45683203125,3.6882734375,-0.5284453125,-2.68201953125,-0.769828125,-0.0485390625,-0.342765625,0.2295390625,0.5241171875,0.3344609375,-0.4101171875,5.98208984375,-0.15795703125
7.4321328125,7.0681015625,6.48680078125,1.7227265625,2.92092578125,11.48606640625,5.08484765625,1.1390390625,4.40896484375,7.44238671875,7.60242578125,1.397875,2.3294765625,1.9090546875,6.3719921875,-3.5076484375,-0.3986171875,1.19916796875,6.6922734375,2.4295546875,-1.01601953125,0.739171875,2.3564609375,2.968234375,2.0805390625,1.2381171875,3.2014609375,1.9748828125,8.35608984375,2.25404296875
9.5551328125,8.8881015625,8.22980078125,3.8017265625,5.64992578125,14.13506640625,7.07184765625,3.2390390625,6.04896484375,10.29338671875,10.46542578125,3.368875,4.4044765625,4.7740546875,9.5269921875,-1.4796484375,1.0043828125,3.60616796875,9.1452734375,4.8515546875,0.28798046875,2.054171875,4.3064609375,5.804234375,3.4305390625,1.4901171875,5.2934609375,3.6168828125,9.69908984375,3.93604296875
10.9321328125,9.5271015625,8.94080078125,5.6677265625,7.78592578125,16.24706640625,9.03784765625,4.9380390625,7.42496484375,12.12938671875,12.21942578125,5.003875,5.9614765625,6.7660546875,11.4179921875,-0.4726484375,1.9093828125,5.21116796875,10.4532734375,5.9965546875,0.57398046875,2.827171875,5.2374609375,7.353234375,3.6685390625,0.8581171875,5.9444609375,3.8948828125,9.64508984375,4.25504296875
